Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,287.06,0.12,1.48,40.05,0.6,2.94,4.51,1.55
2025-01-01 09:00:00,243.66,0.16,0.97,51.5,0.75,1.59,2.25,0.52
2025-01-01 10:00:00,233.65,0.08,0.47,52.93,0.39,1.15,1.67,0.51
2025-01-01 11:00:00,233.65,0.04,0.31,53.64,0.23,1.11,1.58,0.63
2025-01-01 12:00:00,226.97,0.03,0.34,53.64,0.23,1.09,1.51,0.65
2025-01-01 13:00:00,230.31,0.04,0.49,54.36,0.3,1.29,1.75,0.72
2025-01-01 14:00:00,240.33,0.08,0.9,57.22,0.75,2.0,2.61,0.79
2025-01-01 15:00:00,260.35,0.12,1.71,62.23,2.21,4.57,5.71,0.93
2025-01-01 16:00:00,283.72,0.08,2.21,64.37,3.31,7.82,9.45,1.09
2025-01-01 17:00:00,297.07,0.02,2.59,62.23,3.93,10.08,11.88,1.14
2025-01-01 18:00:00,313.76,0.0,3.13,57.94,3.99,10.58,12.34,1.31
2025-01-01 19:00:00,323.77,0.0,3.38,52.93,3.31,10.15,11.84,1.42
2025-01-01 20:00:00,340.46,0.0,3.43,47.21,2.74,9.45,11.04,1.52
2025-01-01 21:00:00,370.5,0.0,3.98,40.41,2.53,9.29,10.83,1.65
2025-01-01 22:00:00,403.88,0.0,4.33,33.97,1.7,9.31,10.94,1.68
2025-01-01 23:00:00,407.22,0.0,4.07,29.33,1.03,8.49,10.02,1.49
2025-01-02 00:00:00,387.19,0.0,3.43,26.82,0.91,7.39,8.62,1.2
2025-01-02 01:00:00,367.16,0.0,2.96,27.89,0.98,6.31,7.33,1.11
2025-01-02 02:00:00,353.81,0.0,2.68,30.76,0.83,5.35,6.27,1.14
2025-01-02 03:00:00,347.14,0.0,2.61,32.9,0.59,4.83,5.69,1.16
2025-01-02 04:00:00,337.12,0.0,2.53,35.41,0.45,4.44,5.35,1.04
2025-01-02 05:00:00,330.45,0.0,2.4,38.27,0.39,4.05,4.97,0.94
2025-01-02 06:00:00,330.45,0.0,2.36,41.48,0.38,3.78,4.8,0.97
2025-01-02 07:00:00,333.79,0.0,2.4,42.2,0.44,3.77,5.06,1.08
2025-01-02 08:00:00,333.79,0.02,2.21,43.99,0.51,3.55,5.06,1.17
2025-01-02 09:00:00,307.08,0.06,1.5,51.5,0.52,2.51,3.77,1.09
2025-01-02 10:00:00,297.07,0.11,1.14,57.22,0.57,2.13,3.25,1.31
2025-01-02 11:00:00,300.41,0.18,1.35,66.52,1.31,2.8,3.96,1.61
2025-01-02 12:00:00,267.03,0.17,1.35,77.25,2.56,2.62,3.23,0.92
2025-01-02 13:00:00,260.35,0.1,1.14,77.25,2.15,2.78,3.23,0.78
2025-01-02 14:00:00,267.03,0.05,1.01,74.39,1.48,3.11,3.59,0.82
2025-01-02 15:00:00,277.04,0.03,1.5,67.95,1.82,3.74,4.41,0.9
