Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,257.02,0.1,9.25,33.62,8.7,3.66,6.59,1.16
2025-01-01 09:00:00,267.03,0.28,9.94,36.84,9.54,3.78,6.08,0.96
2025-01-01 10:00:00,277.04,0.38,10.2,41.13,9.42,3.98,5.83,0.89
2025-01-01 11:00:00,280.38,0.43,9.6,47.21,9.06,3.9,5.49,0.84
2025-01-01 12:00:00,260.35,0.35,7.11,55.07,7.21,3.14,4.26,0.66
2025-01-01 13:00:00,247.0,0.32,5.57,59.37,6.32,2.56,3.39,0.57
2025-01-01 14:00:00,243.66,0.33,5.23,60.8,6.2,2.42,3.18,0.55
2025-01-01 15:00:00,250.34,0.32,6.34,59.37,6.68,2.74,3.64,0.66
2025-01-01 16:00:00,263.69,0.24,8.31,55.07,7.75,3.24,4.36,0.8
2025-01-01 17:00:00,273.7,0.07,8.83,51.5,7.51,3.19,4.32,0.82
2025-01-01 18:00:00,280.38,0.0,8.74,48.64,7.03,3.07,4.4,0.9
2025-01-01 19:00:00,293.73,0.0,8.74,47.21,6.68,3.23,5.12,1.12
2025-01-01 20:00:00,307.08,0.0,9.42,44.7,6.79,3.68,6.21,1.3
2025-01-01 21:00:00,323.77,0.0,9.94,42.56,6.74,4.24,7.46,1.49
2025-01-01 22:00:00,330.45,0.0,9.77,41.13,6.38,4.71,8.75,1.71
2025-01-01 23:00:00,330.45,0.0,9.6,40.05,6.14,4.98,9.58,1.79
2025-01-02 00:00:00,327.11,0.0,9.42,39.34,6.14,5.2,9.99,1.74
2025-01-02 01:00:00,317.1,0.0,9.17,38.27,6.2,5.52,10.36,1.65
2025-01-02 02:00:00,310.42,0.0,8.74,37.55,6.14,5.78,10.66,1.68
2025-01-02 03:00:00,300.41,0.0,8.57,37.55,6.26,5.93,10.88,1.65
2025-01-02 04:00:00,290.39,0.0,8.65,37.19,6.68,5.86,10.71,1.54
2025-01-02 05:00:00,280.38,0.0,8.48,37.19,6.91,5.59,10.04,1.46
2025-01-02 06:00:00,277.04,0.0,8.14,37.19,7.03,5.3,9.39,1.42
2025-01-02 07:00:00,277.04,0.02,8.23,36.84,6.91,4.65,8.4,1.42
2025-01-02 08:00:00,283.72,0.71,8.23,38.62,6.85,3.97,7.03,1.31
2025-01-02 09:00:00,283.72,1.56,7.97,43.63,7.33,3.28,5.51,1.06
2025-01-02 10:00:00,287.06,1.69,8.4,48.64,7.99,2.98,4.73,0.98
2025-01-02 11:00:00,290.39,1.62,9.17,53.64,9.06,3.21,5.06,1.09
2025-01-02 12:00:00,270.37,1.1,7.8,57.94,8.11,2.8,4.14,0.84
2025-01-02 13:00:00,263.69,0.91,7.8,58.65,7.99,2.75,3.84,0.74
2025-01-02 14:00:00,260.35,0.78,7.88,58.65,7.87,2.75,3.77,0.75
2025-01-02 15:00:00,260.35,0.32,8.48,58.65,7.63,2.78,3.79,0.78
2025-01-02 16:00:00,257.02,0.09,9.0,59.37,7.99,2.89,4.05,0.87
2025-01-02 17:00:00,253.68,0.02,9.51,54.36,8.11,2.8,4.09,0.97
2025-01-02 18:00:00,280.38,0.0,10.97,46.49,9.66,3.38,5.18,1.46
2025-01-02 19:00:00,313.76,0.0,11.82,38.62,10.01,4.12,6.32,1.71
2025-01-02 20:00:00,340.46,0.0,12.17,33.26,10.25,4.83,7.4,1.74
2025-01-02 21:00:00,367.16,0.0,12.85,28.25,10.25,5.87,8.82,1.8
2025-01-02 22:00:00,390.53,0.0,14.22,22.89,9.89,7.07,10.11,1.74
2025-01-02 23:00:00,400.54,0.0,15.77,18.6,9.3,7.77,10.56,1.57
2025-01-03 00:00:00,387.19,0.0,16.96,15.91,8.46,7.73,10.18,1.38
2025-01-03 01:00:00,383.85,0.0,16.11,14.48,7.51,7.47,9.82,1.5
2025-01-03 02:00:00,370.5,0.0,13.88,14.66,6.26,7.02,9.29,1.6
2025-01-03 03:00:00,347.14,0.0,11.14,15.74,4.77,6.54,8.8,1.68
2025-01-03 04:00:00,320.43,0.0,9.25,16.99,3.76,5.9,8.43,1.85
2025-01-03 05:00:00,297.07,0.0,8.4,18.6,3.61,5.59,8.46,2.03
2025-01-03 06:00:00,280.38,0.0,9.42,19.85,4.29,6.81,10.24,2.06
2025-01-03 07:00:00,280.38,0.01,12.0,18.6,5.54,10.03,14.03,1.95
2025-01-03 08:00:00,283.72,0.8,14.39,17.34,7.21,13.09,17.14,1.77
2025-01-03 09:00:00,290.39,2.29,15.25,18.42,9.42,13.77,17.02,1.54
2025-01-03 10:00:00,297.07,3.13,15.25,26.46,10.49,13.0,15.53,1.39
2025-01-03 11:00:00,310.42,2.43,15.25,47.92,11.21,13.03,15.49,1.41
2025-01-03 12:00:00,317.1,1.3,14.57,77.25,11.32,14.12,16.72,1.2
2025-01-03 13:00:00,317.1,1.01,14.91,91.55,12.16,15.23,17.79,0.97
2025-01-03 14:00:00,320.43,0.99,17.65,92.98,13.83,16.58,19.14,0.9
2025-01-03 15:00:00,323.77,0.64,19.54,85.12,14.42,16.07,18.43,0.78
2025-01-03 16:00:00,320.43,0.24,20.05,69.38,13.35,13.57,15.57,0.66
2025-01-03 17:00:00,313.76,0.05,21.76,53.64,13.59,11.91,13.62,0.56
2025-01-03 18:00:00,330.45,0.0,25.7,38.27,15.97,11.58,13.41,0.73
2025-01-03 19:00:00,367.16,0.0,30.5,27.54,16.93,12.64,14.92,0.92
2025-01-03 20:00:00,397.21,0.0,33.59,21.82,14.66,13.58,16.09,0.86
2025-01-03 21:00:00,403.88,0.0,34.27,19.31,10.61,13.8,16.31,0.74
2025-01-03 22:00:00,400.54,0.0,31.87,19.31,7.99,14.1,16.61,0.67
2025-01-03 23:00:00,410.56,0.0,27.76,19.49,6.85,15.25,17.85,0.71
2025-01-04 00:00:00,447.27,0.0,25.7,18.24,7.03,18.44,21.39,0.72
2025-01-04 01:00:00,527.38,0.0,26.73,14.66,7.87,24.21,27.95,1.01
2025-01-04 02:00:00,614.17,0.0,29.82,10.37,8.82,30.51,35.06,1.28
2025-01-04 03:00:00,694.27,0.0,34.96,6.79,9.66,37.03,42.7,1.42
2025-01-04 04:00:00,774.38,0.04,42.5,3.67,11.32,44.96,52.55,1.6
2025-01-04 05:00:00,921.25,0.82,51.41,0.89,14.78,56.28,66.2,1.93
2025-01-04 06:00:00,1001.36,2.88,52.09,0.06,17.17,59.92,70.31,2.06
2025-01-04 07:00:00,654.22,1.05,34.27,2.53,12.04,32.85,39.75,1.52
2025-01-04 08:00:00,313.76,0.23,12.51,16.09,6.14,8.36,11.87,1.19
2025-01-04 09:00:00,236.99,0.52,6.08,26.46,5.13,2.23,4.46,1.11
2025-01-04 10:00:00,257.02,0.53,5.06,42.56,5.07,2.12,4.23,1.17
2025-01-04 11:00:00,287.06,0.37,4.28,67.23,5.66,3.5,5.86,1.3
2025-01-04 12:00:00,283.72,0.21,2.78,88.69,6.2,4.9,6.66,0.96
2025-01-04 13:00:00,287.06,0.19,2.4,100.14,7.33,6.69,8.28,0.9
2025-01-04 14:00:00,287.06,0.21,2.44,103.0,7.99,7.49,9.18,0.93
2025-01-04 15:00:00,287.06,0.21,2.91,103.0,8.23,7.32,9.22,0.99
2025-01-04 16:00:00,287.06,0.17,4.11,97.27,8.58,6.46,8.52,1.16
2025-01-04 17:00:00,290.39,0.06,5.65,85.12,8.7,5.23,7.33,1.25
2025-01-04 18:00:00,290.39,0.0,6.77,72.24,8.23,4.39,6.63,1.39
2025-01-04 19:00:00,297.07,0.0,7.28,65.09,7.63,4.29,6.85,1.5
2025-01-04 20:00:00,297.07,0.0,7.45,62.94,7.51,4.94,7.85,1.52
2025-01-04 21:00:00,297.07,0.0,7.11,63.66,7.33,6.02,9.17,1.5
2025-01-04 22:00:00,297.07,0.0,6.68,65.8,7.15,6.93,10.2,1.41
2025-01-04 23:00:00,300.41,0.0,6.51,66.52,7.27,7.26,10.47,1.31
2025-01-05 00:00:00,293.73,0.0,6.6,63.66,7.51,6.33,9.09,1.17
2025-01-05 01:00:00,277.04,0.0,6.6,53.64,7.57,4.77,7.05,1.11
2025-01-05 02:00:00,253.68,0.0,6.17,44.35,7.09,3.6,5.53,1.12
2025-01-05 03:00:00,263.69,0.0,6.0,51.5,6.79,3.92,6.0,1.3
2025-01-05 04:00:00,303.75,0.0,5.83,66.52,6.56,5.04,7.52,1.57
2025-01-05 05:00:00,317.1,0.0,5.31,76.53,6.32,5.19,7.78,1.68
2025-01-05 06:00:00,297.07,0.0,4.71,80.11,5.9,3.88,6.17,1.52
2025-01-05 07:00:00,280.38,0.0,4.67,77.96,5.72,2.82,4.89,1.36
2025-01-05 08:00:00,273.7,0.1,5.36,73.67,5.96,2.53,4.71,1.3
2025-01-05 09:00:00,270.37,0.35,5.74,71.53,6.74,2.56,5.1,1.27
2025-01-05 10:00:00,267.03,0.41,5.44,75.1,7.15,2.64,5.29,1.23
2025-01-05 11:00:00,257.02,0.33,4.33,84.4,7.15,3.11,5.52,1.19
2025-01-05 12:00:00,253.68,0.23,3.17,94.41,6.85,3.78,5.9,1.14
2025-01-05 13:00:00,250.34,0.23,2.74,97.27,6.44,3.95,5.8,1.09
2025-01-05 14:00:00,250.34,0.25,2.63,100.14,6.38,3.81,5.47,1.0
2025-01-05 15:00:00,250.34,0.26,2.87,100.14,6.5,3.76,5.38,0.98
2025-01-05 16:00:00,257.02,0.24,3.94,95.84,7.03,3.92,5.68,1.09
2025-01-05 17:00:00,267.03,0.13,5.83,85.83,7.87,4.15,6.12,1.19
2025-01-05 18:00:00,277.04,0.01,7.88,73.67,8.46,4.39,6.51,1.22
2025-01-05 19:00:00,287.06,0.0,8.83,65.8,8.94,5.0,7.42,1.27
2025-01-05 20:00:00,290.39,0.0,8.65,62.94,8.94,5.73,8.59,1.28
2025-01-05 21:00:00,287.06,0.0,8.05,62.23,8.58,5.92,9.07,1.3
2025-01-05 22:00:00,287.06,0.0,7.8,61.51,8.46,5.98,9.43,1.35
2025-01-05 23:00:00,290.39,0.0,7.97,60.8,8.82,6.19,10.02,1.46
2025-01-06 00:00:00,293.73,0.0,8.23,60.08,9.3,6.6,10.81,1.54
2025-01-06 01:00:00,303.75,0.0,8.65,59.37,10.01,7.38,12.2,1.63
2025-01-06 02:00:00,320.43,0.0,9.17,57.94,10.61,8.45,14.22,1.79
2025-01-06 03:00:00,360.49,0.0,10.37,55.07,11.32,10.64,18.22,2.18
2025-01-06 04:00:00,423.91,0.0,12.51,51.5,11.92,14.12,24.0,2.75
2025-01-06 05:00:00,487.33,0.0,14.74,47.92,12.04,17.73,29.01,3.1
2025-01-06 06:00:00,527.38,0.0,16.28,45.78,11.8,20.87,32.74,3.17
2025-01-06 07:00:00,547.41,0.02,17.48,45.42,11.44,22.65,34.38,3.1
2025-01-06 08:00:00,547.41,0.77,17.31,50.07,10.85,22.04,33.08,3.01
