Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,1081.47,10.39,14.39,4.52,3.55,33.6,39.83,6.14
2025-01-01 09:00:00,934.6,7.6,14.91,18.6,3.49,28.0,33.57,6.14
2025-01-01 10:00:00,774.38,3.27,13.88,45.78,3.16,23.12,27.84,6.46
2025-01-01 11:00:00,620.84,1.16,8.74,80.11,2.65,19.85,23.58,6.14
2025-01-01 12:00:00,387.19,0.23,2.78,74.39,1.16,7.43,8.98,2.94
2025-01-01 13:00:00,320.43,0.14,1.99,64.37,0.8,3.09,3.97,2.09
2025-01-01 14:00:00,283.72,0.12,1.69,57.22,0.6,1.44,2.0,1.6
2025-01-01 15:00:00,267.03,0.11,1.54,52.93,0.49,0.91,1.28,1.27
2025-01-01 16:00:00,270.37,0.09,1.86,51.5,0.5,1.02,1.35,1.25
2025-01-01 17:00:00,287.06,0.03,2.57,50.78,0.58,1.42,1.75,1.35
2025-01-01 18:00:00,337.12,0.0,5.18,47.92,1.06,2.62,3.17,2.15
2025-01-01 19:00:00,397.21,0.0,8.05,41.84,1.53,4.25,5.16,3.04
2025-01-01 20:00:00,447.27,0.0,9.77,36.84,1.77,5.84,7.11,3.36
2025-01-01 21:00:00,500.68,0.0,11.82,31.11,2.0,7.87,9.61,3.8
2025-01-01 22:00:00,567.44,0.0,13.88,24.68,2.18,10.32,12.67,4.12
2025-01-01 23:00:00,614.17,0.01,15.42,19.49,2.15,12.36,15.09,4.18
2025-01-02 00:00:00,647.54,0.02,15.94,16.27,2.0,13.81,16.76,4.43
2025-01-02 01:00:00,660.9,0.02,15.42,14.66,1.74,14.83,17.85,4.62
2025-01-02 02:00:00,674.25,0.03,14.74,13.23,1.51,15.68,18.62,4.75
2025-01-02 03:00:00,714.3,0.05,14.91,11.35,1.37,17.36,20.23,4.88
2025-01-02 04:00:00,774.38,0.13,15.94,8.58,1.33,20.18,23.12,5.26
2025-01-02 05:00:00,841.14,0.32,16.96,5.68,1.36,23.22,26.11,5.64
