Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,270.37,0.17,2.59,33.62,1.28,4.76,6.09,0.91
2025-01-01 09:00:00,277.04,0.26,2.51,37.55,1.43,4.72,6.26,0.89
2025-01-01 10:00:00,277.04,0.22,2.68,41.84,1.65,4.46,6.17,0.94
2025-01-01 11:00:00,257.02,0.14,2.55,44.7,1.59,3.43,5.01,0.85
2025-01-01 12:00:00,230.31,0.08,2.23,46.49,1.33,2.81,4.07,0.6
2025-01-01 13:00:00,226.97,0.07,2.31,47.92,1.34,3.33,4.46,0.5
2025-01-01 14:00:00,233.65,0.07,2.48,49.35,1.46,4.32,5.33,0.5
2025-01-01 15:00:00,240.33,0.05,2.48,47.92,1.37,4.35,5.21,0.5
2025-01-01 16:00:00,243.66,0.03,2.66,44.35,1.37,3.5,4.32,0.59
2025-01-01 17:00:00,250.34,0.01,2.96,40.77,1.49,2.68,3.51,0.68
2025-01-01 18:00:00,263.69,0.0,3.56,37.55,1.76,2.36,3.18,0.82
2025-01-01 19:00:00,260.35,0.0,3.51,36.12,1.68,2.08,2.87,0.76
2025-01-01 20:00:00,247.0,0.0,2.96,36.48,1.43,1.79,2.51,0.62
2025-01-01 21:00:00,263.69,0.0,3.47,35.05,1.43,2.21,3.13,0.82
2025-01-01 22:00:00,280.38,0.0,3.9,32.9,1.4,2.76,3.88,1.03
2025-01-01 23:00:00,280.38,0.0,3.9,32.19,1.3,2.96,4.07,1.06
2025-01-02 00:00:00,273.7,0.0,3.68,31.83,1.18,2.87,3.88,1.08
2025-01-02 01:00:00,277.04,0.0,3.86,30.76,1.21,3.15,4.21,1.33
2025-01-02 02:00:00,287.06,0.0,4.07,29.33,1.27,3.74,4.92,1.65
2025-01-02 03:00:00,273.7,0.0,3.47,28.97,1.13,3.55,4.7,1.44
2025-01-02 04:00:00,270.37,0.0,3.34,27.89,1.07,3.78,4.93,1.44
2025-01-02 05:00:00,277.04,0.0,3.43,26.82,1.12,4.27,5.43,1.57
2025-01-02 06:00:00,283.72,0.0,3.68,25.75,1.24,4.65,5.89,1.87
2025-01-02 07:00:00,273.7,0.03,3.3,25.03,1.19,4.1,5.46,1.39
2025-01-02 08:00:00,263.69,0.27,2.59,26.46,1.15,3.58,5.08,1.01
2025-01-02 09:00:00,263.69,0.41,2.42,32.19,1.37,3.57,5.36,1.04
2025-01-02 10:00:00,253.68,0.35,2.14,39.34,1.56,2.92,4.75,1.03
2025-01-02 11:00:00,236.99,0.28,1.78,45.06,1.58,2.09,3.75,0.97
2025-01-02 12:00:00,223.64,0.2,1.48,47.92,1.4,1.66,3.16,0.84
2025-01-02 13:00:00,223.64,0.17,1.41,49.35,1.37,1.61,2.95,0.74
2025-01-02 14:00:00,226.97,0.16,1.5,50.78,1.49,2.04,3.18,0.7
2025-01-02 15:00:00,230.31,0.11,1.65,52.93,1.53,2.79,3.78,0.71
2025-01-02 16:00:00,233.65,0.08,2.08,53.64,1.61,3.2,4.24,0.81
2025-01-02 17:00:00,240.33,0.03,2.78,52.21,1.79,3.38,4.56,0.97
2025-01-02 18:00:00,267.03,0.0,4.37,48.64,2.21,3.73,5.21,1.5
2025-01-02 19:00:00,297.07,0.0,6.08,45.42,2.59,4.31,6.51,2.34
2025-01-02 20:00:00,313.76,0.0,7.03,41.48,2.77,4.8,7.85,3.17
2025-01-02 21:00:00,337.12,0.0,8.05,36.84,2.98,5.52,9.08,3.99
2025-01-02 22:00:00,353.81,0.0,8.65,33.26,3.01,6.02,9.49,3.96
2025-01-02 23:00:00,363.83,0.0,9.17,30.4,2.89,6.24,9.15,3.32
2025-01-03 00:00:00,367.16,0.0,9.42,29.33,2.68,6.38,8.53,2.69
2025-01-03 01:00:00,370.5,0.0,9.51,28.97,2.5,6.6,8.37,2.22
2025-01-03 02:00:00,367.16,0.0,8.91,28.97,2.21,6.59,8.09,1.6
2025-01-03 03:00:00,340.46,0.0,6.94,31.11,1.61,5.99,7.32,1.12
2025-01-03 04:00:00,333.79,0.0,6.0,31.11,1.39,5.97,7.37,1.11
2025-01-03 05:00:00,330.45,0.0,5.44,30.04,1.3,6.22,7.78,1.16
2025-01-03 06:00:00,347.14,0.0,5.57,27.89,1.65,6.98,8.91,1.46
2025-01-03 07:00:00,377.18,0.05,6.17,25.39,2.24,8.14,10.57,1.79
2025-01-03 08:00:00,400.54,0.42,6.17,25.03,2.41,9.2,12.05,1.92
2025-01-03 09:00:00,447.27,0.91,7.11,29.33,2.89,11.13,14.84,2.75
2025-01-03 10:00:00,487.33,1.05,7.54,52.21,3.7,14.53,19.34,4.18
2025-01-03 11:00:00,514.03,0.63,5.91,95.84,4.41,20.27,25.76,5.64
2025-01-03 12:00:00,527.38,0.3,3.77,138.76,4.77,27.58,33.77,6.9
2025-01-03 13:00:00,540.73,0.2,3.17,160.22,4.89,34.08,40.79,7.73
2025-01-03 14:00:00,540.73,0.17,3.38,167.37,5.19,37.74,44.62,8.36
2025-01-03 15:00:00,540.73,0.16,3.68,168.8,5.3,39.59,46.47,8.36
2025-01-03 16:00:00,540.73,0.14,4.11,170.23,5.42,42.51,49.56,8.74
2025-01-03 17:00:00,560.76,0.08,5.27,168.8,5.66,45.56,52.85,9.37
2025-01-03 18:00:00,587.46,0.01,7.54,144.48,6.02,43.69,50.85,9.25
2025-01-03 19:00:00,554.08,0.0,8.65,113.01,5.78,34.74,41.45,6.84
2025-01-03 20:00:00,453.95,0.0,7.45,87.98,4.77,23.6,29.52,3.67
2025-01-03 21:00:00,337.12,0.0,4.71,68.66,3.73,12.74,16.39,1.52
2025-01-03 22:00:00,327.11,0.0,4.67,53.64,2.95,9.24,12.38,1.46
2025-01-03 23:00:00,330.45,0.0,4.93,43.27,2.44,7.48,10.47,1.68
2025-01-04 00:00:00,327.11,0.0,4.97,37.55,2.0,6.5,9.09,1.66
2025-01-04 01:00:00,337.12,0.0,5.23,33.97,1.76,6.84,9.22,1.69
2025-01-04 02:00:00,347.14,0.0,5.4,31.83,1.67,7.88,10.22,1.79
2025-01-04 03:00:00,333.79,0.0,4.67,31.83,1.46,7.87,9.99,1.6
2025-01-04 04:00:00,327.11,0.0,4.24,31.47,1.36,8.05,10.02,1.52
2025-01-04 05:00:00,330.45,0.0,4.24,31.47,1.39,8.57,10.49,1.63
2025-01-04 06:00:00,343.8,0.0,4.63,32.9,1.55,9.68,11.64,1.93
2025-01-04 07:00:00,330.45,0.03,4.28,39.34,1.59,10.11,12.08,1.87
2025-01-04 08:00:00,303.75,0.23,3.13,50.07,1.48,10.56,12.51,1.52
2025-01-04 09:00:00,300.41,0.26,2.42,62.23,1.58,12.1,14.16,1.3
2025-01-04 10:00:00,307.08,0.18,2.01,70.1,1.73,13.13,15.26,1.16
2025-01-04 11:00:00,290.39,0.11,1.59,68.66,1.49,10.42,12.31,1.01
2025-01-04 12:00:00,260.35,0.06,1.29,60.08,1.07,5.7,7.01,0.72
2025-01-04 13:00:00,243.66,0.05,1.46,52.93,1.07,3.49,4.52,0.66
2025-01-04 14:00:00,240.33,0.03,1.86,48.64,1.34,3.11,4.02,0.73
2025-01-04 15:00:00,243.66,0.01,2.18,47.92,1.49,3.63,4.57,0.8
2025-01-04 16:00:00,253.68,0.02,2.42,47.92,1.59,4.53,5.5,0.83
2025-01-04 17:00:00,257.02,0.02,2.53,47.92,1.62,5.26,6.14,0.77
2025-01-04 18:00:00,263.69,0.0,2.74,47.21,1.67,5.78,6.67,0.81
2025-01-04 19:00:00,267.03,0.0,2.91,43.99,1.53,5.98,7.0,0.85
2025-01-04 20:00:00,263.69,0.0,2.7,40.77,1.39,6.33,7.41,0.74
2025-01-04 21:00:00,267.03,0.0,2.78,38.27,1.37,6.92,7.98,0.76
2025-01-04 22:00:00,267.03,0.0,2.78,38.27,1.31,6.79,7.86,0.82
2025-01-04 23:00:00,260.35,0.0,2.74,38.27,1.22,6.21,7.28,0.93
2025-01-05 00:00:00,257.02,0.0,2.63,38.98,1.12,5.38,6.34,0.97
2025-01-05 01:00:00,263.69,0.0,2.91,38.62,1.1,5.29,6.23,1.17
2025-01-05 02:00:00,270.37,0.0,3.08,38.62,1.04,5.28,6.2,1.28
2025-01-05 03:00:00,263.69,0.0,2.74,38.98,0.92,4.76,5.69,1.08
2025-01-05 04:00:00,263.69,0.0,2.78,37.55,0.87,4.91,5.94,1.04
2025-01-05 05:00:00,270.37,0.0,2.91,35.41,0.87,5.32,6.42,1.11
2025-01-05 06:00:00,287.06,0.0,3.43,31.83,0.95,6.07,7.18,1.27
2025-01-05 07:00:00,283.72,0.0,3.34,29.68,0.97,5.87,6.99,1.11
2025-01-05 08:00:00,280.38,0.03,3.17,27.54,1.0,5.65,6.84,0.93
2025-01-05 09:00:00,290.39,0.1,3.3,27.54,1.21,5.8,7.04,0.92
2025-01-05 10:00:00,277.04,0.15,2.72,33.26,1.28,4.7,5.76,0.78
2025-01-05 11:00:00,250.34,0.16,2.08,40.41,1.22,3.25,4.17,0.7
2025-01-05 12:00:00,223.64,0.13,1.44,44.7,0.98,2.04,2.87,0.52
2025-01-05 13:00:00,205.28,0.09,1.08,44.7,0.8,1.1,1.8,0.4
2025-01-05 14:00:00,201.94,0.08,1.0,43.99,0.72,0.81,1.45,0.42
2025-01-05 15:00:00,198.6,0.06,0.88,43.27,0.62,0.8,1.38,0.38
2025-01-05 16:00:00,196.93,0.04,0.87,42.56,0.61,0.86,1.4,0.34
2025-01-05 17:00:00,195.26,0.01,0.9,42.2,0.72,1.09,1.61,0.3
2025-01-05 18:00:00,198.6,0.0,0.97,41.84,0.89,1.38,1.89,0.31
2025-01-05 19:00:00,200.27,0.0,1.04,41.84,1.13,1.8,2.41,0.32
2025-01-05 20:00:00,200.27,0.0,1.01,41.48,1.3,2.01,2.63,0.3
2025-01-05 21:00:00,203.61,0.0,1.16,40.41,1.4,2.12,2.77,0.39
2025-01-05 22:00:00,206.95,0.0,1.23,39.34,1.37,2.13,2.82,0.43
2025-01-05 23:00:00,208.62,0.0,1.31,38.62,1.3,2.16,2.85,0.45
2025-01-06 00:00:00,210.29,0.0,1.33,37.91,1.22,2.18,2.87,0.44
2025-01-06 01:00:00,223.64,0.0,1.8,36.12,1.25,2.64,3.49,0.59
2025-01-06 02:00:00,233.65,0.0,2.18,34.33,1.27,3.15,4.14,0.71
2025-01-06 03:00:00,243.66,0.0,2.36,32.9,1.16,3.74,4.74,0.62
2025-01-06 04:00:00,257.02,0.0,2.63,31.47,1.13,4.35,5.39,0.64
2025-01-06 05:00:00,257.02,0.0,2.63,31.11,1.15,4.48,5.52,0.65
2025-01-06 06:00:00,267.03,0.0,2.87,29.68,1.28,4.69,5.83,0.75
2025-01-06 07:00:00,270.37,0.01,3.13,28.61,1.42,4.83,6.16,0.84
2025-01-06 08:00:00,280.38,0.21,3.13,29.68,1.56,5.1,6.66,0.89
2025-01-06 09:00:00,277.04,0.36,2.61,36.84,1.97,5.54,7.29,0.94
2025-01-06 10:00:00,257.02,0.26,1.71,47.21,2.29,5.75,7.38,0.77
2025-01-06 11:00:00,233.65,0.18,1.09,52.93,2.41,5.57,6.98,0.57
2025-01-06 12:00:00,216.96,0.12,0.74,53.64,2.21,5.21,6.47,0.35
2025-01-06 13:00:00,213.62,0.1,0.79,51.5,2.06,4.74,5.89,0.31
2025-01-06 14:00:00,213.62,0.1,1.02,47.92,2.0,4.27,5.32,0.34
2025-01-06 15:00:00,211.95,0.05,1.25,45.42,1.97,4.45,5.5,0.32
2025-01-06 16:00:00,213.62,0.03,1.5,43.63,2.03,5.29,6.34,0.28
2025-01-06 17:00:00,220.3,0.01,1.82,42.56,2.32,7.2,8.27,0.19
2025-01-06 18:00:00,240.33,0.0,2.27,43.27,3.31,12.37,13.61,0.0
2025-01-06 19:00:00,253.68,0.0,2.4,43.99,4.41,18.51,20.1,0.0
2025-01-06 20:00:00,253.68,0.0,2.27,44.35,4.77,20.44,22.25,0.0
2025-01-06 21:00:00,257.02,0.0,2.36,43.63,4.35,20.08,21.79,0.0
2025-01-06 22:00:00,260.35,0.0,2.36,43.63,4.05,20.85,22.4,0.0
2025-01-06 23:00:00,253.68,0.0,2.14,43.63,3.46,19.8,21.17,0.0
2025-01-07 00:00:00,243.66,0.0,2.03,42.2,2.56,15.95,17.11,0.0
2025-01-07 01:00:00,233.65,0.0,1.95,37.91,1.97,10.71,11.71,0.21
2025-01-07 02:00:00,220.3,0.0,1.69,34.69,1.91,6.12,6.98,0.47
2025-01-07 03:00:00,211.95,0.0,1.36,33.97,2.15,4.2,5.05,0.47
2025-01-07 04:00:00,211.95,0.0,1.3,33.62,2.41,4.17,5.03,0.43
2025-01-07 05:00:00,211.95,0.0,1.37,32.9,2.47,4.46,5.34,0.42
2025-01-07 06:00:00,213.62,0.0,1.52,32.19,2.35,4.73,5.55,0.44
2025-01-07 07:00:00,216.96,0.02,1.61,32.19,2.29,4.85,5.76,0.4
2025-01-07 08:00:00,216.96,0.2,1.5,33.26,2.38,4.96,5.99,0.34
2025-01-07 09:00:00,223.64,0.33,1.52,37.19,2.59,5.11,6.3,0.42
2025-01-07 10:00:00,223.64,0.23,1.41,41.13,2.56,4.81,6.01,0.46
2025-01-07 11:00:00,216.96,0.13,1.24,42.2,2.44,4.28,5.44,0.44
2025-01-07 12:00:00,203.61,0.09,0.92,42.2,2.32,3.74,4.81,0.25
2025-01-07 13:00:00,201.94,0.1,0.79,43.63,2.47,3.6,4.64,0.2
2025-01-07 14:00:00,203.61,0.12,0.77,45.42,2.53,3.56,4.57,0.23
2025-01-07 15:00:00,200.27,0.11,0.77,45.42,2.56,3.54,4.61,0.22
2025-01-07 16:00:00,200.27,0.08,0.89,42.92,2.53,3.42,4.46,0.22
2025-01-07 17:00:00,200.27,0.04,1.08,40.05,2.47,3.28,4.21,0.24
2025-01-07 18:00:00,208.62,0.0,1.39,37.55,2.41,3.1,3.93,0.32
2025-01-07 19:00:00,213.62,0.0,1.59,35.05,2.26,3.15,4.02,0.4
2025-01-07 20:00:00,216.96,0.0,1.54,33.26,2.21,3.21,4.09,0.4
2025-01-07 21:00:00,220.3,0.0,1.65,31.83,2.35,3.6,4.51,0.47
2025-01-07 22:00:00,220.3,0.0,1.69,31.83,2.29,3.92,4.85,0.5
2025-01-07 23:00:00,220.3,0.0,1.67,32.54,2.06,3.84,4.71,0.5
2025-01-08 00:00:00,223.64,0.0,1.69,33.62,1.85,3.71,4.45,0.47
2025-01-08 01:00:00,230.31,0.0,1.82,33.62,1.7,3.68,4.33,0.52
2025-01-08 02:00:00,230.31,0.0,1.82,32.54,1.58,3.54,4.14,0.57
2025-01-08 03:00:00,226.97,0.0,1.78,30.4,1.46,3.3,3.97,0.59
2025-01-08 04:00:00,226.97,0.0,1.86,28.61,1.37,3.05,3.76,0.64
2025-01-08 05:00:00,230.31,0.0,1.95,27.54,1.24,2.62,3.32,0.69
2025-01-08 06:00:00,230.31,0.0,2.01,28.25,1.09,2.01,2.66,0.78
2025-01-08 07:00:00,230.31,0.0,2.03,29.33,1.04,1.63,2.34,0.7
2025-01-08 08:00:00,230.31,0.05,1.99,30.76,1.07,1.4,2.17,0.6
2025-01-08 09:00:00,240.33,0.13,2.33,31.11,1.33,1.57,2.43,0.7
2025-01-08 10:00:00,243.66,0.17,2.25,32.54,1.33,1.62,2.42,0.71
2025-01-08 11:00:00,233.65,0.15,1.8,34.69,1.15,1.55,2.28,0.61
2025-01-08 12:00:00,220.3,0.13,1.36,37.19,0.93,1.41,2.03,0.42
2025-01-08 13:00:00,216.96,0.11,1.3,40.41,0.95,1.38,1.98,0.39
2025-01-08 14:00:00,216.96,0.1,1.37,42.2,1.03,1.43,2.03,0.44
2025-01-08 15:00:00,216.96,0.08,1.41,43.27,1.0,1.46,2.05,0.44
2025-01-08 16:00:00,223.64,0.05,1.65,42.2,1.01,1.55,2.14,0.46
2025-01-08 17:00:00,230.31,0.02,2.03,39.34,1.04,1.59,2.17,0.47
2025-01-08 18:00:00,243.66,0.0,2.61,36.84,1.12,1.65,2.25,0.56
2025-01-08 19:00:00,243.66,0.0,2.66,34.69,1.03,1.52,2.14,0.58
2025-01-08 20:00:00,236.99,0.0,2.36,33.62,0.92,1.23,1.85,0.51
2025-01-08 21:00:00,233.65,0.0,2.25,32.19,0.95,1.27,1.96,0.58
2025-01-08 22:00:00,233.65,0.0,2.27,30.04,1.01,1.47,2.36,0.71
2025-01-08 23:00:00,236.99,0.0,2.25,27.89,1.03,1.64,2.57,0.73
2025-01-09 00:00:00,236.99,0.0,2.18,27.18,1.04,1.87,2.7,0.67
2025-01-09 01:00:00,240.33,0.0,2.21,27.89,1.1,2.14,2.9,0.68
2025-01-09 02:00:00,243.66,0.0,2.27,28.97,1.16,2.42,3.15,0.72
2025-01-09 03:00:00,236.99,0.0,1.99,32.19,1.15,2.45,3.04,0.59
2025-01-09 04:00:00,243.66,0.0,2.03,36.48,1.21,2.89,3.51,0.59
2025-01-09 05:00:00,250.34,0.0,2.03,41.84,1.28,3.32,3.97,0.59
2025-01-09 06:00:00,257.02,0.0,2.18,44.7,1.42,3.84,4.65,0.73
2025-01-09 07:00:00,257.02,0.0,2.12,48.64,1.58,4.07,5.12,0.66
2025-01-09 08:00:00,260.35,0.03,2.1,52.93,1.67,4.23,5.39,0.54
2025-01-09 09:00:00,267.03,0.1,2.25,54.36,1.82,4.42,5.68,0.59
2025-01-09 10:00:00,263.69,0.14,2.03,56.51,1.76,4.35,5.62,0.61
2025-01-09 11:00:00,257.02,0.14,1.59,60.08,1.67,4.25,5.49,0.59
2025-01-09 12:00:00,247.0,0.1,1.11,61.51,1.43,4.03,5.25,0.45
2025-01-09 13:00:00,233.65,0.1,1.04,54.36,1.28,3.28,4.27,0.4
2025-01-09 14:00:00,226.97,0.1,1.14,47.21,1.25,2.78,3.58,0.39
2025-01-09 15:00:00,230.31,0.06,1.23,49.35,1.33,2.95,3.56,0.32
2025-01-09 16:00:00,243.66,0.03,1.37,56.51,1.64,3.71,4.32,0.32
2025-01-09 17:00:00,250.34,0.01,1.46,62.23,1.71,3.79,4.41,0.32
2025-01-09 18:00:00,260.35,0.0,1.65,62.94,1.76,3.63,4.36,0.43
2025-01-09 19:00:00,263.69,0.0,1.56,59.37,1.77,3.65,4.48,0.45
2025-01-09 20:00:00,257.02,0.0,1.41,55.79,1.67,3.62,4.43,0.4
2025-01-09 21:00:00,253.68,0.0,1.39,55.07,1.58,3.77,4.48,0.41
2025-01-09 22:00:00,253.68,0.0,1.44,56.51,1.51,4.28,5.01,0.45
2025-01-09 23:00:00,260.35,0.0,1.44,58.65,1.53,5.1,5.84,0.46
2025-01-10 00:00:00,260.35,0.0,1.41,60.8,1.55,5.67,6.35,0.43
2025-01-10 01:00:00,253.68,0.0,1.41,61.51,1.53,5.64,6.25,0.4
2025-01-10 02:00:00,250.34,0.0,1.37,62.23,1.55,5.43,5.99,0.39
2025-01-10 03:00:00,243.66,0.0,1.32,61.51,1.52,5.12,5.69,0.35
2025-01-10 04:00:00,240.33,0.0,1.31,60.8,1.51,4.71,5.32,0.36
2025-01-10 05:00:00,236.99,0.0,1.27,58.65,1.46,4.21,4.81,0.36
2025-01-10 06:00:00,226.97,0.0,1.17,57.22,1.45,3.64,4.18,0.36
2025-01-10 07:00:00,223.64,0.0,1.31,52.93,1.52,3.31,3.95,0.39
2025-01-10 08:00:00,226.97,0.0,1.59,49.35,1.59,3.02,3.76,0.4
2025-01-10 09:00:00,226.97,0.01,1.78,48.64,1.61,2.78,3.61,0.42
2025-01-10 10:00:00,223.64,0.02,1.56,50.78,1.55,2.43,3.19,0.39
2025-01-10 11:00:00,223.64,0.02,1.35,55.79,1.49,2.25,2.96,0.39
2025-01-10 12:00:00,220.3,0.02,1.14,59.37,1.37,2.22,2.9,0.34
2025-01-10 13:00:00,223.64,0.04,1.12,61.51,1.36,2.31,3.0,0.36
2025-01-10 14:00:00,223.64,0.06,1.14,62.23,1.37,2.41,3.08,0.4
2025-01-10 15:00:00,223.64,0.05,1.12,63.66,1.42,2.43,3.04,0.38
2025-01-10 16:00:00,226.97,0.02,1.22,65.8,1.48,2.51,3.09,0.36
2025-01-10 17:00:00,233.65,0.01,1.35,66.52,1.45,2.56,3.12,0.34
2025-01-10 18:00:00,236.99,0.0,1.52,67.95,1.52,2.62,3.21,0.37
