Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,370.5,0.33,5.31,23.96,0.97,6.3,7.23,3.42
2025-01-01 09:00:00,367.16,0.45,4.24,41.84,1.01,6.23,7.03,3.23
2025-01-01 10:00:00,350.48,0.32,3.21,57.22,0.9,5.9,6.53,2.72
2025-01-01 11:00:00,327.11,0.21,2.21,65.09,0.73,5.34,5.81,2.22
2025-01-01 12:00:00,323.77,0.19,2.4,68.66,0.74,5.16,5.56,1.96
2025-01-01 13:00:00,343.8,0.26,3.47,75.82,0.98,5.92,6.34,2.12
2025-01-01 14:00:00,350.48,0.29,4.33,77.25,1.22,6.1,6.51,2.28
2025-01-01 15:00:00,347.14,0.27,4.84,75.1,1.4,5.65,6.03,2.56
2025-01-01 16:00:00,357.15,0.22,6.43,70.1,1.71,5.62,6.01,3.01
2025-01-01 17:00:00,383.85,0.1,10.11,62.23,2.35,6.03,6.46,3.64
2025-01-01 18:00:00,433.92,0.01,15.59,52.21,3.4,7.01,7.52,4.94
2025-01-01 19:00:00,453.95,0.0,17.14,47.21,3.55,7.66,8.22,5.7
2025-01-01 20:00:00,413.89,0.0,12.34,47.21,2.35,6.9,7.37,4.5
2025-01-01 21:00:00,367.16,0.0,6.51,45.42,1.12,5.9,6.32,2.6
2025-01-01 22:00:00,390.53,0.0,6.51,36.84,1.03,6.75,7.37,2.53
2025-01-01 23:00:00,440.6,0.0,8.57,26.82,1.15,8.14,9.01,2.69
2025-01-02 00:00:00,494.0,0.0,10.97,19.31,1.22,9.69,10.74,3.01
2025-01-02 01:00:00,520.71,0.0,11.82,15.38,1.19,10.82,12.01,3.67
2025-01-02 02:00:00,500.68,0.0,10.62,14.48,1.03,10.99,12.17,4.24
2025-01-02 03:00:00,480.65,0.0,9.25,14.84,0.86,10.71,11.85,4.12
2025-01-02 04:00:00,480.65,0.0,8.57,14.66,0.74,11.12,12.3,3.77
2025-01-02 05:00:00,494.0,0.0,8.31,13.95,0.69,11.77,13.02,3.58
2025-01-02 06:00:00,487.33,0.0,7.97,13.59,0.69,11.89,13.16,3.58
2025-01-02 07:00:00,487.33,0.17,8.31,14.31,0.89,12.05,13.39,3.58
2025-01-02 08:00:00,507.35,0.89,8.05,30.4,1.33,13.05,14.56,3.8
2025-01-02 09:00:00,500.68,0.36,7.97,50.78,1.61,13.48,14.98,4.02
2025-01-02 10:00:00,460.62,0.33,6.0,62.23,1.49,11.96,13.22,3.42
2025-01-02 11:00:00,417.23,0.24,3.77,73.67,1.22,10.53,11.54,2.66
2025-01-02 12:00:00,370.5,0.14,2.46,76.53,0.87,8.77,9.48,1.8
2025-01-02 13:00:00,363.83,0.11,2.78,76.53,0.81,8.3,8.92,1.61
2025-01-02 14:00:00,363.83,0.07,3.43,73.67,0.87,8.33,8.91,1.6
2025-01-02 15:00:00,353.81,0.08,4.24,64.37,0.95,7.38,7.88,1.68
2025-01-02 16:00:00,347.14,0.15,5.65,56.51,1.22,6.16,6.6,2.01
2025-01-02 17:00:00,363.83,0.18,8.4,50.07,1.74,5.51,5.95,2.47
2025-01-02 18:00:00,400.54,0.03,12.85,40.77,2.5,5.7,6.18,3.26
2025-01-02 19:00:00,417.23,0.0,14.57,35.41,2.53,6.03,6.59,3.48
2025-01-02 20:00:00,403.88,0.0,13.54,33.97,1.97,5.89,6.47,3.04
2025-01-02 21:00:00,400.54,0.0,12.34,34.33,1.62,6.65,7.32,3.29
2025-01-02 22:00:00,423.91,0.0,11.48,32.54,1.55,7.92,8.82,3.67
2025-01-02 23:00:00,447.27,0.0,10.62,29.33,1.51,8.69,9.79,3.67
2025-01-03 00:00:00,453.95,0.0,9.77,26.82,1.37,8.75,9.97,3.2
2025-01-03 01:00:00,447.27,0.0,9.0,25.75,1.21,8.65,9.94,3.01
2025-01-03 02:00:00,427.25,0.0,8.05,25.75,1.01,8.31,9.58,2.85
