Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,250.34,0.27,2.78,9.3,0.72,3.33,3.88,1.31
2025-01-01 09:00:00,233.65,0.31,2.55,18.78,0.86,2.65,3.06,0.74
2025-01-01 10:00:00,220.3,0.29,2.16,25.03,0.86,2.22,2.56,0.51
2025-01-01 11:00:00,213.62,0.21,1.65,31.11,0.75,1.73,1.99,0.39
2025-01-01 12:00:00,206.95,0.12,1.22,36.12,0.6,1.24,1.42,0.28
2025-01-01 13:00:00,210.29,0.1,1.19,35.05,0.57,1.1,1.26,0.3
2025-01-01 14:00:00,211.95,0.08,1.33,34.69,0.7,1.12,1.29,0.33
2025-01-01 15:00:00,213.62,0.06,1.5,34.33,0.77,1.28,1.47,0.38
2025-01-01 16:00:00,216.96,0.04,1.71,31.83,0.78,1.53,1.73,0.47
2025-01-01 17:00:00,223.64,0.01,2.01,29.33,0.75,1.76,1.96,0.58
2025-01-01 18:00:00,236.99,0.0,2.59,23.25,0.73,2.16,2.45,0.92
2025-01-01 19:00:00,253.68,0.0,3.04,16.45,0.69,2.75,3.18,1.23
2025-01-01 20:00:00,263.69,0.01,3.0,12.7,0.63,3.24,3.78,1.46
2025-01-01 21:00:00,270.37,0.01,2.72,11.62,0.57,3.55,4.1,1.57
2025-01-01 22:00:00,273.7,0.01,2.46,11.27,0.52,3.65,4.22,1.6
2025-01-01 23:00:00,277.04,0.02,2.44,10.82,0.51,3.77,4.36,1.63
2025-01-02 00:00:00,277.04,0.02,2.46,10.01,0.5,3.91,4.46,1.63
2025-01-02 01:00:00,280.38,0.03,2.4,8.94,0.47,4.12,4.62,1.71
2025-01-02 02:00:00,280.38,0.04,2.33,8.23,0.46,4.27,4.76,1.8
2025-01-02 03:00:00,283.72,0.04,2.31,7.69,0.47,4.43,4.96,1.95
2025-01-02 04:00:00,283.72,0.05,2.23,7.42,0.45,4.57,5.12,1.87
2025-01-02 05:00:00,283.72,0.05,2.14,7.51,0.42,4.62,5.16,1.71
2025-01-02 06:00:00,277.04,0.05,2.18,8.67,0.44,4.43,4.96,1.55
2025-01-02 07:00:00,270.37,0.06,2.46,10.01,0.53,4.15,4.71,1.5
2025-01-02 08:00:00,263.69,0.36,2.51,11.8,0.65,3.93,4.53,1.44
2025-01-02 09:00:00,247.0,0.36,2.38,19.49,0.69,3.19,3.65,0.98
2025-01-02 10:00:00,233.65,0.23,2.14,24.32,0.69,2.64,3.01,0.67
2025-01-02 11:00:00,220.3,0.12,1.78,28.97,0.69,2.17,2.45,0.49
2025-01-02 12:00:00,198.6,0.04,0.93,36.48,0.46,1.25,1.38,0.19
2025-01-02 13:00:00,191.93,0.03,0.69,36.48,0.35,0.97,1.06,0.17
2025-01-02 14:00:00,190.26,0.02,0.66,36.12,0.33,0.88,0.97,0.19
2025-01-02 15:00:00,198.6,0.03,1.08,30.76,0.39,1.17,1.31,0.44
2025-01-02 16:00:00,211.95,0.03,1.63,25.03,0.44,1.7,1.92,0.63
2025-01-02 17:00:00,220.3,0.01,2.1,22.17,0.49,2.17,2.45,0.8
2025-01-02 18:00:00,230.31,0.0,2.74,19.67,0.6,2.64,2.97,1.14
2025-01-02 19:00:00,243.66,0.01,3.43,14.31,0.68,3.33,3.78,1.55
2025-01-02 20:00:00,260.35,0.02,3.77,10.28,0.69,4.15,4.73,1.99
