Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,600.81,1.08,11.14,22.17,2.92,18.9,21.0,27.11
2025-01-01 09:00:00,400.54,0.3,4.58,31.47,1.18,9.2,10.18,7.54
2025-01-01 10:00:00,350.48,0.17,2.91,31.83,0.75,6.55,7.27,3.7
2025-01-01 11:00:00,330.45,0.12,2.21,32.19,0.63,5.52,6.13,2.91
2025-01-01 12:00:00,267.03,0.05,1.0,31.47,0.28,2.36,2.62,1.31
2025-01-01 13:00:00,253.68,0.04,0.81,30.4,0.22,1.69,1.88,1.04
2025-01-01 14:00:00,260.35,0.05,0.99,30.4,0.27,1.98,2.19,1.19
2025-01-01 15:00:00,270.37,0.05,1.46,28.61,0.37,2.61,2.9,1.5
2025-01-01 16:00:00,287.06,0.04,2.23,25.39,0.51,3.39,3.8,1.9
2025-01-01 17:00:00,300.41,0.02,3.13,22.35,0.66,4.02,4.52,2.25
2025-01-01 18:00:00,327.11,0.01,4.88,17.52,0.97,5.09,5.81,3.17
2025-01-01 19:00:00,363.83,0.02,6.6,12.16,1.31,6.81,7.94,4.62
2025-01-01 20:00:00,390.53,0.04,7.2,8.94,1.53,8.19,9.67,6.33
2025-01-01 21:00:00,413.89,0.04,8.05,7.87,1.86,9.36,11.11,9.12
2025-01-01 22:00:00,440.6,0.04,9.08,7.6,2.18,10.41,12.33,11.91
2025-01-01 23:00:00,453.95,0.05,10.11,7.15,2.29,11.22,13.2,13.81
2025-01-02 00:00:00,467.3,0.04,10.8,6.79,2.21,11.6,13.43,14.95
2025-01-02 01:00:00,467.3,0.04,10.54,6.53,2.0,11.74,13.36,15.58
2025-01-02 02:00:00,467.3,0.04,9.6,5.99,1.74,11.91,13.35,15.71
2025-01-02 03:00:00,460.62,0.05,8.4,5.19,1.53,12.0,13.4,15.71
2025-01-02 04:00:00,460.62,0.05,8.14,5.01,1.51,12.23,13.68,16.97
2025-01-02 05:00:00,467.3,0.05,8.48,5.63,1.55,12.71,14.24,18.49
2025-01-02 06:00:00,473.98,0.03,9.25,7.24,1.7,13.37,14.96,20.52
2025-01-02 07:00:00,494.0,0.19,10.54,9.83,2.12,13.8,15.62,21.53
2025-01-02 08:00:00,507.35,1.08,10.54,21.99,2.77,14.49,16.59,20.52
2025-01-02 09:00:00,494.0,0.47,9.68,32.19,2.56,14.89,17.04,14.06
2025-01-02 10:00:00,473.98,0.38,6.68,32.19,1.71,13.7,15.66,7.16
2025-01-02 11:00:00,417.23,0.25,4.07,35.76,1.12,10.53,11.96,4.31
2025-01-02 12:00:00,367.16,0.12,3.13,33.97,0.86,7.74,8.75,3.36
2025-01-02 13:00:00,383.85,0.11,4.28,25.03,1.03,8.4,9.61,3.86
2025-01-02 14:00:00,397.21,0.08,5.65,21.82,1.33,8.85,10.19,5.19
2025-01-02 15:00:00,417.23,0.04,7.71,21.46,1.85,9.78,11.22,7.66
2025-01-02 16:00:00,440.6,0.04,9.25,20.21,2.21,11.04,12.57,9.12
2025-01-02 17:00:00,460.62,0.02,10.97,17.88,2.47,12.31,13.88,9.63
2025-01-02 18:00:00,480.65,0.0,12.85,17.88,2.89,13.47,15.1,11.02
2025-01-02 19:00:00,514.03,0.0,14.91,18.24,3.4,15.12,16.97,13.43
2025-01-02 20:00:00,547.41,0.0,16.79,17.88,3.64,16.89,19.05,15.33
2025-01-02 21:00:00,567.44,0.0,17.82,17.34,3.81,18.5,20.92,17.73
2025-01-02 22:00:00,594.14,0.0,18.34,16.45,3.99,19.97,22.62,20.27
2025-01-02 23:00:00,607.49,0.0,18.51,15.2,4.05,20.83,23.51,21.79
2025-01-03 00:00:00,607.49,0.0,17.65,13.59,3.73,21.37,23.79,22.29
2025-01-03 01:00:00,607.49,0.0,16.79,12.87,3.4,21.83,24.02,23.05
2025-01-03 02:00:00,614.17,0.0,16.28,13.23,3.19,22.55,24.62,24.32
2025-01-03 03:00:00,620.84,0.0,15.77,13.41,2.98,23.13,25.05,25.59
2025-01-03 04:00:00,627.52,0.0,15.25,13.23,2.8,23.7,25.54,27.11
2025-01-03 05:00:00,634.19,0.0,14.91,12.87,2.68,24.31,26.09,28.63
2025-01-03 06:00:00,660.9,0.01,15.25,12.16,2.71,25.5,27.32,30.15
2025-01-03 07:00:00,674.25,0.46,14.91,14.13,2.92,26.27,28.22,30.15
2025-01-03 08:00:00,647.54,1.16,10.8,40.05,2.8,26.32,28.33,24.07
2025-01-03 09:00:00,447.27,0.36,3.0,51.5,1.07,15.06,16.08,6.4
2025-01-03 10:00:00,407.22,0.2,1.76,51.5,0.75,12.19,13.03,3.51
2025-01-03 11:00:00,397.21,0.14,1.44,51.5,0.66,11.13,11.9,2.91
2025-01-03 12:00:00,323.77,0.08,0.73,43.99,0.34,5.8,6.19,1.68
2025-01-03 13:00:00,300.41,0.07,0.49,40.77,0.24,4.09,4.36,1.25
2025-01-03 14:00:00,293.73,0.07,0.42,40.77,0.22,3.84,4.09,1.17
2025-01-03 15:00:00,317.1,0.22,1.36,36.48,0.48,5.59,6.13,2.06
2025-01-03 16:00:00,363.83,0.31,3.08,33.62,0.84,8.75,9.74,3.04
2025-01-03 17:00:00,407.22,0.17,5.65,29.68,1.33,11.49,12.82,4.69
2025-01-03 18:00:00,453.95,0.01,9.42,27.54,2.26,13.16,14.71,8.36
2025-01-03 19:00:00,494.0,0.0,12.17,25.75,2.98,14.36,16.14,11.53
2025-01-03 20:00:00,514.03,0.0,13.54,24.32,3.25,15.51,17.55,13.55
2025-01-03 21:00:00,534.06,0.0,13.88,22.89,3.4,16.21,18.51,15.71
2025-01-03 22:00:00,540.73,0.0,14.05,21.82,3.52,16.56,19.07,17.99
2025-01-03 23:00:00,547.41,0.0,13.88,20.56,3.49,16.64,19.17,19.76
2025-01-04 00:00:00,540.73,0.0,13.02,19.13,3.16,16.44,18.8,20.52
2025-01-04 01:00:00,534.06,0.0,11.65,17.34,2.71,16.36,18.49,21.28
2025-01-04 02:00:00,540.73,0.0,10.37,15.56,2.41,16.65,18.66,22.55
2025-01-04 03:00:00,527.38,0.01,9.25,13.23,2.06,16.82,18.8,22.55
2025-01-04 04:00:00,520.71,0.01,9.0,12.52,1.85,16.97,18.93,22.29
2025-01-04 05:00:00,514.03,0.01,8.83,12.52,1.74,17.03,18.92,22.29
2025-01-04 06:00:00,507.35,0.01,8.65,13.05,1.7,16.9,18.7,21.79
2025-01-04 07:00:00,487.33,0.29,8.05,16.09,1.82,16.28,18.09,20.27
2025-01-04 08:00:00,460.62,0.74,5.57,37.19,1.85,15.86,17.61,16.97
2025-01-04 09:00:00,380.52,0.34,2.27,48.64,1.09,11.91,13.09,7.28
2025-01-04 10:00:00,343.8,0.2,1.34,49.35,0.75,9.74,10.7,3.99
2025-01-04 11:00:00,327.11,0.14,0.99,48.64,0.6,8.66,9.51,3.2
2025-01-04 12:00:00,263.69,0.07,0.48,42.56,0.27,4.06,4.44,1.55
2025-01-04 13:00:00,247.0,0.06,0.4,38.98,0.2,3.04,3.31,1.11
2025-01-04 14:00:00,247.0,0.06,0.41,37.19,0.2,3.01,3.27,1.03
2025-01-04 15:00:00,260.35,0.09,0.74,34.69,0.31,3.83,4.16,1.52
2025-01-04 16:00:00,273.7,0.1,1.39,31.11,0.43,4.78,5.22,1.92
2025-01-04 17:00:00,290.39,0.04,2.36,27.54,0.57,5.55,6.07,2.28
2025-01-04 18:00:00,323.77,0.0,4.41,22.17,0.97,6.98,7.74,4.02
2025-01-04 19:00:00,367.16,0.0,6.85,17.17,1.53,9.07,10.22,7.16
2025-01-04 20:00:00,413.89,0.01,8.74,14.84,2.0,11.42,12.92,10.51
