Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,277.04,0.17,1.37,29.33,0.36,4.25,5.65,1.01
2025-01-01 09:00:00,263.69,0.17,0.87,38.62,0.32,3.13,4.2,0.98
2025-01-01 10:00:00,260.35,0.12,0.7,43.63,0.3,2.42,3.2,1.04
2025-01-01 11:00:00,253.68,0.08,0.59,46.49,0.28,1.92,2.5,1.11
2025-01-01 12:00:00,260.35,0.07,0.73,47.92,0.32,1.99,2.58,1.25
2025-01-01 13:00:00,263.69,0.08,0.94,46.49,0.35,2.08,2.73,1.36
2025-01-01 14:00:00,263.69,0.07,1.1,45.06,0.36,2.03,2.7,1.41
2025-01-01 15:00:00,263.69,0.05,1.26,42.56,0.39,2.16,2.82,1.52
2025-01-01 16:00:00,277.04,0.04,1.63,39.7,0.48,2.84,3.62,1.68
2025-01-01 17:00:00,293.73,0.02,2.21,37.19,0.64,3.77,4.68,1.73
2025-01-01 18:00:00,317.1,0.0,3.0,34.69,0.89,4.73,5.8,1.77
2025-01-01 19:00:00,333.79,0.0,3.6,29.68,0.98,5.66,6.88,1.61
2025-01-01 20:00:00,343.8,0.0,3.73,24.32,0.89,6.46,7.84,1.39
2025-01-01 21:00:00,353.81,0.0,3.81,21.28,0.79,7.09,8.5,1.23
2025-01-01 22:00:00,360.49,0.0,3.98,20.38,0.7,7.37,8.77,1.14
2025-01-01 23:00:00,360.49,0.0,3.9,20.74,0.6,7.31,8.66,1.01
2025-01-02 00:00:00,353.81,0.0,3.47,21.28,0.46,6.93,8.12,0.9
2025-01-02 01:00:00,343.8,0.0,3.0,21.64,0.35,6.61,7.62,0.84
2025-01-02 02:00:00,333.79,0.0,2.66,23.25,0.29,6.24,7.12,0.8
2025-01-02 03:00:00,317.1,0.0,2.27,25.75,0.24,5.68,6.5,0.78
2025-01-02 04:00:00,300.41,0.0,1.95,28.61,0.22,5.03,5.84,0.75
2025-01-02 05:00:00,290.39,0.0,1.78,31.11,0.21,4.52,5.32,0.73
2025-01-02 06:00:00,287.06,0.0,1.74,33.26,0.22,4.22,5.02,0.74
2025-01-02 07:00:00,290.39,0.0,1.76,34.33,0.28,4.13,5.07,0.82
2025-01-02 08:00:00,290.39,0.05,1.63,35.76,0.32,4.01,5.11,0.88
2025-01-02 09:00:00,277.04,0.05,1.25,43.27,0.29,2.94,3.79,0.78
2025-01-02 10:00:00,263.69,0.08,0.94,47.92,0.27,2.02,2.63,0.83
2025-01-02 11:00:00,247.0,0.08,0.65,51.5,0.24,1.48,1.96,0.93
2025-01-02 12:00:00,247.0,0.08,0.57,52.21,0.25,1.58,2.08,1.04
2025-01-02 13:00:00,253.68,0.07,0.67,50.78,0.29,2.26,2.85,1.08
2025-01-02 14:00:00,263.69,0.05,0.85,49.35,0.33,3.48,4.17,1.06
2025-01-02 15:00:00,277.04,0.04,1.23,42.92,0.41,4.88,5.77,1.27
2025-01-02 16:00:00,297.07,0.04,1.78,34.69,0.54,6.29,7.5,1.79
2025-01-02 17:00:00,313.76,0.02,2.38,30.4,0.68,7.53,9.02,2.53
2025-01-02 18:00:00,333.79,0.0,3.13,28.61,0.87,8.98,10.77,3.64
2025-01-02 19:00:00,357.15,0.0,3.86,24.32,1.06,10.67,12.91,4.56
2025-01-02 20:00:00,377.18,0.0,4.37,19.85,1.19,12.23,14.84,5.26
2025-01-02 21:00:00,390.53,0.0,4.54,17.34,1.18,13.31,16.03,5.26
2025-01-02 22:00:00,393.87,0.01,4.24,16.09,0.97,13.83,16.52,3.96
2025-01-02 23:00:00,397.21,0.01,3.77,16.09,0.72,13.86,16.43,2.72
2025-01-03 00:00:00,387.19,0.01,3.34,15.38,0.49,13.16,15.35,1.88
2025-01-03 01:00:00,383.85,0.02,3.21,13.23,0.4,12.53,14.38,1.65
2025-01-03 02:00:00,390.53,0.03,3.56,11.98,0.42,12.38,14.02,1.65
2025-01-03 03:00:00,390.53,0.03,3.77,11.62,0.45,12.24,13.83,1.63
2025-01-03 04:00:00,380.52,0.04,3.73,11.98,0.48,12.07,13.66,1.61
2025-01-03 05:00:00,367.16,0.03,3.64,12.34,0.52,11.95,13.49,1.61
2025-01-03 06:00:00,363.83,0.03,3.81,13.23,0.61,11.88,13.3,1.74
2025-01-03 07:00:00,360.49,0.02,3.94,14.31,0.75,11.58,13.3,1.99
2025-01-03 08:00:00,350.48,0.07,3.73,16.45,0.86,10.58,12.54,2.28
2025-01-03 09:00:00,323.77,0.08,3.3,21.28,0.89,8.38,10.15,2.25
2025-01-03 10:00:00,300.41,0.08,2.83,23.25,0.84,6.49,8.02,2.15
2025-01-03 11:00:00,283.72,0.08,2.4,24.68,0.77,5.25,6.58,2.09
2025-01-03 12:00:00,267.03,0.09,2.4,24.68,1.1,4.62,5.83,1.69
2025-01-03 13:00:00,253.68,0.1,2.96,25.03,1.82,4.26,5.31,1.19
2025-01-03 14:00:00,243.66,0.07,3.0,28.61,1.89,3.73,4.56,1.01
2025-01-03 15:00:00,247.0,0.06,3.9,26.11,2.56,4.09,4.97,1.01
2025-01-03 16:00:00,267.03,0.05,4.37,17.7,2.59,5.66,6.94,1.17
2025-01-03 17:00:00,290.39,0.02,4.33,12.7,2.18,7.21,8.84,1.71
2025-01-03 18:00:00,317.1,0.01,4.24,11.35,1.79,8.51,10.5,2.88
2025-01-03 19:00:00,353.81,0.02,4.07,8.94,1.33,9.98,12.35,3.07
2025-01-03 20:00:00,383.85,0.05,3.98,6.17,1.04,11.56,13.9,2.79
2025-01-03 21:00:00,420.57,0.07,4.07,4.87,0.88,13.09,15.2,2.6
2025-01-03 22:00:00,453.95,0.08,4.28,5.01,0.83,14.46,16.42,2.82
2025-01-03 23:00:00,473.98,0.05,4.37,6.79,0.79,15.36,17.18,3.1
2025-01-04 00:00:00,473.98,0.02,4.07,9.92,0.63,15.41,16.88,2.85
2025-01-04 01:00:00,467.3,0.02,3.43,11.8,0.43,15.37,16.55,1.93
2025-01-04 02:00:00,473.98,0.01,3.08,13.59,0.32,15.46,16.53,1.39
2025-01-04 03:00:00,453.95,0.01,2.68,16.81,0.26,14.45,15.38,1.11
2025-01-04 04:00:00,433.92,0.01,2.4,16.09,0.23,13.01,13.87,1.01
2025-01-04 05:00:00,397.21,0.01,2.16,15.91,0.22,11.17,11.95,0.93
2025-01-04 06:00:00,363.83,0.01,2.03,16.99,0.22,9.19,9.9,0.89
2025-01-04 07:00:00,337.12,0.01,1.97,18.06,0.23,7.51,8.23,0.79
2025-01-04 08:00:00,327.11,0.04,1.82,20.03,0.24,6.43,7.14,0.7
2025-01-04 09:00:00,327.11,0.08,1.41,32.54,0.23,5.29,5.9,0.64
2025-01-04 10:00:00,323.77,0.09,1.09,43.63,0.25,4.41,4.96,0.77
2025-01-04 11:00:00,303.75,0.08,0.78,52.21,0.24,3.52,3.99,0.93
2025-01-04 12:00:00,293.73,0.08,0.66,60.08,0.26,3.47,3.98,1.17
2025-01-04 13:00:00,293.73,0.08,0.65,64.37,0.3,4.16,4.75,1.38
2025-01-04 14:00:00,290.39,0.07,0.66,65.09,0.33,4.66,5.29,1.49
2025-01-04 15:00:00,280.38,0.04,0.77,62.94,0.35,4.74,5.42,1.61
2025-01-04 16:00:00,273.7,0.02,0.88,59.37,0.36,4.58,5.28,1.69
2025-01-04 17:00:00,270.37,0.01,0.97,55.79,0.35,4.36,5.09,1.69
2025-01-04 18:00:00,270.37,0.0,1.07,52.93,0.36,4.19,4.94,1.69
2025-01-04 19:00:00,283.72,0.0,1.52,47.92,0.44,4.67,5.61,1.84
2025-01-04 20:00:00,310.42,0.0,2.33,42.2,0.55,5.56,6.81,1.87
2025-01-04 21:00:00,337.12,0.0,3.17,38.62,0.64,6.32,7.81,1.85
2025-01-04 22:00:00,353.81,0.0,3.6,38.27,0.68,6.37,7.93,1.82
2025-01-04 23:00:00,340.46,0.0,3.21,41.84,0.57,5.61,6.93,1.55
2025-01-05 00:00:00,313.76,0.0,2.23,50.07,0.35,4.79,5.59,1.11
2025-01-05 01:00:00,303.75,0.0,1.76,55.79,0.25,5.11,5.69,0.96
