Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,494.0,1.44,9.0,27.54,2.24,17.92,19.34,19.25
2025-01-01 09:00:00,494.0,0.91,7.2,57.94,2.21,19.84,21.22,14.44
2025-01-01 10:00:00,460.62,0.39,3.98,50.07,1.27,18.47,19.58,5.64
2025-01-01 11:00:00,400.54,0.16,2.57,39.34,0.7,13.29,14.0,2.72
2025-01-01 12:00:00,347.14,0.09,2.29,36.12,0.54,7.8,8.2,2.25
2025-01-01 13:00:00,353.81,0.17,3.81,37.55,0.98,7.34,7.83,3.96
2025-01-01 14:00:00,370.5,0.21,5.23,41.13,1.45,7.7,8.29,5.64
2025-01-01 15:00:00,397.21,0.21,6.68,45.78,1.91,8.67,9.35,7.41
2025-01-01 16:00:00,420.57,0.15,8.05,47.92,2.32,9.41,10.13,8.61
2025-01-01 17:00:00,433.92,0.08,9.51,44.7,2.65,9.17,9.87,9.12
2025-01-01 18:00:00,427.25,0.01,10.45,37.19,2.89,8.14,8.81,9.25
2025-01-01 19:00:00,427.25,0.0,11.14,30.76,3.01,7.79,8.51,10.01
2025-01-01 20:00:00,440.6,0.0,11.65,27.18,3.1,8.14,8.96,11.02
2025-01-01 21:00:00,447.27,0.0,11.31,23.96,3.01,8.68,9.56,12.29
2025-01-01 22:00:00,453.95,0.0,10.71,21.46,2.83,9.08,10.0,13.3
2025-01-01 23:00:00,453.95,0.0,10.28,19.49,2.65,9.35,10.25,14.06
2025-01-02 00:00:00,460.62,0.0,10.11,18.06,2.44,9.62,10.46,14.69
2025-01-02 01:00:00,460.62,0.0,9.34,17.17,2.12,9.88,10.65,15.07
2025-01-02 02:00:00,460.62,0.0,8.14,16.63,1.74,10.36,11.09,15.45
2025-01-02 03:00:00,453.95,0.0,7.37,15.74,1.49,10.68,11.38,15.58
2025-01-02 04:00:00,460.62,0.0,7.2,15.02,1.36,10.98,11.65,15.96
2025-01-02 05:00:00,473.98,0.0,7.37,14.13,1.3,11.59,12.26,16.47
2025-01-02 06:00:00,487.33,0.0,7.8,13.05,1.34,12.49,13.22,17.99
2025-01-02 07:00:00,514.03,0.18,9.0,12.7,1.76,13.43,14.3,20.01
2025-01-02 08:00:00,547.41,0.99,9.77,31.11,2.59,14.81,15.83,21.53
2025-01-02 09:00:00,560.76,0.76,8.4,77.25,3.04,16.52,17.59,20.52
2025-01-02 10:00:00,514.03,0.38,5.27,98.71,2.65,16.22,17.21,15.83
2025-01-02 11:00:00,440.6,0.22,2.96,82.25,1.64,12.76,13.51,9.25
2025-01-02 12:00:00,353.81,0.17,2.03,58.65,0.87,7.73,8.19,4.43
2025-01-02 13:00:00,353.81,0.2,3.21,60.8,1.18,7.87,8.41,5.32
2025-01-02 14:00:00,360.49,0.15,4.54,60.8,1.51,8.13,8.74,6.27
2025-01-02 15:00:00,367.16,0.1,5.65,53.64,1.68,7.68,8.3,6.71
2025-01-02 16:00:00,380.52,0.08,7.11,45.78,1.94,7.9,8.57,7.41
2025-01-02 17:00:00,407.22,0.04,9.42,39.34,2.32,8.83,9.58,8.36
2025-01-02 18:00:00,433.92,0.0,11.65,32.9,2.8,9.9,10.8,9.63
2025-01-02 19:00:00,453.95,0.0,13.19,28.25,3.19,11.1,12.19,11.53
2025-01-02 20:00:00,473.98,0.0,14.22,24.68,3.46,12.57,13.9,13.55
2025-01-02 21:00:00,467.3,0.0,12.68,19.85,3.04,13.3,14.79,13.17
2025-01-02 22:00:00,447.27,0.01,9.68,13.95,2.18,13.56,15.2,10.26
2025-01-02 23:00:00,440.6,0.03,7.8,9.21,1.48,14.06,15.84,6.9
2025-01-03 00:00:00,440.6,0.07,6.77,5.68,1.01,14.71,16.57,4.69
2025-01-03 01:00:00,433.92,0.07,5.74,4.47,0.77,15.07,16.97,4.12
2025-01-03 02:00:00,423.91,0.07,4.93,4.38,0.6,15.38,17.21,3.96
2025-01-03 03:00:00,420.57,0.07,4.46,4.2,0.52,15.88,17.63,4.12
2025-01-03 04:00:00,420.57,0.08,4.58,4.11,0.55,16.44,18.13,5.45
2025-01-03 05:00:00,427.25,0.08,5.27,4.6,0.69,17.3,18.94,7.85
2025-01-03 06:00:00,440.6,0.06,6.6,6.35,0.95,18.19,19.78,11.53
2025-01-03 07:00:00,467.3,0.39,7.97,8.49,1.42,18.86,20.47,14.06
2025-01-03 08:00:00,494.0,1.62,8.14,25.75,2.15,20.39,22.1,15.07
2025-01-03 09:00:00,494.0,1.05,7.03,62.94,2.29,22.65,24.29,12.29
2025-01-03 10:00:00,460.62,0.44,4.11,62.94,1.46,21.64,22.91,5.57
2025-01-03 11:00:00,403.88,0.18,2.72,52.93,0.86,16.07,16.84,2.72
2025-01-03 12:00:00,320.43,0.04,0.97,49.35,0.26,6.77,6.99,1.09
2025-01-03 13:00:00,313.76,0.05,0.8,45.78,0.19,5.7,5.86,0.84
2025-01-03 14:00:00,310.42,0.06,0.76,45.06,0.19,5.7,5.87,0.78
2025-01-03 15:00:00,317.1,0.12,1.5,37.55,0.34,6.01,6.25,1.03
2025-01-03 16:00:00,333.79,0.2,2.83,30.76,0.59,6.75,7.11,1.52
2025-01-03 17:00:00,353.81,0.21,4.71,27.89,0.95,7.61,8.06,2.28
