Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,270.37,0.12,1.71,27.54,1.53,4.5,5.48,2.88
2025-01-01 09:00:00,280.38,0.08,2.21,21.46,1.59,4.45,5.65,2.12
2025-01-01 10:00:00,293.73,0.12,2.63,18.95,1.71,4.26,5.63,1.73
2025-01-01 11:00:00,313.76,0.13,2.96,21.64,1.97,4.48,5.98,1.74
2025-01-01 12:00:00,307.08,0.08,2.55,34.33,2.59,4.58,5.81,1.39
2025-01-01 13:00:00,317.1,0.11,2.36,36.48,2.56,5.91,7.26,1.35
2025-01-01 14:00:00,320.43,0.12,2.06,37.55,2.38,7.23,8.64,1.38
2025-01-01 15:00:00,337.12,0.09,2.14,42.92,2.59,9.72,11.28,1.93
2025-01-01 16:00:00,367.16,0.05,2.74,49.35,3.25,13.17,14.93,2.98
2025-01-01 17:00:00,393.87,0.01,3.43,50.78,3.99,15.61,17.46,3.99
2025-01-01 18:00:00,383.85,0.0,3.43,45.78,4.11,14.03,15.69,4.31
2025-01-01 19:00:00,363.83,0.0,3.3,41.48,3.93,11.61,13.17,4.43
2025-01-01 20:00:00,363.83,0.0,3.68,38.62,3.99,10.82,12.42,4.88
2025-01-01 21:00:00,353.81,0.0,3.81,35.41,3.78,9.16,10.71,4.75
2025-01-01 22:00:00,327.11,0.0,3.3,31.83,3.22,7.24,8.65,4.43
2025-01-01 23:00:00,313.76,0.0,3.08,28.97,2.8,6.26,7.52,4.43
2025-01-02 00:00:00,310.42,0.0,3.21,27.54,2.56,6.04,7.18,4.69
2025-01-02 01:00:00,307.08,0.0,3.13,26.11,2.32,5.68,6.69,4.75
2025-01-02 02:00:00,293.73,0.0,2.83,24.68,2.0,4.99,5.85,4.43
2025-01-02 03:00:00,290.39,0.0,2.78,23.6,1.82,4.58,5.36,4.43
2025-01-02 04:00:00,290.39,0.0,2.83,22.89,1.74,4.19,4.94,4.56
2025-01-02 05:00:00,283.72,0.0,2.72,23.96,1.73,3.59,4.29,4.24
2025-01-02 06:00:00,267.03,0.0,2.31,27.89,1.67,2.8,3.43,3.58
2025-01-02 07:00:00,257.02,0.0,2.18,30.4,1.68,2.53,3.26,3.36
2025-01-02 08:00:00,257.02,0.14,2.12,26.82,1.64,2.82,3.76,3.04
2025-01-02 09:00:00,267.03,0.31,1.84,24.32,1.51,3.02,4.02,1.55
2025-01-02 10:00:00,287.06,0.33,2.25,27.54,1.74,3.45,4.59,1.31
2025-01-02 11:00:00,313.76,0.26,2.68,32.54,2.06,4.25,5.53,1.41
2025-01-02 12:00:00,327.11,0.15,2.59,38.62,2.26,5.28,6.45,1.33
2025-01-02 13:00:00,313.76,0.07,2.08,41.84,2.15,5.61,6.54,1.08
2025-01-02 14:00:00,303.75,0.02,1.67,42.2,2.06,5.74,6.5,0.9
2025-01-02 15:00:00,300.41,0.01,1.52,35.41,1.7,6.19,6.9,0.9
2025-01-02 16:00:00,303.75,0.01,1.67,26.11,1.43,7.13,7.88,1.09
2025-01-02 17:00:00,310.42,0.01,1.97,19.85,1.37,7.77,8.56,1.25
2025-01-02 18:00:00,303.75,0.0,1.97,15.74,1.36,6.85,7.67,1.39
2025-01-02 19:00:00,297.07,0.0,2.06,13.05,1.4,5.65,6.63,1.77
2025-01-02 20:00:00,310.42,0.0,3.0,12.34,1.85,5.42,6.65,2.47
2025-01-02 21:00:00,320.43,0.0,3.9,11.98,2.29,5.38,6.73,2.75
2025-01-02 22:00:00,303.75,0.0,3.34,10.46,2.06,4.91,6.18,2.56
2025-01-02 23:00:00,280.38,0.01,2.61,9.66,1.67,4.47,5.52,2.37
2025-01-03 00:00:00,270.37,0.0,2.33,10.91,1.49,4.26,5.1,2.53
2025-01-03 01:00:00,270.37,0.0,2.14,14.13,1.39,4.09,4.74,2.66
2025-01-03 02:00:00,270.37,0.0,1.8,17.7,1.22,3.83,4.33,2.5
2025-01-03 03:00:00,277.04,0.0,1.67,20.38,1.15,3.6,4.05,2.75
2025-01-03 04:00:00,287.06,0.0,1.69,21.46,1.18,3.46,3.92,3.2
2025-01-03 05:00:00,293.73,0.0,1.71,21.99,1.21,3.45,3.93,3.45
2025-01-03 06:00:00,293.73,0.0,1.52,21.46,1.13,3.45,3.92,3.04
2025-01-03 07:00:00,297.07,0.01,1.46,18.42,1.04,3.61,4.21,2.53
2025-01-03 08:00:00,300.41,0.08,1.44,14.48,0.95,3.86,4.66,1.98
2025-01-03 09:00:00,300.41,0.11,1.3,20.92,1.19,3.85,4.66,1.54
2025-01-03 10:00:00,300.41,0.1,1.44,27.54,1.68,4.13,5.07,2.15
2025-01-03 11:00:00,307.08,0.08,1.5,32.19,2.12,4.64,5.7,2.82
2025-01-03 12:00:00,323.77,0.06,1.54,35.76,2.21,5.51,6.58,3.45
2025-01-03 13:00:00,323.77,0.05,1.29,36.12,1.91,6.11,7.06,3.23
2025-01-03 14:00:00,310.42,0.03,0.85,33.26,1.48,5.73,6.43,1.99
2025-01-03 15:00:00,303.75,0.02,0.67,28.25,0.89,5.56,6.05,0.79
2025-01-03 16:00:00,327.11,0.02,1.09,20.74,0.73,7.58,8.23,1.11
2025-01-03 17:00:00,350.48,0.01,1.82,19.67,1.04,9.49,10.32,1.95
2025-01-03 18:00:00,360.49,0.0,2.59,19.49,1.59,10.13,11.16,2.75
2025-01-03 19:00:00,377.18,0.0,3.38,14.84,1.94,10.68,12.0,2.63
2025-01-03 20:00:00,440.6,0.0,5.06,10.64,2.38,12.88,14.59,2.15
2025-01-03 21:00:00,514.03,0.01,7.11,7.78,2.59,15.07,17.15,1.68
2025-01-03 22:00:00,547.41,0.02,7.97,5.68,2.38,15.62,17.9,1.44
2025-01-03 23:00:00,534.06,0.03,7.71,4.16,1.97,14.76,16.94,1.27
2025-01-04 00:00:00,520.71,0.05,7.45,3.17,1.65,13.8,15.76,1.25
2025-01-04 01:00:00,473.98,0.04,6.17,2.95,1.34,11.59,13.11,1.42
2025-01-04 02:00:00,403.88,0.04,4.33,3.26,1.01,8.66,9.68,1.66
2025-01-04 03:00:00,363.83,0.03,3.34,3.62,0.91,6.89,7.62,2.12
2025-01-04 04:00:00,347.14,0.03,2.96,3.84,0.9,6.15,6.76,2.6
2025-01-04 05:00:00,340.46,0.03,2.68,4.2,0.92,5.79,6.32,2.91
2025-01-04 06:00:00,327.11,0.02,2.25,5.59,0.89,5.38,5.85,2.69
2025-01-04 07:00:00,317.1,0.02,1.91,7.24,0.83,5.11,5.63,2.15
2025-01-04 08:00:00,310.42,0.05,1.76,7.33,0.74,5.1,5.74,1.52
2025-01-04 09:00:00,307.08,0.09,1.71,9.57,0.76,4.79,5.49,0.85
2025-01-04 10:00:00,300.41,0.07,1.74,13.59,0.87,4.21,4.95,0.74
2025-01-04 11:00:00,297.07,0.07,1.71,17.88,1.01,3.84,4.6,0.84
2025-01-04 12:00:00,297.07,0.08,1.71,21.64,1.21,4.04,4.78,1.08
2025-01-04 13:00:00,300.41,0.09,1.78,23.96,1.33,4.61,5.41,1.42
2025-01-04 14:00:00,300.41,0.07,1.84,28.61,1.53,4.83,5.68,1.98
2025-01-04 15:00:00,303.75,0.04,2.1,32.54,1.82,5.28,6.13,2.72
2025-01-04 16:00:00,320.43,0.02,2.78,34.69,2.24,6.23,7.15,3.32
2025-01-04 17:00:00,347.14,0.01,4.16,36.48,2.86,7.35,8.41,3.83
2025-01-04 18:00:00,353.81,0.0,4.84,40.41,3.16,7.35,8.46,4.02
2025-01-04 19:00:00,343.8,0.0,4.71,45.06,3.01,6.73,7.84,4.12
2025-01-04 20:00:00,333.79,0.0,4.33,48.64,2.71,6.34,7.42,4.18
2025-01-04 21:00:00,313.76,0.0,3.56,54.36,2.18,4.92,5.84,3.8
2025-01-04 22:00:00,293.73,0.0,2.66,60.08,1.58,3.68,4.45,3.39
2025-01-04 23:00:00,283.72,0.0,2.08,63.66,1.21,3.22,3.88,3.13
2025-01-05 00:00:00,283.72,0.0,1.86,65.8,1.04,3.3,3.88,3.1
2025-01-05 01:00:00,283.72,0.0,1.67,67.95,0.95,3.63,4.14,2.98
2025-01-05 02:00:00,273.7,0.0,1.44,69.38,0.84,3.79,4.24,2.63
2025-01-05 03:00:00,263.69,0.0,1.25,58.65,0.65,3.74,4.19,2.01
2025-01-05 04:00:00,253.68,0.0,1.14,47.92,0.5,3.5,3.95,1.36
2025-01-05 05:00:00,243.66,0.0,1.02,42.2,0.43,3.04,3.48,0.93
2025-01-05 06:00:00,236.99,0.0,0.87,40.41,0.4,2.4,2.81,0.67
2025-01-05 07:00:00,233.65,0.0,0.86,36.12,0.42,1.98,2.44,0.61
2025-01-05 08:00:00,233.65,0.06,0.82,31.83,0.48,1.88,2.44,0.6
2025-01-05 09:00:00,226.97,0.05,0.44,48.64,0.75,1.19,1.51,0.37
2025-01-05 10:00:00,226.97,0.04,0.39,50.78,0.8,1.13,1.44,0.44
2025-01-05 11:00:00,230.31,0.02,0.47,50.78,0.95,1.37,1.73,0.59
2025-01-05 12:00:00,243.66,0.02,0.9,47.92,1.25,1.96,2.48,0.86
2025-01-05 13:00:00,257.02,0.04,1.12,43.27,1.3,2.66,3.29,1.04
2025-01-05 14:00:00,260.35,0.05,1.15,40.41,1.3,3.28,3.98,1.12
2025-01-05 15:00:00,270.37,0.04,1.23,37.19,1.3,4.14,4.9,1.41
