Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,200.27,0.0,0.35,36.12,0.08,0.7,1.05,0.07
2025-01-01 09:00:00,203.61,0.01,0.32,39.34,0.08,0.67,1.01,0.05
2025-01-01 10:00:00,201.94,0.01,0.27,40.77,0.07,0.72,1.1,0.04
2025-01-01 11:00:00,201.94,0.01,0.22,42.2,0.07,0.87,1.37,0.03
2025-01-01 12:00:00,200.27,0.01,0.2,42.92,0.07,1.0,1.6,0.02
2025-01-01 13:00:00,198.6,0.01,0.19,43.99,0.07,0.98,1.59,0.02
2025-01-01 14:00:00,198.6,0.0,0.19,45.06,0.07,0.9,1.51,0.02
2025-01-01 15:00:00,198.6,0.0,0.22,44.7,0.07,0.97,1.65,0.03
2025-01-01 16:00:00,196.93,0.0,0.27,42.92,0.07,1.01,1.7,0.04
2025-01-01 17:00:00,195.26,0.0,0.34,40.77,0.08,0.96,1.62,0.04
2025-01-01 18:00:00,193.6,0.0,0.4,38.98,0.09,0.84,1.51,0.05
2025-01-01 19:00:00,190.26,0.0,0.42,36.48,0.09,0.76,1.43,0.07
2025-01-01 20:00:00,188.59,0.0,0.43,34.33,0.09,0.72,1.35,0.09
2025-01-01 21:00:00,185.25,0.0,0.4,33.97,0.08,0.64,1.23,0.09
2025-01-01 22:00:00,183.58,0.0,0.34,35.76,0.08,0.53,1.15,0.08
2025-01-01 23:00:00,181.91,0.0,0.3,37.55,0.07,0.53,1.15,0.06
2025-01-02 00:00:00,180.24,0.0,0.27,38.62,0.06,0.61,1.15,0.05
2025-01-02 01:00:00,180.24,0.0,0.25,38.27,0.06,0.71,1.26,0.06
2025-01-02 02:00:00,180.24,0.0,0.24,38.62,0.06,0.73,1.25,0.06
2025-01-02 03:00:00,181.91,0.0,0.24,38.27,0.06,0.73,1.2,0.08
2025-01-02 04:00:00,181.91,0.0,0.26,38.27,0.06,0.71,1.14,0.08
2025-01-02 05:00:00,183.58,0.0,0.29,38.27,0.06,0.66,1.05,0.09
2025-01-02 06:00:00,183.58,0.0,0.32,37.91,0.06,0.6,0.97,0.09
2025-01-02 07:00:00,183.58,0.0,0.39,37.55,0.07,0.57,0.93,0.09
2025-01-02 08:00:00,185.25,0.01,0.48,37.19,0.09,0.55,0.89,0.09
2025-01-02 09:00:00,186.92,0.02,0.5,37.55,0.09,0.5,0.8,0.07
2025-01-02 10:00:00,183.58,0.02,0.42,37.91,0.08,0.5,0.78,0.07
2025-01-02 11:00:00,183.58,0.02,0.34,38.27,0.07,0.5,0.79,0.06
2025-01-02 12:00:00,181.91,0.02,0.29,38.62,0.06,0.54,0.83,0.06
2025-01-02 13:00:00,181.91,0.02,0.25,39.34,0.06,0.58,0.87,0.06
2025-01-02 14:00:00,180.24,0.02,0.22,40.41,0.06,0.65,1.02,0.05
2025-01-02 15:00:00,178.58,0.02,0.21,39.7,0.06,0.66,1.13,0.06
2025-01-02 16:00:00,178.58,0.02,0.25,37.91,0.07,0.64,1.2,0.07
2025-01-02 17:00:00,178.58,0.01,0.32,36.84,0.08,0.66,1.27,0.08
2025-01-02 18:00:00,180.24,0.0,0.39,36.12,0.09,0.73,1.36,0.08
2025-01-02 19:00:00,180.24,0.0,0.45,35.05,0.1,0.83,1.47,0.08
