Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,310.42,0.47,6.43,22.89,2.15,11.53,15.88,4.37
2025-01-01 09:00:00,283.72,0.52,5.48,32.9,2.44,10.66,13.66,1.5
2025-01-01 10:00:00,280.38,0.38,5.27,36.48,2.26,9.62,12.05,1.12
2025-01-01 11:00:00,280.38,0.24,5.74,37.55,2.53,9.45,11.88,1.08
2025-01-01 12:00:00,273.7,0.17,5.36,39.7,2.77,8.63,10.85,0.94
2025-01-01 13:00:00,267.03,0.15,4.84,41.13,2.71,7.21,8.97,0.81
2025-01-01 14:00:00,260.35,0.14,4.46,41.84,2.44,5.38,6.75,0.72
2025-01-01 15:00:00,263.69,0.13,4.63,43.63,2.56,4.87,6.24,0.93
2025-01-01 16:00:00,270.37,0.1,4.88,45.06,2.77,4.85,6.41,1.2
2025-01-01 17:00:00,270.37,0.04,5.01,45.06,2.89,4.49,6.2,1.31
2025-01-01 18:00:00,270.37,0.0,5.44,42.92,3.13,4.18,6.11,1.54
2025-01-01 19:00:00,277.04,0.0,6.17,38.98,3.55,4.28,6.41,1.9
2025-01-01 20:00:00,287.06,0.0,6.94,35.76,3.87,4.71,6.95,2.37
2025-01-01 21:00:00,287.06,0.0,7.11,34.33,3.93,4.84,6.96,2.72
2025-01-01 22:00:00,277.04,0.0,6.6,33.97,3.55,4.45,6.26,2.6
2025-01-01 23:00:00,270.37,0.0,6.17,32.9,3.28,4.23,5.85,2.47
2025-01-02 00:00:00,267.03,0.0,5.91,31.47,2.86,4.25,5.79,2.63
2025-01-02 01:00:00,267.03,0.0,5.83,30.76,2.59,4.75,6.34,3.2
2025-01-02 02:00:00,267.03,0.0,5.91,30.76,2.53,5.5,7.18,3.77
2025-01-02 03:00:00,263.69,0.0,5.57,31.83,2.35,5.99,7.74,4.02
2025-01-02 04:00:00,260.35,0.0,5.1,32.19,2.12,6.34,8.12,3.67
2025-01-02 05:00:00,263.69,0.0,5.06,31.83,2.03,7.05,8.94,3.2
2025-01-02 06:00:00,283.72,0.0,6.08,30.4,2.44,9.32,11.59,2.75
2025-01-02 07:00:00,303.75,0.09,7.37,30.4,3.31,12.51,15.15,2.22
2025-01-02 08:00:00,300.41,0.5,7.11,35.76,4.11,14.09,16.8,1.58
2025-01-02 09:00:00,260.35,0.37,4.54,42.2,3.07,9.46,11.15,0.81
2025-01-02 10:00:00,243.66,0.22,3.13,46.49,2.41,6.76,8.16,0.72
