Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,343.8,0.65,10.2,16.09,3.76,11.09,15.93,3.61
2025-01-01 09:00:00,310.42,0.49,9.77,24.32,4.23,8.97,12.42,1.42
2025-01-01 10:00:00,297.07,0.38,9.34,27.54,4.17,7.3,10.34,0.97
2025-01-01 11:00:00,287.06,0.21,8.83,30.4,4.05,6.34,9.3,0.82
2025-01-01 12:00:00,270.37,0.14,6.6,32.9,2.98,4.93,7.14,0.68
2025-01-01 13:00:00,253.68,0.18,5.1,37.91,2.41,4.06,6.0,0.63
2025-01-01 14:00:00,236.99,0.17,3.77,45.06,2.0,3.21,4.94,0.56
2025-01-01 15:00:00,223.64,0.12,3.13,50.07,1.91,2.55,4.23,0.64
2025-01-01 16:00:00,220.3,0.07,3.43,50.07,2.18,2.28,4.13,0.8
2025-01-01 17:00:00,220.3,0.03,4.03,47.92,2.5,2.17,4.13,0.9
2025-01-01 18:00:00,220.3,0.0,4.28,45.06,2.68,2.09,3.95,0.9
2025-01-01 19:00:00,220.3,0.0,3.94,42.56,2.53,1.96,3.56,0.9
2025-01-01 20:00:00,223.64,0.0,3.77,40.41,2.56,1.91,3.4,0.9
2025-01-01 21:00:00,226.97,0.0,3.9,38.27,2.62,1.9,3.25,0.9
2025-01-01 22:00:00,236.99,0.0,4.8,35.41,3.13,2.25,3.81,1.19
2025-01-01 23:00:00,250.34,0.0,5.91,32.54,3.67,2.86,4.69,1.55
2025-01-02 00:00:00,260.35,0.0,6.6,31.11,3.87,3.48,5.44,1.79
2025-01-02 01:00:00,263.69,0.0,6.85,30.76,3.99,4.04,5.95,1.82
2025-01-02 02:00:00,270.37,0.0,7.2,31.11,4.17,4.86,6.75,1.73
2025-01-02 03:00:00,290.39,0.0,8.14,29.33,4.23,6.77,8.87,2.22
2025-01-02 04:00:00,320.43,0.0,9.34,25.75,4.05,9.47,11.87,2.72
2025-01-02 05:00:00,343.8,0.0,10.62,24.32,4.17,12.27,14.85,2.82
2025-01-02 06:00:00,350.48,0.0,11.48,24.32,4.41,13.94,16.45,2.6
2025-01-02 07:00:00,340.46,0.11,11.14,23.25,4.53,13.51,16.37,2.44
2025-01-02 08:00:00,327.11,0.94,9.51,27.54,4.89,12.67,15.86,2.18
2025-01-02 09:00:00,270.37,0.84,5.83,38.98,4.05,7.63,9.97,1.03
2025-01-02 10:00:00,240.33,0.49,3.86,43.99,3.04,4.42,6.43,0.72
2025-01-02 11:00:00,223.64,0.27,2.63,47.92,2.32,2.78,4.56,0.59
2025-01-02 12:00:00,206.95,0.13,1.5,48.64,1.4,1.67,2.94,0.47
2025-01-02 13:00:00,200.27,0.12,1.01,50.07,1.03,1.38,2.46,0.41
2025-01-02 14:00:00,200.27,0.14,0.95,53.64,1.01,1.45,2.49,0.39
2025-01-02 15:00:00,200.27,0.15,1.17,54.36,1.16,1.46,2.64,0.53
2025-01-02 16:00:00,201.94,0.14,1.76,50.78,1.37,1.35,2.81,0.76
2025-01-02 17:00:00,201.94,0.06,2.44,43.63,1.43,1.13,2.69,0.93
2025-01-02 18:00:00,201.94,0.0,2.87,36.12,1.36,0.96,2.38,1.04
2025-01-02 19:00:00,206.95,0.0,3.34,32.19,1.31,1.07,2.63,1.41
2025-01-02 20:00:00,213.62,0.0,3.94,30.4,1.34,1.4,3.26,2.06
2025-01-02 21:00:00,220.3,0.0,4.16,30.04,1.3,1.67,3.52,2.37
2025-01-02 22:00:00,223.64,0.0,3.9,30.4,1.21,1.74,3.51,2.31
2025-01-02 23:00:00,223.64,0.0,3.64,31.47,1.1,1.72,3.35,2.22
2025-01-03 00:00:00,223.64,0.0,3.26,32.19,0.93,1.7,3.07,2.15
2025-01-03 01:00:00,223.64,0.0,3.13,31.83,0.85,1.74,3.08,2.12
2025-01-03 02:00:00,223.64,0.0,3.17,31.11,0.89,1.77,3.24,1.98
2025-01-03 03:00:00,223.64,0.0,3.3,29.68,1.0,1.86,3.6,2.06
2025-01-03 04:00:00,220.3,0.0,3.56,28.25,1.21,1.99,4.15,2.09
2025-01-03 05:00:00,220.3,0.0,3.9,26.82,1.67,2.07,4.77,1.96
2025-01-03 06:00:00,216.96,0.0,4.76,25.75,2.8,2.24,5.57,1.63
2025-01-03 07:00:00,230.31,0.13,6.08,23.96,4.05,2.92,6.74,1.39
2025-01-03 08:00:00,253.68,0.8,6.85,24.32,5.01,4.1,8.23,1.28
2025-01-03 09:00:00,260.35,1.06,6.17,30.4,4.59,4.66,8.28,0.97
2025-01-03 10:00:00,253.68,0.85,4.41,44.35,3.81,5.09,8.23,0.86
