Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,337.12,0.42,3.13,26.46,1.19,8.64,9.51,1.99
2025-01-01 09:00:00,267.03,0.23,1.54,37.19,0.77,4.79,5.25,1.16
2025-01-01 10:00:00,267.03,0.18,1.44,39.34,0.73,4.37,4.79,1.19
2025-01-01 11:00:00,283.72,0.16,1.69,39.7,0.71,4.5,4.93,1.31
2025-01-01 12:00:00,310.42,0.19,2.31,38.62,0.83,5.43,5.94,1.69
2025-01-01 13:00:00,330.45,0.26,2.74,38.27,0.91,5.97,6.49,1.84
2025-01-01 14:00:00,340.46,0.32,3.17,37.91,0.97,5.97,6.51,1.85
2025-01-01 15:00:00,340.46,0.3,3.3,38.62,0.97,5.99,6.55,1.85
2025-01-01 16:00:00,340.46,0.2,3.86,35.41,1.0,6.15,6.71,1.82
2025-01-01 17:00:00,337.12,0.08,4.46,31.83,1.0,6.27,6.78,1.69
2025-01-01 18:00:00,330.45,0.01,4.93,30.04,1.04,6.38,6.87,1.6
2025-01-01 19:00:00,320.43,0.0,4.63,29.68,0.98,6.74,7.24,1.49
2025-01-01 20:00:00,307.08,0.0,3.94,30.04,0.86,7.02,7.48,1.35
2025-01-01 21:00:00,307.08,0.0,3.86,29.68,0.84,7.56,8.02,1.31
2025-01-01 22:00:00,310.42,0.0,3.98,28.25,0.83,8.07,8.55,1.33
2025-01-01 23:00:00,313.76,0.0,4.03,26.82,0.78,8.08,8.51,1.3
2025-01-02 00:00:00,310.42,0.0,3.81,25.39,0.72,7.51,7.9,1.35
2025-01-02 01:00:00,307.08,0.0,3.6,23.96,0.68,6.98,7.37,1.44
2025-01-02 02:00:00,307.08,0.0,3.34,23.25,0.65,6.35,6.73,1.49
2025-01-02 03:00:00,293.73,0.0,2.91,23.6,0.58,5.55,5.9,1.44
2025-01-02 04:00:00,280.38,0.0,2.46,24.68,0.54,4.71,5.03,1.36
2025-01-02 05:00:00,270.37,0.0,2.18,26.46,0.53,4.05,4.36,1.25
2025-01-02 06:00:00,260.35,0.0,2.06,27.18,0.56,3.75,4.04,1.14
2025-01-02 07:00:00,257.02,0.02,2.03,26.46,0.66,3.71,4.03,1.11
2025-01-02 08:00:00,250.34,0.21,1.65,27.18,0.72,3.56,3.92,1.06
2025-01-02 09:00:00,243.66,0.27,1.25,30.4,0.71,3.1,3.46,1.0
2025-01-02 10:00:00,250.34,0.27,1.19,35.05,0.77,3.35,3.76,1.19
2025-01-02 11:00:00,257.02,0.22,1.1,42.2,0.84,4.13,4.61,1.41
2025-01-02 12:00:00,236.99,0.14,0.74,43.63,0.58,2.97,3.32,1.11
2025-01-02 13:00:00,240.33,0.13,0.78,45.78,0.6,3.22,3.57,1.17
2025-01-02 14:00:00,247.0,0.14,0.97,48.64,0.66,3.66,4.05,1.25
2025-01-02 15:00:00,250.34,0.16,1.34,47.92,0.75,3.72,4.14,1.39
2025-01-02 16:00:00,257.02,0.14,2.03,45.42,0.85,3.76,4.2,1.63
2025-01-02 17:00:00,267.03,0.05,2.91,41.48,0.93,3.75,4.2,1.73
2025-01-02 18:00:00,350.48,0.01,7.37,30.76,1.62,6.13,6.95,3.2
2025-01-02 19:00:00,487.33,0.05,12.85,18.24,2.35,10.8,12.33,5.38
2025-01-02 20:00:00,580.79,0.16,15.08,11.62,2.83,15.12,17.28,8.36
2025-01-02 21:00:00,654.22,0.21,17.31,10.1,3.7,18.22,20.81,13.55
2025-01-02 22:00:00,714.3,0.23,20.22,9.57,4.53,20.89,23.75,18.49
