Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,230.31,0.02,2.44,33.62,6.85,2.1,2.58,0.72
2025-01-01 09:00:00,233.65,0.06,2.66,34.69,6.62,2.02,2.55,0.68
2025-01-01 10:00:00,230.31,0.08,2.33,36.84,6.62,1.8,2.35,0.62
2025-01-01 11:00:00,223.64,0.08,1.93,39.34,6.79,1.62,2.08,0.55
2025-01-01 12:00:00,216.96,0.07,1.52,41.48,6.79,1.5,1.84,0.44
2025-01-01 13:00:00,220.3,0.1,1.48,42.56,7.45,1.73,2.07,0.46
2025-01-01 14:00:00,220.3,0.12,1.35,44.35,7.45,1.77,2.12,0.48
2025-01-01 15:00:00,223.64,0.12,1.46,43.99,7.27,1.82,2.2,0.6
2025-01-01 16:00:00,230.31,0.08,1.93,42.2,7.63,2.12,2.56,0.71
2025-01-01 17:00:00,236.99,0.03,2.57,40.05,8.34,2.48,2.96,0.77
2025-01-01 18:00:00,253.68,0.0,3.68,36.12,8.58,3.06,3.67,0.98
2025-01-01 19:00:00,273.7,0.0,4.5,31.47,8.58,3.86,4.73,1.2
2025-01-01 20:00:00,287.06,0.0,4.63,27.89,8.46,4.64,5.75,1.31
2025-01-01 21:00:00,283.72,0.0,4.16,26.82,8.23,4.85,5.96,1.35
2025-01-01 22:00:00,267.03,0.0,3.47,27.54,7.75,4.29,5.33,1.27
2025-01-01 23:00:00,243.66,0.0,2.78,29.33,7.21,3.4,4.28,1.09
2025-01-02 00:00:00,223.64,0.0,2.1,31.83,6.79,2.5,3.15,0.89
2025-01-02 01:00:00,211.95,0.0,1.63,33.97,6.32,1.91,2.39,0.85
2025-01-02 02:00:00,206.95,0.0,1.27,36.12,6.08,1.58,1.96,0.82
2025-01-02 03:00:00,206.95,0.0,1.21,36.12,6.02,1.61,1.96,0.89
2025-01-02 04:00:00,211.95,0.0,1.34,34.33,6.2,1.91,2.3,1.03
2025-01-02 05:00:00,216.96,0.0,1.52,32.9,6.5,2.24,2.67,1.16
2025-01-02 06:00:00,220.3,0.0,1.65,33.62,6.74,2.35,2.81,1.17
2025-01-02 07:00:00,223.64,0.0,2.01,34.69,7.15,2.34,2.94,1.12
2025-01-02 08:00:00,230.31,0.04,2.59,35.41,7.75,2.32,3.03,1.06
2025-01-02 09:00:00,226.97,0.07,2.55,38.27,8.11,1.92,2.53,0.85
2025-01-02 10:00:00,226.97,0.09,2.46,38.62,8.11,1.77,2.37,0.9
2025-01-02 11:00:00,223.64,0.1,2.16,38.98,8.23,1.69,2.26,0.93
2025-01-02 12:00:00,220.3,0.07,1.88,38.27,8.58,1.7,2.2,0.85
2025-01-02 13:00:00,223.64,0.07,2.12,36.84,8.94,1.91,2.44,0.93
2025-01-02 14:00:00,226.97,0.07,2.33,35.41,9.3,2.09,2.67,0.98
2025-01-02 15:00:00,226.97,0.06,2.4,33.97,9.18,2.19,2.75,0.98
2025-01-02 16:00:00,226.97,0.04,2.55,32.9,8.82,2.27,2.79,0.95
2025-01-02 17:00:00,230.31,0.02,2.87,32.19,8.7,2.31,2.82,0.91
2025-01-02 18:00:00,236.99,0.0,3.21,31.83,8.34,2.4,3.0,0.95
2025-01-02 19:00:00,240.33,0.0,3.34,30.4,7.99,2.69,3.51,1.04
2025-01-02 20:00:00,240.33,0.0,3.21,28.97,7.57,3.01,3.96,1.12
2025-01-02 21:00:00,236.99,0.0,2.72,27.89,6.97,3.03,3.86,1.04
2025-01-02 22:00:00,226.97,0.0,2.21,27.18,6.62,2.76,3.41,0.92
2025-01-02 23:00:00,223.64,0.0,1.91,26.46,6.68,2.62,3.11,0.8
2025-01-03 00:00:00,226.97,0.0,1.93,23.96,6.56,2.83,3.21,0.88
2025-01-03 01:00:00,233.65,0.01,2.12,20.56,6.44,3.35,3.73,1.11
2025-01-03 02:00:00,236.99,0.01,2.18,18.78,6.56,3.85,4.28,1.36
2025-01-03 03:00:00,247.0,0.01,2.36,17.17,6.91,4.63,5.15,1.69
2025-01-03 04:00:00,250.34,0.02,2.44,16.45,7.09,5.42,5.99,1.73
2025-01-03 05:00:00,253.68,0.02,2.38,16.63,7.09,5.86,6.42,1.58
2025-01-03 06:00:00,247.0,0.01,2.23,19.31,7.09,5.47,6.03,1.38
2025-01-03 07:00:00,247.0,0.01,2.66,21.64,7.39,4.98,5.78,1.36
2025-01-03 08:00:00,253.68,0.03,3.56,23.6,8.23,4.79,5.88,1.35
2025-01-03 09:00:00,236.99,0.05,3.08,30.76,9.3,4.15,5.05,0.86
2025-01-03 10:00:00,233.65,0.07,3.08,32.9,9.42,4.18,5.04,0.96
2025-01-03 11:00:00,233.65,0.11,2.83,34.69,10.01,4.17,5.02,1.01
2025-01-03 12:00:00,211.95,0.08,1.78,37.55,9.06,3.15,3.72,0.69
2025-01-03 13:00:00,208.62,0.05,1.74,37.91,8.7,2.68,3.18,0.74
2025-01-03 14:00:00,213.62,0.03,2.03,37.91,9.42,2.73,3.26,0.85
2025-01-03 15:00:00,216.96,0.06,2.08,37.55,10.85,3.0,3.55,0.86
2025-01-03 16:00:00,226.97,0.13,2.25,37.55,12.52,3.62,4.24,0.89
2025-01-03 17:00:00,233.65,0.1,2.59,37.19,13.47,4.17,4.83,0.87
2025-01-03 18:00:00,257.02,0.01,4.2,31.47,12.76,4.95,5.89,1.28
2025-01-03 19:00:00,287.06,0.0,5.36,24.32,11.21,5.86,7.23,1.63
2025-01-03 20:00:00,307.08,0.01,5.4,20.03,9.89,6.58,8.09,1.76
2025-01-03 21:00:00,323.77,0.02,5.06,16.63,8.11,7.16,8.63,1.99
2025-01-03 22:00:00,337.12,0.04,4.76,13.95,6.62,7.62,9.06,2.25
2025-01-03 23:00:00,340.46,0.06,4.46,12.34,5.84,7.77,9.02,2.34
2025-01-04 00:00:00,340.46,0.09,4.2,10.19,5.13,7.88,8.78,2.31
2025-01-04 01:00:00,333.79,0.08,3.6,9.92,4.95,7.78,8.45,2.28
2025-01-04 02:00:00,320.43,0.06,3.08,11.44,5.13,7.42,8.02,2.28
2025-01-04 03:00:00,317.1,0.07,3.04,11.44,5.36,7.78,8.41,2.37
2025-01-04 04:00:00,323.77,0.09,3.17,10.19,5.54,8.77,9.46,2.44
2025-01-04 05:00:00,330.45,0.12,3.47,8.76,5.54,9.83,10.58,2.47
2025-01-04 06:00:00,330.45,0.12,3.77,9.39,5.66,9.37,10.23,2.31
2025-01-04 07:00:00,333.79,0.2,4.5,9.75,6.08,8.72,9.95,2.22
2025-01-04 08:00:00,347.14,1.01,4.8,11.18,6.91,8.81,10.5,2.09
2025-01-04 09:00:00,240.33,0.37,3.13,33.26,14.42,7.53,8.49,0.19
2025-01-04 10:00:00,230.31,0.25,2.74,36.48,15.26,7.13,7.91,0.31
2025-01-04 11:00:00,230.31,0.14,2.44,37.91,16.21,7.69,8.36,0.23
2025-01-04 12:00:00,211.95,0.07,1.56,38.98,13.47,7.28,7.77,0.0
2025-01-04 13:00:00,203.61,0.07,1.12,39.34,11.21,6.27,6.68,0.0
2025-01-04 14:00:00,200.27,0.07,0.91,40.05,10.37,5.25,5.63,0.0
2025-01-04 15:00:00,200.27,0.09,0.93,40.05,11.32,4.88,5.28,0.09
2025-01-04 16:00:00,205.28,0.12,1.17,40.05,12.99,4.98,5.42,0.26
2025-01-04 17:00:00,210.29,0.1,1.59,39.34,13.11,4.52,4.98,0.37
2025-01-04 18:00:00,220.3,0.01,2.53,35.76,12.76,4.14,4.71,0.61
2025-01-04 19:00:00,230.31,0.0,3.08,31.47,12.04,4.2,4.96,0.87
2025-01-04 20:00:00,236.99,0.0,3.13,28.25,11.21,4.48,5.42,1.04
2025-01-04 21:00:00,240.33,0.0,2.87,27.18,10.49,4.6,5.62,1.06
2025-01-04 22:00:00,233.65,0.0,2.63,27.54,9.78,4.46,5.42,0.95
2025-01-04 23:00:00,226.97,0.0,2.51,28.61,9.18,4.21,5.06,0.82
2025-01-05 00:00:00,226.97,0.0,2.4,28.61,8.46,4.07,4.79,0.82
2025-01-05 01:00:00,230.31,0.0,2.44,27.18,8.11,4.41,5.11,1.01
2025-01-05 02:00:00,230.31,0.0,2.38,26.82,8.11,4.69,5.38,1.17
2025-01-05 03:00:00,247.0,0.01,2.83,21.1,7.03,5.38,6.15,1.76
2025-01-05 04:00:00,277.04,0.03,3.56,13.95,6.02,6.65,7.52,2.34
2025-01-05 05:00:00,303.75,0.09,4.16,9.57,5.84,8.2,9.14,2.75
2025-01-05 06:00:00,323.77,0.11,4.67,9.03,6.32,9.38,10.39,2.88
2025-01-05 07:00:00,353.81,0.22,5.65,9.03,7.45,10.78,12.21,2.98
2025-01-05 08:00:00,390.53,1.13,6.17,8.85,8.58,13.06,15.06,3.07
2025-01-05 09:00:00,280.38,0.34,4.11,30.04,15.97,13.02,14.25,0.49
2025-01-05 10:00:00,260.35,0.28,3.56,37.91,15.26,10.05,11.15,0.63
2025-01-05 11:00:00,236.99,0.19,2.63,44.7,13.59,6.57,7.52,0.6
2025-01-05 12:00:00,216.96,0.11,1.63,46.49,11.68,4.84,5.6,0.38
2025-01-05 13:00:00,210.29,0.07,1.25,45.78,10.25,3.92,4.66,0.36
2025-01-05 14:00:00,203.61,0.05,1.12,45.06,8.82,2.84,3.61,0.41
2025-01-05 15:00:00,196.93,0.04,0.93,43.99,6.74,2.06,2.81,0.4
2025-01-05 16:00:00,196.93,0.03,1.04,42.92,6.74,2.14,2.89,0.44
2025-01-05 17:00:00,201.94,0.01,1.29,42.56,7.21,2.62,3.37,0.46
