Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,201.94,0.02,1.27,27.89,2.71,3.4,3.63,0.0
2025-01-01 09:00:00,203.61,0.09,1.37,24.68,3.04,3.46,3.73,0.0
2025-01-01 10:00:00,201.94,0.13,1.3,25.39,2.59,2.93,3.21,0.0
2025-01-01 11:00:00,201.94,0.14,1.06,29.68,1.97,2.25,2.52,0.01
2025-01-01 12:00:00,200.27,0.12,0.82,35.05,1.55,1.82,2.09,0.04
2025-01-01 13:00:00,201.94,0.09,0.72,37.55,1.37,1.6,1.86,0.05
2025-01-01 14:00:00,201.94,0.08,0.66,37.55,1.45,1.52,1.79,0.05
2025-01-01 15:00:00,201.94,0.06,0.7,36.48,1.7,1.65,1.94,0.03
2025-01-01 16:00:00,201.94,0.04,0.85,34.69,2.21,1.91,2.17,0.0
2025-01-01 17:00:00,200.27,0.01,1.03,31.83,2.89,2.16,2.39,0.0
2025-01-01 18:00:00,198.6,0.0,1.16,28.61,3.64,2.29,2.47,0.0
2025-01-01 19:00:00,196.93,0.0,1.18,26.11,3.7,2.2,2.35,0.0
2025-01-01 20:00:00,195.26,0.0,1.06,25.03,3.22,1.96,2.11,0.0
2025-01-01 21:00:00,191.93,0.0,0.89,25.39,2.38,1.57,1.72,0.0
2025-01-01 22:00:00,191.93,0.0,0.85,25.03,1.91,1.47,1.67,0.0
2025-01-01 23:00:00,190.26,0.0,0.87,25.39,1.65,1.57,1.84,0.03
2025-01-02 00:00:00,190.26,0.0,0.86,27.54,1.4,1.58,1.9,0.06
2025-01-02 01:00:00,190.26,0.0,0.8,29.68,1.16,1.5,1.8,0.07
2025-01-02 02:00:00,190.26,0.0,0.79,30.4,0.92,1.34,1.6,0.08
2025-01-02 03:00:00,190.26,0.0,0.8,29.68,0.78,1.21,1.41,0.08
2025-01-02 04:00:00,190.26,0.0,0.79,29.68,0.68,1.03,1.19,0.08
2025-01-02 05:00:00,188.59,0.0,0.75,30.76,0.59,0.84,0.98,0.09
2025-01-02 06:00:00,188.59,0.0,0.72,32.19,0.52,0.7,0.84,0.1
2025-01-02 07:00:00,190.26,0.0,0.75,33.62,0.57,0.68,0.83,0.09
2025-01-02 08:00:00,191.93,0.03,0.8,34.69,0.73,0.76,0.92,0.06
2025-01-02 09:00:00,191.93,0.05,0.79,36.48,0.95,0.86,1.04,0.03
2025-01-02 10:00:00,191.93,0.05,0.77,37.91,1.15,1.02,1.23,0.01
2025-01-02 11:00:00,191.93,0.05,0.74,37.91,1.18,1.16,1.4,0.03
2025-01-02 12:00:00,193.6,0.03,0.77,36.48,1.07,1.22,1.46,0.07
2025-01-02 13:00:00,193.6,0.01,0.81,33.97,0.95,1.25,1.45,0.08
2025-01-02 14:00:00,191.93,0.01,0.84,31.83,0.88,1.19,1.38,0.08
2025-01-02 15:00:00,193.6,0.0,0.86,30.4,0.86,1.17,1.35,0.08
2025-01-02 16:00:00,196.93,0.0,0.86,28.61,0.64,1.02,1.22,0.12
2025-01-02 17:00:00,200.27,0.0,0.85,27.54,0.37,0.75,0.94,0.16
2025-01-02 18:00:00,201.94,0.0,0.82,28.25,0.31,0.63,0.81,0.18
2025-01-02 19:00:00,200.27,0.0,0.77,30.4,0.37,0.59,0.77,0.17
2025-01-02 20:00:00,198.6,0.0,0.75,31.11,0.39,0.63,0.85,0.21
2025-01-02 21:00:00,195.26,0.0,0.72,31.11,0.38,0.73,1.01,0.24
2025-01-02 22:00:00,193.6,0.0,0.73,30.4,0.38,0.9,1.26,0.25
2025-01-02 23:00:00,191.93,0.0,0.76,30.04,0.38,1.08,1.5,0.23
2025-01-03 00:00:00,191.93,0.0,0.78,30.4,0.35,1.19,1.63,0.21
2025-01-03 01:00:00,190.26,0.0,0.76,31.11,0.33,1.25,1.68,0.18
2025-01-03 02:00:00,190.26,0.0,0.75,31.47,0.34,1.32,1.75,0.14
2025-01-03 03:00:00,190.26,0.0,0.79,31.11,0.4,1.43,1.84,0.11
2025-01-03 04:00:00,190.26,0.0,0.85,30.76,0.57,1.6,2.0,0.08
2025-01-03 05:00:00,191.93,0.0,0.9,30.4,0.85,1.89,2.28,0.07
2025-01-03 06:00:00,193.6,0.0,0.92,29.68,1.21,2.27,2.68,0.07
2025-01-03 07:00:00,193.6,0.02,0.94,27.18,1.43,2.61,3.07,0.08
