Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,580.79,0.86,13.71,18.06,2.53,16.36,17.89,19.76
2025-01-01 09:00:00,607.49,0.64,16.11,28.97,3.25,17.32,19.05,19.25
2025-01-01 10:00:00,620.84,0.5,16.62,45.78,3.55,18.52,20.38,20.01
2025-01-01 11:00:00,620.84,0.36,14.91,61.51,3.37,19.36,21.25,19.76
2025-01-01 12:00:00,587.46,0.32,11.31,75.82,2.89,18.59,20.37,16.72
2025-01-01 13:00:00,567.44,0.24,8.74,87.26,2.62,18.74,20.46,14.57
2025-01-01 14:00:00,574.11,0.22,7.97,90.12,2.71,19.97,21.68,14.31
2025-01-01 15:00:00,594.14,0.18,7.97,91.55,2.92,21.87,23.57,14.57
2025-01-01 16:00:00,614.17,0.11,8.65,84.4,3.07,22.94,24.49,14.57
2025-01-01 17:00:00,614.17,0.04,10.2,67.23,3.07,21.55,22.79,13.3
2025-01-01 18:00:00,574.11,0.0,11.48,46.49,2.74,17.16,18.08,10.39
2025-01-01 19:00:00,487.33,0.0,10.2,32.54,2.0,11.9,12.64,6.84
2025-01-01 20:00:00,390.53,0.0,6.94,26.46,1.19,7.62,8.19,3.77
2025-01-01 21:00:00,310.42,0.0,4.28,27.54,0.69,4.77,5.13,2.22
2025-01-01 22:00:00,307.08,0.0,4.76,25.75,0.73,4.92,5.31,2.82
2025-01-01 23:00:00,323.77,0.0,5.48,25.03,0.81,5.85,6.28,3.83
2025-01-02 00:00:00,340.46,0.0,5.83,25.75,0.85,6.85,7.3,4.81
2025-01-02 01:00:00,367.16,0.0,6.17,26.11,0.89,8.27,8.78,6.4
2025-01-02 02:00:00,400.54,0.0,6.77,26.11,0.95,10.22,10.8,8.23
2025-01-02 03:00:00,413.89,0.0,7.11,24.68,0.94,10.92,11.54,8.99
2025-01-02 04:00:00,427.25,0.0,7.8,21.1,0.97,11.8,12.5,10.26
2025-01-02 05:00:00,447.27,0.0,8.23,18.24,0.97,13.1,13.9,11.02
2025-01-02 06:00:00,480.65,0.0,8.74,15.91,1.01,15.93,16.89,11.91
2025-01-02 07:00:00,480.65,0.1,8.57,16.81,1.12,16.18,17.28,10.51
2025-01-02 08:00:00,453.95,0.52,7.63,27.18,1.39,13.9,15.05,7.79
2025-01-02 09:00:00,453.95,0.44,7.8,44.35,1.86,13.36,14.63,7.66
2025-01-02 10:00:00,500.68,0.38,9.0,57.94,2.53,16.07,17.61,10.77
2025-01-02 11:00:00,574.11,0.32,9.77,73.67,3.13,21.16,23.02,15.33
