Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,223.64,0.02,3.73,36.12,1.4,1.73,2.0,0.54
2025-01-01 09:00:00,223.64,0.04,3.6,35.76,1.28,1.71,1.99,0.52
2025-01-01 10:00:00,216.96,0.06,2.74,37.19,0.92,1.36,1.63,0.48
2025-01-01 11:00:00,211.95,0.06,1.97,39.7,0.6,1.0,1.23,0.43
2025-01-01 12:00:00,205.28,0.07,1.35,42.56,0.42,0.72,0.88,0.34
2025-01-01 13:00:00,203.61,0.07,1.12,45.78,0.41,0.65,0.79,0.3
2025-01-01 14:00:00,205.28,0.07,1.02,48.64,0.42,0.65,0.79,0.29
2025-01-01 15:00:00,205.28,0.05,1.04,50.78,0.44,0.66,0.8,0.29
2025-01-01 16:00:00,208.62,0.03,1.23,52.93,0.54,0.73,0.89,0.32
2025-01-01 17:00:00,213.62,0.01,1.56,53.64,0.72,0.85,1.01,0.34
2025-01-01 18:00:00,216.96,0.0,1.82,52.93,0.97,1.06,1.25,0.34
2025-01-01 19:00:00,216.96,0.0,1.88,50.78,1.09,1.26,1.44,0.33
2025-01-01 20:00:00,216.96,0.0,1.97,47.92,1.16,1.47,1.63,0.31
2025-01-01 21:00:00,213.62,0.0,1.93,43.63,1.13,1.46,1.63,0.32
2025-01-01 22:00:00,216.96,0.0,1.95,39.7,1.09,1.32,1.56,0.4
2025-01-01 23:00:00,220.3,0.0,2.12,36.12,1.01,1.25,1.58,0.54
2025-01-02 00:00:00,220.3,0.0,2.23,33.26,0.95,1.21,1.59,0.67
2025-01-02 01:00:00,220.3,0.0,2.29,31.11,0.98,1.2,1.63,0.78
2025-01-02 02:00:00,220.3,0.0,2.25,30.04,0.98,1.15,1.57,0.82
2025-01-02 03:00:00,216.96,0.0,2.18,30.04,0.94,1.07,1.43,0.81
2025-01-02 04:00:00,213.62,0.0,2.21,30.04,0.92,0.99,1.32,0.78
2025-01-02 05:00:00,210.29,0.0,2.25,30.4,0.91,0.91,1.22,0.76
2025-01-02 06:00:00,208.62,0.0,2.27,31.11,0.9,0.84,1.14,0.74
2025-01-02 07:00:00,208.62,0.0,2.38,32.19,0.89,0.79,1.09,0.74
2025-01-02 08:00:00,210.29,0.02,2.63,33.26,0.93,0.77,1.1,0.74
2025-01-02 09:00:00,210.29,0.03,2.61,34.69,0.89,0.74,1.08,0.68
2025-01-02 10:00:00,208.62,0.04,2.36,36.84,0.86,0.73,1.07,0.64
2025-01-02 11:00:00,206.95,0.05,2.06,39.7,0.85,0.73,1.05,0.59
2025-01-02 12:00:00,205.28,0.05,1.8,41.84,0.79,0.74,0.99,0.51
2025-01-02 13:00:00,203.61,0.04,1.59,42.56,0.71,0.72,0.93,0.43
2025-01-02 14:00:00,198.6,0.04,1.33,40.77,0.55,0.6,0.77,0.34
2025-01-02 15:00:00,196.93,0.05,1.21,37.91,0.45,0.53,0.68,0.32
2025-01-02 16:00:00,196.93,0.06,1.21,36.84,0.44,0.55,0.72,0.35
2025-01-02 17:00:00,198.6,0.04,1.26,36.48,0.45,0.56,0.75,0.36
2025-01-02 18:00:00,205.28,0.0,2.18,35.05,0.77,0.7,0.97,0.5
2025-01-02 19:00:00,216.96,0.0,3.38,33.62,1.28,1.0,1.48,0.74
2025-01-02 20:00:00,230.31,0.0,4.41,31.11,1.62,1.37,2.07,1.0
2025-01-02 21:00:00,243.66,0.0,5.36,27.89,1.74,1.71,2.58,1.14
2025-01-02 22:00:00,250.34,0.0,5.65,25.75,1.61,1.84,2.75,1.14
2025-01-02 23:00:00,243.66,0.0,5.1,25.39,1.39,1.71,2.55,0.99
2025-01-03 00:00:00,220.3,0.0,3.17,27.89,0.86,1.2,1.75,0.6
2025-01-03 01:00:00,211.95,0.0,2.66,27.89,0.76,1.07,1.54,0.51
2025-01-03 02:00:00,211.95,0.0,2.78,27.54,0.83,1.15,1.62,0.52
2025-01-03 03:00:00,210.29,0.0,2.91,26.82,0.92,1.23,1.68,0.54
2025-01-03 04:00:00,210.29,0.0,3.0,26.46,0.95,1.3,1.73,0.55
2025-01-03 05:00:00,210.29,0.0,3.0,26.11,0.93,1.36,1.8,0.56
2025-01-03 06:00:00,211.95,0.0,3.0,26.46,1.01,1.41,1.89,0.55
2025-01-03 07:00:00,210.29,0.07,2.83,27.54,1.13,1.57,2.09,0.54
2025-01-03 08:00:00,211.95,0.47,2.7,30.76,1.67,2.49,3.02,0.51
2025-01-03 09:00:00,220.3,0.68,2.91,39.7,2.53,4.01,4.58,0.46
2025-01-03 10:00:00,223.64,0.41,2.38,52.21,2.32,4.4,5.01,0.49
2025-01-03 11:00:00,226.97,0.19,1.54,62.94,1.58,4.2,4.87,0.55
2025-01-03 12:00:00,226.97,0.12,1.14,69.38,1.12,4.3,4.99,0.57
2025-01-03 13:00:00,223.64,0.11,0.97,70.81,0.92,4.67,5.35,0.55
2025-01-03 14:00:00,223.64,0.1,0.92,72.24,0.89,5.3,5.99,0.53
