Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,467.3,1.68,11.31,30.76,7.09,8.39,11.52,4.43
2025-01-01 09:00:00,520.71,2.82,13.02,34.69,7.87,9.34,13.04,4.37
2025-01-01 10:00:00,473.98,1.61,11.65,43.63,6.38,7.99,11.56,3.39
2025-01-01 11:00:00,420.57,0.56,9.25,49.35,5.01,6.58,9.77,2.66
2025-01-01 12:00:00,397.21,0.43,7.03,53.64,4.35,6.76,9.57,2.28
2025-01-01 13:00:00,383.85,0.53,5.23,64.37,3.99,7.02,9.48,2.03
2025-01-01 14:00:00,357.15,0.52,4.07,70.81,3.64,6.34,8.39,1.76
2025-01-01 15:00:00,370.5,0.5,5.1,80.82,4.53,7.0,9.13,2.28
2025-01-01 16:00:00,433.92,0.43,8.91,86.55,6.38,9.14,11.73,3.29
2025-01-01 17:00:00,527.38,0.16,15.42,77.25,8.58,10.7,13.7,4.24
2025-01-01 18:00:00,580.79,0.0,20.22,56.51,9.78,10.3,13.43,4.56
2025-01-01 19:00:00,607.49,0.0,22.28,43.27,10.49,10.31,13.75,5.0
2025-01-01 20:00:00,654.22,0.0,24.68,36.12,11.44,11.99,16.04,5.95
2025-01-01 21:00:00,640.87,0.0,22.96,31.47,10.97,12.13,16.36,6.08
2025-01-01 22:00:00,587.46,0.0,19.71,28.61,9.66,11.24,15.35,5.7
2025-01-01 23:00:00,547.41,0.0,17.82,26.82,8.58,10.45,14.21,5.32
2025-01-02 00:00:00,514.03,0.0,16.28,25.75,7.57,9.56,12.89,5.0
2025-01-02 01:00:00,460.62,0.0,13.54,26.11,6.32,8.15,10.99,4.37
2025-01-02 02:00:00,390.53,0.0,9.77,27.89,4.83,6.4,8.71,3.64
2025-01-02 03:00:00,353.81,0.0,7.71,28.97,4.23,5.61,7.65,3.48
2025-01-02 04:00:00,340.46,0.0,6.77,29.68,4.17,5.42,7.41,3.61
2025-01-02 05:00:00,323.77,0.0,6.08,30.76,4.11,5.12,7.09,3.55
2025-01-02 06:00:00,310.42,0.0,5.57,32.54,3.93,4.3,6.21,3.39
2025-01-02 07:00:00,353.81,0.02,8.57,31.47,5.19,4.82,7.23,4.05
2025-01-02 08:00:00,480.65,1.34,14.91,27.54,8.11,7.19,10.6,5.57
2025-01-02 09:00:00,554.08,2.96,17.48,33.26,9.66,8.62,12.6,6.08
2025-01-02 10:00:00,534.06,1.84,17.31,46.49,9.18,8.37,12.3,5.51
2025-01-02 11:00:00,480.65,0.69,14.39,56.51,7.75,7.6,11.2,4.5
2025-01-02 12:00:00,460.62,0.4,10.97,57.94,6.56,8.41,11.71,3.51
2025-01-02 13:00:00,487.33,0.49,10.71,71.53,7.09,10.85,14.22,3.74
2025-01-02 14:00:00,527.38,0.53,11.14,88.69,7.87,12.97,16.4,4.12
2025-01-02 15:00:00,574.11,0.44,12.17,101.57,8.82,15.57,19.11,4.56
2025-01-02 16:00:00,634.19,0.25,14.91,98.71,10.13,18.08,21.85,5.07
2025-01-02 17:00:00,734.33,0.07,20.91,88.69,12.16,20.14,24.1,5.7
2025-01-02 18:00:00,787.73,0.0,26.39,70.81,13.35,18.75,22.74,5.83
2025-01-02 19:00:00,781.06,0.0,28.45,54.36,13.23,16.14,20.3,5.76
2025-01-02 20:00:00,754.36,0.0,27.76,42.2,12.4,14.53,18.96,5.76
2025-01-02 21:00:00,647.54,0.0,23.31,30.04,9.66,11.07,15.25,4.81
2025-01-02 22:00:00,547.41,0.01,18.51,20.03,7.27,8.29,12.05,3.96
2025-01-02 23:00:00,487.33,0.03,15.42,14.13,5.84,6.75,9.97,3.48
2025-01-03 00:00:00,447.27,0.04,13.02,11.98,5.07,5.86,8.67,3.26
2025-01-03 01:00:00,400.54,0.01,9.68,13.23,4.17,4.96,7.42,3.01
2025-01-03 02:00:00,360.49,0.0,6.34,16.63,3.13,4.05,6.07,2.6
2025-01-03 03:00:00,347.14,0.0,4.58,19.13,2.74,3.79,5.62,2.56
2025-01-03 04:00:00,350.48,0.0,3.98,20.03,2.86,3.93,5.74,2.79
2025-01-03 05:00:00,360.49,0.0,3.77,19.49,3.07,4.13,5.97,2.98
2025-01-03 06:00:00,377.18,0.01,4.03,18.42,3.13,4.18,5.89,2.82
2025-01-03 07:00:00,440.6,0.09,7.45,15.2,4.53,5.56,7.69,3.36
2025-01-03 08:00:00,567.44,0.92,15.25,9.03,7.63,8.5,11.57,4.75
2025-01-03 09:00:00,687.6,2.65,20.56,7.15,10.25,11.05,14.75,5.64
2025-01-03 10:00:00,741.0,3.02,23.31,11.27,11.44,12.68,16.76,6.02
