Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,433.92,3.19,6.0,4.07,1.65,10.38,11.81,1.46
2025-01-01 09:00:00,310.42,0.52,5.27,17.52,1.07,5.23,5.9,0.75
2025-01-01 10:00:00,293.73,0.33,4.46,25.75,1.04,4.22,4.77,0.69
2025-01-01 11:00:00,290.39,0.27,3.94,32.19,1.13,4.05,4.57,0.78
2025-01-01 12:00:00,236.99,0.17,2.1,34.69,0.62,2.31,2.56,0.39
2025-01-01 13:00:00,220.3,0.13,1.65,35.41,0.46,1.61,1.8,0.34
2025-01-01 14:00:00,220.3,0.1,1.69,35.05,0.5,1.67,1.86,0.44
2025-01-01 15:00:00,226.97,0.11,2.12,32.19,0.58,1.71,1.92,0.46
2025-01-01 16:00:00,243.66,0.1,3.17,27.54,0.75,1.83,2.11,0.55
2025-01-01 17:00:00,263.69,0.05,4.5,22.53,0.95,1.76,2.09,0.64
2025-01-01 18:00:00,283.72,0.01,5.74,18.6,1.24,1.9,2.36,0.84
2025-01-01 19:00:00,307.08,0.02,6.43,14.31,1.39,2.34,2.97,0.95
2025-01-01 20:00:00,320.43,0.04,6.85,10.19,1.36,2.82,3.53,0.93
2025-01-01 21:00:00,327.11,0.05,6.85,7.51,1.33,3.64,4.54,1.17
2025-01-01 22:00:00,330.45,0.07,6.68,5.72,1.31,4.39,5.43,1.33
2025-01-01 23:00:00,330.45,0.12,6.51,4.25,1.21,4.78,5.77,1.36
2025-01-02 00:00:00,327.11,0.18,6.08,3.0,0.98,4.81,5.63,1.3
2025-01-02 01:00:00,323.77,0.16,5.4,2.32,0.86,5.16,5.99,1.6
2025-01-02 02:00:00,317.1,0.13,4.84,2.06,0.83,5.87,6.84,2.12
2025-01-02 03:00:00,307.08,0.12,4.2,1.86,0.74,6.19,7.13,2.06
2025-01-02 04:00:00,293.73,0.09,3.56,1.97,0.6,5.91,6.71,1.69
2025-01-02 05:00:00,277.04,0.06,3.08,2.75,0.54,5.36,5.98,1.39
2025-01-02 06:00:00,260.35,0.02,2.78,5.19,0.63,4.52,4.99,1.23
2025-01-02 07:00:00,263.69,0.1,3.3,6.17,0.82,4.35,4.85,1.03
2025-01-02 08:00:00,280.38,0.45,4.07,9.83,1.07,4.38,4.92,0.82
2025-01-02 09:00:00,270.37,0.32,3.9,18.6,1.04,3.72,4.16,0.71
2025-01-02 10:00:00,270.37,0.38,3.38,29.33,1.06,3.33,3.75,0.68
2025-01-02 11:00:00,270.37,0.32,2.57,45.06,0.98,3.11,3.46,0.56
2025-01-02 12:00:00,250.34,0.19,1.78,54.36,0.75,2.76,3.09,0.54
2025-01-02 13:00:00,257.02,0.14,1.91,56.51,0.77,2.8,3.16,0.62
2025-01-02 14:00:00,267.03,0.08,2.44,53.64,0.98,3.18,3.64,0.84
2025-01-02 15:00:00,303.75,0.04,4.2,41.13,1.48,4.22,4.97,1.27
2025-01-02 16:00:00,363.83,0.03,6.43,28.25,1.88,5.96,7.03,1.42
2025-01-02 17:00:00,427.25,0.01,8.65,20.21,2.18,7.66,8.86,1.39
2025-01-02 18:00:00,500.68,0.02,11.31,13.23,2.62,9.73,11.02,1.73
2025-01-02 19:00:00,567.44,0.1,13.02,7.6,2.83,11.35,12.88,1.99
2025-01-02 20:00:00,600.81,0.31,13.54,4.11,2.89,12.09,13.78,2.41
2025-01-02 21:00:00,600.81,0.49,13.19,2.5,3.01,12.53,14.42,3.26
2025-01-02 22:00:00,587.46,0.75,12.0,1.41,2.86,13.03,15.07,3.55
2025-01-02 23:00:00,574.11,1.16,10.97,0.72,2.62,13.45,15.47,3.58
2025-01-03 00:00:00,567.44,1.52,10.8,0.28,2.35,13.65,15.41,3.77
2025-01-03 01:00:00,547.41,1.27,10.62,0.3,2.21,13.89,15.51,4.69
2025-01-03 02:00:00,507.35,0.65,10.2,0.56,2.26,14.25,15.88,6.21
2025-01-03 03:00:00,473.98,0.35,9.34,0.67,2.18,14.4,16.21,6.9
2025-01-03 04:00:00,447.27,0.3,7.54,0.59,1.59,14.03,15.75,5.19
2025-01-03 05:00:00,420.57,0.31,6.0,0.66,1.12,13.33,14.84,3.2
