Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,473.98,6.82,5.83,1.52,3.28,11.89,13.78,3.7
2025-01-01 09:00:00,293.73,0.43,6.6,19.85,1.82,4.12,4.85,1.16
2025-01-01 10:00:00,263.69,0.18,4.88,24.68,1.4,2.63,3.18,0.89
2025-01-01 11:00:00,250.34,0.13,4.03,27.54,1.25,2.09,2.57,0.83
2025-01-01 12:00:00,236.99,0.09,3.6,31.11,1.85,1.75,2.12,0.67
2025-01-01 13:00:00,240.33,0.08,3.86,31.47,1.97,1.86,2.24,0.77
2025-01-01 14:00:00,243.66,0.06,3.81,32.9,1.61,1.96,2.39,1.03
2025-01-01 15:00:00,253.68,0.07,4.33,31.83,1.67,2.24,2.73,1.25
2025-01-01 16:00:00,270.37,0.06,5.74,29.33,2.03,2.88,3.48,1.5
2025-01-01 17:00:00,293.73,0.02,7.37,26.46,2.38,3.55,4.24,1.69
2025-01-01 18:00:00,360.49,0.01,12.51,19.85,3.55,5.86,7.0,3.55
2025-01-01 19:00:00,453.95,0.03,19.36,13.23,5.36,9.28,11.12,6.78
2025-01-01 20:00:00,534.06,0.12,24.68,8.05,6.74,12.49,14.91,9.63
2025-01-01 21:00:00,580.79,0.3,25.36,4.38,7.21,15.23,18.18,11.78
2025-01-01 22:00:00,587.46,0.51,21.76,2.55,6.68,16.69,19.91,12.41
2025-01-01 23:00:00,560.76,0.66,17.48,1.94,5.72,16.57,19.7,11.78
2025-01-02 00:00:00,520.71,0.65,14.57,1.9,4.83,15.44,18.14,10.64
2025-01-02 01:00:00,473.98,0.47,12.0,2.35,3.99,13.75,15.96,9.63
2025-01-02 02:00:00,433.92,0.34,9.42,3.04,3.19,12.09,13.88,8.49
2025-01-02 03:00:00,423.91,0.32,8.31,3.22,2.8,11.24,12.84,8.23
2025-01-02 04:00:00,420.57,0.37,8.05,2.91,2.74,10.87,12.4,8.36
2025-01-02 05:00:00,410.56,0.5,7.8,2.41,2.62,10.26,11.73,7.79
2025-01-02 06:00:00,383.85,0.71,6.6,2.06,2.09,8.75,10.11,5.26
2025-01-02 07:00:00,380.52,1.55,6.6,1.48,2.18,7.75,9.25,3.8
2025-01-02 08:00:00,403.88,3.63,7.11,2.08,2.83,7.82,9.6,3.29
2025-01-02 09:00:00,250.34,0.31,4.46,23.6,1.25,2.1,2.7,1.08
2025-01-02 10:00:00,223.64,0.14,3.08,27.89,0.89,1.24,1.66,0.83
