Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,226.97,0.04,2.18,37.91,3.78,7.04,7.42,0.0
2025-01-01 09:00:00,230.31,0.05,2.33,36.48,3.43,7.76,8.15,0.0
2025-01-01 10:00:00,230.31,0.06,2.03,36.12,3.34,9.26,9.73,0.0
2025-01-01 11:00:00,230.31,0.05,1.71,37.55,3.31,10.5,11.03,0.0
2025-01-01 12:00:00,226.97,0.04,1.18,41.13,2.83,9.97,10.34,0.0
2025-01-01 13:00:00,226.97,0.04,1.1,42.56,2.59,9.55,9.88,0.0
2025-01-01 14:00:00,226.97,0.04,1.17,43.27,2.62,9.15,9.48,0.0
2025-01-01 15:00:00,230.31,0.05,1.56,41.48,2.8,8.59,8.94,0.0
2025-01-01 16:00:00,233.65,0.04,2.16,39.7,2.71,7.95,8.31,0.0
2025-01-01 17:00:00,240.33,0.02,2.87,38.27,2.41,7.01,7.35,0.02
2025-01-01 18:00:00,240.33,0.0,3.21,37.19,2.12,5.97,6.29,0.16
2025-01-01 19:00:00,240.33,0.0,3.0,36.48,1.91,5.33,5.65,0.26
2025-01-01 20:00:00,236.99,0.0,2.63,35.76,1.76,4.88,5.2,0.33
2025-01-01 21:00:00,230.31,0.0,2.23,35.76,1.62,4.32,4.66,0.37
2025-01-01 22:00:00,226.97,0.0,1.97,36.12,1.64,3.97,4.32,0.37
2025-01-01 23:00:00,226.97,0.0,1.84,36.48,1.77,4.13,4.44,0.34
2025-01-02 00:00:00,230.31,0.0,1.74,36.12,1.94,4.32,4.58,0.35
2025-01-02 01:00:00,233.65,0.0,1.67,35.05,2.0,4.33,4.56,0.47
2025-01-02 02:00:00,233.65,0.0,1.69,34.33,2.06,4.26,4.48,0.61
2025-01-02 03:00:00,230.31,0.0,1.74,33.26,2.09,4.26,4.48,0.66
2025-01-02 04:00:00,226.97,0.0,1.74,32.54,2.12,4.5,4.72,0.49
2025-01-02 05:00:00,226.97,0.0,1.65,32.54,2.09,4.8,5.05,0.3
2025-01-02 06:00:00,223.64,0.0,1.59,32.54,2.03,5.08,5.39,0.15
2025-01-02 07:00:00,223.64,0.0,1.88,31.47,2.06,5.41,5.8,0.09
2025-01-02 08:00:00,223.64,0.11,2.29,30.76,2.09,5.38,5.85,0.07
2025-01-02 09:00:00,213.62,0.21,2.1,32.9,1.88,4.54,5.07,0.07
2025-01-02 10:00:00,205.28,0.18,1.78,36.12,1.65,3.9,4.41,0.05
2025-01-02 11:00:00,201.94,0.11,1.5,38.98,1.68,3.91,4.35,0.0
2025-01-02 12:00:00,201.94,0.09,1.15,40.77,1.67,4.24,4.56,0.0
2025-01-02 13:00:00,205.28,0.12,0.91,42.92,1.79,5.05,5.34,0.0
2025-01-02 14:00:00,206.95,0.13,0.77,45.78,1.83,5.7,5.97,0.0
2025-01-02 15:00:00,211.95,0.15,0.93,47.21,1.88,6.75,7.02,0.0
2025-01-02 16:00:00,220.3,0.14,1.5,46.49,2.0,7.86,8.16,0.0
2025-01-02 17:00:00,223.64,0.06,2.38,44.35,2.12,8.04,8.37,0.0
2025-01-02 18:00:00,223.64,0.0,2.96,42.92,2.24,7.73,8.08,0.0
2025-01-02 19:00:00,220.3,0.0,2.96,41.48,2.32,8.07,8.42,0.0
2025-01-02 20:00:00,220.3,0.0,2.78,40.41,2.44,8.99,9.34,0.0
2025-01-02 21:00:00,226.97,0.0,2.91,37.91,2.68,10.11,10.45,0.0
2025-01-02 22:00:00,240.33,0.0,3.43,36.12,2.98,10.62,10.95,0.49
2025-01-02 23:00:00,253.68,0.0,4.11,37.55,3.31,10.6,10.9,1.36
2025-01-03 00:00:00,267.03,0.0,4.76,39.7,3.4,10.81,11.06,2.34
2025-01-03 01:00:00,267.03,0.0,4.33,38.98,2.89,10.51,10.74,2.72
2025-01-03 02:00:00,257.02,0.0,3.43,36.12,2.06,9.02,9.23,2.66
2025-01-03 03:00:00,247.0,0.0,2.72,32.19,1.34,7.25,7.44,2.5
2025-01-03 04:00:00,236.99,0.0,2.38,30.04,0.97,5.88,6.07,2.56
2025-01-03 05:00:00,233.65,0.0,2.23,28.61,0.77,4.87,5.07,2.66
2025-01-03 06:00:00,226.97,0.0,2.12,27.18,0.66,4.0,4.22,2.44
2025-01-03 07:00:00,230.31,0.01,2.87,23.96,0.81,3.64,3.89,1.87
2025-01-03 08:00:00,240.33,0.06,4.07,22.17,1.09,3.68,3.93,1.3
2025-01-03 09:00:00,223.64,0.07,3.13,25.39,1.03,3.46,3.68,0.59
2025-01-03 10:00:00,216.96,0.05,2.68,26.11,1.09,3.41,3.66,0.42
2025-01-03 11:00:00,210.29,0.03,2.23,27.54,1.15,3.21,3.5,0.28
2025-01-03 12:00:00,206.95,0.03,1.76,28.61,1.01,2.89,3.14,0.17
2025-01-03 13:00:00,206.95,0.05,1.69,29.33,1.03,3.04,3.29,0.16
2025-01-03 14:00:00,208.62,0.06,1.67,30.76,1.24,3.62,3.9,0.12
2025-01-03 15:00:00,213.62,0.03,1.82,31.47,1.56,4.87,5.16,0.06
2025-01-03 16:00:00,220.3,0.01,2.18,32.19,2.0,6.73,7.07,0.01
2025-01-03 17:00:00,226.97,0.0,2.59,33.26,2.41,8.63,8.98,0.0
2025-01-03 18:00:00,233.65,0.0,3.26,33.97,2.83,10.38,10.78,0.0
2025-01-03 19:00:00,236.99,0.0,3.68,32.9,2.83,11.54,11.95,0.0
2025-01-03 20:00:00,236.99,0.0,3.47,31.47,2.59,11.81,12.2,0.0
2025-01-03 21:00:00,233.65,0.0,2.87,31.11,2.47,11.63,12.02,0.0
2025-01-03 22:00:00,230.31,0.0,2.55,30.76,2.53,12.34,12.76,0.0
2025-01-03 23:00:00,233.65,0.0,2.59,30.76,2.83,14.4,14.86,0.0
2025-01-04 00:00:00,233.65,0.0,2.53,31.11,3.49,17.54,18.0,0.0
2025-01-04 01:00:00,233.65,0.0,2.01,32.9,4.29,20.54,20.96,0.0
2025-01-04 02:00:00,236.99,0.0,1.67,34.69,5.07,22.04,22.41,0.0
2025-01-04 03:00:00,236.99,0.0,1.56,34.69,4.89,20.75,21.06,0.0
2025-01-04 04:00:00,233.65,0.0,1.5,32.54,4.05,17.87,18.15,0.0
2025-01-04 05:00:00,230.31,0.0,1.54,30.04,3.31,15.02,15.29,0.0
2025-01-04 06:00:00,223.64,0.0,1.67,28.25,2.98,12.9,13.21,0.0
2025-01-04 07:00:00,223.64,0.01,1.99,27.54,3.07,11.93,12.29,0.0
2025-01-04 08:00:00,226.97,0.13,2.03,29.33,3.4,12.24,12.65,0.0
2025-01-04 09:00:00,226.97,0.16,1.74,32.9,3.76,13.23,13.71,0.0
2025-01-04 10:00:00,223.64,0.11,1.39,34.69,3.76,14.59,15.12,0.0
2025-01-04 11:00:00,216.96,0.05,1.02,35.76,2.89,13.35,13.87,0.0
2025-01-04 12:00:00,206.95,0.03,0.62,36.48,1.43,8.04,8.48,0.0
2025-01-04 13:00:00,198.6,0.04,0.48,36.48,0.67,4.32,4.77,0.0
2025-01-04 14:00:00,195.26,0.04,0.44,37.19,0.42,2.56,2.96,0.06
2025-01-04 15:00:00,200.27,0.05,0.49,39.7,0.34,1.84,2.21,0.2
2025-01-04 16:00:00,211.95,0.08,0.68,42.92,0.34,1.84,2.25,0.34
2025-01-04 17:00:00,223.64,0.08,1.04,45.42,0.39,2.03,2.46,0.42
2025-01-04 18:00:00,223.64,0.01,1.41,44.35,0.46,2.0,2.44,0.45
2025-01-04 19:00:00,216.96,0.0,1.41,41.13,0.54,1.8,2.27,0.43
2025-01-04 20:00:00,206.95,0.0,1.27,37.55,0.89,1.79,2.36,0.38
2025-01-04 21:00:00,201.94,0.0,1.2,35.41,1.79,2.45,3.17,0.33
2025-01-04 22:00:00,208.62,0.0,1.29,35.05,2.74,3.79,4.55,0.27
2025-01-04 23:00:00,220.3,0.0,1.44,35.76,3.19,5.82,6.52,0.16
2025-01-05 00:00:00,226.97,0.0,1.5,36.84,3.1,7.73,8.29,0.02
2025-01-05 01:00:00,226.97,0.0,1.46,37.91,2.8,8.76,9.23,0.0
2025-01-05 02:00:00,220.3,0.0,1.37,38.27,2.5,8.57,9.04,0.0
2025-01-05 03:00:00,213.62,0.0,1.31,36.84,2.35,7.85,8.29,0.0
2025-01-05 04:00:00,213.62,0.0,1.22,35.05,2.38,7.54,7.92,0.0
2025-01-05 05:00:00,216.96,0.0,1.07,32.9,2.53,7.62,7.95,0.0
2025-01-05 06:00:00,213.62,0.0,0.96,30.4,2.29,6.77,7.1,0.02
2025-01-05 07:00:00,216.96,0.0,1.11,28.97,1.4,4.07,4.4,0.2
2025-01-05 08:00:00,203.61,0.01,1.17,28.25,0.59,1.46,1.83,0.27
2025-01-05 09:00:00,195.26,0.03,0.94,35.41,0.38,0.75,1.14,0.24
2025-01-05 10:00:00,200.27,0.04,0.84,40.05,0.38,0.77,1.15,0.23
2025-01-05 11:00:00,198.6,0.05,0.72,41.48,0.37,0.73,1.07,0.19
2025-01-05 12:00:00,195.26,0.04,0.49,42.92,0.3,0.91,1.12,0.1
2025-01-05 13:00:00,196.93,0.03,0.45,44.35,0.29,0.93,1.12,0.09
2025-01-05 14:00:00,196.93,0.03,0.46,45.42,0.34,1.01,1.21,0.09
2025-01-05 15:00:00,201.94,0.03,0.55,47.92,0.39,1.36,1.63,0.14
2025-01-05 16:00:00,211.95,0.05,0.77,51.5,0.45,1.71,2.1,0.26
2025-01-05 17:00:00,220.3,0.04,1.07,53.64,0.56,1.9,2.36,0.34
2025-01-05 18:00:00,216.96,0.01,1.27,52.93,0.69,1.88,2.36,0.38
2025-01-05 19:00:00,213.62,0.0,1.21,50.78,0.77,1.78,2.28,0.39
2025-01-05 20:00:00,211.95,0.0,1.09,48.64,0.82,1.71,2.23,0.41
2025-01-05 21:00:00,210.29,0.0,1.02,45.78,0.91,1.72,2.28,0.43
2025-01-05 22:00:00,208.62,0.0,1.01,42.2,0.95,1.76,2.36,0.46
2025-01-05 23:00:00,206.95,0.0,1.02,39.34,0.86,1.9,2.56,0.48
2025-01-06 00:00:00,208.62,0.0,0.96,40.77,0.69,2.38,3.12,0.51
2025-01-06 01:00:00,216.96,0.0,0.9,45.78,0.6,3.26,4.1,0.54
2025-01-06 02:00:00,226.97,0.0,0.84,52.21,0.58,4.28,5.17,0.55
2025-01-06 03:00:00,236.99,0.0,0.78,55.79,0.51,4.94,5.81,0.54
2025-01-06 04:00:00,240.33,0.0,0.72,57.22,0.4,5.04,5.89,0.51
2025-01-06 05:00:00,240.33,0.0,0.71,57.94,0.32,4.68,5.51,0.48
2025-01-06 06:00:00,240.33,0.0,0.77,57.94,0.31,4.16,4.94,0.44
2025-01-06 07:00:00,240.33,0.0,1.02,57.22,0.38,3.8,4.56,0.42
2025-01-06 08:00:00,236.99,0.06,1.19,57.22,0.45,3.72,4.53,0.36
2025-01-06 09:00:00,233.65,0.1,0.94,59.37,0.46,3.87,4.7,0.25
2025-01-06 10:00:00,230.31,0.1,0.66,60.8,0.4,3.96,4.8,0.22
2025-01-06 11:00:00,226.97,0.07,0.41,62.94,0.3,3.79,4.59,0.2
2025-01-06 12:00:00,223.64,0.04,0.27,62.94,0.23,3.33,3.95,0.13
2025-01-06 13:00:00,223.64,0.04,0.29,63.66,0.22,3.02,3.6,0.2
2025-01-06 14:00:00,226.97,0.04,0.34,65.8,0.25,3.11,3.66,0.25
2025-01-06 15:00:00,230.31,0.05,0.4,67.23,0.27,3.21,3.7,0.3
2025-01-06 16:00:00,233.65,0.05,0.52,66.52,0.27,2.89,3.29,0.32
2025-01-06 17:00:00,233.65,0.04,0.76,62.94,0.28,2.4,2.77,0.34
2025-01-06 18:00:00,236.99,0.01,0.93,61.51,0.29,1.88,2.28,0.34
2025-01-06 19:00:00,236.99,0.0,0.81,62.94,0.26,1.63,2.04,0.32
2025-01-06 20:00:00,230.31,0.0,0.67,63.66,0.26,1.85,2.36,0.31
2025-01-06 21:00:00,223.64,0.0,0.58,63.66,0.34,2.29,2.99,0.27
2025-01-06 22:00:00,226.97,0.0,0.59,65.09,0.54,2.7,3.69,0.24
2025-01-06 23:00:00,230.31,0.0,0.61,67.95,0.72,2.82,4.02,0.2
2025-01-07 00:00:00,230.31,0.0,0.56,70.81,0.77,2.86,4.13,0.18
2025-01-07 01:00:00,233.65,0.0,0.54,70.81,0.86,3.14,4.56,0.18
2025-01-07 02:00:00,233.65,0.0,0.52,69.38,0.95,3.45,4.97,0.18
2025-01-07 03:00:00,230.31,0.0,0.49,67.95,0.92,3.52,5.13,0.19
2025-01-07 04:00:00,226.97,0.0,0.49,65.8,0.95,3.18,4.72,0.19
2025-01-07 05:00:00,223.64,0.0,0.52,64.37,1.16,2.82,4.13,0.18
2025-01-07 06:00:00,223.64,0.0,0.58,62.23,1.55,2.87,4.01,0.16
2025-01-07 07:00:00,226.97,0.0,0.73,60.08,1.91,3.09,4.2,0.14
2025-01-07 08:00:00,226.97,0.05,0.84,59.37,1.88,2.93,4.02,0.13
2025-01-07 09:00:00,223.64,0.1,0.71,60.08,1.82,2.85,4.02,0.12
2025-01-07 10:00:00,216.96,0.08,0.53,60.08,1.8,3.07,4.41,0.11
2025-01-07 11:00:00,213.62,0.07,0.4,58.65,1.77,3.4,4.82,0.1
2025-01-07 12:00:00,211.95,0.05,0.29,57.22,1.49,3.29,4.39,0.06
2025-01-07 13:00:00,211.95,0.05,0.27,57.22,1.36,3.3,4.27,0.07
2025-01-07 14:00:00,211.95,0.05,0.28,56.51,1.51,3.47,4.4,0.07
2025-01-07 15:00:00,213.62,0.06,0.35,55.79,1.71,3.85,4.82,0.1
2025-01-07 16:00:00,220.3,0.07,0.51,55.79,1.77,4.08,5.14,0.18
2025-01-07 17:00:00,223.64,0.06,0.82,55.07,1.74,4.41,5.57,0.23
2025-01-07 18:00:00,226.97,0.01,1.12,55.79,1.65,4.51,5.8,0.25
2025-01-07 19:00:00,226.97,0.0,1.09,57.94,1.62,4.61,5.91,0.27
2025-01-07 20:00:00,230.31,0.0,1.0,62.23,1.64,4.98,6.24,0.28
2025-01-07 21:00:00,233.65,0.0,0.93,65.8,1.73,5.51,6.71,0.27
2025-01-07 22:00:00,233.65,0.0,0.94,67.95,1.76,5.77,6.85,0.25
2025-01-07 23:00:00,233.65,0.0,0.97,69.38,1.73,5.78,6.83,0.23
2025-01-08 00:00:00,230.31,0.0,0.91,71.53,1.58,5.71,6.67,0.21
2025-01-08 01:00:00,230.31,0.0,0.78,73.67,1.43,5.34,6.24,0.2
2025-01-08 02:00:00,230.31,0.0,0.7,75.1,1.39,5.22,6.2,0.19
2025-01-08 03:00:00,230.31,0.0,0.64,75.82,1.34,5.04,6.05,0.19
2025-01-08 04:00:00,230.31,0.0,0.64,76.53,1.25,4.73,5.69,0.19
