Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,211.95,0.01,1.0,37.19,0.33,1.26,1.76,0.17
2025-01-01 09:00:00,210.29,0.02,0.84,39.34,0.29,1.24,1.71,0.14
2025-01-01 10:00:00,210.29,0.03,0.62,40.77,0.25,1.1,1.56,0.13
2025-01-01 11:00:00,210.29,0.03,0.47,42.2,0.22,0.97,1.4,0.11
2025-01-01 12:00:00,211.95,0.02,0.4,43.63,0.21,1.03,1.46,0.1
2025-01-01 13:00:00,211.95,0.02,0.38,45.42,0.21,1.3,1.79,0.09
2025-01-01 14:00:00,211.95,0.01,0.35,47.21,0.2,1.55,2.08,0.08
2025-01-01 15:00:00,211.95,0.01,0.39,48.64,0.2,1.76,2.31,0.08
2025-01-01 16:00:00,213.62,0.01,0.51,47.92,0.23,2.04,2.7,0.09
2025-01-01 17:00:00,216.96,0.0,0.74,48.64,0.27,2.35,3.2,0.11
2025-01-01 18:00:00,216.96,0.0,0.91,48.64,0.29,2.44,3.59,0.13
2025-01-01 19:00:00,216.96,0.0,0.89,47.21,0.31,2.18,3.74,0.16
2025-01-01 20:00:00,213.62,0.0,0.81,46.49,0.3,1.97,3.83,0.19
2025-01-01 21:00:00,213.62,0.0,0.67,45.42,0.26,1.86,3.44,0.19
2025-01-01 22:00:00,211.95,0.0,0.63,43.99,0.25,1.94,3.01,0.19
2025-01-01 23:00:00,211.95,0.0,0.65,42.56,0.23,1.92,2.64,0.19
2025-01-02 00:00:00,208.62,0.0,0.64,40.41,0.2,1.74,2.28,0.2
2025-01-02 01:00:00,205.28,0.0,0.55,38.27,0.16,1.47,1.93,0.22
2025-01-02 02:00:00,200.27,0.0,0.47,36.48,0.14,1.22,1.71,0.23
2025-01-02 03:00:00,195.26,0.0,0.51,31.83,0.15,1.08,1.62,0.3
2025-01-02 04:00:00,190.26,0.0,0.61,27.18,0.17,1.01,1.53,0.44
2025-01-02 05:00:00,188.59,0.0,0.74,24.68,0.2,0.99,1.5,0.56
2025-01-02 06:00:00,188.59,0.0,0.89,25.03,0.24,0.99,1.49,0.54
2025-01-02 07:00:00,195.26,0.01,1.48,26.11,0.38,1.12,1.72,0.38
2025-01-02 08:00:00,196.93,0.03,1.74,30.76,0.44,1.18,1.79,0.23
2025-01-02 09:00:00,188.59,0.01,0.73,40.77,0.27,0.84,1.25,0.12
2025-01-02 10:00:00,190.26,0.01,0.69,41.48,0.27,0.64,0.96,0.13
2025-01-02 11:00:00,191.93,0.02,0.66,41.84,0.29,0.55,0.83,0.15
2025-01-02 12:00:00,191.93,0.02,0.67,41.48,0.33,0.54,0.79,0.17
2025-01-02 13:00:00,191.93,0.02,0.65,41.84,0.37,0.59,0.84,0.17
2025-01-02 14:00:00,190.26,0.03,0.56,42.56,0.37,0.62,0.91,0.14
2025-01-02 15:00:00,188.59,0.02,0.54,42.2,0.35,0.63,0.99,0.14
2025-01-02 16:00:00,190.26,0.01,0.69,40.77,0.35,0.65,1.1,0.16
2025-01-02 17:00:00,191.93,0.0,0.93,39.34,0.34,0.64,1.06,0.18
2025-01-02 18:00:00,191.93,0.0,1.05,37.91,0.32,0.55,0.89,0.18
2025-01-02 19:00:00,190.26,0.0,1.03,36.12,0.31,0.54,0.86,0.2
2025-01-02 20:00:00,191.93,0.0,0.99,34.69,0.32,0.59,0.93,0.23
2025-01-02 21:00:00,191.93,0.0,0.87,33.97,0.31,0.64,0.98,0.24
2025-01-02 22:00:00,190.26,0.0,0.82,33.26,0.29,0.68,1.03,0.26
2025-01-02 23:00:00,190.26,0.0,0.81,32.54,0.28,0.7,1.04,0.27
2025-01-03 00:00:00,191.93,0.0,1.02,26.82,0.36,0.87,1.19,0.42
2025-01-03 01:00:00,193.6,0.0,1.19,22.89,0.63,1.3,1.64,0.79
2025-01-03 02:00:00,196.93,0.0,1.31,23.96,1.15,1.94,2.3,1.31
2025-01-03 03:00:00,210.29,0.0,1.71,27.89,1.73,2.68,3.08,2.18
2025-01-03 04:00:00,223.64,0.0,2.21,28.97,2.18,3.52,3.97,3.17
2025-01-03 05:00:00,240.33,0.0,2.91,27.54,2.53,4.45,4.94,4.31
2025-01-03 06:00:00,257.02,0.0,3.64,25.03,2.89,5.58,6.1,5.0
2025-01-03 07:00:00,267.03,0.03,4.8,20.03,3.07,6.94,7.6,4.69
2025-01-03 08:00:00,280.38,0.56,5.23,14.31,2.59,8.26,9.07,2.63
2025-01-03 09:00:00,247.0,0.26,3.3,23.6,2.98,10.52,11.08,0.13
2025-01-03 10:00:00,240.33,0.28,2.59,26.46,3.4,11.62,12.14,0.0
