Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,216.96,0.03,1.26,26.11,0.29,1.67,2.07,0.51
2025-01-01 09:00:00,216.96,0.04,1.34,27.54,0.3,1.36,1.71,0.48
2025-01-01 10:00:00,220.3,0.04,1.1,29.68,0.25,1.14,1.44,0.46
2025-01-01 11:00:00,220.3,0.03,0.86,32.19,0.23,1.03,1.32,0.46
2025-01-01 12:00:00,226.97,0.03,1.17,33.26,0.33,1.08,1.47,0.55
2025-01-01 13:00:00,233.65,0.04,1.78,33.97,0.51,1.17,1.7,0.79
2025-01-01 14:00:00,243.66,0.04,2.25,35.41,0.74,1.22,1.84,1.09
2025-01-01 15:00:00,253.68,0.04,2.83,36.12,0.97,1.29,2.01,1.42
2025-01-01 16:00:00,263.69,0.02,3.47,33.62,1.15,1.4,2.18,1.68
2025-01-01 17:00:00,273.7,0.01,4.5,28.97,1.31,1.55,2.35,1.8
2025-01-01 18:00:00,280.38,0.0,5.18,25.03,1.43,1.72,2.57,1.93
2025-01-01 19:00:00,273.7,0.0,4.8,22.35,1.22,1.86,2.78,1.79
2025-01-01 20:00:00,257.02,0.0,3.43,22.71,0.8,1.89,2.73,1.33
2025-01-01 21:00:00,240.33,0.0,2.21,22.89,0.51,1.95,2.65,0.96
2025-01-01 22:00:00,247.0,0.0,2.29,17.52,0.53,2.44,3.27,0.99
2025-01-01 23:00:00,250.34,0.01,2.42,13.77,0.54,2.94,3.82,1.04
2025-01-02 00:00:00,250.34,0.01,2.46,11.8,0.49,3.31,4.13,1.06
2025-01-02 01:00:00,247.0,0.01,2.27,11.27,0.39,3.5,4.29,1.04
2025-01-02 02:00:00,243.66,0.01,2.01,10.91,0.33,3.56,4.37,1.03
2025-01-02 03:00:00,240.33,0.01,1.8,11.09,0.28,3.54,4.47,1.04
2025-01-02 04:00:00,233.65,0.01,1.65,11.8,0.23,3.48,4.5,1.06
