Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,210.29,0.02,0.84,27.89,0.28,1.37,1.81,0.4
2025-01-01 09:00:00,211.95,0.02,0.91,28.97,0.35,1.38,1.81,0.39
2025-01-01 10:00:00,210.29,0.01,0.79,29.68,0.38,1.31,1.74,0.38
2025-01-01 11:00:00,210.29,0.01,0.66,30.04,0.39,1.15,1.57,0.36
2025-01-01 12:00:00,208.62,0.01,0.58,30.4,0.37,1.08,1.45,0.35
2025-01-01 13:00:00,208.62,0.01,0.57,31.47,0.35,1.16,1.52,0.34
2025-01-01 14:00:00,206.95,0.01,0.56,33.26,0.36,1.29,1.66,0.32
2025-01-01 15:00:00,205.28,0.01,0.55,34.69,0.34,1.43,1.81,0.31
2025-01-01 16:00:00,206.95,0.01,0.61,34.69,0.33,1.55,1.98,0.34
2025-01-01 17:00:00,208.62,0.01,0.71,34.33,0.36,1.74,2.24,0.36
2025-01-01 18:00:00,211.95,0.0,0.87,34.33,0.39,2.05,2.71,0.4
2025-01-01 19:00:00,213.62,0.0,0.97,32.54,0.43,2.25,3.14,0.44
2025-01-01 20:00:00,216.96,0.0,0.99,30.4,0.44,2.3,3.44,0.49
2025-01-01 21:00:00,213.62,0.0,0.96,28.61,0.48,2.22,3.42,0.51
2025-01-01 22:00:00,213.62,0.0,0.94,26.82,0.5,2.18,3.2,0.55
2025-01-01 23:00:00,213.62,0.0,0.94,25.39,0.47,2.18,2.99,0.58
2025-01-02 00:00:00,213.62,0.01,1.02,21.46,0.41,2.25,2.95,0.68
2025-01-02 01:00:00,216.96,0.01,1.14,16.81,0.38,2.39,3.06,0.82
2025-01-02 02:00:00,216.96,0.02,1.21,13.95,0.41,2.48,3.16,0.97
2025-01-02 03:00:00,216.96,0.04,1.27,11.62,0.4,2.59,3.29,1.08
2025-01-02 04:00:00,216.96,0.05,1.34,9.83,0.37,2.75,3.48,1.14
2025-01-02 05:00:00,216.96,0.07,1.39,8.67,0.35,2.89,3.64,1.19
2025-01-02 06:00:00,213.62,0.07,1.39,9.39,0.39,2.85,3.59,1.16
2025-01-02 07:00:00,208.62,0.04,1.37,12.16,0.52,2.63,3.38,0.97
2025-01-02 08:00:00,203.61,0.03,1.32,17.88,0.74,2.32,3.04,0.7
2025-01-02 09:00:00,191.93,0.03,0.94,26.82,1.22,1.92,2.45,0.43
2025-01-02 10:00:00,191.93,0.03,0.9,25.75,1.36,1.93,2.4,0.51
2025-01-02 11:00:00,193.6,0.04,0.89,23.96,1.37,1.91,2.34,0.61
2025-01-02 12:00:00,195.26,0.03,0.89,22.53,1.25,1.97,2.36,0.7
2025-01-02 13:00:00,196.93,0.03,0.92,22.89,1.25,2.11,2.46,0.73
2025-01-02 14:00:00,196.93,0.02,0.96,24.68,1.36,2.3,2.61,0.74
2025-01-02 15:00:00,195.26,0.01,0.97,25.75,1.34,2.31,2.61,0.76
2025-01-02 16:00:00,196.93,0.01,1.01,25.03,1.21,2.13,2.44,0.77
2025-01-02 17:00:00,200.27,0.0,1.1,23.6,1.13,2.01,2.37,0.78
2025-01-02 18:00:00,203.61,0.0,1.33,21.1,0.95,1.93,2.37,0.86
2025-01-02 19:00:00,208.62,0.0,1.5,17.52,0.75,1.96,2.53,0.98
2025-01-02 20:00:00,213.62,0.01,1.54,14.48,0.61,2.1,2.82,1.06
2025-01-02 21:00:00,216.96,0.01,1.52,13.23,0.57,2.19,2.94,1.06
2025-01-02 22:00:00,216.96,0.02,1.46,12.7,0.63,2.22,2.91,1.08
2025-01-02 23:00:00,216.96,0.02,1.44,12.16,0.73,2.32,2.94,1.11
2025-01-03 00:00:00,226.97,0.02,2.01,12.87,1.37,2.87,3.45,2.5
2025-01-03 01:00:00,257.02,0.02,3.21,13.59,2.47,4.04,4.64,4.88
2025-01-03 02:00:00,287.06,0.02,4.37,14.13,3.64,5.46,6.1,6.97
2025-01-03 03:00:00,313.76,0.02,5.4,14.13,3.87,6.57,7.27,8.87
2025-01-03 04:00:00,333.79,0.02,6.25,13.05,3.55,7.31,8.01,10.51
2025-01-03 05:00:00,347.14,0.03,6.85,12.16,3.28,7.98,8.69,11.65
2025-01-03 06:00:00,350.48,0.04,6.68,11.18,3.22,9.26,10.01,11.53
2025-01-03 07:00:00,357.15,0.06,6.51,11.27,3.34,11.18,12.17,11.65
2025-01-03 08:00:00,363.83,0.44,6.08,13.77,3.37,12.95,14.23,12.03
2025-01-03 09:00:00,360.49,0.31,5.83,18.24,3.81,15.58,16.97,10.39
2025-01-03 10:00:00,333.79,0.16,4.58,20.92,4.47,17.72,19.01,6.71
2025-01-03 11:00:00,297.07,0.08,3.34,20.74,4.71,17.7,18.81,3.7
2025-01-03 12:00:00,283.72,0.06,3.0,22.89,5.13,17.04,18.0,3.2
2025-01-03 13:00:00,297.07,0.1,3.17,27.89,5.66,16.6,17.6,4.43
2025-01-03 14:00:00,307.08,0.11,3.0,33.26,5.9,15.08,16.07,5.57
2025-01-03 15:00:00,313.76,0.11,2.83,37.55,5.78,14.01,15.0,6.33
2025-01-03 16:00:00,307.08,0.1,2.55,39.34,5.25,12.81,13.78,6.14
2025-01-03 17:00:00,277.04,0.05,2.21,36.12,4.11,10.47,11.35,4.62
