Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,377.18,1.31,13.54,27.18,13.47,6.53,10.95,2.06
2025-01-01 09:00:00,400.54,2.29,12.85,32.9,13.23,6.63,10.36,1.85
2025-01-01 10:00:00,370.5,1.66,12.0,39.34,11.32,5.69,8.4,1.5
2025-01-01 11:00:00,327.11,0.86,10.97,43.27,10.25,4.75,6.74,1.3
2025-01-01 12:00:00,297.07,0.54,9.25,46.49,9.54,4.07,5.61,1.14
2025-01-01 13:00:00,293.73,0.49,8.14,50.07,9.06,3.81,5.17,1.16
2025-01-01 14:00:00,300.41,0.46,8.48,52.21,9.3,4.06,5.49,1.22
2025-01-01 15:00:00,310.42,0.27,9.25,51.5,8.94,4.27,5.85,1.31
2025-01-01 16:00:00,323.77,0.14,10.54,49.35,9.18,4.54,6.34,1.36
2025-01-01 17:00:00,340.46,0.04,12.0,47.21,8.94,4.62,6.5,1.25
2025-01-01 18:00:00,357.15,0.0,13.02,44.35,8.7,4.68,6.86,1.23
2025-01-01 19:00:00,363.83,0.0,12.85,42.92,8.82,4.92,7.66,1.3
2025-01-01 20:00:00,357.15,0.0,12.0,42.56,8.58,5.05,8.12,1.31
2025-01-01 21:00:00,350.48,0.0,11.48,41.84,8.58,5.23,8.59,1.38
2025-01-01 22:00:00,343.8,0.0,11.31,40.77,8.7,5.41,9.07,1.46
2025-01-01 23:00:00,333.79,0.0,11.14,39.7,8.94,5.54,9.28,1.46
2025-01-02 00:00:00,327.11,0.0,11.14,38.27,9.06,5.77,9.52,1.42
2025-01-02 01:00:00,320.43,0.0,10.97,36.84,9.3,6.13,10.01,1.46
2025-01-02 02:00:00,313.76,0.0,11.14,36.12,9.78,6.4,10.38,1.52
2025-01-02 03:00:00,303.75,0.0,10.62,35.41,9.89,6.25,10.04,1.57
2025-01-02 04:00:00,297.07,0.0,9.94,35.41,9.89,5.97,9.46,1.58
2025-01-02 05:00:00,300.41,0.0,9.6,35.05,10.13,6.04,9.6,1.68
2025-01-02 06:00:00,317.1,0.0,10.2,33.62,10.73,6.12,9.91,1.84
2025-01-02 07:00:00,343.8,0.0,11.82,31.47,10.61,6.1,9.76,1.88
2025-01-02 08:00:00,390.53,0.27,14.57,29.68,11.09,6.24,9.76,1.96
2025-01-02 09:00:00,427.25,1.22,15.59,31.83,11.21,6.01,9.12,1.92
2025-01-02 10:00:00,410.56,1.87,14.22,39.34,11.09,5.38,8.32,1.88
2025-01-02 11:00:00,360.49,1.82,11.48,51.5,11.32,4.9,7.52,1.79
2025-01-02 12:00:00,313.76,1.12,8.57,63.66,10.61,4.8,6.95,1.57
2025-01-02 13:00:00,310.42,0.73,8.4,65.8,9.89,4.89,7.02,1.66
2025-01-02 14:00:00,320.43,0.61,9.68,62.23,9.89,5.04,7.31,1.77
2025-01-02 15:00:00,327.11,0.53,10.37,59.37,9.54,4.89,7.61,1.96
2025-01-02 16:00:00,333.79,0.3,11.65,51.5,9.42,4.6,7.91,2.12
2025-01-02 17:00:00,350.48,0.14,14.22,40.41,9.66,4.45,8.21,2.22
2025-01-02 18:00:00,403.88,0.01,18.85,28.97,10.97,4.97,8.58,2.09
2025-01-02 19:00:00,460.62,0.02,23.65,19.31,11.92,6.17,9.58,2.03
2025-01-02 20:00:00,507.35,0.08,26.05,13.05,12.76,7.64,11.16,2.15
2025-01-02 21:00:00,554.08,0.13,26.73,9.57,13.11,9.84,13.66,2.6
2025-01-02 22:00:00,620.84,0.19,27.08,7.42,13.23,12.92,17.35,3.07
2025-01-02 23:00:00,674.25,0.25,27.76,5.99,12.87,15.44,20.18,3.36
2025-01-03 00:00:00,660.9,0.18,25.7,5.9,10.61,15.78,20.05,3.23
2025-01-03 01:00:00,594.14,0.07,21.59,7.06,8.11,14.02,17.84,2.72
2025-01-03 02:00:00,500.68,0.02,17.31,9.21,6.68,11.18,14.86,2.28
2025-01-03 03:00:00,427.25,0.02,14.74,10.55,6.02,9.31,13.06,2.18
2025-01-03 04:00:00,383.85,0.03,12.68,9.92,5.07,8.52,13.02,2.34
2025-01-03 05:00:00,367.16,0.05,11.14,9.03,4.17,8.19,13.67,2.47
2025-01-03 06:00:00,373.84,0.11,10.45,8.14,3.81,8.11,14.64,2.69
2025-01-03 07:00:00,420.57,0.61,12.34,5.54,4.29,9.11,16.98,3.23
2025-01-03 08:00:00,520.71,3.97,15.08,3.31,5.6,11.01,20.41,4.12
2025-01-03 09:00:00,627.52,7.49,18.16,2.1,7.15,13.08,23.06,4.75
2025-01-03 10:00:00,694.27,8.16,21.42,1.83,7.99,14.96,24.69,4.94
2025-01-03 11:00:00,727.65,6.59,25.36,2.53,8.58,16.45,25.12,5.19
2025-01-03 12:00:00,741.0,4.75,32.22,4.69,11.56,17.86,25.35,6.65
2025-01-03 13:00:00,787.73,2.65,41.13,6.17,14.66,19.44,26.34,8.74
2025-01-03 14:00:00,801.09,0.99,44.55,10.1,15.74,19.53,26.01,10.01
2025-01-03 15:00:00,827.79,0.23,47.3,10.82,16.69,19.59,26.01,11.4
2025-01-03 16:00:00,894.55,0.57,52.09,7.96,18.36,20.98,27.58,13.17
2025-01-03 17:00:00,1014.71,2.49,58.95,2.77,20.27,23.12,30.0,14.95
2025-01-03 18:00:00,1148.22,6.82,60.32,0.37,21.22,25.01,32.13,15.96
2025-01-03 19:00:00,1214.98,9.16,58.26,0.1,20.5,27.05,34.46,16.47
2025-01-03 20:00:00,1201.63,8.83,56.21,0.08,18.84,29.39,37.09,16.21
2025-01-03 21:00:00,1148.22,7.1,47.98,0.11,14.78,31.2,39.12,13.55
2025-01-03 22:00:00,1148.22,5.7,39.76,0.14,11.56,33.86,42.02,10.01
2025-01-03 23:00:00,1241.68,5.76,37.01,0.08,10.49,38.36,46.52,7.47
2025-01-04 00:00:00,1335.14,6.37,36.67,0.01,9.3,44.13,52.18,5.95
2025-01-04 01:00:00,1428.6,6.54,38.39,0.0,8.94,50.12,58.17,5.7
2025-01-04 02:00:00,1508.71,7.71,40.78,0.0,9.89,57.72,66.12,5.7
2025-01-04 03:00:00,1602.17,10.95,41.13,0.0,10.85,68.19,77.4,4.94
2025-01-04 04:00:00,1735.69,17.66,39.41,0.0,11.44,79.95,90.21,4.02
2025-01-04 05:00:00,1815.8,24.59,37.36,0.0,12.87,86.86,98.17,3.39
2025-01-04 06:00:00,1321.79,16.09,34.96,0.01,14.19,60.87,70.56,2.66
2025-01-04 07:00:00,580.79,3.02,20.22,1.45,7.45,20.48,26.6,1.79
2025-01-04 08:00:00,330.45,0.79,10.28,9.92,5.01,5.36,9.68,1.54
2025-01-04 09:00:00,297.07,1.37,6.94,25.39,6.08,2.91,6.04,1.31
2025-01-04 10:00:00,313.76,1.41,6.43,44.35,7.45,3.67,6.47,1.5
2025-01-04 11:00:00,320.43,0.87,5.14,70.1,9.54,5.58,8.04,1.6
2025-01-04 12:00:00,323.77,0.47,3.47,90.12,10.25,7.76,9.84,1.52
2025-01-04 13:00:00,333.79,0.34,2.78,101.57,10.01,9.53,11.66,1.57
2025-01-04 14:00:00,330.45,0.33,2.74,105.86,9.89,9.58,11.93,1.55
2025-01-04 15:00:00,320.43,0.35,3.21,101.57,9.3,8.1,10.4,1.58
2025-01-04 16:00:00,327.11,0.36,5.06,91.55,9.78,7.01,9.45,1.8
2025-01-04 17:00:00,337.12,0.18,8.23,75.82,10.37,5.88,8.46,1.87
2025-01-04 18:00:00,350.48,0.01,10.71,62.94,10.61,5.27,8.07,1.92
2025-01-04 19:00:00,357.15,0.0,10.97,57.22,10.25,5.61,8.83,1.96
2025-01-04 20:00:00,353.81,0.0,10.2,56.51,9.3,6.58,10.14,1.9
2025-01-04 21:00:00,347.14,0.0,9.34,57.94,8.82,7.76,11.63,1.76
2025-01-04 22:00:00,340.46,0.0,8.83,60.8,8.94,8.5,12.41,1.63
2025-01-04 23:00:00,333.79,0.0,8.74,61.51,9.18,8.03,11.53,1.47
2025-01-05 00:00:00,310.42,0.0,8.14,55.07,9.06,6.25,9.07,1.31
2025-01-05 01:00:00,280.38,0.0,7.2,45.06,8.11,4.5,6.88,1.33
2025-01-05 02:00:00,273.7,0.0,6.68,43.63,7.27,4.27,6.66,1.52
2025-01-05 03:00:00,307.08,0.0,6.68,55.07,6.85,5.48,8.22,1.85
2025-01-05 04:00:00,333.79,0.0,6.25,67.95,6.56,6.14,8.98,2.06
