Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,907.9,2.01,16.11,11.62,2.53,35.5,38.77,32.93
2025-01-01 09:00:00,520.71,0.35,5.31,27.89,0.69,14.71,15.78,7.47
2025-01-01 10:00:00,453.95,0.2,3.08,33.97,0.45,10.64,11.42,4.37
2025-01-01 11:00:00,433.92,0.15,2.29,38.62,0.39,9.35,10.08,3.86
2025-01-01 12:00:00,410.56,0.12,1.78,42.2,0.34,8.09,8.75,3.42
2025-01-01 13:00:00,383.85,0.09,1.44,42.56,0.28,6.52,7.08,2.82
2025-01-01 14:00:00,353.81,0.07,1.2,40.77,0.23,5.04,5.49,2.34
2025-01-01 15:00:00,343.8,0.07,1.44,37.91,0.26,4.78,5.27,2.41
2025-01-01 16:00:00,367.16,0.07,2.12,34.33,0.35,5.68,6.33,2.69
2025-01-01 17:00:00,383.85,0.03,2.91,30.04,0.43,6.34,7.13,2.88
2025-01-01 18:00:00,403.88,0.0,3.9,25.03,0.55,7.09,8.11,3.7
2025-01-01 19:00:00,440.6,0.0,5.1,20.21,0.71,8.46,9.84,4.81
2025-01-01 20:00:00,500.68,0.01,6.6,16.27,0.86,10.79,12.44,5.95
2025-01-01 21:00:00,567.44,0.02,8.05,12.87,1.03,13.61,15.47,7.54
2025-01-01 22:00:00,627.52,0.04,9.08,9.12,1.15,16.8,18.98,8.49
2025-01-01 23:00:00,687.6,0.11,9.77,6.08,1.18,19.97,22.39,8.61
2025-01-02 00:00:00,741.0,0.2,10.28,3.89,1.1,22.92,25.33,8.36
2025-01-02 01:00:00,781.06,0.27,10.97,2.79,1.15,25.38,27.82,9.63
2025-01-02 02:00:00,827.79,0.31,12.51,2.44,1.34,28.42,31.07,12.29
2025-01-02 03:00:00,854.49,0.36,13.37,2.03,1.37,31.03,33.68,13.05
2025-01-02 04:00:00,881.2,0.52,13.02,1.36,1.28,33.29,35.73,12.79
2025-01-02 05:00:00,894.55,0.78,12.68,0.79,1.19,35.66,37.78,12.54
2025-01-02 06:00:00,921.25,1.02,13.02,0.51,1.22,37.54,39.6,12.79
2025-01-02 07:00:00,934.6,1.38,12.17,0.94,1.16,37.64,39.91,9.75
2025-01-02 08:00:00,947.95,2.1,11.14,5.14,1.21,37.75,40.34,8.74
2025-01-02 09:00:00,654.22,0.27,6.85,22.17,0.67,20.75,22.06,5.57
2025-01-02 10:00:00,580.79,0.16,5.01,28.61,0.59,16.14,17.33,4.81
2025-01-02 11:00:00,540.73,0.14,3.9,33.26,0.54,13.39,14.53,4.5
2025-01-02 12:00:00,397.21,0.1,1.97,35.76,0.29,6.22,6.84,2.6
2025-01-02 13:00:00,310.42,0.08,1.2,36.84,0.19,3.07,3.45,1.77
2025-01-02 14:00:00,287.06,0.08,1.02,38.62,0.19,2.41,2.74,1.63
2025-01-02 15:00:00,297.07,0.11,1.46,37.91,0.3,2.85,3.31,2.22
2025-01-02 16:00:00,327.11,0.12,2.27,34.33,0.45,3.96,4.62,2.88
2025-01-02 17:00:00,357.15,0.07,3.3,30.76,0.57,5.15,5.98,2.98
2025-01-02 18:00:00,397.21,0.0,4.88,25.39,0.75,6.93,8.15,3.74
2025-01-02 19:00:00,440.6,0.0,6.25,19.49,0.89,8.96,10.78,4.62
2025-01-02 20:00:00,480.65,0.01,6.94,13.95,0.91,10.86,13.1,5.07
2025-01-02 21:00:00,520.71,0.02,7.97,10.28,1.13,13.04,15.57,8.23
2025-01-02 22:00:00,574.11,0.05,10.2,8.23,1.59,15.96,18.9,13.68
2025-01-02 23:00:00,647.54,0.1,13.02,6.35,2.06,19.25,22.45,19.25
2025-01-03 00:00:00,727.65,0.2,15.77,4.56,2.32,22.16,25.28,24.07
2025-01-03 01:00:00,787.73,0.31,18.34,3.17,2.56,25.0,27.99,28.63
2025-01-03 02:00:00,827.79,0.43,19.54,2.19,2.59,27.79,30.73,30.91
2025-01-03 03:00:00,847.82,0.61,17.48,1.35,2.09,29.45,32.22,23.81
2025-01-03 04:00:00,867.84,0.79,17.99,1.03,2.18,31.16,33.86,26.6
2025-01-03 05:00:00,921.25,1.01,20.05,0.78,2.47,33.63,36.27,32.17
2025-01-03 06:00:00,934.6,1.17,21.25,0.64,2.65,34.71,37.27,35.46
2025-01-03 07:00:00,921.25,1.44,19.19,1.17,2.44,33.6,36.34,31.16
2025-01-03 08:00:00,907.9,2.26,14.91,6.17,1.85,32.22,34.99,17.73
2025-01-03 09:00:00,520.71,0.47,5.65,27.89,0.66,13.37,14.49,5.45
2025-01-03 10:00:00,423.91,0.29,2.59,42.92,0.45,8.65,9.48,3.39
2025-01-03 11:00:00,390.53,0.19,1.39,55.07,0.37,7.69,8.4,2.98
2025-01-03 12:00:00,330.45,0.12,0.8,56.51,0.25,5.54,6.03,2.12
2025-01-03 13:00:00,293.73,0.09,0.63,52.21,0.19,3.99,4.33,1.6
2025-01-03 14:00:00,280.38,0.07,0.65,50.07,0.17,3.55,3.85,1.49
2025-01-03 15:00:00,280.38,0.07,0.84,48.64,0.19,3.48,3.78,1.6
2025-01-03 16:00:00,293.73,0.06,1.2,47.21,0.25,4.1,4.47,1.88
2025-01-03 17:00:00,310.42,0.02,1.65,46.49,0.32,5.04,5.48,2.03
2025-01-03 18:00:00,370.5,0.0,3.38,39.34,0.57,7.44,8.33,3.01
2025-01-03 19:00:00,440.6,0.0,5.48,28.25,0.8,10.64,12.13,4.05
2025-01-03 20:00:00,494.0,0.0,6.51,19.49,0.89,13.08,14.98,4.94
2025-01-03 21:00:00,534.06,0.02,7.71,14.48,1.16,15.44,17.6,8.49
2025-01-03 22:00:00,587.46,0.03,9.94,12.34,1.65,18.33,20.77,14.06
2025-01-03 23:00:00,654.22,0.04,12.68,10.73,2.12,21.18,23.77,19.76
2025-01-04 00:00:00,727.65,0.06,15.42,9.3,2.44,23.9,26.46,25.08
2025-01-04 01:00:00,794.41,0.05,17.99,8.76,2.77,26.89,29.36,30.65
2025-01-04 02:00:00,867.84,0.05,20.56,8.58,3.13,31.42,33.84,37.49
2025-01-04 03:00:00,947.95,0.05,22.96,8.05,3.46,36.52,38.84,44.08
2025-01-04 04:00:00,1014.71,0.07,25.02,6.71,3.7,41.37,43.76,49.14
2025-01-04 05:00:00,1081.47,0.14,27.08,4.92,3.87,45.47,47.95,53.2
2025-01-04 06:00:00,1108.17,0.29,26.05,2.91,3.4,48.47,50.97,46.61
2025-01-04 07:00:00,1108.17,1.63,19.02,4.6,2.38,49.46,52.11,28.63
2025-01-04 08:00:00,1108.17,3.07,12.34,23.25,1.65,50.95,53.83,13.3
2025-01-04 09:00:00,640.87,0.51,3.68,61.51,0.69,25.09,26.15,6.71
