Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,211.95,0.02,1.32,41.13,1.94,3.49,3.65,0.54
2025-01-01 09:00:00,210.29,0.03,1.34,39.34,2.32,3.56,3.73,0.52
2025-01-01 10:00:00,205.28,0.01,1.2,38.27,2.62,3.47,3.62,0.45
2025-01-01 11:00:00,201.94,0.0,1.03,37.19,2.71,3.22,3.36,0.4
2025-01-01 12:00:00,198.6,0.0,0.84,37.19,2.59,2.85,2.96,0.31
2025-01-01 13:00:00,196.93,0.01,0.64,37.91,2.26,2.31,2.39,0.28
2025-01-01 14:00:00,195.26,0.01,0.55,38.62,2.26,2.04,2.11,0.26
2025-01-01 15:00:00,195.26,0.02,0.51,39.7,2.15,1.83,1.89,0.23
2025-01-01 16:00:00,196.93,0.01,0.54,40.41,1.91,1.68,1.74,0.25
2025-01-01 17:00:00,198.6,0.0,0.58,41.13,1.62,1.49,1.55,0.26
2025-01-01 18:00:00,203.61,0.0,0.79,40.77,1.45,1.47,1.54,0.4
2025-01-01 19:00:00,210.29,0.0,1.09,39.7,1.36,1.58,1.69,0.59
2025-01-01 20:00:00,216.96,0.0,1.29,38.62,1.24,1.74,1.87,0.67
2025-01-01 21:00:00,220.3,0.0,1.48,37.19,1.19,1.97,2.13,0.75
2025-01-01 22:00:00,223.64,0.0,1.61,36.48,1.34,2.24,2.45,0.79
2025-01-01 23:00:00,223.64,0.0,1.65,35.76,1.67,2.52,2.78,0.8
2025-01-02 00:00:00,220.3,0.0,1.63,34.33,2.09,2.91,3.26,0.86
2025-01-02 01:00:00,213.62,0.0,1.56,33.26,2.62,3.39,3.79,0.9
2025-01-02 02:00:00,210.29,0.0,1.44,32.9,3.16,3.8,4.16,0.85
2025-01-02 03:00:00,206.95,0.0,1.32,33.62,3.55,4.21,4.53,0.74
2025-01-02 04:00:00,205.28,0.0,1.35,33.26,3.73,4.72,5.0,0.68
2025-01-02 05:00:00,206.95,0.0,1.44,32.9,3.81,5.21,5.48,0.59
2025-01-02 06:00:00,205.28,0.0,1.44,33.62,3.99,5.61,5.86,0.36
2025-01-02 07:00:00,205.28,0.0,1.48,33.26,4.05,5.92,6.19,0.24
2025-01-02 08:00:00,206.95,0.06,1.44,33.26,4.11,6.2,6.5,0.18
2025-01-02 09:00:00,206.95,0.1,1.34,33.62,3.93,6.17,6.45,0.11
2025-01-02 10:00:00,205.28,0.08,1.22,35.05,3.58,6.0,6.24,0.09
2025-01-02 11:00:00,203.61,0.05,1.07,37.19,3.31,5.92,6.14,0.08
2025-01-02 12:00:00,206.95,0.07,1.05,39.7,3.01,6.05,6.34,0.52
2025-01-02 13:00:00,216.96,0.1,1.12,43.27,2.98,6.15,6.58,1.44
2025-01-02 14:00:00,226.97,0.12,1.15,47.21,3.07,6.05,6.55,2.28
2025-01-02 15:00:00,236.99,0.11,1.21,49.35,3.31,5.94,6.45,2.79
2025-01-02 16:00:00,233.65,0.07,1.27,46.49,3.34,5.64,6.07,2.56
2025-01-02 17:00:00,223.64,0.02,1.12,41.84,2.95,4.81,5.1,1.58
2025-01-02 18:00:00,201.94,0.0,0.76,38.98,2.18,3.52,3.66,0.54
2025-01-02 19:00:00,208.62,0.0,1.18,34.69,2.56,4.22,4.42,0.83
2025-01-02 20:00:00,216.96,0.0,1.61,29.68,3.01,5.35,5.65,1.08
2025-01-02 21:00:00,230.31,0.0,2.08,25.03,3.4,6.3,6.69,1.39
2025-01-02 22:00:00,243.66,0.0,2.44,21.46,3.52,7.18,7.65,1.71
2025-01-02 23:00:00,253.68,0.0,2.68,19.31,3.55,7.86,8.39,1.99
2025-01-03 00:00:00,263.69,0.0,2.96,18.06,3.43,8.27,8.83,2.34
2025-01-03 01:00:00,270.37,0.0,3.21,16.99,3.25,8.8,9.37,2.56
2025-01-03 02:00:00,280.38,0.0,3.38,15.56,3.04,9.42,9.9,2.66
2025-01-03 03:00:00,277.04,0.0,3.34,15.02,2.68,9.77,10.16,2.53
2025-01-03 04:00:00,273.7,0.0,3.13,14.84,2.35,9.89,10.23,2.31
2025-01-03 05:00:00,267.03,0.0,2.91,14.48,2.18,9.92,10.22,2.09
2025-01-03 06:00:00,233.65,0.0,2.16,16.27,2.62,9.92,10.16,0.66
2025-01-03 07:00:00,226.97,0.01,2.18,17.17,2.86,9.81,10.12,0.55
2025-01-03 08:00:00,223.64,0.13,2.08,19.67,3.07,9.59,10.0,0.65
2025-01-03 09:00:00,220.3,0.18,1.76,25.03,3.31,9.43,9.83,0.52
2025-01-03 10:00:00,216.96,0.12,1.41,29.68,3.52,9.58,9.96,0.3
2025-01-03 11:00:00,213.62,0.08,1.31,31.11,3.58,10.17,10.54,0.22
2025-01-03 12:00:00,216.96,0.09,1.44,30.4,3.31,10.63,11.06,0.62
2025-01-03 13:00:00,226.97,0.14,1.65,31.47,3.13,10.97,11.51,1.39
2025-01-03 14:00:00,233.65,0.16,1.71,34.33,3.22,10.88,11.5,2.06
2025-01-03 15:00:00,240.33,0.14,1.76,36.84,3.4,10.68,11.34,2.5
2025-01-03 16:00:00,243.66,0.12,1.76,37.91,3.46,10.54,11.19,2.66
2025-01-03 17:00:00,243.66,0.07,1.8,37.19,3.37,10.44,11.05,2.63
2025-01-03 18:00:00,236.99,0.0,1.8,35.05,3.19,10.0,10.53,2.15
2025-01-03 19:00:00,230.31,0.0,1.82,33.26,2.98,9.89,10.37,1.55
2025-01-03 20:00:00,223.64,0.0,1.86,32.19,2.98,10.34,10.78,0.95
2025-01-03 21:00:00,213.62,0.0,1.63,32.19,3.7,10.42,10.8,0.26
2025-01-03 22:00:00,220.3,0.0,1.74,30.04,3.99,10.05,10.51,0.53
2025-01-03 23:00:00,223.64,0.0,1.86,28.25,4.11,9.47,9.99,0.81
2025-01-04 00:00:00,233.65,0.0,2.03,26.82,3.99,9.51,10.08,1.11
2025-01-04 01:00:00,243.66,0.0,2.33,24.68,3.55,10.12,10.7,1.52
2025-01-04 02:00:00,250.34,0.0,2.53,22.71,3.19,10.91,11.49,1.8
2025-01-04 03:00:00,257.02,0.0,2.63,21.28,2.95,11.93,12.51,1.9
2025-01-04 04:00:00,257.02,0.0,2.63,20.38,2.86,12.85,13.4,1.84
2025-01-04 05:00:00,257.02,0.0,2.59,20.21,2.89,13.33,13.85,1.71
2025-01-04 06:00:00,253.68,0.0,2.57,20.74,3.01,13.28,13.75,1.52
2025-01-04 07:00:00,247.0,0.03,2.59,21.46,3.1,13.24,13.73,1.36
2025-01-04 08:00:00,243.66,0.22,2.12,25.39,3.31,13.43,13.93,1.08
2025-01-04 09:00:00,226.97,0.21,1.44,33.62,3.81,12.43,12.84,0.48
2025-01-04 10:00:00,213.62,0.13,1.05,38.62,3.99,10.49,10.82,0.17
2025-01-04 11:00:00,206.95,0.08,0.9,40.41,3.78,8.67,8.95,0.03
2025-01-04 12:00:00,201.94,0.04,0.68,42.92,3.67,7.84,8.07,0.0
2025-01-04 13:00:00,203.61,0.03,0.54,44.7,3.73,8.61,8.82,0.0
2025-01-04 14:00:00,206.95,0.02,0.53,44.7,3.99,10.01,10.22,0.0
2025-01-04 15:00:00,211.95,0.02,0.57,44.35,4.41,11.19,11.43,0.0
2025-01-04 16:00:00,216.96,0.02,0.69,43.27,4.47,11.31,11.57,0.0
2025-01-04 17:00:00,216.96,0.01,0.82,42.2,3.87,9.76,10.01,0.0
2025-01-04 18:00:00,216.96,0.0,1.02,40.77,3.04,7.69,7.92,0.19
2025-01-04 19:00:00,216.96,0.0,1.25,38.98,2.53,6.05,6.29,0.63
2025-01-04 20:00:00,220.3,0.0,1.39,37.19,2.29,4.96,5.23,0.88
2025-01-04 21:00:00,220.3,0.0,1.37,36.12,2.09,4.18,4.5,0.99
2025-01-04 22:00:00,216.96,0.0,1.29,36.12,2.09,3.7,4.06,0.97
2025-01-04 23:00:00,213.62,0.0,1.25,36.84,2.32,3.54,3.94,0.87
2025-01-05 00:00:00,211.95,0.0,1.2,37.91,2.62,3.7,4.16,0.74
2025-01-05 01:00:00,213.62,0.0,1.29,37.19,2.59,3.96,4.46,0.82
2025-01-05 02:00:00,213.62,0.0,1.41,36.12,2.56,4.11,4.6,0.9
2025-01-05 03:00:00,211.95,0.0,1.48,36.12,2.5,4.14,4.64,0.9
2025-01-05 04:00:00,210.29,0.0,1.46,36.84,2.38,4.04,4.54,0.82
