Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,250.34,0.27,6.77,33.97,5.84,2.89,5.63,1.25
2025-01-01 09:00:00,260.35,0.57,7.11,37.91,6.56,3.21,5.61,1.16
2025-01-01 10:00:00,267.03,0.76,6.94,43.63,6.44,3.37,5.44,1.12
2025-01-01 11:00:00,267.03,0.81,6.34,50.07,6.44,3.29,5.09,1.06
2025-01-01 12:00:00,247.0,0.57,4.63,55.07,5.48,2.53,3.65,0.76
2025-01-01 13:00:00,240.33,0.43,4.33,55.79,5.25,2.26,3.13,0.71
2025-01-01 14:00:00,243.66,0.31,4.41,55.79,5.07,2.23,3.07,0.72
2025-01-01 15:00:00,253.68,0.26,5.44,54.36,5.6,2.55,3.55,0.87
2025-01-01 16:00:00,263.69,0.18,6.0,52.21,5.42,2.78,3.95,0.98
2025-01-01 17:00:00,273.7,0.06,6.17,50.07,4.77,2.71,3.85,0.99
2025-01-01 18:00:00,287.06,0.0,6.34,47.92,3.99,2.79,4.35,1.22
2025-01-01 19:00:00,310.42,0.0,7.37,43.99,3.99,3.34,5.9,1.6
2025-01-01 20:00:00,323.77,0.0,8.05,42.2,4.17,3.86,7.15,1.77
2025-01-01 21:00:00,330.45,0.0,8.14,41.13,4.17,4.29,8.2,1.9
2025-01-01 22:00:00,330.45,0.0,7.88,40.41,3.93,4.59,9.09,1.99
2025-01-01 23:00:00,327.11,0.0,7.54,39.34,3.73,4.85,9.73,1.98
2025-01-02 00:00:00,320.43,0.0,7.28,38.27,3.67,5.09,9.93,1.92
2025-01-02 01:00:00,310.42,0.0,6.85,37.55,3.55,5.28,10.01,1.93
2025-01-02 02:00:00,300.41,0.0,6.43,37.19,3.4,5.34,10.13,1.98
2025-01-02 03:00:00,290.39,0.0,6.51,36.48,3.55,5.25,10.03,1.92
2025-01-02 04:00:00,280.38,0.0,6.68,36.48,3.87,5.04,9.65,1.8
2025-01-02 05:00:00,273.7,0.0,6.51,36.48,3.99,4.82,9.18,1.71
2025-01-02 06:00:00,267.03,0.0,6.08,36.48,3.93,4.2,8.24,1.63
2025-01-02 07:00:00,270.37,0.01,6.08,36.48,3.76,3.45,6.67,1.55
2025-01-02 08:00:00,280.38,0.28,6.68,37.55,4.23,3.0,5.63,1.42
2025-01-02 09:00:00,287.06,0.41,7.71,40.05,5.01,2.68,4.66,1.22
2025-01-02 10:00:00,297.07,0.43,8.65,41.84,5.6,2.59,4.45,1.25
2025-01-02 11:00:00,297.07,0.35,9.34,43.63,6.56,2.71,4.67,1.33
2025-01-02 12:00:00,287.06,0.28,9.0,45.06,7.51,2.61,4.27,1.2
2025-01-02 13:00:00,287.06,0.28,8.48,47.21,7.09,2.88,4.49,1.35
2025-01-02 14:00:00,290.39,0.36,7.63,51.5,6.38,3.17,4.83,1.5
2025-01-02 15:00:00,290.39,0.52,6.68,60.08,5.78,3.53,5.38,1.71
2025-01-02 16:00:00,287.06,0.32,6.85,58.65,5.48,3.52,5.63,1.95
2025-01-02 17:00:00,283.72,0.13,7.28,49.35,5.07,3.17,5.39,2.09
2025-01-02 18:00:00,297.07,0.0,7.71,38.62,4.77,3.11,5.34,2.15
2025-01-02 19:00:00,330.45,0.0,8.74,29.68,4.65,3.85,6.27,2.31
2025-01-02 20:00:00,367.16,0.01,10.28,22.35,5.48,5.23,8.14,2.75
2025-01-02 21:00:00,390.53,0.01,11.31,17.52,5.96,6.51,9.84,3.17
2025-01-02 22:00:00,390.53,0.02,11.31,15.74,5.6,6.8,10.21,3.13
2025-01-02 23:00:00,380.52,0.02,11.14,15.38,5.13,6.36,9.69,2.82
2025-01-03 00:00:00,360.49,0.01,10.45,15.74,4.35,5.73,8.82,2.5
2025-01-03 01:00:00,337.12,0.01,9.08,16.09,3.46,5.25,7.94,2.44
2025-01-03 02:00:00,310.42,0.01,7.37,17.52,2.59,4.66,6.96,2.44
2025-01-03 03:00:00,293.73,0.01,6.43,18.06,1.73,4.47,6.9,2.56
2025-01-03 04:00:00,290.39,0.01,6.25,18.24,1.39,4.8,7.66,2.69
2025-01-03 05:00:00,283.72,0.01,7.03,18.42,1.53,6.03,9.2,2.63
2025-01-03 06:00:00,277.04,0.01,9.17,18.06,2.24,8.7,12.12,2.37
2025-01-03 07:00:00,277.04,0.04,11.82,16.27,3.22,11.68,15.38,2.22
2025-01-03 08:00:00,290.39,1.06,12.85,15.74,4.35,13.57,17.29,2.22
