Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,233.65,0.06,1.88,34.33,0.31,5.23,5.44,0.22
2025-01-01 09:00:00,233.65,0.12,1.54,38.62,0.28,5.22,5.43,0.17
2025-01-01 10:00:00,230.31,0.13,1.0,41.84,0.21,5.02,5.23,0.14
2025-01-01 11:00:00,226.97,0.1,0.63,44.7,0.16,4.66,4.88,0.13
2025-01-01 12:00:00,226.97,0.08,0.54,45.42,0.15,4.53,4.74,0.12
2025-01-01 13:00:00,230.31,0.07,0.69,43.63,0.17,4.58,4.79,0.14
2025-01-01 14:00:00,233.65,0.04,0.91,42.2,0.18,4.63,4.82,0.15
2025-01-01 15:00:00,236.99,0.01,1.22,39.34,0.2,4.23,4.42,0.17
2025-01-01 16:00:00,236.99,0.01,1.54,37.19,0.24,3.62,3.83,0.19
2025-01-01 17:00:00,240.33,0.01,2.08,35.76,0.32,3.14,3.36,0.22
2025-01-01 18:00:00,243.66,0.01,3.3,30.4,0.5,3.01,3.26,0.3
2025-01-01 19:00:00,250.34,0.01,4.11,22.71,0.6,3.16,3.46,0.41
2025-01-01 20:00:00,250.34,0.02,3.98,17.34,0.57,3.37,3.71,0.47
2025-01-01 21:00:00,247.0,0.02,3.26,15.91,0.45,3.57,3.92,0.51
2025-01-01 22:00:00,243.66,0.01,2.72,16.81,0.37,3.69,4.05,0.49
2025-01-01 23:00:00,243.66,0.01,2.53,17.88,0.32,3.77,4.12,0.46
2025-01-02 00:00:00,236.99,0.01,2.29,17.52,0.28,3.81,4.16,0.44
2025-01-02 01:00:00,233.65,0.01,1.88,15.91,0.2,3.84,4.21,0.46
2025-01-02 02:00:00,226.97,0.01,1.48,14.66,0.15,3.8,4.17,0.49
2025-01-02 03:00:00,220.3,0.01,1.22,12.87,0.12,3.73,4.11,0.47
2025-01-02 04:00:00,211.95,0.01,1.03,13.23,0.11,3.57,3.93,0.4
2025-01-02 05:00:00,208.62,0.0,0.89,16.63,0.1,3.2,3.55,0.31
2025-01-02 06:00:00,201.94,0.0,0.75,22.89,0.09,2.56,2.87,0.23
2025-01-02 07:00:00,200.27,0.0,1.08,25.03,0.16,2.0,2.24,0.22
2025-01-02 08:00:00,205.28,0.06,1.74,26.46,0.29,1.71,1.9,0.23
2025-01-02 09:00:00,206.95,0.07,1.5,30.4,0.26,1.46,1.58,0.19
2025-01-02 10:00:00,206.95,0.06,1.0,32.9,0.19,1.32,1.41,0.16
2025-01-02 11:00:00,206.95,0.06,0.67,34.69,0.14,1.32,1.39,0.14
2025-01-02 12:00:00,206.95,0.04,0.54,36.84,0.11,1.26,1.33,0.1
2025-01-02 13:00:00,206.95,0.04,0.58,36.84,0.12,1.22,1.29,0.09
2025-01-02 14:00:00,208.62,0.03,0.65,36.84,0.12,1.23,1.3,0.09
2025-01-02 15:00:00,211.95,0.03,0.85,36.12,0.16,1.33,1.4,0.1
2025-01-02 16:00:00,220.3,0.03,1.21,34.33,0.22,1.67,1.75,0.12
2025-01-02 17:00:00,233.65,0.02,1.78,32.19,0.31,2.24,2.34,0.13
2025-01-02 18:00:00,250.34,0.01,3.26,25.75,0.55,2.89,3.04,0.21
2025-01-02 19:00:00,263.69,0.02,4.46,18.06,0.71,3.38,3.59,0.32
2025-01-02 20:00:00,270.37,0.04,4.63,13.77,0.72,3.72,3.95,0.42
2025-01-02 21:00:00,263.69,0.04,4.16,12.34,0.64,3.91,4.16,0.55
2025-01-02 22:00:00,257.02,0.04,3.9,11.44,0.6,4.07,4.33,0.7
2025-01-02 23:00:00,253.68,0.06,4.2,10.01,0.63,4.25,4.51,0.91
2025-01-03 00:00:00,253.68,0.06,4.33,8.58,0.63,4.47,4.71,1.08
2025-01-03 01:00:00,243.66,0.03,3.26,8.49,0.42,4.53,4.75,0.93
2025-01-03 02:00:00,236.99,0.01,2.01,10.19,0.23,4.5,4.69,0.75
2025-01-03 03:00:00,230.31,0.01,1.34,10.82,0.16,4.46,4.66,0.65
2025-01-03 04:00:00,230.31,0.01,1.1,11.18,0.13,4.43,4.63,0.64
2025-01-03 05:00:00,226.97,0.01,1.1,11.98,0.14,4.29,4.49,0.63
2025-01-03 06:00:00,223.64,0.01,1.24,16.27,0.16,3.74,3.93,0.54
2025-01-03 07:00:00,226.97,0.02,2.18,19.13,0.34,3.3,3.52,0.47
2025-01-03 08:00:00,236.99,0.09,3.68,20.92,0.6,3.17,3.4,0.43
2025-01-03 09:00:00,240.33,0.16,3.34,26.46,0.55,3.0,3.22,0.33
2025-01-03 10:00:00,236.99,0.16,2.51,30.76,0.43,2.91,3.12,0.27
2025-01-03 11:00:00,233.65,0.12,1.69,34.69,0.31,2.88,3.06,0.24
2025-01-03 12:00:00,230.31,0.09,1.16,38.62,0.23,2.88,3.02,0.2
2025-01-03 13:00:00,230.31,0.08,1.12,38.98,0.24,2.94,3.06,0.21
2025-01-03 14:00:00,230.31,0.07,1.16,38.62,0.25,2.97,3.07,0.23
2025-01-03 15:00:00,233.65,0.12,2.21,32.54,0.45,3.13,3.25,0.34
2025-01-03 16:00:00,247.0,0.17,4.33,26.46,0.84,3.52,3.67,0.56
2025-01-03 17:00:00,270.37,0.14,7.97,24.32,1.56,4.04,4.24,0.97
2025-01-03 18:00:00,290.39,0.05,11.14,23.25,2.26,4.53,4.77,1.41
2025-01-03 19:00:00,293.73,0.01,11.48,16.99,2.24,4.86,5.14,1.54
2025-01-03 20:00:00,290.39,0.03,10.2,10.19,1.83,5.15,5.47,1.41
2025-01-03 21:00:00,273.7,0.08,7.54,5.9,1.16,4.76,5.03,1.04
2025-01-03 22:00:00,253.68,0.12,5.23,4.38,0.69,4.07,4.29,0.76
2025-01-03 23:00:00,240.33,0.15,3.94,4.02,0.5,3.57,3.76,0.62
2025-01-04 00:00:00,230.31,0.12,3.13,4.07,0.39,3.44,3.61,0.52
2025-01-04 01:00:00,216.96,0.04,2.06,5.1,0.23,3.36,3.5,0.42
2025-01-04 02:00:00,203.61,0.01,1.21,7.42,0.14,3.17,3.3,0.34
2025-01-04 03:00:00,198.6,0.0,0.76,12.7,0.11,2.83,2.93,0.26
2025-01-04 04:00:00,196.93,0.01,0.64,11.98,0.09,2.57,2.67,0.29
2025-01-04 05:00:00,198.6,0.01,0.65,11.98,0.09,2.38,2.49,0.34
2025-01-04 06:00:00,205.28,0.01,0.76,15.91,0.1,2.21,2.32,0.36
2025-01-04 07:00:00,211.95,0.01,1.26,19.49,0.18,2.13,2.27,0.35
2025-01-04 08:00:00,220.3,0.09,1.82,22.89,0.31,2.13,2.32,0.34
2025-01-04 09:00:00,216.96,0.08,1.21,30.4,0.23,1.99,2.22,0.25
2025-01-04 10:00:00,213.62,0.04,0.77,33.62,0.15,1.81,2.05,0.18
2025-01-04 11:00:00,213.62,0.01,0.56,36.48,0.11,1.65,1.88,0.15
2025-01-04 12:00:00,213.62,0.01,0.46,39.34,0.09,1.36,1.56,0.12
2025-01-04 13:00:00,208.62,0.01,0.42,38.27,0.08,1.08,1.27,0.1
