Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,527.38,0.22,6.68,16.27,0.75,14.56,16.9,5.26
2025-01-01 09:00:00,500.68,0.22,6.34,19.85,0.75,13.56,15.87,5.0
2025-01-01 10:00:00,480.65,0.24,5.83,23.25,0.72,12.97,15.05,4.81
2025-01-01 11:00:00,467.3,0.25,5.27,26.82,0.66,12.37,14.21,4.81
2025-01-01 12:00:00,433.92,0.3,3.98,35.76,0.55,10.74,12.26,4.24
2025-01-01 13:00:00,407.22,0.27,2.91,45.78,0.48,9.92,11.24,3.93
2025-01-01 14:00:00,383.85,0.21,2.08,52.21,0.43,9.37,10.57,3.61
2025-01-01 15:00:00,370.5,0.14,1.84,55.79,0.43,8.97,10.18,3.64
2025-01-01 16:00:00,380.52,0.09,2.44,54.36,0.51,9.31,10.58,4.12
2025-01-01 17:00:00,393.87,0.02,3.26,51.5,0.57,9.26,10.49,4.02
2025-01-01 18:00:00,400.54,0.0,4.03,48.64,0.62,9.02,10.19,3.86
2025-01-01 19:00:00,400.54,0.0,4.5,45.78,0.64,8.62,9.78,3.61
2025-01-01 20:00:00,387.19,0.0,4.67,45.42,0.62,8.24,9.38,3.32
2025-01-01 21:00:00,380.52,0.0,4.71,45.06,0.6,8.91,10.13,3.36
2025-01-01 22:00:00,383.85,0.0,4.63,45.42,0.59,10.52,11.81,3.29
2025-01-01 23:00:00,387.19,0.0,4.41,45.78,0.54,12.41,13.62,2.98
2025-01-02 00:00:00,387.19,0.0,4.16,46.49,0.46,13.5,14.56,2.66
2025-01-02 01:00:00,390.53,0.0,4.2,45.78,0.42,14.39,15.36,2.69
2025-01-02 02:00:00,403.88,0.0,4.41,43.27,0.41,15.41,16.43,2.91
2025-01-02 03:00:00,413.89,0.0,4.46,41.13,0.39,16.08,17.11,2.94
2025-01-02 04:00:00,420.57,0.0,4.46,39.7,0.37,16.32,17.27,2.82
2025-01-02 05:00:00,427.25,0.0,4.46,38.62,0.35,16.6,17.46,2.69
2025-01-02 06:00:00,447.27,0.0,4.63,35.76,0.35,17.44,18.28,2.69
2025-01-02 07:00:00,467.3,0.0,4.71,33.26,0.39,18.31,19.21,2.69
2025-01-02 08:00:00,494.0,0.0,4.63,32.9,0.43,18.64,19.54,2.66
2025-01-02 09:00:00,514.03,0.01,4.5,31.11,0.44,18.22,19.08,2.6
2025-01-02 10:00:00,540.73,0.06,4.46,26.82,0.42,17.98,18.81,2.53
2025-01-02 11:00:00,547.41,0.13,4.07,24.32,0.38,17.43,18.2,2.44
2025-01-02 12:00:00,500.68,0.16,3.17,38.27,0.32,15.76,16.44,2.22
2025-01-02 13:00:00,473.98,0.16,2.46,48.64,0.3,14.71,15.33,2.18
2025-01-02 14:00:00,453.95,0.15,1.95,54.36,0.29,14.03,14.65,2.28
2025-01-02 15:00:00,447.27,0.12,1.95,56.51,0.34,14.2,14.9,2.82
2025-01-02 16:00:00,473.98,0.08,2.48,54.36,0.42,15.62,16.47,3.39
2025-01-02 17:00:00,507.35,0.02,3.21,50.07,0.48,16.98,17.92,3.48
2025-01-02 18:00:00,547.41,0.0,4.07,42.56,0.54,18.34,19.35,3.45
2025-01-02 19:00:00,587.46,0.0,5.06,32.19,0.6,19.8,20.92,3.48
2025-01-02 20:00:00,620.84,0.0,6.08,23.25,0.66,20.93,22.09,3.48
2025-01-02 21:00:00,627.52,0.0,6.85,17.34,0.7,21.32,22.54,3.8
2025-01-02 22:00:00,647.54,0.01,7.8,13.41,0.78,22.17,23.61,4.75
2025-01-02 23:00:00,674.25,0.02,8.83,10.73,0.86,23.04,24.66,6.21
2025-01-03 00:00:00,700.95,0.05,9.77,9.03,0.98,24.21,25.97,8.74
2025-01-03 01:00:00,754.36,0.1,11.14,7.24,1.21,26.69,28.67,12.79
2025-01-03 02:00:00,814.44,0.22,13.19,5.19,1.53,30.41,32.58,18.49
2025-01-03 03:00:00,881.2,0.37,15.08,3.84,1.76,31.54,33.64,23.31
