Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,333.79,0.01,0.1,26.11,0.08,1.12,2.07,0.34
2025-01-01 09:00:00,330.45,0.01,0.08,25.75,0.09,1.16,2.13,0.39
2025-01-01 10:00:00,330.45,0.01,0.07,26.46,0.08,1.11,2.03,0.42
2025-01-01 11:00:00,333.79,0.01,0.06,26.46,0.08,1.04,1.88,0.46
2025-01-01 12:00:00,333.79,0.01,0.05,26.11,0.08,1.02,1.78,0.48
2025-01-01 13:00:00,333.79,0.01,0.04,25.39,0.08,1.08,1.85,0.49
2025-01-01 14:00:00,337.12,0.01,0.04,24.68,0.06,1.19,1.94,0.49
2025-01-01 15:00:00,337.12,0.01,0.04,25.39,0.04,1.21,1.6,0.3
2025-01-01 16:00:00,337.12,0.01,0.04,25.75,0.03,1.13,1.4,0.23
2025-01-01 17:00:00,337.12,0.01,0.05,26.11,0.03,1.09,1.31,0.22
2025-01-01 18:00:00,337.12,0.0,0.07,26.11,0.03,1.07,1.29,0.26
2025-01-01 19:00:00,337.12,0.0,0.08,25.39,0.03,1.07,1.34,0.33
2025-01-01 20:00:00,337.12,0.0,0.09,25.03,0.03,1.05,1.38,0.36
2025-01-01 21:00:00,337.12,0.0,0.1,24.68,0.03,0.94,1.34,0.35
2025-01-01 22:00:00,337.12,0.0,0.1,24.32,0.03,0.78,1.22,0.27
2025-01-01 23:00:00,337.12,0.0,0.1,23.96,0.03,0.65,1.11,0.19
2025-01-02 00:00:00,333.79,0.0,0.1,23.6,0.03,0.53,0.95,0.14
2025-01-02 01:00:00,333.79,0.0,0.09,23.6,0.02,0.5,0.86,0.11
2025-01-02 02:00:00,333.79,0.0,0.08,23.6,0.02,0.5,0.81,0.11
2025-01-02 03:00:00,333.79,0.0,0.08,22.89,0.02,0.5,0.91,0.15
2025-01-02 04:00:00,337.12,0.0,0.08,22.53,0.02,0.5,0.98,0.22
2025-01-02 05:00:00,337.12,0.0,0.08,22.71,0.02,0.5,0.95,0.3
2025-01-02 06:00:00,337.12,0.0,0.09,23.25,0.03,0.5,0.9,0.37
2025-01-02 07:00:00,340.46,0.0,0.09,23.6,0.03,0.5,0.92,0.37
2025-01-02 08:00:00,340.46,0.0,0.1,23.96,0.05,0.65,1.06,0.31
2025-01-02 09:00:00,343.8,0.0,0.08,25.39,0.05,0.84,1.15,0.27
2025-01-02 10:00:00,350.48,0.0,0.06,26.11,0.07,1.01,1.47,0.28
2025-01-02 11:00:00,350.48,0.0,0.06,26.11,0.08,1.03,1.73,0.25
2025-01-02 12:00:00,350.48,0.01,0.05,25.03,0.08,0.85,1.64,0.19
2025-01-02 13:00:00,343.8,0.01,0.05,23.25,0.07,0.61,1.28,0.16
2025-01-02 14:00:00,343.8,0.01,0.05,21.82,0.06,0.54,1.12,0.16
2025-01-02 15:00:00,343.8,0.01,0.06,21.28,0.05,0.53,0.99,0.15
2025-01-02 16:00:00,343.8,0.0,0.07,21.28,0.05,0.58,1.02,0.14
2025-01-02 17:00:00,350.48,0.0,0.09,22.17,0.05,0.72,1.17,0.15
2025-01-02 18:00:00,357.15,0.0,0.12,23.25,0.06,1.02,1.8,0.23
2025-01-02 19:00:00,363.83,0.0,0.15,24.32,0.05,1.29,2.35,0.34
2025-01-02 20:00:00,367.16,0.0,0.17,25.03,0.05,1.36,2.39,0.41
2025-01-02 21:00:00,363.83,0.0,0.19,26.11,0.05,1.26,2.21,0.46
2025-01-02 22:00:00,360.49,0.0,0.2,26.46,0.04,1.09,2.0,0.46
2025-01-02 23:00:00,357.15,0.0,0.2,26.11,0.03,0.96,1.81,0.42
2025-01-03 00:00:00,350.48,0.0,0.2,25.75,0.02,0.8,1.42,0.28
2025-01-03 01:00:00,343.8,0.0,0.2,24.68,0.02,0.7,1.29,0.24
2025-01-03 02:00:00,337.12,0.0,0.19,23.96,0.02,0.63,1.18,0.22
2025-01-03 03:00:00,333.79,0.0,0.17,23.6,0.02,0.53,0.95,0.18
2025-01-03 04:00:00,330.45,0.0,0.16,23.6,0.02,0.5,0.78,0.14
2025-01-03 05:00:00,327.11,0.0,0.15,23.6,0.03,0.5,0.71,0.11
2025-01-03 06:00:00,327.11,0.0,0.15,23.6,0.03,0.5,0.68,0.13
2025-01-03 07:00:00,327.11,0.0,0.15,23.25,0.05,0.5,0.68,0.12
2025-01-03 08:00:00,330.45,0.0,0.14,22.89,0.06,0.5,0.67,0.1
2025-01-03 09:00:00,330.45,0.0,0.08,22.53,0.08,0.5,0.71,0.08
