Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,453.95,0.5,5.01,15.38,1.1,13.49,14.87,2.12
2025-01-01 09:00:00,390.53,0.42,3.81,24.32,1.01,10.5,11.57,1.84
2025-01-01 10:00:00,377.18,0.3,3.64,27.54,0.93,9.29,10.3,2.03
2025-01-01 11:00:00,360.49,0.19,3.56,29.68,0.85,7.83,8.75,2.18
2025-01-01 12:00:00,337.12,0.14,3.38,30.4,0.78,6.11,6.92,2.18
2025-01-01 13:00:00,333.79,0.17,3.56,30.4,0.81,5.44,6.25,2.34
2025-01-01 14:00:00,323.77,0.15,3.64,30.4,0.85,4.87,5.67,2.37
2025-01-01 15:00:00,323.77,0.15,3.81,28.97,0.92,4.99,5.83,2.47
2025-01-01 16:00:00,333.79,0.14,4.2,27.89,1.01,5.83,6.73,2.44
2025-01-01 17:00:00,347.14,0.1,4.84,26.11,1.12,6.85,7.79,2.31
2025-01-01 18:00:00,353.81,0.01,5.27,24.32,1.18,7.64,8.59,2.12
2025-01-01 19:00:00,360.49,0.0,5.48,22.35,1.19,8.63,9.67,2.06
2025-01-01 20:00:00,373.84,0.01,5.83,20.38,1.16,9.84,10.95,1.99
2025-01-01 21:00:00,387.19,0.01,6.17,18.6,1.1,10.61,11.72,1.96
2025-01-01 22:00:00,397.21,0.01,6.43,17.17,1.04,10.91,11.95,1.96
2025-01-01 23:00:00,400.54,0.01,6.51,16.09,0.95,10.77,11.72,1.84
2025-01-02 00:00:00,393.87,0.01,6.0,16.09,0.82,10.12,10.88,1.66
2025-01-02 01:00:00,390.53,0.01,5.4,15.74,0.72,9.46,10.08,1.55
2025-01-02 02:00:00,390.53,0.02,5.1,15.2,0.67,9.22,9.76,1.52
2025-01-02 03:00:00,387.19,0.02,4.93,15.2,0.69,9.1,9.68,1.63
2025-01-02 04:00:00,370.5,0.01,4.41,16.63,0.72,8.63,9.25,1.65
2025-01-02 05:00:00,347.14,0.01,3.86,18.78,0.75,8.06,8.68,1.58
2025-01-02 06:00:00,333.79,0.01,3.56,20.03,0.8,7.9,8.56,1.55
2025-01-02 07:00:00,330.45,0.02,3.6,19.13,0.97,8.08,8.97,1.66
2025-01-02 08:00:00,327.11,0.16,3.51,18.95,1.13,8.1,9.15,1.73
2025-01-02 09:00:00,303.75,0.31,2.72,22.89,1.1,7.45,8.38,1.55
2025-01-02 10:00:00,300.41,0.34,2.12,32.19,1.04,7.58,8.49,1.73
2025-01-02 11:00:00,297.07,0.28,1.63,43.63,0.98,7.55,8.45,1.95
2025-01-02 12:00:00,293.73,0.23,1.5,50.07,0.95,7.49,8.4,2.18
2025-01-02 13:00:00,287.06,0.22,1.78,46.49,0.89,6.32,7.17,2.31
2025-01-02 14:00:00,270.37,0.18,2.12,39.34,0.81,4.35,5.09,2.28
2025-01-02 15:00:00,283.72,0.16,3.17,31.83,0.94,3.87,4.72,2.98
2025-01-02 16:00:00,333.79,0.16,5.23,27.18,1.33,5.24,6.47,4.5
2025-01-02 17:00:00,400.54,0.08,8.23,23.25,1.89,7.32,8.99,6.33
2025-01-02 18:00:00,460.62,0.03,10.71,20.56,2.26,9.6,11.71,7.35
2025-01-02 19:00:00,514.03,0.03,11.31,16.09,2.12,12.02,14.45,5.89
2025-01-02 20:00:00,540.73,0.04,11.14,13.59,1.77,14.17,16.62,4.37
2025-01-02 21:00:00,554.08,0.04,10.45,12.34,1.48,15.64,17.91,3.48
2025-01-02 22:00:00,587.46,0.1,10.37,9.83,1.4,17.51,19.81,3.8
2025-01-02 23:00:00,620.84,0.18,10.45,7.96,1.4,19.2,21.4,4.69
2025-01-03 00:00:00,640.87,0.21,10.37,7.24,1.31,20.02,21.91,5.38
2025-01-03 01:00:00,627.52,0.14,9.51,8.31,1.12,19.8,21.36,4.81
2025-01-03 02:00:00,614.17,0.09,8.4,9.48,0.95,19.3,20.61,4.02
2025-01-03 03:00:00,614.17,0.09,7.71,9.57,0.89,19.81,20.95,3.64
2025-01-03 04:00:00,640.87,0.16,7.63,7.78,0.89,21.59,22.71,3.74
2025-01-03 05:00:00,660.9,0.24,7.71,6.53,0.88,23.3,24.42,3.83
2025-01-03 06:00:00,687.6,0.3,8.05,5.81,0.92,24.85,26.08,3.99
2025-01-03 07:00:00,694.27,0.39,8.31,6.53,1.1,25.38,26.98,4.02
2025-01-03 08:00:00,667.57,1.12,7.45,11.35,1.31,23.83,25.81,3.86
2025-01-03 09:00:00,487.33,0.52,5.57,22.89,1.07,14.14,15.65,2.66
2025-01-03 10:00:00,440.6,0.4,4.84,26.82,1.01,11.2,12.59,2.6
2025-01-03 11:00:00,433.92,0.36,4.33,32.54,1.03,10.38,11.72,2.66
2025-01-03 12:00:00,447.27,0.4,4.37,37.19,1.15,11.3,12.8,3.29
2025-01-03 13:00:00,494.0,0.5,5.1,42.56,1.42,14.27,16.13,4.62
2025-01-03 14:00:00,514.03,0.52,5.65,52.93,1.71,16.73,18.81,5.95
2025-01-03 15:00:00,534.06,0.48,6.25,61.51,2.06,18.85,21.11,7.54
2025-01-03 16:00:00,547.41,0.39,6.77,60.8,2.06,20.08,22.43,7.41
2025-01-03 17:00:00,540.73,0.22,7.45,55.07,2.0,20.06,22.42,6.46
2025-01-03 18:00:00,527.38,0.02,8.4,44.35,1.89,18.89,21.29,5.45
2025-01-03 19:00:00,574.11,0.0,10.02,30.04,1.94,20.43,23.29,5.19
2025-01-03 20:00:00,647.54,0.01,11.14,20.74,1.91,23.6,26.89,4.81
2025-01-03 21:00:00,707.63,0.02,11.48,14.84,1.8,26.11,29.62,4.5
2025-01-03 22:00:00,747.68,0.05,11.31,11.35,1.73,27.46,31.07,4.37
2025-01-03 23:00:00,754.36,0.07,10.88,9.75,1.58,28.09,31.68,4.12
2025-01-04 00:00:00,734.33,0.08,9.68,9.39,1.31,27.91,31.14,3.67
2025-01-04 01:00:00,707.63,0.07,8.65,9.12,1.07,27.8,30.6,3.32
2025-01-04 02:00:00,700.95,0.08,8.31,8.49,0.92,28.74,30.92,3.1
2025-01-04 03:00:00,694.27,0.1,7.97,8.14,0.82,29.43,31.09,2.91
2025-01-04 04:00:00,660.9,0.08,7.37,8.67,0.75,28.18,29.45,2.66
2025-01-04 05:00:00,607.49,0.06,6.6,10.19,0.71,25.63,26.68,2.44
2025-01-04 06:00:00,580.79,0.04,6.34,11.18,0.71,23.76,24.74,2.34
2025-01-04 07:00:00,587.46,0.21,6.25,10.1,0.83,23.48,24.74,2.5
2025-01-04 08:00:00,580.79,1.08,5.1,13.95,1.03,22.95,24.58,2.69
2025-01-04 09:00:00,480.65,0.85,3.73,27.18,0.95,18.87,20.29,2.09
2025-01-04 10:00:00,460.62,0.6,2.91,40.05,0.86,17.95,19.21,2.18
2025-01-04 11:00:00,427.25,0.41,2.14,49.35,0.83,16.27,17.34,2.18
2025-01-04 12:00:00,297.07,0.19,1.1,45.78,0.64,8.45,9.0,1.23
2025-01-04 13:00:00,257.02,0.15,1.07,40.77,0.64,5.96,6.35,1.06
2025-01-04 14:00:00,247.0,0.11,1.32,35.41,0.66,5.05,5.38,1.08
2025-01-04 15:00:00,243.66,0.07,1.71,30.04,0.73,5.45,5.78,1.14
2025-01-04 16:00:00,257.02,0.07,2.18,27.54,0.91,7.03,7.41,1.28
2025-01-04 17:00:00,270.37,0.04,2.83,26.82,1.1,8.64,9.08,1.36
2025-01-04 18:00:00,280.38,0.0,3.43,27.54,1.3,9.88,10.41,1.35
2025-01-04 19:00:00,290.39,0.0,3.77,28.61,1.43,11.49,12.09,1.28
2025-01-04 20:00:00,297.07,0.0,3.94,28.61,1.49,12.95,13.6,1.25
2025-01-04 21:00:00,300.41,0.0,3.9,27.89,1.4,13.65,14.36,1.33
2025-01-04 22:00:00,303.75,0.0,3.9,26.46,1.31,13.11,13.91,1.47
2025-01-04 23:00:00,310.42,0.0,3.86,25.03,1.18,12.02,12.76,1.49
2025-01-05 00:00:00,310.42,0.0,3.68,24.68,0.97,10.58,11.11,1.33
2025-01-05 01:00:00,307.08,0.0,3.34,24.68,0.77,9.14,9.53,1.25
