Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,267.03,0.25,4.03,19.31,0.66,2.58,3.32,1.49
2025-01-01 09:00:00,253.68,0.29,3.73,25.39,0.68,1.96,2.62,1.3
2025-01-01 10:00:00,250.34,0.37,3.6,30.04,0.72,1.8,2.43,1.25
2025-01-01 11:00:00,250.34,0.37,3.26,35.41,0.71,1.82,2.41,1.17
2025-01-01 12:00:00,236.99,0.24,2.31,38.62,0.52,1.48,1.94,0.92
2025-01-01 13:00:00,230.31,0.17,2.03,38.27,0.48,1.36,1.77,0.89
2025-01-01 14:00:00,233.65,0.15,2.25,37.19,0.53,1.42,1.82,0.95
2025-01-01 15:00:00,253.68,0.15,3.43,31.11,0.73,1.98,2.55,1.3
2025-01-01 16:00:00,290.39,0.11,5.36,23.96,0.95,3.1,3.93,1.66
2025-01-01 17:00:00,327.11,0.04,7.28,18.24,1.13,4.24,5.23,1.96
2025-01-01 18:00:00,373.84,0.03,9.77,13.05,1.42,5.74,6.91,2.5
2025-01-01 19:00:00,413.89,0.1,10.71,8.05,1.48,7.55,9.0,2.75
2025-01-01 20:00:00,433.92,0.17,9.42,5.41,1.3,8.94,10.84,2.66
2025-01-01 21:00:00,427.25,0.17,8.05,4.87,1.12,9.71,11.93,2.56
2025-01-01 22:00:00,423.91,0.12,7.45,5.63,1.01,9.86,11.88,2.41
2025-01-01 23:00:00,420.57,0.08,7.54,6.53,0.97,9.67,11.39,2.25
2025-01-02 00:00:00,407.22,0.04,7.2,7.51,0.82,8.95,10.24,1.99
2025-01-02 01:00:00,417.23,0.03,7.63,7.42,0.75,8.68,9.8,1.96
2025-01-02 02:00:00,427.25,0.03,7.88,6.79,0.69,8.28,9.34,1.93
2025-01-02 03:00:00,397.21,0.03,6.6,7.15,0.55,6.97,7.88,1.79
2025-01-02 04:00:00,350.48,0.03,5.01,8.31,0.44,5.44,6.21,1.65
2025-01-02 05:00:00,303.75,0.02,3.9,10.37,0.38,3.98,4.62,1.52
2025-01-02 06:00:00,267.03,0.02,3.21,13.05,0.38,2.78,3.37,1.46
2025-01-02 07:00:00,253.68,0.04,3.38,14.48,0.51,2.25,2.93,1.49
2025-01-02 08:00:00,250.34,0.18,4.03,16.27,0.72,2.06,2.84,1.52
2025-01-02 09:00:00,240.33,0.24,3.98,22.17,0.74,1.58,2.24,1.23
2025-01-02 10:00:00,243.66,0.32,4.2,24.32,0.8,1.51,2.12,1.11
2025-01-02 11:00:00,240.33,0.28,3.73,26.82,0.75,1.36,1.89,1.01
2025-01-02 12:00:00,223.64,0.15,2.91,28.25,0.58,1.12,1.53,0.83
2025-01-02 13:00:00,223.64,0.09,2.83,27.54,0.55,1.13,1.52,0.81
2025-01-02 14:00:00,220.3,0.05,2.66,26.82,0.5,1.05,1.4,0.75
2025-01-02 15:00:00,213.62,0.11,2.14,27.18,0.45,0.96,1.3,0.74
2025-01-02 16:00:00,216.96,0.19,1.95,28.97,0.46,1.01,1.38,0.79
2025-01-02 17:00:00,220.3,0.16,2.36,29.68,0.53,1.13,1.56,0.87
2025-01-02 18:00:00,236.99,0.01,3.64,26.46,0.71,1.42,1.99,1.09
2025-01-02 19:00:00,257.02,0.0,4.88,21.28,0.89,1.97,2.76,1.35
2025-01-02 20:00:00,273.7,0.01,5.14,17.7,0.89,2.5,3.45,1.46
2025-01-02 21:00:00,290.39,0.02,5.48,14.66,0.92,3.14,4.25,1.68
2025-01-02 22:00:00,310.42,0.04,5.83,11.98,0.94,3.92,5.22,1.95
2025-01-02 23:00:00,320.43,0.07,5.83,10.37,0.9,4.5,5.88,2.25
2025-01-03 00:00:00,317.1,0.08,5.23,9.57,0.77,4.79,6.07,2.53
2025-01-03 01:00:00,317.1,0.08,4.84,8.85,0.68,5.13,6.34,2.85
2025-01-03 02:00:00,337.12,0.09,5.44,7.78,0.67,5.99,7.26,3.29
2025-01-03 03:00:00,353.81,0.12,5.65,6.62,0.65,6.87,8.15,3.51
2025-01-03 04:00:00,370.5,0.18,5.74,5.41,0.62,7.75,9.0,3.67
2025-01-03 05:00:00,397.21,0.3,6.43,4.02,0.65,9.09,10.4,3.93
2025-01-03 06:00:00,433.92,0.42,7.54,3.44,0.71,10.21,11.59,3.64
2025-01-03 07:00:00,427.25,0.55,7.63,4.34,0.85,9.58,11.02,2.91
2025-01-03 08:00:00,397.21,1.1,6.94,7.6,0.97,7.88,9.28,2.31
2025-01-03 09:00:00,300.41,0.79,4.37,20.38,0.77,3.9,4.9,1.57
2025-01-03 10:00:00,273.7,0.74,3.21,29.68,0.77,2.95,3.87,1.49
2025-01-03 11:00:00,257.02,0.46,2.23,43.63,0.77,2.82,3.69,1.46
2025-01-03 12:00:00,226.97,0.2,1.09,47.92,0.54,2.08,2.73,0.99
2025-01-03 13:00:00,226.97,0.15,1.07,47.92,0.53,2.03,2.65,1.03
2025-01-03 14:00:00,223.64,0.13,1.23,45.42,0.54,1.83,2.4,1.04
2025-01-03 15:00:00,223.64,0.17,1.52,41.13,0.59,1.73,2.29,1.14
2025-01-03 16:00:00,236.99,0.28,2.1,39.7,0.72,1.94,2.6,1.41
2025-01-03 17:00:00,253.68,0.29,3.34,37.91,0.93,2.26,3.06,1.73
2025-01-03 18:00:00,270.37,0.03,5.18,31.47,1.16,2.55,3.48,1.96
2025-01-03 19:00:00,293.73,0.0,6.34,24.32,1.25,3.06,4.16,2.03
2025-01-03 20:00:00,303.75,0.01,6.25,19.49,1.12,3.55,4.67,1.85
2025-01-03 21:00:00,313.76,0.01,5.74,16.27,0.97,4.02,5.13,1.79
2025-01-03 22:00:00,323.77,0.02,5.48,13.59,0.89,4.79,6.07,1.87
2025-01-03 23:00:00,327.11,0.04,5.18,12.16,0.8,5.39,6.84,1.9
2025-01-04 00:00:00,327.11,0.05,4.67,10.73,0.67,5.9,7.42,2.09
2025-01-04 01:00:00,327.11,0.06,4.07,9.57,0.54,6.48,7.97,2.41
2025-01-04 02:00:00,327.11,0.07,3.73,9.12,0.48,6.95,8.39,2.85
2025-01-04 03:00:00,327.11,0.07,3.6,9.12,0.46,7.28,8.69,3.17
2025-01-04 04:00:00,320.43,0.07,3.38,9.66,0.42,7.21,8.43,3.01
2025-01-04 05:00:00,317.1,0.07,3.3,9.92,0.41,7.06,8.08,2.79
2025-01-04 06:00:00,340.46,0.07,4.03,10.01,0.46,7.36,8.38,2.6
2025-01-04 07:00:00,377.18,0.39,4.8,9.66,0.63,7.89,9.18,2.41
2025-01-04 08:00:00,390.53,1.41,4.33,14.48,0.8,7.61,9.05,2.06
2025-01-04 09:00:00,287.06,0.59,2.63,32.54,0.56,3.81,4.63,1.17
2025-01-04 10:00:00,273.7,0.4,2.25,42.92,0.6,3.77,4.54,1.22
2025-01-04 11:00:00,263.69,0.24,1.71,52.93,0.63,3.68,4.42,1.2
2025-01-04 12:00:00,226.97,0.12,0.97,51.5,0.42,2.42,2.97,0.8
2025-01-04 13:00:00,216.96,0.09,1.03,49.35,0.39,1.98,2.46,0.82
2025-01-04 14:00:00,216.96,0.06,1.37,45.78,0.42,1.75,2.2,0.85
2025-01-04 15:00:00,220.3,0.03,1.8,39.7,0.45,1.7,2.14,0.9
2025-01-04 16:00:00,226.97,0.03,2.46,33.97,0.52,1.91,2.38,1.11
2025-01-04 17:00:00,236.99,0.02,3.17,29.68,0.6,2.13,2.64,1.31
2025-01-04 18:00:00,270.37,0.01,5.31,22.53,0.89,2.98,3.65,1.95
2025-01-04 19:00:00,317.1,0.03,7.28,13.95,1.09,4.56,5.56,2.47
2025-01-04 20:00:00,350.48,0.1,7.28,9.21,1.01,6.01,7.35,2.5
2025-01-04 21:00:00,367.16,0.12,6.77,7.51,0.91,7.09,8.7,2.41
2025-01-04 22:00:00,373.84,0.08,6.77,8.4,0.85,7.6,9.07,2.22
2025-01-04 23:00:00,373.84,0.03,7.03,10.64,0.81,7.43,8.7,1.99
2025-01-05 00:00:00,347.14,0.01,6.17,13.23,0.68,6.37,7.33,1.74
2025-01-05 01:00:00,323.77,0.01,5.01,14.84,0.54,5.37,6.2,1.63
2025-01-05 02:00:00,287.06,0.0,3.77,17.88,0.42,4.01,4.71,1.47
2025-01-05 03:00:00,257.02,0.0,2.66,20.56,0.32,2.86,3.41,1.3
2025-01-05 04:00:00,243.66,0.0,2.25,21.28,0.29,2.41,2.89,1.27
2025-01-05 05:00:00,236.99,0.01,2.16,21.28,0.28,2.27,2.73,1.3
2025-01-05 06:00:00,240.33,0.01,2.31,20.92,0.31,2.27,2.75,1.31
2025-01-05 07:00:00,236.99,0.05,2.42,20.92,0.39,2.21,2.78,1.25
2025-01-05 08:00:00,236.99,0.34,2.21,22.89,0.48,2.1,2.76,1.19
2025-01-05 09:00:00,208.62,0.21,1.29,33.62,0.34,1.19,1.7,0.65
2025-01-05 10:00:00,201.94,0.13,1.14,36.84,0.34,1.03,1.53,0.59
2025-01-05 11:00:00,196.93,0.06,0.97,37.55,0.32,0.99,1.49,0.55
2025-01-05 12:00:00,193.6,0.03,0.89,36.84,0.28,0.88,1.33,0.52
2025-01-05 13:00:00,196.93,0.05,1.08,35.76,0.32,0.88,1.31,0.63
2025-01-05 14:00:00,205.28,0.06,1.44,35.41,0.4,0.97,1.43,0.79
2025-01-05 15:00:00,220.3,0.09,2.08,32.54,0.56,1.25,1.82,1.19
2025-01-05 16:00:00,243.66,0.12,2.91,28.61,0.71,1.8,2.5,1.52
2025-01-05 17:00:00,257.02,0.08,3.6,25.03,0.76,2.25,3.04,1.58
2025-01-05 18:00:00,297.07,0.03,5.83,15.56,1.0,3.51,4.61,2.09
2025-01-05 19:00:00,347.14,0.16,7.54,6.88,1.22,5.5,7.28,2.91
2025-01-05 20:00:00,380.52,0.42,7.88,3.4,1.34,7.43,9.89,3.99
