Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,290.39,1.47,2.78,2.35,0.69,5.23,6.12,1.54
2025-01-01 09:00:00,247.0,0.19,2.91,12.7,0.55,3.17,3.72,0.92
2025-01-01 10:00:00,240.33,0.16,2.33,15.38,0.54,2.82,3.36,0.85
2025-01-01 11:00:00,240.33,0.14,1.8,17.34,0.48,2.6,3.13,0.84
2025-01-01 12:00:00,236.99,0.12,1.48,18.6,0.46,2.41,2.92,0.84
2025-01-01 13:00:00,240.33,0.12,1.61,18.06,0.56,2.82,3.41,0.85
2025-01-01 14:00:00,240.33,0.1,1.71,17.34,0.65,3.33,3.94,0.89
2025-01-01 15:00:00,236.99,0.07,1.78,16.63,0.7,3.59,4.14,0.83
2025-01-01 16:00:00,236.99,0.03,2.01,15.74,0.77,3.66,4.16,0.77
2025-01-01 17:00:00,236.99,0.01,2.46,14.48,0.85,3.76,4.26,0.78
2025-01-01 18:00:00,253.68,0.01,3.94,9.39,0.97,4.19,4.9,1.08
2025-01-01 19:00:00,277.04,0.03,5.27,4.87,1.09,4.96,5.95,1.6
2025-01-01 20:00:00,300.41,0.04,5.65,3.58,1.19,5.73,6.96,2.56
2025-01-01 21:00:00,313.76,0.04,5.83,2.91,1.34,6.67,8.04,3.58
2025-01-01 22:00:00,313.76,0.06,5.65,1.97,1.37,7.46,8.91,3.67
2025-01-01 23:00:00,307.08,0.11,5.48,1.2,1.33,7.92,9.31,3.51
2025-01-02 00:00:00,297.07,0.13,5.31,0.76,1.21,7.57,8.73,3.23
2025-01-02 01:00:00,287.06,0.13,5.18,0.51,1.13,7.31,8.32,3.58
2025-01-02 02:00:00,287.06,0.12,5.06,0.42,1.03,7.19,8.11,4.31
2025-01-02 03:00:00,290.39,0.12,4.5,0.41,0.89,7.48,8.34,4.56
2025-01-02 04:00:00,287.06,0.12,3.77,0.4,0.71,7.8,8.58,3.51
2025-01-02 05:00:00,277.04,0.13,3.64,0.53,0.69,7.77,8.46,2.63
2025-01-02 06:00:00,263.69,0.13,3.9,0.89,0.78,7.05,7.7,1.98
2025-01-02 07:00:00,257.02,0.27,4.63,1.25,1.04,6.54,7.35,1.6
2025-01-02 08:00:00,253.68,0.73,5.23,3.8,1.43,6.57,7.53,1.36
2025-01-02 09:00:00,223.64,0.19,3.68,15.38,1.16,4.39,4.9,0.66
2025-01-02 10:00:00,211.95,0.07,2.36,17.7,0.79,2.96,3.39,0.54
