Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,397.21,0.52,3.08,11.8,0.59,11.33,11.83,2.03
2025-01-01 09:00:00,323.77,0.14,1.15,26.82,0.25,5.68,5.91,0.88
2025-01-01 10:00:00,323.77,0.1,1.14,30.76,0.25,5.41,5.65,0.93
2025-01-01 11:00:00,330.45,0.06,1.24,32.9,0.25,5.51,5.77,0.94
2025-01-01 12:00:00,310.42,0.02,0.97,30.4,0.17,3.5,3.67,0.63
2025-01-01 13:00:00,303.75,0.02,0.85,28.61,0.14,2.65,2.78,0.51
2025-01-01 14:00:00,300.41,0.03,0.8,28.61,0.14,2.63,2.77,0.49
2025-01-01 15:00:00,300.41,0.03,0.79,28.97,0.15,2.59,2.71,0.5
2025-01-01 16:00:00,307.08,0.03,0.96,28.97,0.18,3.03,3.16,0.61
2025-01-01 17:00:00,317.1,0.01,1.25,29.68,0.23,3.96,4.11,0.76
2025-01-01 18:00:00,363.83,0.0,3.6,23.6,0.61,6.87,7.23,1.42
2025-01-01 19:00:00,417.23,0.01,5.83,14.84,0.84,10.62,11.23,1.77
2025-01-01 20:00:00,447.27,0.02,6.25,9.3,0.8,13.15,13.89,1.87
2025-01-01 21:00:00,460.62,0.03,6.08,7.33,0.72,14.94,15.75,1.96
2025-01-01 22:00:00,467.3,0.02,5.65,7.51,0.66,16.2,17.03,2.01
2025-01-01 23:00:00,467.3,0.02,5.27,7.96,0.6,16.65,17.45,2.09
2025-01-02 00:00:00,453.95,0.02,4.67,8.23,0.5,16.31,17.0,2.18
2025-01-02 01:00:00,440.6,0.02,4.28,8.4,0.43,15.78,16.42,2.28
2025-01-02 02:00:00,433.92,0.01,4.41,8.94,0.44,15.32,15.98,2.53
2025-01-02 03:00:00,420.57,0.02,4.16,8.67,0.41,14.59,15.26,2.63
2025-01-02 04:00:00,400.54,0.02,3.51,8.23,0.35,13.49,14.11,2.75
2025-01-02 05:00:00,383.85,0.03,3.13,8.23,0.34,12.33,12.91,3.04
2025-01-02 06:00:00,373.84,0.03,3.17,8.49,0.36,11.31,11.88,2.94
2025-01-02 07:00:00,370.5,0.08,3.68,8.31,0.47,10.43,11.04,2.22
2025-01-02 08:00:00,370.5,0.25,3.9,11.44,0.6,9.47,10.05,1.68
2025-01-02 09:00:00,310.42,0.1,1.41,28.61,0.33,4.4,4.6,1.08
2025-01-02 10:00:00,297.07,0.11,0.91,33.97,0.29,3.61,3.81,1.11
2025-01-02 11:00:00,300.41,0.11,0.73,40.05,0.28,3.96,4.18,1.17
2025-01-02 12:00:00,307.08,0.1,0.63,44.7,0.25,4.41,4.62,1.03
