Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,694.27,0.52,6.08,13.05,0.65,28.7,30.06,3.99
2025-01-01 09:00:00,433.92,0.13,2.42,25.75,0.3,11.73,12.35,1.98
2025-01-01 10:00:00,373.84,0.1,1.63,26.82,0.25,7.32,7.83,1.68
2025-01-01 11:00:00,353.81,0.1,1.37,28.25,0.23,6.22,6.7,1.68
2025-01-01 12:00:00,327.11,0.09,1.12,29.68,0.21,4.92,5.34,1.54
2025-01-01 13:00:00,300.41,0.07,0.89,28.97,0.18,3.55,3.89,1.35
2025-01-01 14:00:00,283.72,0.05,0.79,28.97,0.16,2.95,3.27,1.28
2025-01-01 15:00:00,270.37,0.04,0.74,28.97,0.15,2.4,2.69,1.19
2025-01-01 16:00:00,263.69,0.02,0.88,28.25,0.18,2.17,2.47,1.3
2025-01-01 17:00:00,273.7,0.01,1.19,27.89,0.25,2.38,2.74,1.58
2025-01-01 18:00:00,310.42,0.0,2.68,21.28,0.48,3.88,4.68,2.94
2025-01-01 19:00:00,377.18,0.02,4.54,12.34,0.75,6.76,8.31,4.12
2025-01-01 20:00:00,447.27,0.05,5.74,7.6,0.92,10.34,12.41,4.75
2025-01-01 21:00:00,500.68,0.12,6.25,4.83,0.93,13.32,15.45,5.19
2025-01-01 22:00:00,534.06,0.22,6.34,3.31,0.92,15.54,17.49,5.64
2025-01-01 23:00:00,567.44,0.3,6.68,2.57,0.92,17.53,19.21,6.33
2025-01-02 00:00:00,587.46,0.29,6.94,2.57,0.86,18.99,20.34,6.84
2025-01-02 01:00:00,620.84,0.36,7.45,1.94,0.85,21.02,22.45,7.28
2025-01-02 02:00:00,694.27,0.53,9.17,1.08,1.07,25.06,26.89,9.37
2025-01-02 03:00:00,787.73,0.74,10.97,0.55,1.24,30.47,32.62,9.88
2025-01-02 04:00:00,881.2,0.88,12.34,0.3,1.28,36.49,38.82,9.75
2025-01-02 05:00:00,961.3,0.81,13.37,0.26,1.3,42.16,44.55,9.88
2025-01-02 06:00:00,1014.71,0.66,14.57,0.27,1.36,46.35,49.0,10.26
2025-01-02 07:00:00,1028.06,0.81,13.19,0.92,1.24,47.57,50.48,7.66
2025-01-02 08:00:00,1001.36,1.49,9.77,7.51,1.04,46.95,50.07,5.38
2025-01-02 09:00:00,614.17,0.3,4.84,25.03,0.52,22.14,23.41,4.24
