Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,427.25,0.34,5.23,29.33,2.26,17.34,20.75,24.07
2025-01-01 09:00:00,433.92,0.14,5.44,39.34,2.92,17.16,20.81,24.32
2025-01-01 10:00:00,427.25,0.13,4.88,43.99,3.07,16.32,19.82,22.55
2025-01-01 11:00:00,400.54,0.1,3.9,49.35,2.86,14.66,17.67,19.0
2025-01-01 12:00:00,363.83,0.08,3.21,52.21,2.74,12.63,14.96,14.44
2025-01-01 13:00:00,340.46,0.07,2.72,53.64,2.44,12.02,14.0,12.54
2025-01-01 14:00:00,340.46,0.04,2.31,55.79,2.0,12.58,14.45,11.78
2025-01-01 15:00:00,347.14,0.03,2.18,57.94,1.83,13.68,15.53,12.03
2025-01-01 16:00:00,357.15,0.02,2.33,57.94,1.83,14.16,16.05,13.05
2025-01-01 17:00:00,363.83,0.01,2.66,55.79,1.89,13.94,15.9,13.93
2025-01-01 18:00:00,363.83,0.0,3.0,52.93,1.85,13.22,15.23,14.06
2025-01-01 19:00:00,360.49,0.0,3.43,49.35,1.83,12.54,14.76,14.57
2025-01-01 20:00:00,360.49,0.0,3.81,44.35,1.88,12.14,14.62,15.2
2025-01-01 21:00:00,353.81,0.0,3.9,35.05,1.71,11.93,14.65,13.93
2025-01-01 22:00:00,353.81,0.0,3.9,25.39,1.51,12.44,15.44,12.16
2025-01-01 23:00:00,353.81,0.0,3.68,17.7,1.25,13.24,16.5,10.39
2025-01-02 00:00:00,360.49,0.0,3.38,11.98,0.95,14.56,17.79,8.74
2025-01-02 01:00:00,367.16,0.01,3.3,8.14,0.78,16.36,19.45,7.98
2025-01-02 02:00:00,377.18,0.02,3.26,5.63,0.67,18.3,21.21,7.66
2025-01-02 03:00:00,387.19,0.03,3.3,4.16,0.63,20.04,22.98,7.98
2025-01-02 04:00:00,397.21,0.04,3.38,3.31,0.65,21.89,24.89,8.74
2025-01-02 05:00:00,407.22,0.05,3.56,3.17,0.68,23.62,26.59,9.25
2025-01-02 06:00:00,413.89,0.03,3.9,4.47,0.8,23.8,26.69,10.64
2025-01-02 07:00:00,427.25,0.1,4.41,7.96,1.18,23.42,26.57,13.43
2025-01-02 08:00:00,440.6,0.38,3.94,25.75,2.18,23.29,26.82,16.47
2025-01-02 09:00:00,440.6,0.15,3.9,44.35,3.37,21.89,25.42,17.23
2025-01-02 10:00:00,417.23,0.11,3.81,48.64,4.11,19.08,22.23,15.45
2025-01-02 11:00:00,373.84,0.05,3.6,47.21,4.41,15.19,17.67,11.53
2025-01-02 12:00:00,323.77,0.02,3.68,43.27,4.59,11.03,12.81,6.84
2025-01-02 13:00:00,307.08,0.02,3.94,43.63,4.59,9.3,10.99,7.54
2025-01-02 14:00:00,313.76,0.02,3.81,43.27,4.11,9.27,11.13,10.01
2025-01-02 15:00:00,330.45,0.05,3.6,43.63,3.93,10.0,12.1,12.54
2025-01-02 16:00:00,337.12,0.07,3.56,45.78,4.23,10.84,13.12,14.06
2025-01-02 17:00:00,337.12,0.06,3.98,45.78,4.71,11.32,13.56,13.68
2025-01-02 18:00:00,343.8,0.01,5.01,40.77,5.13,12.42,14.81,13.93
2025-01-02 19:00:00,363.83,0.0,6.34,35.05,5.42,14.39,17.19,15.33
2025-01-02 20:00:00,387.19,0.0,7.8,28.97,5.6,15.94,19.08,15.58
2025-01-02 21:00:00,410.56,0.0,8.23,21.82,5.13,18.39,21.88,16.21
2025-01-02 22:00:00,433.92,0.0,7.88,15.56,4.35,20.82,24.49,16.72
2025-01-02 23:00:00,440.6,0.0,7.45,10.82,3.61,22.31,25.95,16.72
2025-01-03 00:00:00,447.27,0.01,7.11,7.42,2.95,22.83,26.12,15.33
2025-01-03 01:00:00,467.3,0.02,7.45,5.19,2.56,23.65,26.73,16.72
2025-01-03 02:00:00,473.98,0.04,6.94,3.13,2.0,22.88,25.91,17.48
2025-01-03 03:00:00,467.3,0.07,6.6,1.94,1.62,21.2,24.17,18.49
2025-01-03 04:00:00,467.3,0.1,6.68,1.43,1.52,19.79,22.75,20.27
2025-01-03 05:00:00,460.62,0.12,6.77,1.3,1.49,18.37,21.31,22.04
2025-01-03 06:00:00,440.6,0.1,6.25,1.61,1.4,15.68,18.56,21.53
2025-01-03 07:00:00,427.25,0.44,5.65,4.38,1.56,13.89,17.0,22.04
2025-01-03 08:00:00,440.6,0.85,5.01,25.75,2.32,14.21,17.7,23.31
2025-01-03 09:00:00,440.6,0.42,3.77,62.23,3.13,15.2,18.78,21.79
2025-01-03 10:00:00,420.57,0.18,2.48,75.1,3.52,15.24,18.56,17.23
2025-01-03 11:00:00,393.87,0.08,2.01,67.95,3.46,14.47,16.92,9.75
2025-01-03 12:00:00,370.5,0.07,2.03,61.51,3.28,13.26,14.73,3.67
2025-01-03 13:00:00,353.81,0.11,1.86,52.21,2.41,13.33,14.84,3.48
2025-01-03 14:00:00,337.12,0.12,1.54,49.35,1.77,12.74,14.38,4.81
2025-01-03 15:00:00,330.45,0.1,1.59,60.08,1.82,12.08,13.79,7.92
2025-01-03 16:00:00,340.46,0.06,1.8,67.95,2.12,12.58,14.4,10.64
2025-01-03 17:00:00,357.15,0.02,2.25,69.38,2.56,14.0,16.07,13.05
2025-01-03 18:00:00,373.84,0.0,2.96,65.8,2.8,15.8,18.18,15.07
2025-01-03 19:00:00,393.87,0.0,3.98,59.37,2.86,17.99,20.75,16.97
2025-01-03 20:00:00,410.56,0.0,4.88,50.78,2.8,20.27,23.39,16.97
2025-01-03 21:00:00,417.23,0.0,5.57,37.55,2.38,21.26,24.57,14.95
2025-01-03 22:00:00,433.92,0.0,6.68,31.47,2.29,21.44,24.96,15.58
2025-01-03 23:00:00,447.27,0.0,7.28,26.82,2.24,21.5,25.14,16.72
2025-01-04 00:00:00,460.62,0.0,7.37,23.96,2.18,21.84,25.51,18.75
2025-01-04 01:00:00,467.3,0.0,7.37,21.28,2.06,21.8,25.41,21.03
2025-01-04 02:00:00,453.95,0.0,7.2,18.6,1.82,21.0,24.49,21.53
2025-01-04 03:00:00,427.25,0.0,5.57,14.84,1.22,20.03,23.35,14.82
2025-01-04 04:00:00,417.23,0.01,5.06,11.98,1.03,20.02,23.31,14.19
2025-01-04 05:00:00,413.89,0.01,5.1,9.92,1.0,20.11,23.4,15.58
2025-01-04 06:00:00,417.23,0.01,4.93,7.96,0.94,19.08,22.23,15.45
2025-01-04 07:00:00,427.25,0.22,4.63,9.75,1.07,18.18,21.44,16.47
