Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,280.38,0.09,1.69,36.48,0.31,8.06,10.75,1.22
2025-01-01 09:00:00,260.35,0.14,1.29,49.35,0.29,7.25,9.98,0.89
2025-01-01 10:00:00,257.02,0.11,1.2,56.51,0.28,6.59,9.0,0.83
2025-01-01 11:00:00,250.34,0.05,1.04,63.66,0.23,5.37,7.24,0.74
2025-01-01 12:00:00,240.33,0.01,0.66,74.39,0.16,3.9,5.4,0.39
2025-01-01 13:00:00,243.66,0.02,0.64,75.1,0.16,4.19,5.54,0.34
2025-01-01 14:00:00,250.34,0.02,0.66,74.39,0.17,5.32,6.78,0.34
2025-01-01 15:00:00,260.35,0.01,0.71,75.82,0.17,6.9,8.43,0.34
2025-01-01 16:00:00,267.03,0.01,0.79,77.96,0.18,8.84,10.37,0.34
2025-01-01 17:00:00,273.7,0.0,0.91,80.82,0.19,10.8,12.32,0.33
2025-01-01 18:00:00,287.06,0.0,1.31,79.39,0.24,13.99,15.8,0.49
2025-01-01 19:00:00,297.07,0.0,1.69,75.82,0.29,16.33,18.81,0.64
2025-01-01 20:00:00,303.75,0.0,1.84,72.96,0.31,17.21,20.03,0.72
2025-01-01 21:00:00,307.08,0.0,1.93,69.38,0.31,16.75,19.32,0.82
2025-01-01 22:00:00,313.76,0.0,1.99,64.37,0.3,16.43,18.62,0.89
2025-01-01 23:00:00,323.77,0.0,1.95,62.23,0.3,16.85,18.97,0.91
2025-01-02 00:00:00,337.12,0.0,1.86,59.37,0.31,18.09,20.35,0.93
2025-01-02 01:00:00,360.49,0.0,1.93,55.79,0.34,20.71,22.95,0.94
2025-01-02 02:00:00,393.87,0.0,2.06,50.78,0.37,24.33,26.35,0.95
2025-01-02 03:00:00,433.92,0.0,2.06,47.21,0.38,27.41,29.12,0.89
2025-01-02 04:00:00,460.62,0.0,2.01,43.99,0.35,28.86,30.24,0.85
2025-01-02 05:00:00,480.65,0.0,1.99,42.2,0.32,28.82,29.92,0.89
2025-01-02 06:00:00,487.33,0.0,2.01,41.48,0.28,26.77,27.6,0.9
2025-01-02 07:00:00,473.98,0.0,1.95,41.13,0.25,23.13,23.8,0.86
2025-01-02 08:00:00,460.62,0.0,1.86,42.92,0.25,19.41,19.98,0.82
2025-01-02 09:00:00,447.27,0.01,1.93,44.7,0.24,16.19,16.67,0.85
2025-01-02 10:00:00,440.6,0.03,2.16,41.13,0.27,14.51,14.95,0.97
2025-01-02 11:00:00,440.6,0.08,2.23,37.91,0.29,13.81,14.24,1.09
