Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,433.92,0.91,5.91,21.1,1.3,11.96,14.46,12.92
2025-01-01 09:00:00,467.3,0.49,6.51,32.54,1.43,13.36,16.04,11.78
2025-01-01 10:00:00,447.27,0.27,4.97,29.68,1.06,12.7,15.23,7.73
2025-01-01 11:00:00,413.89,0.17,3.26,28.25,0.68,10.81,12.82,4.56
2025-01-01 12:00:00,357.15,0.06,1.93,29.33,0.38,7.09,8.13,2.44
2025-01-01 13:00:00,347.14,0.07,1.95,26.11,0.37,6.49,7.43,2.34
2025-01-01 14:00:00,353.81,0.08,2.23,23.6,0.42,6.76,7.79,2.72
2025-01-01 15:00:00,357.15,0.07,2.55,22.17,0.48,6.91,8.01,3.17
2025-01-01 16:00:00,363.83,0.04,3.04,21.1,0.56,7.08,8.22,3.67
2025-01-01 17:00:00,380.52,0.01,3.73,20.21,0.67,7.5,8.68,4.12
2025-01-01 18:00:00,410.56,0.0,5.23,20.03,0.97,8.84,10.26,6.08
2025-01-01 19:00:00,460.62,0.0,7.54,18.78,1.39,10.89,12.81,9.37
2025-01-01 20:00:00,514.03,0.0,9.68,17.17,1.74,12.98,15.37,12.41
2025-01-01 21:00:00,554.08,0.0,11.31,15.02,1.94,14.85,17.61,15.2
2025-01-01 22:00:00,574.11,0.01,12.17,12.87,1.97,16.27,19.27,16.97
2025-01-01 23:00:00,580.79,0.01,12.51,11.09,1.89,17.25,20.25,17.73
2025-01-02 00:00:00,567.44,0.02,10.97,8.31,1.56,17.58,20.38,15.71
2025-01-02 01:00:00,547.41,0.03,9.6,6.62,1.3,17.62,20.27,14.44
2025-01-02 02:00:00,527.38,0.04,8.48,5.9,1.09,17.63,20.22,13.68
2025-01-02 03:00:00,514.03,0.04,8.05,5.72,1.01,17.8,20.33,13.93
2025-01-02 04:00:00,514.03,0.04,8.14,5.72,1.04,18.25,20.78,15.45
2025-01-02 05:00:00,527.38,0.05,8.65,5.63,1.15,19.01,21.57,17.48
2025-01-02 06:00:00,534.06,0.06,9.17,5.28,1.22,19.71,22.42,18.75
2025-01-02 07:00:00,547.41,0.45,9.08,6.17,1.37,20.44,23.47,19.51
2025-01-02 08:00:00,574.11,1.33,8.05,19.13,1.55,21.52,24.87,17.73
2025-01-02 09:00:00,540.73,0.43,6.85,30.4,1.25,19.58,22.58,11.27
2025-01-02 10:00:00,467.3,0.32,4.07,33.26,0.83,15.11,17.59,6.02
2025-01-02 11:00:00,403.88,0.22,2.44,40.05,0.66,11.52,13.53,4.05
2025-01-02 12:00:00,320.43,0.09,1.37,41.84,0.45,6.22,7.31,2.28
2025-01-02 13:00:00,300.41,0.07,1.48,37.55,0.46,5.3,6.31,1.99
2025-01-02 14:00:00,283.72,0.05,1.78,33.26,0.48,4.63,5.57,1.87
2025-01-02 15:00:00,280.38,0.05,2.63,31.47,0.67,4.33,5.3,3.23
2025-01-02 16:00:00,307.08,0.09,4.07,33.26,1.01,5.02,6.25,5.89
2025-01-02 17:00:00,350.48,0.08,6.0,34.33,1.46,6.31,7.87,8.87
2025-01-02 18:00:00,393.87,0.01,8.31,32.19,1.82,7.73,9.71,11.53
