Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,226.97,0.41,5.44,25.03,2.47,1.44,1.62,1.49
2025-01-01 09:00:00,230.31,0.51,5.14,32.9,2.38,1.54,1.73,1.3
2025-01-01 10:00:00,216.96,0.26,3.51,33.62,1.59,1.35,1.52,0.81
2025-01-01 11:00:00,210.29,0.13,2.14,27.89,0.88,1.12,1.24,0.39
2025-01-01 12:00:00,208.62,0.05,1.02,27.54,0.31,0.91,0.96,0.14
2025-01-01 13:00:00,208.62,0.05,0.97,31.11,0.29,0.95,1.0,0.13
2025-01-01 14:00:00,206.95,0.04,1.02,36.12,0.29,1.04,1.08,0.12
2025-01-01 15:00:00,206.95,0.06,1.88,36.84,0.54,1.2,1.27,0.21
2025-01-01 16:00:00,210.29,0.07,2.96,35.76,0.79,1.35,1.45,0.31
2025-01-01 17:00:00,213.62,0.03,4.07,34.33,1.07,1.41,1.53,0.43
2025-01-01 18:00:00,213.62,0.0,4.5,34.33,1.25,1.38,1.52,0.54
2025-01-01 19:00:00,211.95,0.0,4.2,34.33,1.28,1.31,1.46,0.62
2025-01-01 20:00:00,208.62,0.0,3.86,34.33,1.3,1.26,1.44,0.7
2025-01-01 21:00:00,203.61,0.0,3.13,34.33,1.21,1.17,1.37,0.72
2025-01-01 22:00:00,200.27,0.0,2.53,33.26,1.04,1.05,1.26,0.66
2025-01-01 23:00:00,198.6,0.0,2.27,30.76,0.9,0.96,1.14,0.59
2025-01-02 00:00:00,196.93,0.0,2.16,28.25,0.82,0.91,1.06,0.52
2025-01-02 01:00:00,195.26,0.0,1.91,25.75,0.73,0.93,1.05,0.49
2025-01-02 02:00:00,195.26,0.0,1.69,23.6,0.66,0.99,1.11,0.45
2025-01-02 03:00:00,196.93,0.0,1.65,22.71,0.63,1.02,1.14,0.42
2025-01-02 04:00:00,198.6,0.0,1.65,21.82,0.59,1.06,1.18,0.39
2025-01-02 05:00:00,210.29,0.0,1.86,19.49,0.56,1.24,1.37,0.4
2025-01-02 06:00:00,230.31,0.0,2.29,15.2,0.57,1.75,1.93,0.52
2025-01-02 07:00:00,240.33,0.01,3.0,12.34,0.72,2.15,2.4,0.69
2025-01-02 08:00:00,240.33,0.13,3.6,14.31,1.01,2.06,2.33,0.77
2025-01-02 09:00:00,226.97,0.19,3.13,20.56,1.03,1.66,1.88,0.64
2025-01-02 10:00:00,210.29,0.11,2.29,23.6,0.8,1.19,1.35,0.45
2025-01-02 11:00:00,200.27,0.08,1.52,26.46,0.63,0.98,1.1,0.32
2025-01-02 12:00:00,195.26,0.04,0.54,30.4,0.28,0.64,0.7,0.16
2025-01-02 13:00:00,191.93,0.05,0.34,31.11,0.21,0.5,0.55,0.12
2025-01-02 14:00:00,190.26,0.04,0.26,31.83,0.18,0.5,0.54,0.1
2025-01-02 15:00:00,195.26,0.14,0.92,32.19,0.51,0.57,0.65,0.26
2025-01-02 16:00:00,201.94,0.17,2.06,33.26,0.9,0.89,1.05,0.46
2025-01-02 17:00:00,211.95,0.07,3.68,31.47,1.34,1.12,1.33,0.67
2025-01-02 18:00:00,216.96,0.0,4.71,29.68,1.67,1.22,1.45,0.87
2025-01-02 19:00:00,216.96,0.0,4.88,27.89,1.8,1.27,1.51,1.03
2025-01-02 20:00:00,216.96,0.0,4.71,27.18,1.8,1.33,1.58,1.16
2025-01-02 21:00:00,213.62,0.0,3.98,27.54,1.58,1.27,1.5,1.17
2025-01-02 22:00:00,213.62,0.0,3.64,27.18,1.56,1.18,1.4,1.3
2025-01-02 23:00:00,216.96,0.0,3.86,25.75,1.74,1.1,1.31,1.5
2025-01-03 00:00:00,216.96,0.0,4.2,23.96,1.97,1.04,1.22,1.8
2025-01-03 01:00:00,223.64,0.0,4.37,23.6,2.12,1.14,1.32,2.12
2025-01-03 02:00:00,236.99,0.0,4.5,25.03,2.24,1.63,1.85,2.41
2025-01-03 03:00:00,250.34,0.0,4.71,27.54,2.41,2.5,2.76,2.63
2025-01-03 04:00:00,263.69,0.0,4.84,29.68,2.59,3.23,3.52,2.82
2025-01-03 05:00:00,267.03,0.0,5.01,30.4,2.8,3.66,3.96,2.94
2025-01-03 06:00:00,270.37,0.0,5.74,29.68,3.22,3.96,4.26,3.04
2025-01-03 07:00:00,273.7,0.18,6.85,28.61,3.81,4.14,4.46,2.98
2025-01-03 08:00:00,270.37,0.64,5.83,40.05,3.99,4.19,4.49,2.44
2025-01-03 09:00:00,253.68,0.33,2.83,50.78,2.44,3.68,3.92,1.11
2025-01-03 10:00:00,243.66,0.17,2.01,52.21,1.67,3.17,3.39,0.74
2025-01-03 11:00:00,230.31,0.06,1.59,47.92,1.12,2.34,2.51,0.51
2025-01-03 12:00:00,223.64,0.01,1.29,42.56,0.79,1.9,2.03,0.38
2025-01-03 13:00:00,220.3,0.02,1.21,39.34,0.7,1.64,1.76,0.32
2025-01-03 14:00:00,216.96,0.02,1.14,37.55,0.63,1.4,1.51,0.27
2025-01-03 15:00:00,216.96,0.13,1.86,34.69,0.89,1.4,1.53,0.37
2025-01-03 16:00:00,223.64,0.31,2.91,36.84,1.31,1.65,1.83,0.57
2025-01-03 17:00:00,233.65,0.31,4.33,42.2,1.88,2.01,2.25,0.87
2025-01-03 18:00:00,243.66,0.03,5.44,45.06,2.18,2.37,2.67,1.04
2025-01-03 19:00:00,243.66,0.0,5.4,47.21,2.24,2.8,3.17,1.14
2025-01-03 20:00:00,243.66,0.0,5.27,47.92,2.35,3.14,3.57,1.33
2025-01-03 21:00:00,240.33,0.0,4.67,47.21,2.15,3.12,3.52,1.3
