Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,370.5,0.53,9.51,18.06,5.66,16.47,24.06,7.85
2025-01-01 09:00:00,377.18,0.46,11.48,18.95,7.21,16.82,23.63,5.07
2025-01-01 10:00:00,387.19,0.46,13.54,19.85,8.34,16.41,22.1,3.29
2025-01-01 11:00:00,390.53,0.28,15.25,22.71,9.18,14.97,19.83,2.94
2025-01-01 12:00:00,333.79,0.25,11.65,30.76,7.15,9.48,12.41,1.9
2025-01-01 13:00:00,293.73,0.26,8.31,36.12,5.54,5.75,7.71,1.38
2025-01-01 14:00:00,277.04,0.3,6.77,41.13,5.07,3.97,5.49,1.16
2025-01-01 15:00:00,283.72,0.2,6.17,35.41,4.71,4.04,6.14,1.77
2025-01-01 16:00:00,303.75,0.12,6.6,28.61,4.77,4.86,7.83,2.69
2025-01-01 17:00:00,313.76,0.04,7.8,27.54,5.42,5.42,8.83,3.99
2025-01-01 18:00:00,323.77,0.0,9.34,30.04,6.68,5.8,9.38,5.95
2025-01-01 19:00:00,343.8,0.0,10.45,28.97,7.33,6.78,11.05,7.41
2025-01-01 20:00:00,373.84,0.0,11.14,25.39,7.51,8.39,13.83,8.74
2025-01-01 21:00:00,383.85,0.0,10.88,23.6,6.85,9.42,15.51,9.37
2025-01-01 22:00:00,377.18,0.0,10.28,24.68,6.08,9.77,16.09,10.01
2025-01-01 23:00:00,363.83,0.0,9.6,26.46,5.36,9.8,15.9,10.39
2025-01-02 00:00:00,347.14,0.0,8.74,27.18,4.53,9.71,15.11,10.51
2025-01-02 01:00:00,340.46,0.0,8.23,25.39,3.73,10.01,14.84,10.13
2025-01-02 02:00:00,353.81,0.0,8.23,21.99,3.1,11.0,15.42,9.25
2025-01-02 03:00:00,357.15,0.0,7.71,19.85,2.59,11.66,15.8,8.36
2025-01-02 04:00:00,363.83,0.0,8.05,20.21,2.77,12.51,16.54,8.99
2025-01-02 05:00:00,387.19,0.0,9.68,20.74,3.61,14.72,18.75,10.13
2025-01-02 06:00:00,423.91,0.0,12.51,20.74,5.07,18.43,22.76,11.02
2025-01-02 07:00:00,433.92,0.05,13.54,19.49,6.14,20.35,25.67,10.39
2025-01-02 08:00:00,423.91,0.57,12.51,19.49,6.32,20.49,26.86,8.49
2025-01-02 09:00:00,357.15,1.1,10.71,29.68,7.87,16.28,21.26,3.67
2025-01-02 10:00:00,320.43,1.1,8.48,40.77,7.87,12.3,16.24,2.41
2025-01-02 11:00:00,303.75,0.75,6.43,57.94,7.87,10.26,13.63,2.18
2025-01-02 12:00:00,260.35,0.33,2.96,65.09,5.25,6.66,8.69,1.35
2025-01-02 13:00:00,233.65,0.22,1.67,63.66,3.64,4.75,6.2,1.03
2025-01-02 14:00:00,223.64,0.22,1.44,60.8,3.04,3.71,4.97,0.97
2025-01-02 15:00:00,220.3,0.21,1.5,54.36,2.74,2.61,3.73,0.96
2025-01-02 16:00:00,216.96,0.18,1.99,47.21,2.8,1.87,2.98,1.01
2025-01-02 17:00:00,220.3,0.07,2.74,39.7,2.95,1.5,2.63,1.09
2025-01-02 18:00:00,243.66,0.0,4.71,29.33,3.31,2.33,4.52,2.72
2025-01-02 19:00:00,277.04,0.0,6.51,21.99,3.81,3.6,7.34,5.07
2025-01-02 20:00:00,297.07,0.01,7.71,19.13,4.41,4.66,9.85,7.73
2025-01-02 21:00:00,310.42,0.01,8.48,19.67,5.19,5.32,11.33,10.13
2025-01-02 22:00:00,320.43,0.01,9.0,20.56,5.66,5.86,12.34,11.91
2025-01-02 23:00:00,323.77,0.0,9.0,21.28,5.72,6.15,12.57,13.05
2025-01-03 00:00:00,310.42,0.0,8.14,22.53,5.07,5.69,11.06,12.79
2025-01-03 01:00:00,303.75,0.0,7.88,23.25,4.83,5.6,10.45,13.55
2025-01-03 02:00:00,313.76,0.0,9.08,22.17,5.54,6.35,11.21,14.82
2025-01-03 03:00:00,327.11,0.01,10.37,18.78,5.9,7.59,12.46,14.57
2025-01-03 04:00:00,343.8,0.01,11.65,15.56,6.08,9.13,14.13,13.93
2025-01-03 05:00:00,363.83,0.02,13.37,13.05,6.5,11.05,16.23,13.17
2025-01-03 06:00:00,390.53,0.04,15.25,10.82,7.03,13.41,18.84,10.77
2025-01-03 07:00:00,420.57,0.59,14.39,9.03,6.62,15.69,21.95,7.41
2025-01-03 08:00:00,453.95,2.51,11.65,11.98,6.44,18.09,25.58,5.83
2025-01-03 09:00:00,410.56,2.57,13.02,25.03,10.25,17.2,23.02,3.45
2025-01-03 10:00:00,390.53,2.04,10.62,43.63,10.01,17.27,22.23,2.72
2025-01-03 11:00:00,390.53,0.92,7.11,80.82,9.89,23.32,28.13,2.53
2025-01-03 12:00:00,367.16,0.29,3.17,104.43,8.23,29.67,34.09,1.98
2025-01-03 13:00:00,357.15,0.16,2.53,113.01,7.63,32.91,37.34,1.84
2025-01-03 14:00:00,337.12,0.12,2.66,113.01,7.03,29.25,33.35,1.65
2025-01-03 15:00:00,323.77,0.12,3.47,108.72,6.97,25.69,29.97,1.66
2025-01-03 16:00:00,333.79,0.13,4.67,108.72,7.63,26.58,31.57,1.96
2025-01-03 17:00:00,347.14,0.07,6.0,107.29,8.23,27.54,32.87,2.22
2025-01-03 18:00:00,373.84,0.0,7.63,86.55,7.39,27.23,33.27,3.48
2025-01-03 19:00:00,410.56,0.0,9.08,63.66,6.56,26.35,33.37,5.45
2025-01-03 20:00:00,440.6,0.0,10.54,52.21,6.97,26.24,34.36,8.36
2025-01-03 21:00:00,453.95,0.0,11.82,47.21,7.99,24.61,32.94,11.27
2025-01-03 22:00:00,453.95,0.0,12.34,40.41,8.23,21.87,30.06,12.16
2025-01-03 23:00:00,433.92,0.0,12.34,34.33,7.75,19.34,27.05,11.65
2025-01-04 00:00:00,400.54,0.0,11.48,30.04,6.56,16.66,23.3,10.26
2025-01-04 01:00:00,357.15,0.0,9.94,27.89,5.36,13.38,18.61,8.36
2025-01-04 02:00:00,320.43,0.0,9.17,26.11,4.71,10.51,14.81,6.78
2025-01-04 03:00:00,310.42,0.0,9.34,23.25,4.41,9.46,13.41,6.02
2025-01-04 04:00:00,330.45,0.0,10.45,19.31,3.93,9.96,13.93,5.95
2025-01-04 05:00:00,370.5,0.01,12.34,15.56,3.52,11.46,15.38,5.89
2025-01-04 06:00:00,447.27,0.02,15.25,12.52,3.61,14.63,18.58,5.76
2025-01-04 07:00:00,514.03,0.68,15.42,11.62,3.93,18.3,22.91,5.19
2025-01-04 08:00:00,554.08,3.21,11.65,21.28,4.71,22.2,27.71,4.56
2025-01-04 09:00:00,367.16,1.3,7.88,56.51,8.46,17.56,21.3,1.88
2025-01-04 10:00:00,323.77,0.41,4.76,72.24,7.27,15.91,19.0,1.9
2025-01-04 11:00:00,327.11,0.13,4.11,78.68,7.15,16.34,19.41,2.25
2025-01-04 12:00:00,313.76,0.03,3.64,75.1,6.26,14.35,17.03,2.15
2025-01-04 13:00:00,297.07,0.04,3.21,71.53,5.36,12.09,14.25,1.87
2025-01-04 14:00:00,290.39,0.06,3.17,70.1,5.01,10.39,12.11,1.65
2025-01-04 15:00:00,303.75,0.12,3.51,54.36,4.35,10.54,12.68,2.34
2025-01-04 16:00:00,323.77,0.19,4.2,46.49,4.17,11.35,14.2,3.93
2025-01-04 17:00:00,330.45,0.15,5.36,48.64,4.71,10.86,14.14,6.27
2025-01-04 18:00:00,323.77,0.01,6.68,50.07,5.19,9.29,12.65,7.85
2025-01-04 19:00:00,320.43,0.0,6.94,46.49,5.01,8.86,12.56,8.36
2025-01-04 20:00:00,317.1,0.0,6.34,42.92,4.35,9.69,13.94,8.11
2025-01-04 21:00:00,307.08,0.0,5.4,38.27,3.25,10.21,14.74,7.16
2025-01-04 22:00:00,307.08,0.0,5.18,35.05,2.86,10.39,15.21,7.22
2025-01-04 23:00:00,310.42,0.0,5.65,36.12,3.07,11.46,16.12,7.22
2025-01-05 00:00:00,320.43,0.0,6.25,37.19,3.37,13.49,17.53,6.84
2025-01-05 01:00:00,327.11,0.0,6.77,37.19,3.58,15.54,18.85,6.21
2025-01-05 02:00:00,330.45,0.0,7.28,37.19,3.78,16.68,19.37,5.32
2025-01-05 03:00:00,327.11,0.0,7.45,34.33,3.76,16.66,19.22,5.32
2025-01-05 04:00:00,327.11,0.0,7.88,31.11,3.99,16.22,19.0,6.33
2025-01-05 05:00:00,323.77,0.0,8.48,29.33,4.47,15.25,18.23,7.54
