Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,647.54,1.84,13.37,21.28,3.64,14.51,17.31,12.41
2025-01-01 09:00:00,747.68,1.63,17.48,50.07,4.89,16.72,19.75,12.41
2025-01-01 10:00:00,720.98,0.92,15.42,89.41,4.77,16.24,19.13,9.75
2025-01-01 11:00:00,674.25,0.52,11.14,125.89,4.47,15.96,18.68,7.79
2025-01-01 12:00:00,660.9,0.3,7.97,147.34,4.17,16.68,19.16,6.52
2025-01-01 13:00:00,627.52,0.21,6.34,148.77,3.61,16.48,18.47,5.19
2025-01-01 14:00:00,540.73,0.19,5.65,134.47,2.62,13.75,15.04,3.58
2025-01-01 15:00:00,447.27,0.13,5.06,107.29,1.67,10.07,10.82,2.34
2025-01-01 16:00:00,413.89,0.07,5.01,85.12,1.31,7.98,8.56,1.95
2025-01-01 17:00:00,393.87,0.02,4.58,70.81,1.07,6.59,7.06,1.69
2025-01-01 18:00:00,357.15,0.0,2.91,58.65,0.69,4.7,5.02,1.14
2025-01-01 19:00:00,380.52,0.0,3.56,54.36,0.88,4.67,5.07,1.3
2025-01-01 20:00:00,423.91,0.0,4.88,49.35,1.21,5.26,5.8,1.9
2025-01-01 21:00:00,534.06,0.0,10.11,36.48,2.06,7.6,8.66,3.36
2025-01-01 22:00:00,654.22,0.0,16.11,22.35,2.65,11.22,12.97,4.81
2025-01-01 23:00:00,700.95,0.0,18.51,12.87,2.65,14.19,16.28,5.51
2025-01-02 00:00:00,714.3,0.01,18.16,7.6,2.41,16.28,18.67,5.83
2025-01-02 01:00:00,707.63,0.01,16.45,4.83,2.0,17.52,20.14,5.51
2025-01-02 02:00:00,674.25,0.01,14.05,3.31,1.52,18.08,20.76,5.0
2025-01-02 03:00:00,640.87,0.01,12.17,2.86,1.3,18.34,21.08,5.51
2025-01-02 04:00:00,620.84,0.01,10.97,3.17,1.22,18.5,21.35,6.59
2025-01-02 05:00:00,600.81,0.01,10.28,3.84,1.21,18.44,21.35,7.66
2025-01-02 06:00:00,547.41,0.01,8.74,8.14,1.19,16.16,18.6,7.73
2025-01-02 07:00:00,567.44,0.59,9.68,11.18,1.86,16.09,18.89,9.37
2025-01-02 08:00:00,674.25,2.01,12.17,34.69,3.31,18.4,21.81,11.02
2025-01-02 09:00:00,754.36,0.71,16.79,60.8,4.47,20.37,24.16,11.15
2025-01-02 10:00:00,714.3,0.64,14.39,86.55,4.47,19.49,23.11,9.5
2025-01-02 11:00:00,587.46,0.39,7.97,105.86,3.25,16.15,18.87,6.33
2025-01-02 12:00:00,333.79,0.15,2.12,73.67,1.06,6.2,6.99,1.63
2025-01-02 13:00:00,290.39,0.11,1.71,66.52,0.67,4.29,4.72,0.86
2025-01-02 14:00:00,293.73,0.1,1.91,65.8,0.57,4.34,4.67,0.73
