Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,273.7,0.15,1.17,17.7,0.51,4.5,7.85,0.62
2025-01-01 09:00:00,250.34,0.68,3.47,41.13,6.38,3.55,5.35,0.21
2025-01-01 10:00:00,257.02,0.78,5.1,48.64,9.18,4.09,5.89,0.21
2025-01-01 11:00:00,263.69,0.38,5.91,52.93,9.3,4.29,6.19,0.37
2025-01-01 12:00:00,257.02,0.53,8.91,51.5,12.99,3.95,5.24,0.31
2025-01-01 13:00:00,260.35,0.99,9.34,57.22,14.66,4.76,5.82,0.3
2025-01-01 14:00:00,270.37,1.08,8.83,66.52,15.26,6.61,7.72,0.27
2025-01-01 15:00:00,283.72,0.49,5.48,70.81,11.21,9.13,10.68,0.3
2025-01-01 16:00:00,290.39,0.13,3.04,62.94,8.34,10.83,12.82,0.31
2025-01-01 17:00:00,293.73,0.02,2.44,53.64,8.11,11.26,13.4,0.31
2025-01-01 18:00:00,300.41,0.0,2.74,45.78,7.75,10.27,12.36,0.39
2025-01-01 19:00:00,303.75,0.0,3.9,41.48,7.39,10.2,12.16,0.35
2025-01-01 20:00:00,303.75,0.0,4.16,42.2,6.79,11.35,13.17,0.29
2025-01-01 21:00:00,307.08,0.0,3.17,36.84,5.01,11.39,13.41,0.41
2025-01-01 22:00:00,313.76,0.0,2.55,25.75,3.78,10.77,13.04,0.51
2025-01-01 23:00:00,320.43,0.0,2.27,17.7,3.43,10.15,12.44,0.55
2025-01-02 00:00:00,323.77,0.0,2.06,12.7,3.78,9.52,11.41,0.52
2025-01-02 01:00:00,323.77,0.0,1.95,11.27,3.93,8.37,10.05,0.47
2025-01-02 02:00:00,320.43,0.0,1.86,12.34,3.37,6.86,8.64,0.44
2025-01-02 03:00:00,313.76,0.0,1.76,13.23,2.32,5.92,7.82,0.46
2025-01-02 04:00:00,307.08,0.0,1.71,13.95,1.86,5.39,7.34,0.55
2025-01-02 05:00:00,300.41,0.0,1.71,15.2,1.73,4.9,6.87,0.72
2025-01-02 06:00:00,293.73,0.0,1.69,16.99,1.12,4.41,6.59,0.82
2025-01-02 07:00:00,290.39,0.0,1.59,16.81,0.68,4.21,6.77,0.63
2025-01-02 08:00:00,290.39,0.04,1.48,17.52,0.6,4.25,7.17,0.49
2025-01-02 09:00:00,273.7,0.04,1.04,40.41,1.45,2.93,4.68,0.28
2025-01-02 10:00:00,277.04,0.09,0.88,41.84,1.71,2.73,4.42,0.38
2025-01-02 11:00:00,277.04,0.11,0.77,45.42,1.74,2.68,4.37,0.49
2025-01-02 12:00:00,273.7,0.82,6.0,75.1,12.52,4.41,5.76,0.28
2025-01-02 13:00:00,270.37,0.79,7.97,89.41,17.4,7.06,8.43,0.11
2025-01-02 14:00:00,273.7,0.66,9.51,87.98,19.31,8.65,10.06,0.01
2025-01-02 15:00:00,273.7,0.5,9.94,80.11,18.84,9.57,10.92,0.0
2025-01-02 16:00:00,277.04,0.26,8.65,72.24,15.74,9.76,11.15,0.03
2025-01-02 17:00:00,283.72,0.07,6.68,62.94,11.09,8.4,9.72,0.17
2025-01-02 18:00:00,297.07,0.0,3.47,45.42,4.59,7.27,8.93,0.53
2025-01-02 19:00:00,317.1,0.0,2.1,30.4,2.21,7.5,9.95,0.74
2025-01-02 20:00:00,330.45,0.0,1.84,22.89,2.0,8.15,11.26,0.81
2025-01-02 21:00:00,340.46,0.0,2.03,20.03,2.06,8.8,12.41,1.04
2025-01-02 22:00:00,347.14,0.0,2.33,19.67,2.18,9.29,13.05,1.16
2025-01-02 23:00:00,347.14,0.0,2.51,18.6,2.5,9.65,13.23,1.11
2025-01-03 00:00:00,350.48,0.0,2.55,16.27,3.07,10.02,13.05,0.97
2025-01-03 01:00:00,350.48,0.0,2.4,14.13,2.8,9.87,12.57,0.87
2025-01-03 02:00:00,343.8,0.0,2.14,14.13,2.15,8.96,11.52,0.83
2025-01-03 03:00:00,333.79,0.0,1.88,15.38,1.89,7.64,9.81,0.74
2025-01-03 04:00:00,320.43,0.0,1.69,15.56,1.97,6.6,8.68,0.59
2025-01-03 05:00:00,313.76,0.0,1.61,14.48,2.15,6.0,8.05,0.54
2025-01-03 06:00:00,307.08,0.0,1.61,13.23,1.97,5.81,7.97,0.5
2025-01-03 07:00:00,303.75,0.01,1.61,13.23,2.03,5.67,7.98,0.44
2025-01-03 08:00:00,300.41,0.02,1.59,15.56,2.59,5.41,7.6,0.36
2025-01-03 09:00:00,263.69,0.29,6.43,32.54,5.84,5.07,6.11,0.0
2025-01-03 10:00:00,260.35,0.61,6.94,35.76,6.5,5.04,6.06,0.0
2025-01-03 11:00:00,267.03,0.63,5.83,42.56,6.74,5.05,6.15,0.1
2025-01-03 12:00:00,257.02,0.96,10.2,42.56,12.99,5.12,5.89,0.0
2025-01-03 13:00:00,267.03,0.54,9.25,48.64,12.16,5.86,6.62,0.0
2025-01-03 14:00:00,277.04,0.28,7.97,54.36,10.61,7.0,7.86,0.0
2025-01-03 15:00:00,293.73,0.08,8.4,55.79,9.54,9.78,10.75,0.0
2025-01-03 16:00:00,313.76,0.02,13.54,47.92,12.04,13.47,14.51,0.0
2025-01-03 17:00:00,343.8,0.0,17.65,38.27,15.02,16.52,17.62,0.05
2025-01-03 18:00:00,380.52,0.0,13.02,28.61,11.09,16.9,18.39,0.4
2025-01-03 19:00:00,413.89,0.0,7.71,21.99,6.97,15.98,17.85,0.55
2025-01-03 20:00:00,433.92,0.0,5.23,18.42,5.3,14.94,17.13,0.55
2025-01-03 21:00:00,440.6,0.0,4.11,16.81,3.87,14.07,16.87,0.73
2025-01-03 22:00:00,453.95,0.0,3.68,15.2,2.86,13.99,17.28,0.84
2025-01-03 23:00:00,460.62,0.0,3.47,12.7,2.53,14.11,17.49,0.8
