Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,447.27,0.31,6.17,16.99,0.82,14.69,18.03,3.51
2025-01-01 09:00:00,267.03,0.13,2.08,33.97,0.34,4.6,5.74,1.23
2025-01-01 10:00:00,240.33,0.09,1.46,36.12,0.28,2.91,3.66,1.08
2025-01-01 11:00:00,230.31,0.08,1.23,37.55,0.27,2.44,3.07,1.03
2025-01-01 12:00:00,220.3,0.07,1.12,38.62,0.28,2.22,2.69,0.85
2025-01-01 13:00:00,216.96,0.07,1.2,40.41,0.33,2.53,2.96,0.76
2025-01-01 14:00:00,216.96,0.07,1.29,42.92,0.39,3.02,3.43,0.66
2025-01-01 15:00:00,236.99,0.16,2.1,37.91,0.54,4.18,4.94,1.54
2025-01-01 16:00:00,280.38,0.3,3.38,33.26,0.77,6.08,7.46,2.79
2025-01-01 17:00:00,320.43,0.29,4.93,31.47,1.04,7.75,9.62,4.31
2025-01-01 18:00:00,347.14,0.03,6.68,29.33,1.39,8.81,11.05,6.14
2025-01-01 19:00:00,367.16,0.0,7.37,25.39,1.51,9.7,12.29,6.14
2025-01-01 20:00:00,387.19,0.01,7.63,21.99,1.48,10.55,13.24,5.45
2025-01-01 21:00:00,400.54,0.01,7.71,20.21,1.34,11.14,13.62,4.81
2025-01-01 22:00:00,420.57,0.02,7.88,18.42,1.21,11.99,14.69,4.56
2025-01-01 23:00:00,433.92,0.03,8.05,16.81,1.07,12.71,15.41,4.31
2025-01-02 00:00:00,440.6,0.04,7.88,15.56,0.89,13.04,15.58,4.31
2025-01-02 01:00:00,440.6,0.04,7.54,15.02,0.77,12.93,15.38,4.43
2025-01-02 02:00:00,433.92,0.05,7.2,14.31,0.7,12.62,15.04,4.62
2025-01-02 03:00:00,433.92,0.06,7.03,13.41,0.67,12.43,14.82,4.69
2025-01-02 04:00:00,433.92,0.07,6.94,12.7,0.64,12.23,14.59,4.56
2025-01-02 05:00:00,427.25,0.08,6.77,12.16,0.63,11.95,14.21,4.31
2025-01-02 06:00:00,420.57,0.09,6.6,11.8,0.64,11.27,13.47,3.99
2025-01-02 07:00:00,397.21,0.1,6.08,12.34,0.79,10.13,12.47,3.67
2025-01-02 08:00:00,343.8,0.24,5.01,16.81,1.03,8.14,10.26,2.94
2025-01-02 09:00:00,257.02,0.24,2.78,28.25,1.25,5.19,6.23,1.31
2025-01-02 10:00:00,236.99,0.28,1.71,36.48,1.21,4.61,5.44,1.12
2025-01-02 11:00:00,223.64,0.19,0.97,45.78,1.12,4.17,4.85,0.93
2025-01-02 12:00:00,208.62,0.12,0.54,47.92,0.72,3.05,3.49,0.66
2025-01-02 13:00:00,205.28,0.1,0.48,49.35,0.57,2.81,3.19,0.59
2025-01-02 14:00:00,210.29,0.1,0.59,53.64,0.66,3.69,4.1,0.56
2025-01-02 15:00:00,216.96,0.1,0.81,55.79,0.76,4.57,5.03,0.68
2025-01-02 16:00:00,226.97,0.08,1.2,54.36,0.8,4.83,5.36,0.9
2025-01-02 17:00:00,230.31,0.03,1.67,50.78,0.79,4.43,5.0,1.11
2025-01-02 18:00:00,260.35,0.0,3.47,43.27,1.07,5.17,6.32,3.32
2025-01-02 19:00:00,320.43,0.0,6.6,37.91,1.74,7.39,9.69,8.04
2025-01-02 20:00:00,400.54,0.0,9.51,34.33,2.62,10.6,14.18,13.68
2025-01-02 21:00:00,480.65,0.0,12.17,32.19,3.31,14.03,18.46,17.99
2025-01-02 22:00:00,520.71,0.0,13.37,30.76,3.52,16.45,21.05,19.76
2025-01-02 23:00:00,527.38,0.0,12.51,28.97,3.19,17.21,21.4,18.24
2025-01-03 00:00:00,500.68,0.01,9.85,23.96,2.15,16.31,19.6,10.51
2025-01-03 01:00:00,494.0,0.02,9.0,19.49,1.74,16.38,19.28,8.74
2025-01-03 02:00:00,520.71,0.04,9.34,15.38,1.58,17.88,20.86,9.37
2025-01-03 03:00:00,554.08,0.07,10.02,12.16,1.55,20.62,23.92,11.15
2025-01-03 04:00:00,580.79,0.08,10.37,11.62,1.52,22.69,26.22,12.29
2025-01-03 05:00:00,580.79,0.07,10.28,12.7,1.45,23.29,26.79,12.54
2025-01-03 06:00:00,554.08,0.05,9.6,14.84,1.3,22.05,25.53,10.77
2025-01-03 07:00:00,507.35,0.19,7.71,16.27,1.1,18.93,22.46,6.59
2025-01-03 08:00:00,433.92,0.55,5.44,21.28,1.06,14.57,17.78,3.86
2025-01-03 09:00:00,270.37,0.32,2.74,32.54,0.98,6.48,7.72,1.2
2025-01-03 10:00:00,250.34,0.28,1.67,38.98,0.73,5.21,6.15,1.09
2025-01-03 11:00:00,250.34,0.19,1.06,47.21,0.58,5.55,6.45,1.17
2025-01-03 12:00:00,243.66,0.13,0.76,50.78,0.45,5.5,6.3,1.17
2025-01-03 13:00:00,243.66,0.11,0.71,51.5,0.36,5.44,6.25,1.25
2025-01-03 14:00:00,240.33,0.09,0.74,52.93,0.3,5.56,6.4,1.27
2025-01-03 15:00:00,247.0,0.11,1.08,52.21,0.33,6.02,7.03,1.63
2025-01-03 16:00:00,267.03,0.15,1.74,52.21,0.48,7.24,8.59,2.34
2025-01-03 17:00:00,283.72,0.11,2.68,52.21,0.67,8.51,10.13,3.04
2025-01-03 18:00:00,310.42,0.01,4.07,52.93,1.0,10.53,12.59,4.62
2025-01-03 19:00:00,360.49,0.0,6.25,50.78,1.53,13.6,16.54,7.79
2025-01-03 20:00:00,423.91,0.0,9.17,44.7,2.12,16.68,20.62,11.78
2025-01-03 21:00:00,480.65,0.0,11.65,39.34,2.56,19.32,24.02,15.58
2025-01-03 22:00:00,520.71,0.0,13.19,35.41,2.71,21.41,26.39,17.48
2025-01-03 23:00:00,547.41,0.0,13.71,31.47,2.59,22.85,27.07,17.48
2025-01-04 00:00:00,547.41,0.0,12.68,26.82,2.12,22.58,25.69,15.07
2025-01-04 01:00:00,534.06,0.01,10.54,23.96,1.48,21.57,24.25,11.27
2025-01-04 02:00:00,520.71,0.01,8.91,22.35,1.03,21.31,23.82,7.98
2025-01-04 03:00:00,507.35,0.02,7.8,20.92,0.78,21.27,23.73,5.89
2025-01-04 04:00:00,500.68,0.02,7.03,20.21,0.67,21.39,23.82,5.19
2025-01-04 05:00:00,494.0,0.02,6.68,19.85,0.62,21.75,24.19,4.75
2025-01-04 06:00:00,487.33,0.02,6.51,20.03,0.6,22.59,25.2,4.24
2025-01-04 07:00:00,480.65,0.12,5.74,21.99,0.66,22.77,25.65,3.61
2025-01-04 08:00:00,433.92,0.57,3.86,33.62,0.72,22.38,25.23,2.85
2025-01-04 09:00:00,313.76,0.2,1.48,64.37,0.83,20.63,22.37,1.14
2025-01-04 10:00:00,303.75,0.14,1.21,69.38,0.93,22.63,24.25,1.11
2025-01-04 11:00:00,303.75,0.1,1.17,72.24,1.01,22.8,24.21,1.12
2025-01-04 12:00:00,267.03,0.07,0.97,64.37,0.83,16.36,17.24,0.78
2025-01-04 13:00:00,243.66,0.05,0.9,57.22,0.61,11.92,12.56,0.8
2025-01-04 14:00:00,233.65,0.03,0.9,57.94,0.6,10.94,11.53,0.7
2025-01-04 15:00:00,226.97,0.02,1.07,60.8,0.71,10.61,11.18,0.65
2025-01-04 16:00:00,236.99,0.02,1.5,66.52,0.97,12.1,12.71,0.74
2025-01-04 17:00:00,243.66,0.02,1.97,70.1,1.18,13.1,13.77,0.88
2025-01-04 18:00:00,280.38,0.0,3.68,57.22,1.24,13.57,14.69,2.15
2025-01-04 19:00:00,337.12,0.0,6.0,38.98,1.21,14.55,16.42,3.48
2025-01-04 20:00:00,397.21,0.0,7.63,26.46,1.16,16.62,19.08,4.5
2025-01-04 21:00:00,427.25,0.01,8.14,22.71,1.13,18.06,20.72,5.45
2025-01-04 22:00:00,433.92,0.01,7.71,22.71,1.01,17.29,20.21,5.38
