Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,313.76,1.15,8.05,16.27,2.18,5.26,5.89,2.03
2025-01-01 09:00:00,267.03,0.74,4.8,29.68,1.36,3.3,3.69,1.22
2025-01-01 10:00:00,240.33,0.35,2.96,38.98,0.87,2.18,2.45,0.94
2025-01-01 11:00:00,223.64,0.18,1.93,43.99,0.63,1.54,1.76,0.8
2025-01-01 12:00:00,208.62,0.08,1.36,44.35,0.43,0.96,1.11,0.59
2025-01-01 13:00:00,205.28,0.07,1.35,43.63,0.43,0.77,0.91,0.63
2025-01-01 14:00:00,205.28,0.06,1.44,42.56,0.45,0.65,0.79,0.67
2025-01-01 15:00:00,206.95,0.05,1.61,41.13,0.48,0.6,0.73,0.69
2025-01-01 16:00:00,210.29,0.03,1.99,40.05,0.57,0.64,0.77,0.74
2025-01-01 17:00:00,216.96,0.01,2.59,38.98,0.72,0.7,0.84,0.77
2025-01-01 18:00:00,233.65,0.0,4.41,35.76,1.15,1.07,1.29,1.09
2025-01-01 19:00:00,257.02,0.0,6.68,30.76,1.59,1.74,2.11,1.65
2025-01-01 20:00:00,277.04,0.0,7.71,27.18,1.82,2.36,2.87,2.34
2025-01-01 21:00:00,293.73,0.0,8.31,24.68,2.09,3.04,3.72,3.51
2025-01-01 22:00:00,313.76,0.01,9.08,22.17,2.38,3.86,4.75,4.69
2025-01-01 23:00:00,333.79,0.02,10.02,19.31,2.65,4.65,5.67,5.83
2025-01-02 00:00:00,353.81,0.03,10.71,16.63,2.71,5.42,6.48,7.03
2025-01-02 01:00:00,363.83,0.02,10.37,15.2,2.56,6.06,7.11,7.73
2025-01-02 02:00:00,363.83,0.02,9.42,14.66,2.38,6.31,7.36,7.73
2025-01-02 03:00:00,360.49,0.02,8.48,13.95,2.12,6.45,7.48,7.41
2025-01-02 04:00:00,357.15,0.03,7.63,13.05,1.8,6.5,7.5,6.46
2025-01-02 05:00:00,347.14,0.04,7.03,12.52,1.58,6.27,7.23,5.26
2025-01-02 06:00:00,323.77,0.05,6.43,13.59,1.37,5.13,5.95,3.7
2025-01-02 07:00:00,307.08,0.12,6.94,13.77,1.46,4.01,4.75,2.56
2025-01-02 08:00:00,287.06,0.3,7.2,16.27,1.59,2.92,3.53,1.76
2025-01-02 09:00:00,220.3,0.15,3.21,27.89,0.86,1.12,1.39,0.82
2025-01-02 10:00:00,208.62,0.16,2.29,32.19,0.69,0.86,1.11,0.75
2025-01-02 11:00:00,205.28,0.15,1.78,36.84,0.6,0.8,1.03,0.67
2025-01-02 12:00:00,198.6,0.09,1.25,40.77,0.43,0.64,0.82,0.51
2025-01-02 13:00:00,201.94,0.07,1.37,43.27,0.57,0.76,0.96,0.59
2025-01-02 14:00:00,206.95,0.05,1.67,47.21,0.86,1.03,1.31,0.66
