Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,403.88,0.05,2.42,15.74,0.43,10.77,11.77,1.88
2025-01-01 09:00:00,363.83,0.05,1.54,31.11,0.38,8.62,9.29,1.35
2025-01-01 10:00:00,340.46,0.07,1.09,35.05,0.38,6.78,7.32,1.19
2025-01-01 11:00:00,320.43,0.08,0.85,37.19,0.36,5.28,5.75,1.09
2025-01-01 12:00:00,257.02,0.02,0.37,51.5,0.15,1.98,2.23,0.5
2025-01-01 13:00:00,243.66,0.02,0.34,53.64,0.12,1.41,1.61,0.44
2025-01-01 14:00:00,250.34,0.01,0.39,55.79,0.13,1.48,1.67,0.48
2025-01-01 15:00:00,257.02,0.01,0.47,57.22,0.15,1.76,1.97,0.61
2025-01-01 16:00:00,263.69,0.01,0.58,56.51,0.18,2.2,2.45,0.74
2025-01-01 17:00:00,267.03,0.0,0.7,56.51,0.2,2.57,2.83,0.82
2025-01-01 18:00:00,273.7,0.0,0.88,55.79,0.23,2.9,3.21,0.91
2025-01-01 19:00:00,280.38,0.0,1.1,52.93,0.28,3.2,3.57,1.03
2025-01-01 20:00:00,287.06,0.0,1.26,50.07,0.29,3.45,3.87,1.12
2025-01-01 21:00:00,290.39,0.0,1.34,48.64,0.29,3.67,4.11,1.19
2025-01-01 22:00:00,283.72,0.0,1.3,48.64,0.25,3.58,3.99,1.12
2025-01-01 23:00:00,273.7,0.0,1.17,50.78,0.2,3.32,3.71,0.99
2025-01-02 00:00:00,273.7,0.0,1.37,45.78,0.2,3.61,4.1,1.33
2025-01-02 01:00:00,287.06,0.0,1.88,36.48,0.26,4.42,5.11,1.95
2025-01-02 02:00:00,300.41,0.0,2.29,30.4,0.31,5.16,6.03,2.53
2025-01-02 03:00:00,307.08,0.0,2.55,27.54,0.33,5.68,6.62,2.91
2025-01-02 04:00:00,310.42,0.0,2.63,27.18,0.34,5.94,6.89,3.04
2025-01-02 05:00:00,317.1,0.0,2.7,27.18,0.34,6.12,7.04,3.13
2025-01-02 06:00:00,327.11,0.0,2.66,25.75,0.35,6.18,7.02,2.91
2025-01-02 07:00:00,333.79,0.0,2.61,23.96,0.42,6.16,7.02,2.53
2025-01-02 08:00:00,333.79,0.02,2.46,23.25,0.45,6.14,7.04,2.15
2025-01-02 09:00:00,307.08,0.03,1.63,36.12,0.34,4.85,5.48,1.38
2025-01-02 10:00:00,297.07,0.04,1.31,38.27,0.32,4.64,5.14,1.11
2025-01-02 11:00:00,297.07,0.04,1.19,38.27,0.31,5.06,5.5,1.0
2025-01-02 12:00:00,283.72,0.02,0.82,56.51,0.21,4.15,4.47,0.67
2025-01-02 13:00:00,287.06,0.02,0.75,60.8,0.18,3.7,3.98,0.63
2025-01-02 14:00:00,300.41,0.01,0.79,59.37,0.19,3.99,4.28,0.7
2025-01-02 15:00:00,317.1,0.01,0.81,57.94,0.2,4.56,4.86,0.78
2025-01-02 16:00:00,333.79,0.01,0.89,55.07,0.22,5.33,5.65,0.88
2025-01-02 17:00:00,350.48,0.0,0.97,52.21,0.24,6.11,6.45,0.93
2025-01-02 18:00:00,370.5,0.0,1.27,45.78,0.31,7.4,7.83,1.12
2025-01-02 19:00:00,393.87,0.0,1.69,36.84,0.39,8.85,9.43,1.39
2025-01-02 20:00:00,407.22,0.0,1.99,30.76,0.45,9.85,10.54,1.63
2025-01-02 21:00:00,423.91,0.0,2.38,24.68,0.51,11.08,11.89,2.09
2025-01-02 22:00:00,447.27,0.0,2.91,18.95,0.6,12.63,13.58,2.69
