Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,487.33,0.3,6.17,10.28,0.75,14.72,16.75,3.42
2025-01-01 09:00:00,377.18,0.1,3.9,27.89,0.52,9.68,11.28,2.18
2025-01-01 10:00:00,317.1,0.11,2.33,42.56,0.39,6.63,7.9,1.65
2025-01-01 11:00:00,277.04,0.09,1.39,52.21,0.32,5.06,6.24,1.38
2025-01-01 12:00:00,257.02,0.06,0.82,62.94,0.25,4.28,5.46,1.11
2025-01-01 13:00:00,247.0,0.05,0.64,66.52,0.22,4.06,5.5,1.04
2025-01-01 14:00:00,243.66,0.04,0.54,67.23,0.2,4.17,5.92,0.93
2025-01-01 15:00:00,240.33,0.03,0.48,72.96,0.16,4.09,5.84,0.7
2025-01-01 16:00:00,240.33,0.02,0.56,75.1,0.15,4.03,5.6,0.66
2025-01-01 17:00:00,240.33,0.0,0.7,75.1,0.16,4.27,5.73,0.69
2025-01-01 18:00:00,267.03,0.0,1.65,64.37,0.31,5.72,7.3,1.42
2025-01-01 19:00:00,303.75,0.0,2.87,52.93,0.49,7.95,9.7,2.03
2025-01-01 20:00:00,337.12,0.0,3.56,47.21,0.58,10.31,12.18,2.25
2025-01-01 21:00:00,353.81,0.0,3.77,42.56,0.59,12.14,14.05,2.31
2025-01-01 22:00:00,360.49,0.0,3.73,40.05,0.57,13.62,15.47,2.28
2025-01-01 23:00:00,370.5,0.0,3.77,38.98,0.54,15.07,16.69,2.28
2025-01-02 00:00:00,380.52,0.0,3.9,37.91,0.48,16.29,17.67,2.31
2025-01-02 01:00:00,393.87,0.0,4.07,34.69,0.45,17.28,18.49,2.37
2025-01-02 02:00:00,400.54,0.0,4.2,30.76,0.43,18.15,19.26,2.41
2025-01-02 03:00:00,417.23,0.0,4.33,29.33,0.42,19.21,20.24,2.37
2025-01-02 04:00:00,433.92,0.0,4.37,30.04,0.42,20.4,21.39,2.25
2025-01-02 05:00:00,453.95,0.0,4.33,30.76,0.41,21.54,22.49,2.12
2025-01-02 06:00:00,473.98,0.0,4.24,29.33,0.39,22.28,23.18,2.01
2025-01-02 07:00:00,514.03,0.0,4.41,26.82,0.45,22.6,23.51,2.15
2025-01-02 08:00:00,554.08,0.01,4.67,25.75,0.56,22.38,23.34,2.44
2025-01-02 09:00:00,580.79,0.05,4.8,24.32,0.63,22.25,23.26,2.79
2025-01-02 10:00:00,594.14,0.1,4.71,21.28,0.64,22.23,23.29,3.01
2025-01-02 11:00:00,580.79,0.13,4.41,19.49,0.61,21.54,22.63,3.1
2025-01-02 12:00:00,574.11,0.14,3.98,21.99,0.57,20.28,21.27,2.98
2025-01-02 13:00:00,567.44,0.13,3.6,24.68,0.51,19.4,20.31,2.66
2025-01-02 14:00:00,540.73,0.11,3.08,26.82,0.45,18.01,18.88,2.41
2025-01-02 15:00:00,534.06,0.09,2.91,25.39,0.44,17.48,18.34,2.31
2025-01-02 16:00:00,547.41,0.05,3.3,20.21,0.49,17.94,18.83,2.41
2025-01-02 17:00:00,534.06,0.01,3.81,17.17,0.53,16.9,17.73,2.44
2025-01-02 18:00:00,514.03,0.0,4.41,14.31,0.59,15.43,16.33,2.66
2025-01-02 19:00:00,500.68,0.01,5.14,12.16,0.67,14.6,15.64,2.91
2025-01-02 20:00:00,500.68,0.01,5.65,12.16,0.74,14.04,15.17,3.13
2025-01-02 21:00:00,500.68,0.02,6.0,10.82,0.77,14.08,15.3,3.51
2025-01-02 22:00:00,514.03,0.04,6.51,8.4,0.83,14.67,16.04,4.12
2025-01-02 23:00:00,540.73,0.08,7.2,6.62,0.9,15.64,17.07,4.88
2025-01-03 00:00:00,574.11,0.12,7.88,5.63,0.93,16.82,18.24,5.7
2025-01-03 01:00:00,607.49,0.18,8.48,4.52,0.93,18.38,19.78,6.33
2025-01-03 02:00:00,627.52,0.26,8.91,3.49,0.94,19.76,21.16,7.03
2025-01-03 03:00:00,660.9,0.35,9.42,3.0,0.98,21.17,22.55,8.11
2025-01-03 04:00:00,700.95,0.46,10.02,2.68,1.03,22.51,23.84,9.12
2025-01-03 05:00:00,741.0,0.61,10.45,2.3,1.12,23.79,25.08,10.26
2025-01-03 06:00:00,761.03,0.75,10.45,1.92,1.09,24.38,25.65,9.5
2025-01-03 07:00:00,774.38,0.73,10.28,2.3,1.06,23.94,25.29,6.97
2025-01-03 08:00:00,734.33,0.4,9.6,6.26,0.98,21.03,22.29,5.51
2025-01-03 09:00:00,574.11,0.12,6.43,16.99,0.63,14.74,15.52,3.83
2025-01-03 10:00:00,520.71,0.15,4.88,21.46,0.51,12.57,13.26,2.82
2025-01-03 11:00:00,487.33,0.17,3.9,26.46,0.45,11.17,11.82,2.37
2025-01-03 12:00:00,440.6,0.14,2.7,34.69,0.41,9.04,9.57,2.06
2025-01-03 13:00:00,407.22,0.09,2.01,38.62,0.35,7.93,8.39,1.76
2025-01-03 14:00:00,393.87,0.06,1.69,38.27,0.29,7.37,7.79,1.57
2025-01-03 15:00:00,380.52,0.03,1.54,36.84,0.26,6.47,6.84,1.39
2025-01-03 16:00:00,357.15,0.02,1.56,36.12,0.25,5.25,5.55,1.19
2025-01-03 17:00:00,327.11,0.01,1.67,39.34,0.26,3.95,4.21,1.04
2025-01-03 18:00:00,317.1,0.0,1.69,47.92,0.26,3.66,3.89,0.89
2025-01-03 19:00:00,320.43,0.0,1.67,60.8,0.25,4.71,4.99,0.78
2025-01-03 20:00:00,303.75,0.0,1.54,69.38,0.23,5.17,5.52,0.69
2025-01-03 21:00:00,290.39,0.0,1.44,71.53,0.21,5.04,5.48,0.7
2025-01-03 22:00:00,287.06,0.0,1.48,69.38,0.22,5.18,5.79,0.81
2025-01-03 23:00:00,283.72,0.0,1.5,67.23,0.22,5.3,6.0,0.86
2025-01-04 00:00:00,283.72,0.0,1.52,66.52,0.2,5.2,5.89,0.93
2025-01-04 01:00:00,287.06,0.0,1.59,63.66,0.19,4.99,5.63,0.99
2025-01-04 02:00:00,290.39,0.0,1.67,60.08,0.19,4.9,5.59,1.06
2025-01-04 03:00:00,297.07,0.0,1.91,56.51,0.21,5.08,5.99,1.19
2025-01-04 04:00:00,307.08,0.0,2.16,52.21,0.24,5.39,6.51,1.33
2025-01-04 05:00:00,310.42,0.0,2.33,48.64,0.25,5.56,6.66,1.42
