Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,377.18,0.65,16.11,21.28,9.66,10.68,13.39,2.94
2025-01-01 09:00:00,373.84,1.51,15.08,25.39,9.42,9.97,12.82,2.66
2025-01-01 10:00:00,343.8,0.96,13.54,30.4,7.99,7.74,10.26,1.96
2025-01-01 11:00:00,303.75,0.42,10.45,36.12,6.2,5.34,7.31,1.38
2025-01-01 12:00:00,263.69,0.2,6.85,41.84,4.53,3.27,4.58,0.93
2025-01-01 13:00:00,247.0,0.18,5.06,45.78,4.05,2.29,3.32,0.83
2025-01-01 14:00:00,247.0,0.19,4.67,48.64,4.29,2.17,3.12,0.88
2025-01-01 15:00:00,247.0,0.12,4.84,47.92,4.29,2.17,3.09,0.91
2025-01-01 16:00:00,247.0,0.11,4.8,46.49,4.11,2.13,3.03,0.93
2025-01-01 17:00:00,243.66,0.06,4.8,45.06,3.93,1.99,2.84,0.92
2025-01-01 18:00:00,247.0,0.0,4.97,42.2,3.87,1.86,2.7,0.97
2025-01-01 19:00:00,257.02,0.0,5.65,39.7,4.23,2.02,2.96,1.14
2025-01-01 20:00:00,270.37,0.0,6.51,37.19,4.65,2.42,3.52,1.31
2025-01-01 21:00:00,277.04,0.0,6.94,36.12,4.71,2.86,4.09,1.46
2025-01-01 22:00:00,280.38,0.0,7.11,36.12,4.83,3.22,4.5,1.5
2025-01-01 23:00:00,280.38,0.0,6.94,37.19,4.83,3.66,4.92,1.52
2025-01-02 00:00:00,337.12,0.0,9.42,32.54,4.95,6.32,8.19,2.72
2025-01-02 01:00:00,417.23,0.0,12.51,26.11,5.01,10.34,12.56,3.96
2025-01-02 02:00:00,453.95,0.0,14.05,23.6,5.13,13.6,15.49,4.5
2025-01-02 03:00:00,473.98,0.0,14.91,21.64,5.42,16.63,18.3,5.13
2025-01-02 04:00:00,453.95,0.0,14.74,21.99,5.66,17.71,19.53,5.0
2025-01-02 05:00:00,410.56,0.0,13.54,23.6,5.72,15.81,17.71,4.24
2025-01-02 06:00:00,343.8,0.0,11.48,24.68,5.19,11.34,13.12,3.07
2025-01-02 07:00:00,330.45,0.01,11.14,23.25,5.25,8.95,11.24,3.2
2025-01-02 08:00:00,357.15,0.1,13.02,22.17,6.68,9.01,11.94,3.86
2025-01-02 09:00:00,307.08,0.68,9.42,28.61,6.85,5.85,8.21,2.63
2025-01-02 10:00:00,280.38,1.03,6.25,39.7,5.96,3.92,6.04,1.95
2025-01-02 11:00:00,257.02,0.75,4.07,54.36,4.83,3.02,4.86,1.35
2025-01-02 12:00:00,240.33,0.46,2.78,64.37,3.87,2.79,4.36,1.01
2025-01-02 13:00:00,226.97,0.35,2.29,62.23,3.19,2.18,3.41,0.82
2025-01-02 14:00:00,220.3,0.29,2.08,56.51,2.74,1.52,2.46,0.71
2025-01-02 15:00:00,213.62,0.25,2.06,49.35,2.53,1.09,1.89,0.66
2025-01-02 16:00:00,213.62,0.21,2.33,41.48,2.5,0.9,1.69,0.68
2025-01-02 17:00:00,216.96,0.1,2.78,35.05,2.5,0.81,1.57,0.68
2025-01-02 18:00:00,223.64,0.01,3.17,31.83,2.47,0.84,1.55,0.7
2025-01-02 19:00:00,226.97,0.0,3.38,31.83,2.56,0.97,1.75,0.75
2025-01-02 20:00:00,226.97,0.0,3.6,32.54,2.71,1.17,2.08,0.84
2025-01-02 21:00:00,230.31,0.0,3.94,33.26,2.95,1.45,2.52,0.96
2025-01-02 22:00:00,236.99,0.0,4.58,33.26,3.28,1.87,3.12,1.16
2025-01-02 23:00:00,243.66,0.0,5.14,32.9,3.43,2.22,3.61,1.35
2025-01-03 00:00:00,250.34,0.0,6.34,31.11,4.05,2.62,4.32,1.74
2025-01-03 01:00:00,267.03,0.0,8.31,28.61,5.01,3.44,5.53,2.06
2025-01-03 02:00:00,283.72,0.0,9.68,26.82,5.36,4.33,6.66,2.34
2025-01-03 03:00:00,313.76,0.0,11.31,24.32,5.96,5.68,8.24,2.88
2025-01-03 04:00:00,337.12,0.0,12.68,22.35,6.74,7.03,9.84,3.23
2025-01-03 05:00:00,343.8,0.0,13.19,21.1,7.15,7.74,10.6,3.23
2025-01-03 06:00:00,337.12,0.01,12.51,20.56,7.03,7.29,10.1,2.98
2025-01-03 07:00:00,350.48,0.16,13.02,19.13,8.11,7.48,10.53,3.13
2025-01-03 08:00:00,393.87,1.16,14.39,18.95,10.25,8.98,12.5,3.74
2025-01-03 09:00:00,447.27,2.77,15.08,23.25,10.85,10.63,14.89,4.31
2025-01-03 10:00:00,467.3,2.88,14.57,47.21,9.54,11.31,16.42,4.37
2025-01-03 11:00:00,447.27,1.26,10.54,104.43,8.58,13.17,18.85,4.31
2025-01-03 12:00:00,427.25,0.47,5.74,155.93,8.7,17.09,23.41,4.69
2025-01-03 13:00:00,403.88,0.31,4.46,167.37,8.7,18.43,24.83,4.43
2025-01-03 14:00:00,373.84,0.3,4.37,161.65,7.75,16.54,22.27,3.67
2025-01-03 15:00:00,340.46,0.29,4.76,145.91,6.68,14.0,18.86,2.88
2025-01-03 16:00:00,320.43,0.25,6.0,123.02,6.32,11.69,16.07,2.34
2025-01-03 17:00:00,300.41,0.11,7.03,94.41,6.2,8.94,12.73,1.82
2025-01-03 18:00:00,267.03,0.0,5.36,66.52,4.71,5.52,7.74,1.33
2025-01-03 19:00:00,273.7,0.0,6.0,55.79,5.13,4.97,6.92,1.54
2025-01-03 20:00:00,283.72,0.0,6.77,49.35,5.6,4.88,6.78,1.66
2025-01-03 21:00:00,280.38,0.0,7.11,44.35,5.84,4.64,6.46,1.54
2025-01-03 22:00:00,277.04,0.0,7.54,41.84,5.9,4.66,6.49,1.38
2025-01-03 23:00:00,277.04,0.0,8.31,41.13,6.2,5.04,6.95,1.3
2025-01-04 00:00:00,280.38,0.0,9.42,39.34,6.62,5.56,7.69,1.35
2025-01-04 01:00:00,293.73,0.0,11.31,37.91,7.39,6.77,9.19,1.6
2025-01-04 02:00:00,313.76,0.0,12.85,37.55,7.75,8.4,10.83,1.85
2025-01-04 03:00:00,347.14,0.0,14.74,35.76,6.74,10.09,12.53,3.17
2025-01-04 04:00:00,403.88,0.0,17.14,32.19,5.9,11.88,14.25,4.88
2025-01-04 05:00:00,460.62,0.0,19.19,28.61,5.78,14.39,16.73,6.08
2025-01-04 06:00:00,487.33,0.0,19.02,26.82,5.96,14.82,17.29,6.4
2025-01-04 07:00:00,487.33,0.45,17.48,26.46,6.5,14.69,18.09,6.08
2025-01-04 08:00:00,507.35,2.32,14.91,35.76,7.63,16.04,20.14,6.08
2025-01-04 09:00:00,330.45,1.03,6.94,57.94,7.57,9.69,12.03,2.41
2025-01-04 10:00:00,300.41,0.5,4.11,72.24,6.08,8.35,10.22,1.74
2025-01-04 11:00:00,287.06,0.3,2.87,80.11,5.25,7.66,9.27,1.39
2025-01-04 12:00:00,267.03,0.23,2.4,78.68,4.83,6.86,8.28,1.19
2025-01-04 13:00:00,260.35,0.21,2.46,77.25,4.71,6.59,7.95,1.2
2025-01-04 14:00:00,250.34,0.2,2.55,72.24,4.23,5.3,6.43,1.09
2025-01-04 15:00:00,233.65,0.17,2.55,62.94,3.55,3.52,4.34,0.91
2025-01-04 16:00:00,226.97,0.17,2.91,56.51,3.28,2.73,3.44,0.89
2025-01-04 17:00:00,233.65,0.11,3.73,53.64,3.31,2.67,3.38,0.97
2025-01-04 18:00:00,247.0,0.01,4.63,52.93,3.4,3.2,3.93,1.01
2025-01-04 19:00:00,257.02,0.0,5.01,56.51,3.61,4.61,5.4,1.0
2025-01-04 20:00:00,257.02,0.0,4.93,60.8,3.81,6.15,7.04,1.06
2025-01-04 21:00:00,267.03,0.0,5.57,67.23,4.59,9.1,10.1,0.97
