Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,196.93,0.0,0.88,40.41,4.35,2.72,2.87,0.0
2025-01-01 09:00:00,195.26,0.0,0.8,38.98,4.35,2.44,2.59,0.0
2025-01-01 10:00:00,193.6,0.01,0.73,38.62,4.35,2.24,2.38,0.0
2025-01-01 11:00:00,193.6,0.01,0.64,38.98,4.53,2.19,2.33,0.0
2025-01-01 12:00:00,191.93,0.01,0.61,39.34,4.23,2.06,2.18,0.0
2025-01-01 13:00:00,191.93,0.01,0.55,40.77,3.49,1.61,1.72,0.04
2025-01-01 14:00:00,193.6,0.01,0.48,42.2,3.25,1.41,1.51,0.08
2025-01-01 15:00:00,193.6,0.01,0.48,43.63,3.1,1.27,1.36,0.09
2025-01-01 16:00:00,196.93,0.01,0.55,43.99,2.83,1.26,1.35,0.11
2025-01-01 17:00:00,198.6,0.0,0.66,43.99,2.53,1.3,1.39,0.12
2025-01-01 18:00:00,201.94,0.0,0.91,42.92,2.38,1.45,1.58,0.2
2025-01-01 19:00:00,206.95,0.0,1.22,41.48,2.41,1.68,1.86,0.28
2025-01-01 20:00:00,208.62,0.0,1.46,40.05,2.53,1.91,2.14,0.34
2025-01-01 21:00:00,206.95,0.0,1.44,38.98,2.74,2.08,2.37,0.35
2025-01-01 22:00:00,201.94,0.0,1.3,37.91,3.37,2.27,2.6,0.29
2025-01-01 23:00:00,196.93,0.0,1.15,37.55,4.29,2.47,2.81,0.18
2025-01-02 00:00:00,193.6,0.0,1.02,37.91,4.95,2.57,2.84,0.09
2025-01-02 01:00:00,191.93,0.0,1.02,37.91,5.36,2.75,2.96,0.06
2025-01-02 02:00:00,190.26,0.0,1.05,37.91,5.66,2.92,3.1,0.02
2025-01-02 03:00:00,191.93,0.0,1.17,37.55,5.78,3.19,3.36,0.0
2025-01-02 04:00:00,193.6,0.0,1.27,36.84,5.72,3.39,3.56,0.01
2025-01-02 05:00:00,195.26,0.0,1.31,36.12,5.72,3.54,3.73,0.03
2025-01-02 06:00:00,195.26,0.0,1.26,35.41,5.78,3.66,3.87,0.03
2025-01-02 07:00:00,196.93,0.01,1.26,34.69,5.72,3.73,3.97,0.05
2025-01-02 08:00:00,198.6,0.1,1.2,34.69,5.36,3.85,4.11,0.06
2025-01-02 09:00:00,198.6,0.14,1.02,36.48,5.19,4.08,4.36,0.01
2025-01-02 10:00:00,200.27,0.12,0.92,37.19,5.48,4.52,4.86,0.01
2025-01-02 11:00:00,200.27,0.09,0.81,38.62,5.96,4.77,5.12,0.0
2025-01-02 12:00:00,198.6,0.06,0.65,41.48,6.08,4.73,5.01,0.0
2025-01-02 13:00:00,196.93,0.05,0.55,42.92,5.96,4.66,4.92,0.0
2025-01-02 14:00:00,195.26,0.04,0.46,42.56,5.84,4.29,4.53,0.0
2025-01-02 15:00:00,193.6,0.04,0.48,41.13,5.84,3.88,4.08,0.0
2025-01-02 16:00:00,193.6,0.02,0.59,38.98,5.66,3.64,3.81,0.0
2025-01-02 17:00:00,193.6,0.01,0.71,37.19,5.54,3.55,3.7,0.0
2025-01-02 18:00:00,195.26,0.0,0.86,35.05,5.66,3.63,3.81,0.0
2025-01-02 19:00:00,198.6,0.0,1.06,32.54,6.02,4.11,4.34,0.0
2025-01-02 20:00:00,201.94,0.0,1.23,29.68,6.38,4.94,5.23,0.0
2025-01-02 21:00:00,201.94,0.0,1.27,26.46,6.79,5.88,6.18,0.0
2025-01-02 22:00:00,201.94,0.0,1.3,23.96,7.09,6.8,7.11,0.0
2025-01-02 23:00:00,201.94,0.0,1.3,22.53,7.33,7.22,7.53,0.0
2025-01-03 00:00:00,201.94,0.0,1.37,22.17,7.63,7.21,7.5,0.0
2025-01-03 01:00:00,203.61,0.0,1.54,21.99,7.51,6.89,7.18,0.0
2025-01-03 02:00:00,201.94,0.0,1.61,22.35,7.15,6.33,6.61,0.0
2025-01-03 03:00:00,200.27,0.0,1.71,23.25,6.2,6.06,6.34,0.0
2025-01-03 04:00:00,200.27,0.0,1.76,24.68,5.48,5.89,6.18,0.02
2025-01-03 05:00:00,198.6,0.0,1.65,26.46,5.25,5.81,6.1,0.0
2025-01-03 06:00:00,196.93,0.0,1.33,28.97,5.54,5.95,6.24,0.0
2025-01-03 07:00:00,196.93,0.01,1.24,28.61,6.2,6.34,6.67,0.0
2025-01-03 08:00:00,196.93,0.08,1.17,27.89,6.97,7.01,7.39,0.0
2025-01-03 09:00:00,196.93,0.13,1.01,29.33,7.87,8.04,8.5,0.0
2025-01-03 10:00:00,196.93,0.1,0.92,31.47,8.58,8.86,9.41,0.0
2025-01-03 11:00:00,196.93,0.08,0.89,33.62,8.94,8.88,9.45,0.0
2025-01-03 12:00:00,193.6,0.06,0.81,36.48,8.34,8.19,8.64,0.0
2025-01-03 13:00:00,191.93,0.04,0.77,37.91,7.75,8.07,8.49,0.0
2025-01-03 14:00:00,191.93,0.03,0.7,38.62,7.87,8.18,8.6,0.0
2025-01-03 15:00:00,190.26,0.03,0.71,38.62,7.87,8.3,8.7,0.0
2025-01-03 16:00:00,191.93,0.03,0.77,38.27,7.87,8.17,8.56,0.0
2025-01-03 17:00:00,193.6,0.02,0.79,37.55,7.39,7.18,7.55,0.0
2025-01-03 18:00:00,193.6,0.0,0.74,37.19,7.15,5.93,6.26,0.0
2025-01-03 19:00:00,196.93,0.0,0.82,36.84,7.27,5.61,5.94,0.0
2025-01-03 20:00:00,200.27,0.0,0.99,36.84,7.39,5.88,6.22,0.0
2025-01-03 21:00:00,203.61,0.0,1.09,36.84,7.51,6.21,6.59,0.0
2025-01-03 22:00:00,205.28,0.0,1.24,36.48,7.51,6.65,7.08,0.0
