Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,233.65,0.1,2.7,27.54,0.41,1.27,1.56,0.66
2025-01-01 09:00:00,230.31,0.23,2.38,30.04,0.41,1.21,1.53,0.56
2025-01-01 10:00:00,226.97,0.21,2.1,32.19,0.38,1.22,1.59,0.55
2025-01-01 11:00:00,223.64,0.17,1.78,34.69,0.37,1.22,1.61,0.55
2025-01-01 12:00:00,201.94,0.07,0.89,37.19,0.19,0.58,0.77,0.33
2025-01-01 13:00:00,196.93,0.05,0.75,36.84,0.17,0.5,0.64,0.31
2025-01-01 14:00:00,196.93,0.05,0.81,36.48,0.19,0.5,0.64,0.34
2025-01-01 15:00:00,198.6,0.04,0.9,35.41,0.21,0.5,0.64,0.38
2025-01-01 16:00:00,200.27,0.03,1.06,34.33,0.24,0.51,0.65,0.42
2025-01-01 17:00:00,201.94,0.01,1.31,32.9,0.29,0.57,0.72,0.47
2025-01-01 18:00:00,223.64,0.0,2.96,27.54,0.58,1.05,1.32,0.89
2025-01-01 19:00:00,250.34,0.0,4.46,21.46,0.8,1.78,2.22,1.22
2025-01-01 20:00:00,263.69,0.01,4.71,18.06,0.81,2.32,2.87,1.35
2025-01-01 21:00:00,263.69,0.0,3.98,17.7,0.72,2.36,2.92,1.3
2025-01-01 22:00:00,250.34,0.0,3.13,18.78,0.61,2.06,2.59,1.12
2025-01-01 23:00:00,243.66,0.0,2.74,19.49,0.54,1.82,2.32,0.97
2025-01-02 00:00:00,236.99,0.0,2.44,20.21,0.44,1.66,2.1,0.8
2025-01-02 01:00:00,233.65,0.0,2.31,20.92,0.36,1.66,2.08,0.71
2025-01-02 02:00:00,236.99,0.0,2.27,21.64,0.3,1.67,2.11,0.64
2025-01-02 03:00:00,233.65,0.0,2.25,21.46,0.27,1.7,2.14,0.66
2025-01-02 04:00:00,230.31,0.0,2.1,20.74,0.25,1.67,2.08,0.69
2025-01-02 05:00:00,226.97,0.0,1.93,20.92,0.25,1.57,1.96,0.7
2025-01-02 06:00:00,223.64,0.0,1.8,22.35,0.26,1.41,1.82,0.67
2025-01-02 07:00:00,223.64,0.01,1.97,23.6,0.34,1.32,1.79,0.7
2025-01-02 08:00:00,223.64,0.09,2.23,24.68,0.45,1.19,1.72,0.74
2025-01-02 09:00:00,210.29,0.12,1.59,31.11,0.35,0.72,1.14,0.53
2025-01-02 10:00:00,203.61,0.11,1.3,33.62,0.32,0.58,0.99,0.49
2025-01-02 11:00:00,200.27,0.08,1.11,34.33,0.29,0.54,0.96,0.48
2025-01-02 12:00:00,193.6,0.03,0.81,34.33,0.19,0.5,0.73,0.34
2025-01-02 13:00:00,193.6,0.02,0.82,33.62,0.18,0.5,0.68,0.32
2025-01-02 14:00:00,198.6,0.01,1.07,32.9,0.21,0.5,0.7,0.39
2025-01-02 15:00:00,213.62,0.01,1.71,29.33,0.32,0.75,1.01,0.66
2025-01-02 16:00:00,223.64,0.02,2.38,26.11,0.44,1.0,1.29,0.8
2025-01-02 17:00:00,226.97,0.01,3.0,25.03,0.54,1.07,1.35,0.8
2025-01-02 18:00:00,226.97,0.0,3.13,26.82,0.6,1.04,1.36,0.76
2025-01-02 19:00:00,226.97,0.0,2.78,28.61,0.58,1.07,1.47,0.7
2025-01-02 20:00:00,226.97,0.0,2.55,29.33,0.55,1.16,1.65,0.66
2025-01-02 21:00:00,226.97,0.0,2.42,28.25,0.51,1.28,1.86,0.64
2025-01-02 22:00:00,230.31,0.0,2.55,25.75,0.51,1.5,2.16,0.74
2025-01-02 23:00:00,230.31,0.0,2.72,23.96,0.51,1.72,2.46,0.84
2025-01-03 00:00:00,243.66,0.01,3.17,19.31,0.51,2.17,2.92,1.16
2025-01-03 01:00:00,260.35,0.02,3.51,15.56,0.51,2.79,3.54,1.6
2025-01-03 02:00:00,273.7,0.02,3.68,14.66,0.54,3.36,4.14,2.22
2025-01-03 03:00:00,293.73,0.03,4.2,13.59,0.64,4.18,5.01,2.98
2025-01-03 04:00:00,307.08,0.03,4.28,12.87,0.62,4.7,5.54,2.79
2025-01-03 05:00:00,303.75,0.03,3.94,12.7,0.54,4.69,5.48,2.31
2025-01-03 06:00:00,283.72,0.03,3.38,13.41,0.48,4.07,4.86,1.71
2025-01-03 07:00:00,277.04,0.18,3.56,12.34,0.63,3.77,4.68,1.41
2025-01-03 08:00:00,283.72,1.01,3.47,13.41,0.83,3.75,4.82,1.27
2025-01-03 09:00:00,223.64,0.38,1.69,30.76,0.42,2.05,2.72,0.64
2025-01-03 10:00:00,223.64,0.3,1.36,37.19,0.4,1.97,2.6,0.63
