Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,413.89,0.4,4.76,38.98,1.68,6.07,7.99,3.55
2025-01-01 09:00:00,347.14,0.33,2.21,55.07,1.12,3.8,4.89,2.15
2025-01-01 10:00:00,333.79,0.24,1.59,65.8,1.07,3.95,4.89,2.01
2025-01-01 11:00:00,327.11,0.18,1.19,75.1,1.04,4.99,5.91,1.98
2025-01-01 12:00:00,287.06,0.1,0.9,69.38,0.77,4.04,4.75,1.49
2025-01-01 13:00:00,263.69,0.1,0.82,64.37,0.66,2.97,3.54,1.27
2025-01-01 14:00:00,263.69,0.11,0.84,65.09,0.7,2.67,3.26,1.33
2025-01-01 15:00:00,273.7,0.1,0.96,67.23,0.8,2.99,3.71,1.47
2025-01-01 16:00:00,297.07,0.07,1.41,69.38,1.0,3.88,4.75,1.71
2025-01-01 17:00:00,317.1,0.02,2.12,68.66,1.19,5.04,6.05,1.88
2025-01-01 18:00:00,363.83,0.0,4.2,66.52,1.73,8.08,9.46,2.34
2025-01-01 19:00:00,420.57,0.0,6.43,60.08,2.24,11.14,12.94,2.82
2025-01-01 20:00:00,460.62,0.0,7.63,52.93,2.41,12.96,15.1,3.39
2025-01-01 21:00:00,480.65,0.0,8.4,45.78,2.5,12.73,14.94,3.93
2025-01-01 22:00:00,507.35,0.0,9.6,37.91,2.47,10.64,12.67,3.67
2025-01-01 23:00:00,500.68,0.0,9.34,35.41,2.09,8.7,10.42,3.26
2025-01-02 00:00:00,453.95,0.0,7.11,40.05,1.51,7.17,8.69,2.98
2025-01-02 01:00:00,427.25,0.0,5.83,42.92,1.24,6.56,7.91,2.82
2025-01-02 02:00:00,417.23,0.0,5.44,43.99,1.12,6.39,7.54,2.66
2025-01-02 03:00:00,423.91,0.0,5.48,43.27,1.01,6.7,7.81,2.63
2025-01-02 04:00:00,453.95,0.0,6.17,40.77,1.06,7.74,9.05,3.01
2025-01-02 05:00:00,480.65,0.0,6.77,38.62,1.19,8.86,10.4,3.51
2025-01-02 06:00:00,514.03,0.0,7.71,36.48,1.46,10.04,11.81,3.86
2025-01-02 07:00:00,534.06,0.0,8.83,35.05,1.94,10.59,12.64,3.8
2025-01-02 08:00:00,527.38,0.16,9.34,36.48,2.47,10.02,12.25,3.58
2025-01-02 09:00:00,500.68,0.5,8.14,42.56,2.83,8.77,10.81,3.45
2025-01-02 10:00:00,514.03,0.92,7.45,55.07,3.28,9.82,11.95,4.05
2025-01-02 11:00:00,514.03,0.64,5.14,85.83,3.52,12.75,14.89,4.37
2025-01-02 12:00:00,317.1,0.13,1.01,82.25,1.1,4.68,5.53,1.31
2025-01-02 13:00:00,290.39,0.07,0.66,78.68,0.74,3.94,4.75,0.88
2025-01-02 14:00:00,310.42,0.06,0.9,81.54,0.91,6.16,7.31,1.04
2025-01-02 15:00:00,347.14,0.04,1.22,85.12,1.04,10.86,12.44,1.08
2025-01-02 16:00:00,377.18,0.03,1.56,85.83,0.98,15.79,17.47,0.93
2025-01-02 17:00:00,387.19,0.01,1.88,82.25,0.87,17.29,18.81,0.82
2025-01-02 18:00:00,417.23,0.0,4.33,70.81,1.27,18.29,20.14,1.63
2025-01-02 19:00:00,480.65,0.0,8.05,56.51,1.97,20.34,23.05,3.36
2025-01-02 20:00:00,560.76,0.0,11.14,47.21,2.77,23.38,26.95,6.27
2025-01-02 21:00:00,674.25,0.0,14.05,41.13,3.76,27.63,32.22,10.01
2025-01-02 22:00:00,774.38,0.0,15.25,33.26,4.05,31.52,36.86,11.02
2025-01-02 23:00:00,841.14,0.0,15.42,26.82,3.55,33.56,39.19,9.63
2025-01-03 00:00:00,841.14,0.0,14.39,22.89,2.62,32.26,37.59,7.6
2025-01-03 01:00:00,821.11,0.0,13.19,21.1,2.0,28.99,33.66,6.65
2025-01-03 02:00:00,794.41,0.01,12.68,20.03,1.7,25.67,29.68,6.21
2025-01-03 03:00:00,754.36,0.01,12.17,20.38,1.42,22.05,25.12,5.32
2025-01-03 04:00:00,700.95,0.01,11.14,21.1,1.19,18.78,21.05,4.37
2025-01-03 05:00:00,654.22,0.0,10.11,22.35,1.09,16.09,17.89,3.77
2025-01-03 06:00:00,620.84,0.01,9.51,22.89,1.18,14.49,16.07,3.67
2025-01-03 07:00:00,647.54,0.03,11.14,19.49,1.82,15.22,17.27,4.81
2025-01-03 08:00:00,694.27,0.38,14.57,15.02,3.04,16.97,19.81,6.84
2025-01-03 09:00:00,754.36,1.38,16.62,15.38,4.17,19.15,22.64,8.11
2025-01-03 10:00:00,787.73,1.7,16.28,23.25,3.99,21.13,24.72,5.83
2025-01-03 11:00:00,767.71,1.16,14.05,42.2,3.78,21.89,24.89,4.02
2025-01-03 12:00:00,587.46,0.33,7.37,60.08,2.65,15.16,17.1,2.37
2025-01-03 13:00:00,514.03,0.13,4.37,65.09,1.7,13.01,14.93,1.63
2025-01-03 14:00:00,480.65,0.06,2.83,63.66,1.13,12.64,14.56,1.09
2025-01-03 15:00:00,487.33,0.03,2.36,62.94,1.15,14.64,16.25,0.77
2025-01-03 16:00:00,467.3,0.02,2.14,62.23,0.94,13.6,14.85,0.56
2025-01-03 17:00:00,397.21,0.0,1.76,59.37,0.55,8.89,9.88,0.42
2025-01-03 18:00:00,333.79,0.0,2.03,55.07,0.49,5.82,6.73,0.52
2025-01-03 19:00:00,317.1,0.0,2.68,52.21,0.65,5.72,6.9,0.83
2025-01-03 20:00:00,323.77,0.0,3.04,49.35,0.86,6.24,7.71,1.2
2025-01-03 21:00:00,347.14,0.0,3.68,46.49,1.1,7.23,9.07,1.9
2025-01-03 22:00:00,393.87,0.0,4.84,42.2,1.4,9.25,11.63,2.98
2025-01-03 23:00:00,473.98,0.0,6.77,36.12,2.06,12.48,15.18,4.5
2025-01-04 00:00:00,587.46,0.0,9.85,26.46,2.59,17.07,19.76,5.83
2025-01-04 01:00:00,734.33,0.01,13.19,17.52,2.38,22.55,25.0,5.76
2025-01-04 02:00:00,841.14,0.02,14.74,13.41,1.8,27.26,29.32,4.88
2025-01-04 03:00:00,841.14,0.01,12.68,16.45,1.24,27.25,28.85,3.86
2025-01-04 04:00:00,761.03,0.0,9.77,21.1,0.92,23.62,24.9,3.13
2025-01-04 05:00:00,660.9,0.0,7.45,25.39,0.78,18.67,19.77,2.66
2025-01-04 06:00:00,567.44,0.0,5.91,28.61,0.77,13.85,14.79,2.25
2025-01-04 07:00:00,507.35,0.0,5.36,30.4,0.89,10.91,11.82,1.96
2025-01-04 08:00:00,473.98,0.03,5.01,36.12,1.03,8.67,9.52,1.66
2025-01-04 09:00:00,427.25,0.19,3.86,50.07,1.13,6.47,7.23,1.58
2025-01-04 10:00:00,423.91,0.29,3.43,61.51,1.33,6.45,7.3,2.15
2025-01-04 11:00:00,440.6,0.29,2.87,75.82,1.43,8.14,9.07,2.69
2025-01-04 12:00:00,410.56,0.18,1.82,86.55,1.18,8.56,9.44,2.34
2025-01-04 13:00:00,393.87,0.11,1.67,89.41,1.24,9.07,10.01,2.34
2025-01-04 14:00:00,393.87,0.08,1.84,90.12,1.42,9.85,10.96,2.56
2025-01-04 15:00:00,433.92,0.07,2.74,88.69,1.83,12.66,14.32,3.2
2025-01-04 16:00:00,507.35,0.08,4.54,81.54,2.38,16.65,19.12,4.12
2025-01-04 17:00:00,560.76,0.04,6.51,70.81,2.77,18.85,21.95,4.5
2025-01-04 18:00:00,634.19,0.0,10.62,58.65,3.67,20.8,24.5,6.27
2025-01-04 19:00:00,700.95,0.0,14.57,49.35,4.65,22.86,27.17,9.25
2025-01-04 20:00:00,734.33,0.0,16.45,43.99,5.3,23.93,28.77,12.29
2025-01-04 21:00:00,774.38,0.0,18.85,38.62,5.54,24.59,29.66,14.06
2025-01-04 22:00:00,767.71,0.0,19.54,33.62,4.17,22.07,26.52,10.51
2025-01-04 23:00:00,594.14,0.0,13.37,36.48,2.32,13.54,16.48,7.09
2025-01-05 00:00:00,407.22,0.0,5.57,47.21,1.19,6.79,8.3,4.69
2025-01-05 01:00:00,383.85,0.0,4.11,52.21,0.95,6.85,8.06,4.24
2025-01-05 02:00:00,383.85,0.0,3.81,56.51,0.87,7.82,8.96,4.24
2025-01-05 03:00:00,383.85,0.0,3.64,60.8,0.81,8.3,9.39,4.24
2025-01-05 04:00:00,383.85,0.0,3.43,64.37,0.77,8.04,9.07,4.37
2025-01-05 05:00:00,373.84,0.0,3.08,68.66,0.73,6.98,7.95,4.31
2025-01-05 06:00:00,367.16,0.0,2.96,70.81,0.75,5.81,6.74,4.24
2025-01-05 07:00:00,353.81,0.0,3.0,70.81,0.83,4.75,5.69,4.02
2025-01-05 08:00:00,340.46,0.03,2.96,70.1,0.87,3.86,4.78,3.45
2025-01-05 09:00:00,317.1,0.06,2.51,72.96,0.8,2.96,3.74,2.63
2025-01-05 10:00:00,317.1,0.09,2.55,75.1,0.85,3.13,3.94,2.53
2025-01-05 11:00:00,307.08,0.08,2.4,76.53,0.89,3.23,4.05,2.44
2025-01-05 12:00:00,283.72,0.07,1.69,77.25,0.75,2.49,3.18,2.03
2025-01-05 13:00:00,267.03,0.1,1.32,76.53,0.71,2.08,2.68,1.84
2025-01-05 14:00:00,267.03,0.12,1.21,77.25,0.74,2.09,2.69,1.87
2025-01-05 15:00:00,260.35,0.12,1.07,77.25,0.69,1.98,2.55,1.69
2025-01-05 16:00:00,260.35,0.08,1.34,75.1,0.75,1.92,2.53,1.79
2025-01-05 17:00:00,267.03,0.03,1.78,72.96,0.88,1.97,2.68,1.99
2025-01-05 18:00:00,303.75,0.0,3.9,67.23,1.51,3.07,4.25,3.26
2025-01-05 19:00:00,370.5,0.0,7.2,57.22,2.26,4.9,6.66,5.38
2025-01-05 20:00:00,433.92,0.0,9.68,47.21,2.59,6.91,9.2,7.16
2025-01-05 21:00:00,520.71,0.0,12.34,37.19,2.77,9.85,12.76,8.36
