Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,467.3,0.34,7.37,28.61,1.34,8.27,10.47,3.26
2025-01-01 09:00:00,380.52,0.25,3.98,41.84,0.88,5.24,6.73,2.18
2025-01-01 10:00:00,340.46,0.2,2.46,49.35,0.69,3.88,5.06,1.9
2025-01-01 11:00:00,320.43,0.16,1.67,53.64,0.56,3.06,4.02,1.71
2025-01-01 12:00:00,283.72,0.07,1.06,55.07,0.35,1.66,2.21,1.11
2025-01-01 13:00:00,257.02,0.05,0.82,52.93,0.25,0.89,1.23,0.82
2025-01-01 14:00:00,247.0,0.03,0.76,51.5,0.21,0.66,0.93,0.69
2025-01-01 15:00:00,247.0,0.03,0.76,50.78,0.2,0.64,0.88,0.66
2025-01-01 16:00:00,253.68,0.02,0.91,52.93,0.22,0.85,1.09,0.71
2025-01-01 17:00:00,263.69,0.01,1.16,56.51,0.25,1.11,1.36,0.75
2025-01-01 18:00:00,297.07,0.0,2.91,52.21,0.56,2.0,2.52,1.46
2025-01-01 19:00:00,340.46,0.0,4.93,42.56,0.85,3.23,4.17,2.01
2025-01-01 20:00:00,373.84,0.0,6.17,35.41,0.98,4.29,5.61,2.06
2025-01-01 21:00:00,403.88,0.0,6.94,30.04,1.03,5.32,7.02,2.22
2025-01-01 22:00:00,433.92,0.0,7.63,25.03,1.04,6.39,8.29,2.41
2025-01-01 23:00:00,460.62,0.01,8.14,21.82,1.01,7.26,9.08,2.56
2025-01-02 00:00:00,480.65,0.01,8.4,19.31,0.94,8.04,9.58,2.72
2025-01-02 01:00:00,487.33,0.01,7.88,18.6,0.79,8.32,9.62,2.69
2025-01-02 02:00:00,473.98,0.01,6.85,19.49,0.66,7.98,9.08,2.56
2025-01-02 03:00:00,480.65,0.01,6.68,18.78,0.63,8.41,9.49,2.82
2025-01-02 04:00:00,520.71,0.03,7.45,15.74,0.7,10.09,11.35,3.51
2025-01-02 05:00:00,554.08,0.07,8.31,13.23,0.79,11.78,13.21,4.37
2025-01-02 06:00:00,560.76,0.08,8.57,13.05,0.9,12.13,13.83,4.62
2025-01-02 07:00:00,560.76,0.14,9.85,13.05,1.25,11.94,14.31,3.86
2025-01-02 08:00:00,567.44,0.66,11.31,14.48,1.65,11.65,14.59,3.29
2025-01-02 09:00:00,420.57,0.31,6.34,35.76,1.06,6.53,8.54,2.18
2025-01-02 10:00:00,373.84,0.2,4.8,45.42,0.92,5.07,6.88,2.12
2025-01-02 11:00:00,360.49,0.16,4.11,49.35,0.89,4.73,6.49,2.31
2025-01-02 12:00:00,347.14,0.09,3.34,55.79,0.74,4.15,5.54,2.03
