Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,240.33,0.0,0.22,60.8,0.05,2.14,2.4,0.07
2025-01-01 09:00:00,243.66,0.0,0.2,60.8,0.06,1.99,2.28,0.07
2025-01-01 10:00:00,243.66,0.0,0.18,60.8,0.06,1.94,2.25,0.07
2025-01-01 11:00:00,243.66,0.0,0.16,62.23,0.06,2.25,2.55,0.06
2025-01-01 12:00:00,247.0,0.0,0.16,65.09,0.06,2.82,3.1,0.05
2025-01-01 13:00:00,250.34,0.0,0.15,67.23,0.06,3.58,3.81,0.04
2025-01-01 14:00:00,250.34,0.0,0.13,70.1,0.06,4.32,4.57,0.03
2025-01-01 15:00:00,247.0,0.0,0.13,72.96,0.06,4.23,4.54,0.03
2025-01-01 16:00:00,243.66,0.0,0.14,73.67,0.07,4.0,4.48,0.04
2025-01-01 17:00:00,240.33,0.0,0.15,72.24,0.08,3.84,4.66,0.05
2025-01-01 18:00:00,236.99,0.0,0.16,71.53,0.09,3.57,4.7,0.05
2025-01-01 19:00:00,230.31,0.0,0.17,72.24,0.1,3.62,4.71,0.05
2025-01-01 20:00:00,226.97,0.0,0.19,72.96,0.1,3.81,4.71,0.06
2025-01-01 21:00:00,226.97,0.0,0.2,73.67,0.09,4.01,4.72,0.05
2025-01-01 22:00:00,226.97,0.0,0.21,74.39,0.08,3.89,4.37,0.05
2025-01-01 23:00:00,226.97,0.0,0.22,75.1,0.07,3.8,4.12,0.06
2025-01-02 00:00:00,230.31,0.0,0.22,75.82,0.06,3.78,4.01,0.06
2025-01-02 01:00:00,233.65,0.0,0.21,75.1,0.05,3.57,3.77,0.06
2025-01-02 02:00:00,236.99,0.0,0.19,74.39,0.05,3.46,3.63,0.07
2025-01-02 03:00:00,236.99,0.0,0.2,73.67,0.05,3.24,3.4,0.08
2025-01-02 04:00:00,236.99,0.0,0.19,72.96,0.04,2.96,3.11,0.08
2025-01-02 05:00:00,240.33,0.0,0.18,72.24,0.04,2.68,2.82,0.08
2025-01-02 06:00:00,240.33,0.0,0.16,71.53,0.04,2.42,2.55,0.07
2025-01-02 07:00:00,243.66,0.0,0.17,71.53,0.04,2.18,2.34,0.08
2025-01-02 08:00:00,243.66,0.0,0.19,71.53,0.04,1.99,2.18,0.09
2025-01-02 09:00:00,243.66,0.0,0.17,70.1,0.04,1.97,2.16,0.09
2025-01-02 10:00:00,240.33,0.0,0.15,69.38,0.04,2.1,2.29,0.08
2025-01-02 11:00:00,240.33,0.0,0.14,67.23,0.04,2.24,2.43,0.07
2025-01-02 12:00:00,240.33,0.0,0.14,66.52,0.04,2.17,2.34,0.07
2025-01-02 13:00:00,236.99,0.0,0.13,65.09,0.04,2.09,2.24,0.06
2025-01-02 14:00:00,236.99,0.0,0.12,63.66,0.04,2.05,2.2,0.05
2025-01-02 15:00:00,236.99,0.0,0.11,62.23,0.03,1.84,1.99,0.05
2025-01-02 16:00:00,230.31,0.0,0.11,60.08,0.03,1.51,1.66,0.06
2025-01-02 17:00:00,223.64,0.0,0.12,57.22,0.03,1.27,1.43,0.06
2025-01-02 18:00:00,220.3,0.0,0.13,55.79,0.03,1.04,1.2,0.06
2025-01-02 19:00:00,216.96,0.0,0.14,54.36,0.03,0.8,0.97,0.06
2025-01-02 20:00:00,216.96,0.0,0.14,53.64,0.03,0.7,0.87,0.06
2025-01-02 21:00:00,211.95,0.0,0.15,52.21,0.03,0.69,0.86,0.07
2025-01-02 22:00:00,208.62,0.0,0.17,50.78,0.04,0.75,0.92,0.08
2025-01-02 23:00:00,205.28,0.0,0.18,49.35,0.04,0.71,0.88,0.09
2025-01-03 00:00:00,201.94,0.0,0.2,48.64,0.04,0.61,0.77,0.1
2025-01-03 01:00:00,198.6,0.0,0.22,47.21,0.04,0.5,0.66,0.12
2025-01-03 02:00:00,195.26,0.0,0.21,46.49,0.03,0.5,0.65,0.13
2025-01-03 03:00:00,191.93,0.0,0.23,45.78,0.03,0.5,0.66,0.15
2025-01-03 04:00:00,190.26,0.0,0.24,45.42,0.03,0.5,0.68,0.17
2025-01-03 05:00:00,190.26,0.0,0.25,45.06,0.03,0.5,0.69,0.18
2025-01-03 06:00:00,190.26,0.0,0.24,45.06,0.03,0.5,0.69,0.17
2025-01-03 07:00:00,190.26,0.0,0.24,45.06,0.03,0.5,0.73,0.17
2025-01-03 08:00:00,191.93,0.0,0.25,45.06,0.03,0.5,0.76,0.17
2025-01-03 09:00:00,191.93,0.01,0.22,45.06,0.03,0.5,0.76,0.15
2025-01-03 10:00:00,188.59,0.01,0.17,44.7,0.03,0.5,0.73,0.12
2025-01-03 11:00:00,185.25,0.01,0.13,43.99,0.02,0.5,0.68,0.1
2025-01-03 12:00:00,183.58,0.01,0.12,43.27,0.02,0.5,0.66,0.1
2025-01-03 13:00:00,181.91,0.01,0.13,42.56,0.02,0.5,0.66,0.11
2025-01-03 14:00:00,181.91,0.0,0.13,41.84,0.03,0.5,0.64,0.11
2025-01-03 15:00:00,181.91,0.0,0.16,41.48,0.03,0.5,0.66,0.14
2025-01-03 16:00:00,183.58,0.0,0.2,40.77,0.04,0.5,0.71,0.17
2025-01-03 17:00:00,186.92,0.0,0.24,40.05,0.05,0.5,0.76,0.2
2025-01-03 18:00:00,191.93,0.0,0.39,38.62,0.07,0.5,0.91,0.27
2025-01-03 19:00:00,198.6,0.0,0.62,36.48,0.09,0.5,1.18,0.36
2025-01-03 20:00:00,208.62,0.0,0.88,34.69,0.12,0.63,1.55,0.47
2025-01-03 21:00:00,213.62,0.0,1.04,33.62,0.13,0.75,1.75,0.49
2025-01-03 22:00:00,211.95,0.0,1.0,33.62,0.12,0.71,1.61,0.42
2025-01-03 23:00:00,206.95,0.0,0.85,34.69,0.09,0.56,1.27,0.34
2025-01-04 00:00:00,198.6,0.0,0.58,36.84,0.06,0.5,0.86,0.23
2025-01-04 01:00:00,195.26,0.0,0.48,36.84,0.05,0.5,0.74,0.2
2025-01-04 02:00:00,196.93,0.0,0.41,36.48,0.04,0.5,0.67,0.17
2025-01-04 03:00:00,201.94,0.0,0.39,36.12,0.04,0.5,0.63,0.16
2025-01-04 04:00:00,213.62,0.0,0.42,35.05,0.04,0.5,0.62,0.15
2025-01-04 05:00:00,233.65,0.0,0.52,35.05,0.05,0.79,0.9,0.14
2025-01-04 06:00:00,260.35,0.0,0.68,42.92,0.05,1.76,1.87,0.15
2025-01-04 07:00:00,280.38,0.0,0.72,57.94,0.06,2.71,2.87,0.17
2025-01-04 08:00:00,280.38,0.0,0.63,71.53,0.05,2.45,2.64,0.17
2025-01-04 09:00:00,273.7,0.01,0.52,75.1,0.05,1.84,2.03,0.18
2025-01-04 10:00:00,267.03,0.01,0.46,75.1,0.05,1.7,1.9,0.19
2025-01-04 11:00:00,263.69,0.02,0.41,75.82,0.05,1.88,2.1,0.2
2025-01-04 12:00:00,263.69,0.02,0.33,77.25,0.06,2.18,2.43,0.2
2025-01-04 13:00:00,260.35,0.01,0.28,77.25,0.06,2.47,2.74,0.21
2025-01-04 14:00:00,263.69,0.01,0.29,75.1,0.07,2.76,3.04,0.25
2025-01-04 15:00:00,270.37,0.01,0.31,71.53,0.08,2.99,3.3,0.28
2025-01-04 16:00:00,270.37,0.0,0.33,70.1,0.09,3.12,3.52,0.27
2025-01-04 17:00:00,267.03,0.0,0.39,70.1,0.1,3.7,4.21,0.24
2025-01-04 18:00:00,273.7,0.0,0.55,69.38,0.11,4.57,5.03,0.23
2025-01-04 19:00:00,280.38,0.0,0.72,69.38,0.11,5.0,5.36,0.22
2025-01-04 20:00:00,283.72,0.0,0.82,71.53,0.11,4.83,5.15,0.22
2025-01-04 21:00:00,287.06,0.0,0.91,72.96,0.11,4.39,4.65,0.23
2025-01-04 22:00:00,290.39,0.0,0.95,71.53,0.11,4.03,4.23,0.24
2025-01-04 23:00:00,297.07,0.0,0.97,74.39,0.1,4.0,4.16,0.23
2025-01-05 00:00:00,293.73,0.0,0.9,80.11,0.09,4.12,4.3,0.24
2025-01-05 01:00:00,283.72,0.0,0.76,84.4,0.09,4.22,4.48,0.23
2025-01-05 02:00:00,277.04,0.0,0.59,86.55,0.08,3.68,3.96,0.19
2025-01-05 03:00:00,267.03,0.0,0.49,85.12,0.07,2.69,2.95,0.17
2025-01-05 04:00:00,260.35,0.0,0.42,81.54,0.06,1.82,2.05,0.17
2025-01-05 05:00:00,260.35,0.0,0.41,79.39,0.06,1.54,1.8,0.17
2025-01-05 06:00:00,260.35,0.0,0.41,77.96,0.06,1.51,1.83,0.18
2025-01-05 07:00:00,257.02,0.0,0.43,76.53,0.06,1.4,1.78,0.18
2025-01-05 08:00:00,250.34,0.0,0.44,75.82,0.06,1.18,1.56,0.16
2025-01-05 09:00:00,247.0,0.01,0.44,75.82,0.06,1.17,1.54,0.14
2025-01-05 10:00:00,243.66,0.01,0.44,75.82,0.07,1.37,1.81,0.13
2025-01-05 11:00:00,236.99,0.02,0.39,77.25,0.07,1.58,2.02,0.12
2025-01-05 12:00:00,233.65,0.02,0.31,80.82,0.07,1.7,2.09,0.1
2025-01-05 13:00:00,230.31,0.01,0.26,82.97,0.07,1.85,2.18,0.08
2025-01-05 14:00:00,223.64,0.01,0.23,84.4,0.07,2.2,2.55,0.06
2025-01-05 15:00:00,220.3,0.0,0.21,85.12,0.08,2.76,3.24,0.05
2025-01-05 16:00:00,216.96,0.0,0.22,83.68,0.09,3.42,4.13,0.05
2025-01-05 17:00:00,216.96,0.0,0.24,82.97,0.09,4.09,5.22,0.05
2025-01-05 18:00:00,216.96,0.0,0.27,82.97,0.1,4.38,6.24,0.05
2025-01-05 19:00:00,216.96,0.0,0.28,82.97,0.11,4.34,7.02,0.05
2025-01-05 20:00:00,216.96,0.0,0.29,83.68,0.11,4.47,7.63,0.05
2025-01-05 21:00:00,216.96,0.0,0.31,83.68,0.12,3.98,6.87,0.05
2025-01-05 22:00:00,216.96,0.0,0.32,84.4,0.11,3.33,5.37,0.05
2025-01-05 23:00:00,220.3,0.0,0.33,84.4,0.1,3.12,4.61,0.06
2025-01-06 00:00:00,220.3,0.0,0.33,84.4,0.09,2.85,4.01,0.07
2025-01-06 01:00:00,220.3,0.0,0.33,83.68,0.08,2.58,3.53,0.08
2025-01-06 02:00:00,220.3,0.0,0.32,83.68,0.07,2.46,3.3,0.09
2025-01-06 03:00:00,220.3,0.0,0.32,83.68,0.06,2.37,3.2,0.11
2025-01-06 04:00:00,223.64,0.0,0.33,83.68,0.06,2.38,3.33,0.13
2025-01-06 05:00:00,223.64,0.0,0.32,83.68,0.06,2.34,3.36,0.15
2025-01-06 06:00:00,223.64,0.0,0.31,84.4,0.06,2.48,3.59,0.16
2025-01-06 07:00:00,226.97,0.0,0.32,84.4,0.06,2.82,4.12,0.18
2025-01-06 08:00:00,230.31,0.01,0.32,83.68,0.07,2.97,4.42,0.22
2025-01-06 09:00:00,230.31,0.01,0.23,83.68,0.07,3.04,4.6,0.25
2025-01-06 10:00:00,230.31,0.02,0.17,82.97,0.06,3.12,4.75,0.27
2025-01-06 11:00:00,230.31,0.02,0.13,82.97,0.06,3.23,4.81,0.27
2025-01-06 12:00:00,226.97,0.01,0.1,83.68,0.05,3.13,4.47,0.23
2025-01-06 13:00:00,223.64,0.01,0.09,83.68,0.04,3.0,4.08,0.17
2025-01-06 14:00:00,220.3,0.01,0.08,82.97,0.05,2.99,3.85,0.11
2025-01-06 15:00:00,220.3,0.01,0.08,81.54,0.06,3.38,4.11,0.09
2025-01-06 16:00:00,220.3,0.01,0.09,80.11,0.07,4.08,4.8,0.08
2025-01-06 17:00:00,220.3,0.0,0.11,79.39,0.08,4.4,5.19,0.07
2025-01-06 18:00:00,220.3,0.0,0.13,78.68,0.09,4.47,5.3,0.06
2025-01-06 19:00:00,216.96,0.0,0.15,77.96,0.1,4.52,5.36,0.06
2025-01-06 20:00:00,216.96,0.0,0.18,77.25,0.1,3.93,4.62,0.06
2025-01-06 21:00:00,216.96,0.0,0.19,74.39,0.09,2.84,3.41,0.06
2025-01-06 22:00:00,213.62,0.0,0.21,72.96,0.1,2.42,3.01,0.05
2025-01-06 23:00:00,213.62,0.0,0.24,71.53,0.1,2.49,3.08,0.05
2025-01-07 00:00:00,216.96,0.0,0.26,72.24,0.1,2.64,3.2,0.05
2025-01-07 01:00:00,216.96,0.0,0.3,74.39,0.1,2.7,3.18,0.06
2025-01-07 02:00:00,220.3,0.0,0.33,76.53,0.1,2.81,3.26,0.06
2025-01-07 03:00:00,223.64,0.0,0.35,78.68,0.09,2.72,3.17,0.06
2025-01-07 04:00:00,230.31,0.0,0.35,81.54,0.08,2.36,2.8,0.06
2025-01-07 05:00:00,236.99,0.0,0.38,83.68,0.08,2.1,2.54,0.07
2025-01-07 06:00:00,243.66,0.0,0.41,85.12,0.07,2.04,2.53,0.07
2025-01-07 07:00:00,247.0,0.0,0.42,85.83,0.07,2.11,2.6,0.08
2025-01-07 08:00:00,243.66,0.01,0.43,86.55,0.07,2.19,2.66,0.08
2025-01-07 09:00:00,240.33,0.01,0.41,86.55,0.07,2.37,2.77,0.06
2025-01-07 10:00:00,236.99,0.01,0.37,86.55,0.08,2.63,3.0,0.05
2025-01-07 11:00:00,230.31,0.01,0.31,87.98,0.08,2.98,3.37,0.04
2025-01-07 12:00:00,226.97,0.0,0.23,90.12,0.09,3.33,3.74,0.04
2025-01-07 13:00:00,226.97,0.01,0.17,91.55,0.09,3.77,4.26,0.04
2025-01-07 14:00:00,226.97,0.01,0.16,94.41,0.11,4.27,5.08,0.03
2025-01-07 15:00:00,230.31,0.01,0.16,95.84,0.12,5.29,6.91,0.03
2025-01-07 16:00:00,230.31,0.0,0.19,97.27,0.13,6.36,9.0,0.02
2025-01-07 17:00:00,236.99,0.0,0.24,100.14,0.14,7.33,10.77,0.02
2025-01-07 18:00:00,247.0,0.0,0.3,103.0,0.15,7.96,11.63,0.0
2025-01-07 19:00:00,250.34,0.0,0.37,104.43,0.15,7.74,11.29,0.0
2025-01-07 20:00:00,253.68,0.0,0.42,105.86,0.17,7.24,10.5,0.0
2025-01-07 21:00:00,253.68,0.0,0.45,107.29,0.19,6.96,10.19,0.0
2025-01-07 22:00:00,253.68,0.0,0.45,105.86,0.23,7.01,10.47,0.0
2025-01-07 23:00:00,253.68,0.0,0.43,104.43,0.25,6.73,9.92,0.0
2025-01-08 00:00:00,253.68,0.0,0.41,100.14,0.23,6.16,9.1,0.0
2025-01-08 01:00:00,253.68,0.0,0.41,97.27,0.2,5.81,8.57,0.0
2025-01-08 02:00:00,253.68,0.0,0.4,95.84,0.18,5.56,7.73,0.0
2025-01-08 03:00:00,253.68,0.0,0.4,94.41,0.16,5.31,6.95,0.02
2025-01-08 04:00:00,250.34,0.0,0.39,94.41,0.15,5.35,6.45,0.02
2025-01-08 05:00:00,250.34,0.0,0.39,92.98,0.14,5.66,6.42,0.03
2025-01-08 06:00:00,250.34,0.0,0.37,91.55,0.15,6.43,7.09,0.02
2025-01-08 07:00:00,253.68,0.0,0.37,90.12,0.18,7.32,8.0,0.01
2025-01-08 08:00:00,257.02,0.0,0.39,89.41,0.2,7.27,8.0,0.0
2025-01-08 09:00:00,260.35,0.0,0.37,88.69,0.22,6.93,7.78,0.0
2025-01-08 10:00:00,257.02,0.01,0.34,86.55,0.25,6.68,8.06,0.0
2025-01-08 11:00:00,250.34,0.01,0.29,85.83,0.31,7.26,10.03,0.0
2025-01-08 12:00:00,247.0,0.01,0.26,87.26,0.35,8.04,11.68,0.0
2025-01-08 13:00:00,243.66,0.01,0.26,88.69,0.37,8.34,13.07,0.0
2025-01-08 14:00:00,240.33,0.01,0.26,88.69,0.38,8.65,14.43,0.0
2025-01-08 15:00:00,236.99,0.0,0.26,86.55,0.37,8.31,14.51,0.0
2025-01-08 16:00:00,230.31,0.0,0.26,83.68,0.36,8.21,14.91,0.0
2025-01-08 17:00:00,226.97,0.0,0.27,80.82,0.36,8.22,15.35,0.0
2025-01-08 18:00:00,226.97,0.0,0.28,78.68,0.39,8.44,17.2,0.0
2025-01-08 19:00:00,226.97,0.0,0.29,77.96,0.42,8.66,19.42,0.0
2025-01-08 20:00:00,226.97,0.0,0.28,77.25,0.42,8.5,19.76,0.0
2025-01-08 21:00:00,226.97,0.0,0.27,76.53,0.42,8.51,18.6,0.0
2025-01-08 22:00:00,226.97,0.0,0.25,76.53,0.41,9.08,17.58,0.0
2025-01-08 23:00:00,230.31,0.0,0.24,76.53,0.41,10.05,18.06,0.0
2025-01-09 00:00:00,233.65,0.0,0.23,75.82,0.39,10.77,18.37,0.0
2025-01-09 01:00:00,233.65,0.0,0.22,74.39,0.37,11.17,18.15,0.0
2025-01-09 02:00:00,230.31,0.0,0.21,72.96,0.34,10.48,16.87,0.0
