Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,420.57,1.02,5.91,20.56,1.94,11.93,13.38,2.25
2025-01-01 09:00:00,340.46,0.62,3.73,33.26,1.4,8.3,9.32,1.5
2025-01-01 10:00:00,320.43,0.34,3.04,37.55,1.15,6.82,7.73,1.41
2025-01-01 11:00:00,303.75,0.18,2.96,37.91,1.01,5.34,6.2,1.35
2025-01-01 12:00:00,290.39,0.12,3.13,36.84,1.0,4.07,4.84,1.33
2025-01-01 13:00:00,283.72,0.12,3.26,37.19,0.98,3.37,4.1,1.33
2025-01-01 14:00:00,273.7,0.12,3.26,37.91,1.0,2.89,3.6,1.28
2025-01-01 15:00:00,280.38,0.16,3.68,37.19,1.13,2.97,3.71,1.46
2025-01-01 16:00:00,303.75,0.15,4.76,33.62,1.3,3.43,4.23,1.66
2025-01-01 17:00:00,330.45,0.07,6.34,28.97,1.49,4.25,5.09,1.74
2025-01-01 18:00:00,343.8,0.01,7.2,25.75,1.61,5.23,6.14,1.82
2025-01-01 19:00:00,353.81,0.01,7.45,23.6,1.68,6.44,7.47,1.96
2025-01-01 20:00:00,370.5,0.01,7.63,21.1,1.7,7.88,9.03,2.09
2025-01-01 21:00:00,370.5,0.01,7.11,19.85,1.55,8.51,9.68,2.01
2025-01-01 22:00:00,367.16,0.02,6.77,19.13,1.43,8.62,9.64,1.96
2025-01-01 23:00:00,373.84,0.02,6.94,17.88,1.33,8.66,9.57,1.92
2025-01-02 00:00:00,377.18,0.03,6.85,16.81,1.22,8.77,9.59,1.96
2025-01-02 01:00:00,373.84,0.02,6.25,16.63,1.1,8.5,9.25,1.92
2025-01-02 02:00:00,363.83,0.02,5.57,16.81,1.0,8.04,8.71,1.82
2025-01-02 03:00:00,363.83,0.02,5.23,16.63,0.94,8.02,8.58,1.71
2025-01-02 04:00:00,357.15,0.01,4.93,16.99,0.94,8.03,8.56,1.71
2025-01-02 05:00:00,350.48,0.01,4.76,17.88,1.0,7.93,8.5,1.71
2025-01-02 06:00:00,343.8,0.01,4.63,18.42,1.07,7.88,8.53,1.71
2025-01-02 07:00:00,347.14,0.06,5.18,17.34,1.34,8.19,9.06,1.84
2025-01-02 08:00:00,353.81,0.51,5.57,17.17,1.65,8.12,9.22,1.92
2025-01-02 09:00:00,327.11,0.75,4.5,22.35,1.61,7.17,8.3,1.74
