Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,216.96,0.1,3.13,10.64,1.13,1.92,2.1,0.43
2025-01-01 09:00:00,206.95,0.08,2.08,20.03,0.75,1.11,1.25,0.23
2025-01-01 10:00:00,205.28,0.09,1.78,24.32,0.59,0.93,1.07,0.23
2025-01-01 11:00:00,205.28,0.08,1.41,26.46,0.42,0.88,1.03,0.27
2025-01-01 12:00:00,200.27,0.05,0.91,27.89,0.28,0.73,0.88,0.26
2025-01-01 13:00:00,198.6,0.04,0.73,28.25,0.25,0.65,0.78,0.24
2025-01-01 14:00:00,196.93,0.03,0.69,28.25,0.25,0.58,0.71,0.21
2025-01-01 15:00:00,196.93,0.04,0.64,28.97,0.27,0.54,0.67,0.2
2025-01-01 16:00:00,196.93,0.03,0.65,29.68,0.27,0.52,0.64,0.2
2025-01-01 17:00:00,196.93,0.01,0.69,30.04,0.26,0.5,0.62,0.19
2025-01-01 18:00:00,196.93,0.0,0.77,30.4,0.27,0.5,0.64,0.19
2025-01-01 19:00:00,196.93,0.0,0.84,29.68,0.3,0.5,0.68,0.21
2025-01-01 20:00:00,196.93,0.0,0.89,27.89,0.34,0.57,0.78,0.26
2025-01-01 21:00:00,196.93,0.0,0.82,26.11,0.32,0.61,0.84,0.27
2025-01-01 22:00:00,195.26,0.0,0.71,25.75,0.27,0.6,0.83,0.25
2025-01-01 23:00:00,193.6,0.0,0.65,26.11,0.23,0.57,0.78,0.24
2025-01-02 00:00:00,196.93,0.0,1.07,24.32,0.35,0.75,0.93,0.36
2025-01-02 01:00:00,203.61,0.0,1.63,20.92,0.49,1.06,1.22,0.49
2025-01-02 02:00:00,206.95,0.0,1.97,18.06,0.56,1.34,1.46,0.56
2025-01-02 03:00:00,213.62,0.0,2.29,14.84,0.58,1.76,1.87,0.69
2025-01-02 04:00:00,216.96,0.0,2.38,12.52,0.55,2.06,2.16,0.73
2025-01-02 05:00:00,213.62,0.0,2.1,14.13,0.47,1.89,1.98,0.64
2025-01-02 06:00:00,195.26,0.0,0.8,28.61,0.19,0.73,0.81,0.26
2025-01-02 07:00:00,191.93,0.0,0.7,32.19,0.17,0.56,0.65,0.2
2025-01-02 08:00:00,191.93,0.01,0.85,34.33,0.22,0.52,0.63,0.18
2025-01-02 09:00:00,193.6,0.03,0.91,36.12,0.25,0.5,0.64,0.15
2025-01-02 10:00:00,191.93,0.04,0.81,38.27,0.23,0.5,0.67,0.12
2025-01-02 11:00:00,191.93,0.04,0.66,41.13,0.2,0.5,0.69,0.09
2025-01-02 12:00:00,190.26,0.04,0.52,42.2,0.18,0.5,0.67,0.06
2025-01-02 13:00:00,190.26,0.04,0.44,40.05,0.16,0.5,0.67,0.05
2025-01-02 14:00:00,191.93,0.03,0.42,35.41,0.15,0.5,0.67,0.03
2025-01-02 15:00:00,193.6,0.02,0.48,30.4,0.15,0.5,0.67,0.03
2025-01-02 16:00:00,195.26,0.01,0.58,27.18,0.17,0.5,0.69,0.03
2025-01-02 17:00:00,196.93,0.0,0.73,25.39,0.2,0.5,0.72,0.04
2025-01-02 18:00:00,200.27,0.0,1.02,23.96,0.27,0.5,0.75,0.05
2025-01-02 19:00:00,203.61,0.0,1.41,23.25,0.35,0.5,0.77,0.06
2025-01-02 20:00:00,208.62,0.0,1.8,21.64,0.39,0.5,0.76,0.1
2025-01-02 21:00:00,220.3,0.0,2.7,18.6,0.56,0.7,1.0,0.2
2025-01-02 22:00:00,233.65,0.0,3.86,15.02,0.81,1.06,1.39,0.32
2025-01-02 23:00:00,247.0,0.01,4.93,11.8,1.03,1.52,1.82,0.39
2025-01-03 00:00:00,253.68,0.02,5.65,8.94,1.15,2.08,2.31,0.42
2025-01-03 01:00:00,253.68,0.01,5.74,7.6,1.13,2.51,2.68,0.41
2025-01-03 02:00:00,250.34,0.01,5.44,7.6,1.1,2.67,2.78,0.36
2025-01-03 03:00:00,240.33,0.01,4.8,7.6,1.03,2.69,2.78,0.34
2025-01-03 04:00:00,236.99,0.01,4.24,7.42,0.92,2.7,2.78,0.36
2025-01-03 05:00:00,233.65,0.01,3.94,7.24,0.89,2.78,2.86,0.41
2025-01-03 06:00:00,233.65,0.01,4.07,7.33,0.95,2.93,3.03,0.42
2025-01-03 07:00:00,236.99,0.44,3.86,8.94,1.13,3.0,3.18,0.39
2025-01-03 08:00:00,240.33,1.03,3.21,18.24,1.31,3.1,3.39,0.37
2025-01-03 09:00:00,208.62,0.3,1.2,32.54,0.61,1.35,1.6,0.08
2025-01-03 10:00:00,203.61,0.16,0.72,38.27,0.44,1.02,1.27,0.08
2025-01-03 11:00:00,201.94,0.1,0.52,40.77,0.37,0.95,1.22,0.1
2025-01-03 12:00:00,200.27,0.08,0.38,39.7,0.3,0.83,1.08,0.12
2025-01-03 13:00:00,198.6,0.06,0.31,36.84,0.26,0.72,0.97,0.14
2025-01-03 14:00:00,196.93,0.06,0.28,32.9,0.22,0.67,0.92,0.13
2025-01-03 15:00:00,195.26,0.06,0.26,30.76,0.2,0.61,0.89,0.11
2025-01-03 16:00:00,193.6,0.05,0.29,30.04,0.2,0.57,0.88,0.1
2025-01-03 17:00:00,191.93,0.04,0.4,29.33,0.22,0.54,0.9,0.1
2025-01-03 18:00:00,190.26,0.0,0.49,28.97,0.21,0.52,0.94,0.09
2025-01-03 19:00:00,188.59,0.0,0.44,29.68,0.19,0.5,0.94,0.08
2025-01-03 20:00:00,188.59,0.0,0.39,30.4,0.16,0.5,0.91,0.09
2025-01-03 21:00:00,186.92,0.0,0.35,31.47,0.14,0.5,0.86,0.09
2025-01-03 22:00:00,186.92,0.0,0.4,32.54,0.15,0.5,0.82,0.08
2025-01-03 23:00:00,186.92,0.0,0.47,33.62,0.15,0.5,0.79,0.07
2025-01-04 00:00:00,186.92,0.0,0.53,35.05,0.17,0.5,0.75,0.05
2025-01-04 01:00:00,186.92,0.0,0.55,36.12,0.17,0.5,0.72,0.05
2025-01-04 02:00:00,186.92,0.0,0.55,36.84,0.17,0.5,0.7,0.05
2025-01-04 03:00:00,188.59,0.0,0.55,36.84,0.17,0.5,0.68,0.06
2025-01-04 04:00:00,188.59,0.0,0.55,37.19,0.17,0.5,0.66,0.07
2025-01-04 05:00:00,188.59,0.0,0.51,37.19,0.16,0.5,0.64,0.07
2025-01-04 06:00:00,188.59,0.0,0.47,37.19,0.14,0.5,0.64,0.07
2025-01-04 07:00:00,188.59,0.01,0.5,37.55,0.15,0.5,0.65,0.09
2025-01-04 08:00:00,190.26,0.06,0.56,37.55,0.19,0.5,0.67,0.14
2025-01-04 09:00:00,190.26,0.08,0.55,38.98,0.21,0.5,0.71,0.15
2025-01-04 10:00:00,188.59,0.06,0.46,40.77,0.19,0.5,0.76,0.11
2025-01-04 11:00:00,186.92,0.03,0.37,41.84,0.16,0.5,0.79,0.07
2025-01-04 12:00:00,185.25,0.02,0.27,41.13,0.12,0.5,0.75,0.03
2025-01-04 13:00:00,185.25,0.02,0.2,40.05,0.1,0.5,0.72,0.02
2025-01-04 14:00:00,185.25,0.02,0.17,40.05,0.1,0.5,0.72,0.01
2025-01-04 15:00:00,185.25,0.03,0.25,40.77,0.13,0.5,0.73,0.01
2025-01-04 16:00:00,186.92,0.02,0.4,40.77,0.15,0.52,0.73,0.03
2025-01-04 17:00:00,186.92,0.01,0.55,39.7,0.16,0.5,0.66,0.05
2025-01-04 18:00:00,188.59,0.0,0.65,38.98,0.17,0.5,0.64,0.06
2025-01-04 19:00:00,188.59,0.0,0.69,38.62,0.17,0.5,0.63,0.06
2025-01-04 20:00:00,188.59,0.0,0.72,38.27,0.17,0.5,0.63,0.06
2025-01-04 21:00:00,186.92,0.0,0.76,37.55,0.17,0.5,0.63,0.05
2025-01-04 22:00:00,186.92,0.0,0.82,37.19,0.17,0.5,0.63,0.04
2025-01-04 23:00:00,186.92,0.0,0.86,37.19,0.18,0.5,0.62,0.04
2025-01-05 00:00:00,188.59,0.0,0.86,37.91,0.18,0.5,0.61,0.04
2025-01-05 01:00:00,190.26,0.0,0.8,38.27,0.17,0.5,0.6,0.05
2025-01-05 02:00:00,190.26,0.0,0.73,38.62,0.15,0.5,0.6,0.05
2025-01-05 03:00:00,190.26,0.0,0.7,38.62,0.16,0.5,0.6,0.06
2025-01-05 04:00:00,190.26,0.0,0.7,38.62,0.17,0.5,0.62,0.06
2025-01-05 05:00:00,190.26,0.0,0.7,38.27,0.17,0.5,0.63,0.07
2025-01-05 06:00:00,190.26,0.0,0.71,37.91,0.17,0.5,0.64,0.07
2025-01-05 07:00:00,190.26,0.01,0.81,37.55,0.22,0.5,0.66,0.08
2025-01-05 08:00:00,191.93,0.09,0.94,36.84,0.29,0.5,0.68,0.12
2025-01-05 09:00:00,191.93,0.11,0.92,38.98,0.32,0.5,0.69,0.14
2025-01-05 10:00:00,191.93,0.06,0.72,40.41,0.23,0.58,0.77,0.17
2025-01-05 11:00:00,190.26,0.02,0.46,40.77,0.14,0.7,0.94,0.14
2025-01-05 12:00:00,188.59,0.01,0.29,43.99,0.1,0.58,0.89,0.06
2025-01-05 13:00:00,188.59,0.01,0.28,45.06,0.11,0.5,0.82,0.04
2025-01-05 14:00:00,188.59,0.01,0.31,47.21,0.12,0.5,0.82,0.03
2025-01-05 15:00:00,188.59,0.0,0.35,48.64,0.15,0.5,0.81,0.02
2025-01-05 16:00:00,188.59,0.0,0.38,48.64,0.15,0.5,0.81,0.02
2025-01-05 17:00:00,188.59,0.0,0.4,47.21,0.16,0.5,0.82,0.02
2025-01-05 18:00:00,188.59,0.0,0.41,45.06,0.16,0.5,0.85,0.03
2025-01-05 19:00:00,188.59,0.0,0.41,43.63,0.16,0.5,0.87,0.04
2025-01-05 20:00:00,188.59,0.0,0.44,42.92,0.17,0.5,0.87,0.04
2025-01-05 21:00:00,188.59,0.0,0.45,42.92,0.18,0.5,0.85,0.04
2025-01-05 22:00:00,188.59,0.0,0.44,42.2,0.17,0.5,0.83,0.05
2025-01-05 23:00:00,188.59,0.0,0.44,41.48,0.16,0.5,0.81,0.08
2025-01-06 00:00:00,190.26,0.0,0.84,37.55,0.31,0.62,0.93,0.26
2025-01-06 01:00:00,193.6,0.0,1.41,32.54,0.49,0.88,1.16,0.44
2025-01-06 02:00:00,196.93,0.0,1.82,29.33,0.62,1.06,1.25,0.49
2025-01-06 03:00:00,200.27,0.0,2.23,26.11,0.71,1.28,1.41,0.61
2025-01-06 04:00:00,205.28,0.0,2.59,22.71,0.77,1.52,1.62,0.73
2025-01-06 05:00:00,210.29,0.0,2.91,20.38,0.83,1.73,1.82,0.78
2025-01-06 06:00:00,213.62,0.0,3.3,19.13,0.89,1.83,1.92,0.66
2025-01-06 07:00:00,216.96,0.01,3.86,18.42,1.04,1.95,2.09,0.53
