Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,200.27,0.0,0.54,47.92,0.44,1.37,1.73,0.0
2025-01-01 09:00:00,200.27,0.01,0.57,47.21,0.43,1.47,1.89,0.01
2025-01-01 10:00:00,201.94,0.03,0.57,46.49,0.49,1.75,2.22,0.02
2025-01-01 11:00:00,201.94,0.04,0.59,46.49,0.58,2.1,2.6,0.0
2025-01-01 12:00:00,203.61,0.05,0.56,46.49,0.61,2.38,2.86,0.0
2025-01-01 13:00:00,201.94,0.04,0.5,47.21,0.54,2.32,2.77,0.0
2025-01-01 14:00:00,198.6,0.03,0.44,46.49,0.44,2.09,2.51,0.0
2025-01-01 15:00:00,195.26,0.02,0.41,45.78,0.38,1.83,2.21,0.0
2025-01-01 16:00:00,193.6,0.01,0.41,44.7,0.35,1.56,1.86,0.0
2025-01-01 17:00:00,193.6,0.01,0.44,43.63,0.35,1.39,1.65,0.0
2025-01-01 18:00:00,193.6,0.0,0.48,42.56,0.37,1.36,1.6,0.0
2025-01-01 19:00:00,195.26,0.0,0.49,41.48,0.39,1.51,1.8,0.0
2025-01-01 20:00:00,193.6,0.0,0.46,40.77,0.38,1.49,1.83,0.01
2025-01-01 21:00:00,193.6,0.0,0.43,40.41,0.35,1.29,1.66,0.02
2025-01-01 22:00:00,193.6,0.0,0.48,40.77,0.3,1.08,1.43,0.03
2025-01-01 23:00:00,195.26,0.0,0.57,41.13,0.25,0.91,1.23,0.04
2025-01-02 00:00:00,196.93,0.0,0.64,41.13,0.22,0.79,1.09,0.05
2025-01-02 01:00:00,198.6,0.0,0.62,41.48,0.2,0.78,1.1,0.05
2025-01-02 02:00:00,200.27,0.0,0.57,41.48,0.2,0.83,1.17,0.05
2025-01-02 03:00:00,200.27,0.0,0.56,41.13,0.19,0.86,1.21,0.05
2025-01-02 04:00:00,198.6,0.0,0.57,40.77,0.2,0.86,1.21,0.05
2025-01-02 05:00:00,200.27,0.0,0.63,39.7,0.25,0.94,1.26,0.05
2025-01-02 06:00:00,200.27,0.0,0.73,38.27,0.41,1.22,1.53,0.03
2025-01-02 07:00:00,198.6,0.0,0.8,37.19,0.57,1.47,1.83,0.01
2025-01-02 08:00:00,196.93,0.03,0.77,37.19,0.63,1.55,1.98,0.0
2025-01-02 09:00:00,193.6,0.05,0.64,37.91,0.69,1.89,2.45,0.0
2025-01-02 10:00:00,190.26,0.05,0.59,38.98,0.78,2.58,3.28,0.0
2025-01-02 11:00:00,191.93,0.05,0.55,40.77,0.83,3.08,3.83,0.0
2025-01-02 12:00:00,193.6,0.06,0.52,43.27,0.84,3.28,4.08,0.0
2025-01-02 13:00:00,193.6,0.07,0.5,46.49,0.78,3.16,3.95,0.0
2025-01-02 14:00:00,195.26,0.08,0.48,49.35,0.73,3.0,3.76,0.0
2025-01-02 15:00:00,198.6,0.08,0.52,51.5,0.89,3.29,4.08,0.0
2025-01-02 16:00:00,201.94,0.07,0.67,52.21,1.22,4.19,5.02,0.0
2025-01-02 17:00:00,203.61,0.04,0.87,52.21,1.55,5.27,6.09,0.0
2025-01-02 18:00:00,203.61,0.0,0.92,51.5,1.7,5.92,6.58,0.0
2025-01-02 19:00:00,203.61,0.0,0.93,50.07,1.7,6.35,6.92,0.0
2025-01-02 20:00:00,203.61,0.0,0.89,48.64,1.59,6.54,7.03,0.0
2025-01-02 21:00:00,203.61,0.0,0.8,47.92,1.46,6.3,6.7,0.0
2025-01-02 22:00:00,205.28,0.0,0.78,47.21,1.3,5.73,6.07,0.0
2025-01-02 23:00:00,206.95,0.0,0.86,46.49,1.1,5.21,5.52,0.0
2025-01-03 00:00:00,208.62,0.0,0.89,46.49,0.92,4.81,5.11,0.0
2025-01-03 01:00:00,205.28,0.0,0.71,45.06,0.67,4.1,4.41,0.0
2025-01-03 02:00:00,198.6,0.0,0.47,43.27,0.41,3.09,3.41,0.0
2025-01-03 03:00:00,191.93,0.0,0.37,41.84,0.25,2.24,2.53,0.03
2025-01-03 04:00:00,190.26,0.0,0.36,41.13,0.17,1.66,1.92,0.04
2025-01-03 05:00:00,190.26,0.0,0.38,40.05,0.12,1.22,1.46,0.05
2025-01-03 06:00:00,193.6,0.0,0.43,38.62,0.09,0.94,1.16,0.06
2025-01-03 07:00:00,196.93,0.0,0.54,36.48,0.09,0.84,1.08,0.06
2025-01-03 08:00:00,198.6,0.01,0.62,33.97,0.1,0.85,1.15,0.06
2025-01-03 09:00:00,201.94,0.02,0.77,31.11,0.16,0.98,1.46,0.12
2025-01-03 10:00:00,205.28,0.02,0.91,28.25,0.22,1.22,1.79,0.23
2025-01-03 11:00:00,206.95,0.03,0.95,26.82,0.3,1.73,2.27,0.31
2025-01-03 12:00:00,210.29,0.04,1.09,26.46,0.43,2.33,2.88,0.45
2025-01-03 13:00:00,211.95,0.04,1.12,27.18,0.53,2.98,3.58,0.41
2025-01-03 14:00:00,210.29,0.03,0.99,28.25,0.6,3.62,4.21,0.23
2025-01-03 15:00:00,208.62,0.02,0.74,30.04,0.59,3.86,4.24,0.01
2025-01-03 16:00:00,206.95,0.01,0.77,31.83,0.62,3.87,4.22,0.0
2025-01-03 17:00:00,206.95,0.0,0.9,33.97,0.69,3.96,4.34,0.0
2025-01-03 18:00:00,205.28,0.0,1.1,35.41,0.83,4.27,4.72,0.0
