Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,203.61,0.01,0.72,42.92,0.63,2.32,2.85,0.08
2025-01-01 09:00:00,203.61,0.02,0.77,43.27,0.55,2.19,2.75,0.09
2025-01-01 10:00:00,201.94,0.03,0.71,43.63,0.45,2.11,2.67,0.11
2025-01-01 11:00:00,198.6,0.02,0.63,43.63,0.37,2.04,2.6,0.12
2025-01-01 12:00:00,198.6,0.02,0.54,45.06,0.34,1.93,2.41,0.08
2025-01-01 13:00:00,198.6,0.02,0.5,45.78,0.33,1.88,2.28,0.06
2025-01-01 14:00:00,196.93,0.02,0.47,45.42,0.3,1.86,2.2,0.03
2025-01-01 15:00:00,195.26,0.02,0.43,44.35,0.27,1.81,2.1,0.0
2025-01-01 16:00:00,195.26,0.01,0.49,42.56,0.28,1.9,2.17,0.01
2025-01-01 17:00:00,195.26,0.01,0.58,40.77,0.31,1.98,2.22,0.03
2025-01-01 18:00:00,200.27,0.0,0.91,37.55,0.41,2.35,2.64,0.15
2025-01-01 19:00:00,203.61,0.0,1.06,35.05,0.48,2.58,2.96,0.25
2025-01-01 20:00:00,203.61,0.0,0.94,33.62,0.49,2.71,3.15,0.26
2025-01-01 21:00:00,201.94,0.0,0.78,32.54,0.49,2.72,3.22,0.27
2025-01-01 22:00:00,200.27,0.0,0.64,33.26,0.46,2.36,2.86,0.25
2025-01-01 23:00:00,198.6,0.0,0.57,35.05,0.4,1.86,2.35,0.21
2025-01-02 00:00:00,198.6,0.0,0.56,36.12,0.33,1.45,1.92,0.19
2025-01-02 01:00:00,200.27,0.0,0.59,36.12,0.26,1.25,1.71,0.2
2025-01-02 02:00:00,201.94,0.0,0.58,36.12,0.23,1.18,1.66,0.21
2025-01-02 03:00:00,203.61,0.0,0.57,36.84,0.21,1.15,1.67,0.19
2025-01-02 04:00:00,203.61,0.0,0.58,37.55,0.21,1.15,1.7,0.18
2025-01-02 05:00:00,203.61,0.0,0.6,37.55,0.22,1.18,1.72,0.16
2025-01-02 06:00:00,201.94,0.0,0.65,37.19,0.26,1.3,1.82,0.14
2025-01-02 07:00:00,201.94,0.0,0.76,35.41,0.38,1.61,2.13,0.14
2025-01-02 08:00:00,201.94,0.08,0.8,34.69,0.54,1.99,2.56,0.13
2025-01-02 09:00:00,198.6,0.14,0.69,35.05,0.69,2.41,3.02,0.12
2025-01-02 10:00:00,195.26,0.11,0.52,37.19,0.77,2.87,3.54,0.05
2025-01-02 11:00:00,191.93,0.08,0.39,39.34,0.8,3.27,3.91,0.0
2025-01-02 12:00:00,190.26,0.06,0.29,41.13,0.74,3.18,3.77,0.0
2025-01-02 13:00:00,190.26,0.05,0.28,42.56,0.69,3.05,3.66,0.0
2025-01-02 14:00:00,190.26,0.05,0.31,44.7,0.63,2.95,3.56,0.0
2025-01-02 15:00:00,191.93,0.05,0.37,47.21,0.6,2.89,3.48,0.0
2025-01-02 16:00:00,193.6,0.04,0.52,47.92,0.67,3.27,3.88,0.0
2025-01-02 17:00:00,196.93,0.01,0.74,48.64,0.82,3.83,4.47,0.0
2025-01-02 18:00:00,200.27,0.0,1.0,47.92,1.0,4.41,4.95,0.0
2025-01-02 19:00:00,201.94,0.0,1.07,46.49,1.04,4.72,5.17,0.0
2025-01-02 20:00:00,201.94,0.0,1.04,45.42,1.03,5.01,5.42,0.0
2025-01-02 21:00:00,205.28,0.0,1.26,42.56,1.1,5.41,5.79,0.03
2025-01-02 22:00:00,210.29,0.0,1.61,40.41,1.22,5.77,6.15,0.2
2025-01-02 23:00:00,216.96,0.0,1.8,40.05,1.27,6.03,6.4,0.36
2025-01-03 00:00:00,223.64,0.0,1.8,40.41,1.22,6.02,6.36,0.38
2025-01-03 01:00:00,230.31,0.0,1.95,40.41,1.18,5.98,6.31,0.57
2025-01-03 02:00:00,236.99,0.0,2.03,40.41,1.09,5.89,6.23,0.81
2025-01-03 03:00:00,233.65,0.0,1.76,40.05,0.87,5.45,5.79,0.78
2025-01-03 04:00:00,226.97,0.0,1.41,38.98,0.64,4.88,5.2,0.74
2025-01-03 05:00:00,216.96,0.0,1.15,37.19,0.45,4.18,4.46,0.73
2025-01-03 06:00:00,211.95,0.0,1.05,35.05,0.34,3.47,3.75,0.79
