Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,213.62,0.04,1.17,33.26,0.42,1.52,1.8,0.23
2025-01-01 09:00:00,213.62,0.09,1.2,32.9,0.43,1.36,1.62,0.24
2025-01-01 10:00:00,213.62,0.1,1.01,33.97,0.41,1.26,1.51,0.24
2025-01-01 11:00:00,213.62,0.09,0.79,36.48,0.36,1.22,1.44,0.22
2025-01-01 12:00:00,210.29,0.05,0.57,40.77,0.27,1.05,1.21,0.15
2025-01-01 13:00:00,210.29,0.03,0.52,42.2,0.23,0.93,1.05,0.13
2025-01-01 14:00:00,210.29,0.02,0.51,42.2,0.22,0.87,0.98,0.14
2025-01-01 15:00:00,213.62,0.02,0.78,40.05,0.29,0.94,1.09,0.21
2025-01-01 16:00:00,220.3,0.02,1.3,37.19,0.41,1.21,1.42,0.29
2025-01-01 17:00:00,230.31,0.01,1.93,35.41,0.54,1.55,1.81,0.34
2025-01-01 18:00:00,236.99,0.0,2.44,34.33,0.66,1.93,2.24,0.42
2025-01-01 19:00:00,236.99,0.0,2.44,33.26,0.7,2.32,2.72,0.44
2025-01-01 20:00:00,236.99,0.0,2.27,32.19,0.72,2.72,3.22,0.44
2025-01-01 21:00:00,236.99,0.0,2.18,30.04,0.7,3.01,3.62,0.44
2025-01-01 22:00:00,236.99,0.0,2.21,27.54,0.66,3.14,3.82,0.45
2025-01-01 23:00:00,233.65,0.0,2.25,26.46,0.62,3.11,3.82,0.46
2025-01-02 00:00:00,230.31,0.0,2.12,26.46,0.56,2.95,3.64,0.45
2025-01-02 01:00:00,226.97,0.0,1.82,27.18,0.51,2.78,3.5,0.42
2025-01-02 02:00:00,220.3,0.0,1.5,28.61,0.47,2.63,3.39,0.4
2025-01-02 03:00:00,216.96,0.0,1.15,32.19,0.43,2.44,3.18,0.36
2025-01-02 04:00:00,213.62,0.0,0.92,34.33,0.39,2.15,2.73,0.33
2025-01-02 05:00:00,211.95,0.0,0.84,34.69,0.36,1.71,2.1,0.3
2025-01-02 06:00:00,210.29,0.0,0.86,33.97,0.36,1.41,1.71,0.29
2025-01-02 07:00:00,208.62,0.0,1.06,33.26,0.43,1.3,1.7,0.29
2025-01-02 08:00:00,206.95,0.07,1.24,33.26,0.52,1.25,1.77,0.28
2025-01-02 09:00:00,198.6,0.1,0.97,36.12,0.51,1.12,1.55,0.18
2025-01-02 10:00:00,195.26,0.08,0.86,36.84,0.48,1.08,1.41,0.16
2025-01-02 11:00:00,193.6,0.07,0.8,36.48,0.47,1.15,1.44,0.19
2025-01-02 12:00:00,193.6,0.06,0.8,36.48,0.44,1.16,1.42,0.19
2025-01-02 13:00:00,193.6,0.06,0.91,35.41,0.44,1.16,1.4,0.22
2025-01-02 14:00:00,195.26,0.06,1.01,34.69,0.45,1.09,1.3,0.24
2025-01-02 15:00:00,196.93,0.02,1.19,33.62,0.46,0.94,1.14,0.25
2025-01-02 16:00:00,198.6,0.01,1.48,31.83,0.52,0.83,1.03,0.29
2025-01-02 17:00:00,201.94,0.0,1.91,30.76,0.61,0.8,1.02,0.32
2025-01-02 18:00:00,213.62,0.0,3.17,26.46,0.86,1.02,1.36,0.53
2025-01-02 19:00:00,226.97,0.0,4.03,22.35,1.06,1.35,1.87,0.76
2025-01-02 20:00:00,226.97,0.0,3.98,21.64,1.1,1.51,2.18,0.95
2025-01-02 21:00:00,230.31,0.0,3.86,21.64,1.18,1.69,2.45,1.2
2025-01-02 22:00:00,230.31,0.0,3.77,20.38,1.22,1.89,2.71,1.33
2025-01-02 23:00:00,226.97,0.0,3.73,18.78,1.25,2.05,2.84,1.33
2025-01-03 00:00:00,223.64,0.0,3.64,18.24,1.25,2.11,2.77,1.36
2025-01-03 01:00:00,223.64,0.0,3.68,18.78,1.34,2.23,2.82,1.71
2025-01-03 02:00:00,226.97,0.0,3.73,19.85,1.48,2.32,2.88,2.12
2025-01-03 03:00:00,226.97,0.0,3.47,21.64,1.52,2.23,2.75,2.28
2025-01-03 04:00:00,223.64,0.0,3.08,23.25,1.45,2.04,2.51,2.22
2025-01-03 05:00:00,220.3,0.0,2.87,23.25,1.42,1.93,2.36,2.15
2025-01-03 06:00:00,220.3,0.0,3.04,21.1,1.4,2.01,2.45,2.03
2025-01-03 07:00:00,220.3,0.02,3.64,19.13,1.42,2.08,2.64,1.73
2025-01-03 08:00:00,223.64,0.17,4.11,19.85,1.42,2.01,2.63,1.25
2025-01-03 09:00:00,220.3,0.27,3.26,23.96,1.15,2.13,2.65,0.74
2025-01-03 10:00:00,220.3,0.24,2.38,27.89,0.91,2.61,3.07,0.47
2025-01-03 11:00:00,213.62,0.17,1.54,32.9,0.75,2.98,3.36,0.22
2025-01-03 12:00:00,210.29,0.12,1.27,34.33,0.66,3.04,3.42,0.17
2025-01-03 13:00:00,211.95,0.14,1.69,32.19,0.72,2.66,3.16,0.38
2025-01-03 14:00:00,216.96,0.14,2.18,31.11,0.83,2.39,2.95,0.59
2025-01-03 15:00:00,216.96,0.11,2.44,31.11,0.88,2.17,2.72,0.71
2025-01-03 16:00:00,213.62,0.06,2.33,28.61,0.77,1.98,2.44,0.55
2025-01-03 17:00:00,208.62,0.01,2.16,27.89,0.7,1.88,2.23,0.36
2025-01-03 18:00:00,201.94,0.0,1.71,29.68,0.67,1.8,2.09,0.24
2025-01-03 19:00:00,201.94,0.0,1.86,27.54,0.76,2.03,2.4,0.3
2025-01-03 20:00:00,201.94,0.0,1.76,26.11,0.79,2.38,2.85,0.33
2025-01-03 21:00:00,201.94,0.0,1.65,24.68,0.84,2.84,3.4,0.36
