Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,520.71,0.13,6.43,16.27,0.74,14.0,15.79,4.56
2025-01-01 09:00:00,453.95,0.14,4.97,25.39,0.6,11.11,12.75,3.58
2025-01-01 10:00:00,433.92,0.18,4.5,29.68,0.55,10.11,11.61,3.29
2025-01-01 11:00:00,423.91,0.2,4.07,33.62,0.51,9.46,10.79,3.17
2025-01-01 12:00:00,357.15,0.14,2.21,51.5,0.32,6.61,7.49,2.12
2025-01-01 13:00:00,333.79,0.15,1.54,59.37,0.29,5.93,6.7,2.06
2025-01-01 14:00:00,327.11,0.15,1.23,62.94,0.31,6.16,6.99,2.18
2025-01-01 15:00:00,310.42,0.12,1.19,65.09,0.34,5.88,6.82,2.37
2025-01-01 16:00:00,310.42,0.09,1.71,63.66,0.42,5.97,7.0,2.85
2025-01-01 17:00:00,320.43,0.03,2.63,60.8,0.54,6.06,7.13,3.36
2025-01-01 18:00:00,343.8,0.0,4.03,55.07,0.72,6.66,7.81,4.12
2025-01-01 19:00:00,387.19,0.0,5.31,46.49,0.84,7.89,9.13,4.37
2025-01-01 20:00:00,410.56,0.0,5.65,41.13,0.83,8.54,9.78,3.99
2025-01-01 21:00:00,407.22,0.0,5.36,39.7,0.76,8.64,9.8,3.67
2025-01-01 22:00:00,393.87,0.0,4.8,41.13,0.7,9.08,10.21,3.45
2025-01-01 23:00:00,380.52,0.0,4.2,43.99,0.61,10.52,11.59,3.13
2025-01-02 00:00:00,373.84,0.0,3.77,46.49,0.48,12.32,13.17,2.72
2025-01-02 01:00:00,380.52,0.0,3.73,46.49,0.41,13.53,14.25,2.6
2025-01-02 02:00:00,397.21,0.0,3.94,44.35,0.39,14.49,15.19,2.63
2025-01-02 03:00:00,410.56,0.0,4.07,42.56,0.38,15.22,15.98,2.66
2025-01-02 04:00:00,420.57,0.0,4.11,40.77,0.36,15.75,16.55,2.66
2025-01-02 05:00:00,427.25,0.0,4.2,39.34,0.35,16.05,16.83,2.63
2025-01-02 06:00:00,447.27,0.0,4.41,36.48,0.36,16.31,17.06,2.63
2025-01-02 07:00:00,460.62,0.0,4.54,33.26,0.42,16.93,17.73,2.69
2025-01-02 08:00:00,480.65,0.01,4.58,32.19,0.5,17.7,18.56,2.85
2025-01-02 09:00:00,487.33,0.04,4.63,35.05,0.54,18.15,19.01,2.85
2025-01-02 10:00:00,507.35,0.08,4.84,33.97,0.54,18.08,18.92,2.91
2025-01-02 11:00:00,527.38,0.11,4.93,32.19,0.51,17.85,18.65,2.91
2025-01-02 12:00:00,507.35,0.13,3.86,38.98,0.42,16.39,17.07,2.53
2025-01-02 13:00:00,487.33,0.15,3.17,46.49,0.39,15.32,15.95,2.53
2025-01-02 14:00:00,473.98,0.14,2.83,52.21,0.4,14.78,15.4,2.69
2025-01-02 15:00:00,447.27,0.11,2.51,58.65,0.4,13.91,14.5,2.69
2025-01-02 16:00:00,453.95,0.05,2.63,58.65,0.42,14.0,14.61,2.82
2025-01-02 17:00:00,467.3,0.01,3.04,56.51,0.47,14.75,15.4,2.98
2025-01-02 18:00:00,514.03,0.0,4.16,50.07,0.6,16.64,17.42,3.45
2025-01-02 19:00:00,580.79,0.0,5.65,41.48,0.75,19.36,20.34,3.86
2025-01-02 20:00:00,640.87,0.0,6.68,32.54,0.83,21.48,22.55,3.99
2025-01-02 21:00:00,707.63,0.0,8.14,22.35,0.98,24.43,25.74,4.75
2025-01-02 22:00:00,787.73,0.04,10.2,13.77,1.24,28.86,30.64,6.84
2025-01-02 23:00:00,867.84,0.14,12.0,8.58,1.52,32.95,35.02,10.39
2025-01-03 00:00:00,934.6,0.33,13.88,5.36,1.79,36.6,38.76,15.58
2025-01-03 01:00:00,1001.36,0.68,14.74,2.79,1.7,40.27,42.41,15.71
2025-01-03 02:00:00,1054.76,1.34,14.39,1.05,1.49,44.22,46.11,13.17
2025-01-03 03:00:00,1108.17,2.12,13.88,0.34,1.31,43.87,45.41,12.03
2025-01-03 04:00:00,1134.87,2.54,13.88,0.17,1.18,41.64,42.91,11.15
2025-01-03 05:00:00,1161.58,2.54,13.88,0.22,1.03,39.74,40.8,9.75
2025-01-03 06:00:00,1174.93,2.07,14.91,0.53,1.09,42.51,43.55,10.26
2025-01-03 07:00:00,1174.93,1.87,14.74,0.53,1.16,44.37,45.56,9.12
2025-01-03 08:00:00,1161.58,2.04,14.05,1.2,1.25,42.76,44.07,8.36
2025-01-03 09:00:00,961.3,0.59,11.48,7.87,0.97,32.32,33.36,6.33
2025-01-03 10:00:00,894.55,0.4,10.02,10.91,0.89,28.31,29.41,5.51
2025-01-03 11:00:00,841.14,0.33,8.74,13.77,0.8,25.4,26.46,4.94
2025-01-03 12:00:00,560.76,0.2,4.2,32.54,0.44,12.87,13.46,2.91
2025-01-03 13:00:00,427.25,0.11,2.57,38.98,0.33,7.19,7.62,2.31
2025-01-03 14:00:00,403.88,0.09,2.33,40.41,0.34,6.08,6.49,2.31
2025-01-03 15:00:00,377.18,0.07,2.1,41.13,0.32,5.43,5.8,2.22
2025-01-03 16:00:00,357.15,0.03,1.95,41.84,0.31,5.47,5.8,1.98
2025-01-03 17:00:00,353.81,0.01,1.99,42.92,0.3,5.54,5.81,1.63
2025-01-03 18:00:00,340.46,0.0,1.88,43.27,0.27,4.59,4.81,1.28
2025-01-03 19:00:00,333.79,0.0,1.95,47.21,0.27,4.05,4.26,1.16
2025-01-03 20:00:00,333.79,0.0,1.99,58.65,0.28,4.54,4.76,1.06
2025-01-03 21:00:00,323.77,0.0,1.93,67.95,0.26,5.41,5.65,1.03
2025-01-03 22:00:00,310.42,0.0,1.84,72.96,0.25,5.64,5.96,1.06
2025-01-03 23:00:00,300.41,0.0,1.78,73.67,0.24,5.56,5.94,1.06
2025-01-04 00:00:00,293.73,0.0,1.74,72.96,0.22,5.59,6.03,1.11
2025-01-04 01:00:00,290.39,0.0,1.74,71.53,0.21,5.53,6.0,1.22
2025-01-04 02:00:00,290.39,0.0,1.76,69.38,0.2,5.4,5.86,1.31
2025-01-04 03:00:00,290.39,0.0,1.78,67.95,0.2,5.13,5.62,1.44
2025-01-04 04:00:00,293.73,0.0,1.82,66.52,0.21,5.01,5.61,1.54
2025-01-04 05:00:00,300.41,0.0,1.97,63.66,0.22,5.23,5.95,1.65
2025-01-04 06:00:00,307.08,0.0,2.21,60.08,0.25,5.54,6.4,1.85
2025-01-04 07:00:00,310.42,0.0,2.36,57.22,0.29,5.59,6.51,2.03
2025-01-04 08:00:00,310.42,0.01,2.38,56.51,0.34,5.29,6.12,2.06
2025-01-04 09:00:00,310.42,0.03,2.33,56.51,0.35,5.0,5.71,2.12
2025-01-04 10:00:00,310.42,0.09,2.21,55.79,0.35,4.88,5.48,2.18
2025-01-04 11:00:00,313.76,0.13,2.03,55.07,0.35,4.99,5.55,2.37
2025-01-04 12:00:00,293.73,0.09,1.36,60.8,0.25,4.3,4.7,1.71
2025-01-04 13:00:00,283.72,0.05,1.2,62.23,0.23,4.31,4.64,1.54
2025-01-04 14:00:00,287.06,0.04,1.29,60.8,0.23,5.26,5.58,1.58
2025-01-04 15:00:00,300.41,0.02,1.39,60.08,0.25,6.89,7.22,1.63
2025-01-04 16:00:00,310.42,0.01,1.5,61.51,0.25,8.49,8.84,1.63
2025-01-04 17:00:00,317.1,0.0,1.63,65.8,0.26,9.16,9.52,1.57
2025-01-04 18:00:00,337.12,0.0,2.31,65.8,0.37,10.13,10.65,2.18
2025-01-04 19:00:00,350.48,0.0,2.91,65.09,0.44,10.95,11.61,2.56
2025-01-04 20:00:00,353.81,0.0,3.04,66.52,0.45,10.94,11.65,2.69
2025-01-04 21:00:00,353.81,0.0,3.13,66.52,0.45,10.54,11.28,2.79
2025-01-04 22:00:00,353.81,0.0,3.08,66.52,0.44,9.98,10.74,2.75
2025-01-04 23:00:00,350.48,0.0,2.96,66.52,0.41,9.36,10.12,2.63
2025-01-05 00:00:00,337.12,0.0,2.68,67.23,0.34,8.48,9.17,2.37
2025-01-05 01:00:00,333.79,0.0,2.66,65.8,0.31,8.03,8.69,2.28
2025-01-05 02:00:00,337.12,0.0,2.74,63.66,0.31,7.77,8.45,2.28
2025-01-05 03:00:00,367.16,0.0,3.81,55.79,0.39,8.71,9.52,2.88
2025-01-05 04:00:00,410.56,0.0,5.14,45.42,0.47,10.34,11.34,3.29
2025-01-05 05:00:00,453.95,0.0,6.17,37.55,0.52,11.82,13.01,3.67
2025-01-05 06:00:00,487.33,0.0,7.03,31.83,0.58,13.24,14.71,4.18
2025-01-05 07:00:00,507.35,0.01,7.28,28.25,0.69,13.91,15.75,4.43
2025-01-05 08:00:00,507.35,0.14,7.03,28.97,0.82,13.82,15.93,4.81
2025-01-05 09:00:00,433.92,0.21,4.93,40.77,0.67,10.28,12.06,4.05
2025-01-05 10:00:00,433.92,0.28,4.54,42.56,0.67,10.01,11.67,4.31
2025-01-05 11:00:00,423.91,0.27,4.07,46.49,0.66,9.71,11.33,4.56
2025-01-05 12:00:00,327.11,0.11,2.16,63.66,0.4,5.95,7.48,2.91
2025-01-05 13:00:00,293.73,0.07,1.63,69.38,0.34,4.84,6.46,2.56
2025-01-05 14:00:00,270.37,0.05,1.39,73.67,0.32,4.21,5.97,2.41
2025-01-05 15:00:00,250.34,0.04,1.22,77.25,0.3,3.74,5.58,2.28
2025-01-05 16:00:00,250.34,0.03,1.39,77.25,0.32,3.75,5.63,2.5
2025-01-05 17:00:00,253.68,0.02,1.74,76.53,0.38,3.93,5.88,2.85
2025-01-05 18:00:00,323.77,0.0,4.8,63.66,0.86,6.07,8.53,6.14
2025-01-05 19:00:00,447.27,0.0,9.25,45.42,1.46,10.54,13.89,10.01
2025-01-05 20:00:00,567.44,0.0,12.68,32.19,1.89,15.85,20.12,13.17
