Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,300.41,0.12,4.16,38.27,1.8,3.52,6.81,2.22
2025-01-01 09:00:00,280.38,0.13,3.08,43.99,1.51,2.8,5.63,1.57
2025-01-01 10:00:00,260.35,0.09,2.03,47.92,1.18,2.27,4.63,1.16
2025-01-01 11:00:00,250.34,0.07,1.44,50.07,0.97,1.97,3.87,0.89
2025-01-01 12:00:00,250.34,0.06,1.25,52.93,0.9,2.02,3.52,0.76
2025-01-01 13:00:00,253.68,0.06,1.24,53.64,0.88,2.38,3.8,0.73
2025-01-01 14:00:00,260.35,0.05,1.25,55.07,0.86,3.06,4.51,0.68
2025-01-01 15:00:00,267.03,0.04,1.56,56.51,1.03,3.88,5.51,0.76
2025-01-01 16:00:00,273.7,0.02,1.97,56.51,1.16,4.14,5.99,0.86
2025-01-01 17:00:00,280.38,0.01,2.38,56.51,1.21,3.87,5.86,0.89
2025-01-01 18:00:00,280.38,0.0,2.51,55.79,1.16,3.77,5.95,0.88
2025-01-01 19:00:00,280.38,0.0,2.48,54.36,1.18,3.75,6.19,0.96
2025-01-01 20:00:00,277.04,0.0,2.44,53.64,1.19,3.67,6.19,1.04
2025-01-01 21:00:00,280.38,0.0,2.59,50.07,1.16,3.9,6.65,1.35
2025-01-01 22:00:00,290.39,0.0,3.13,45.06,1.22,4.4,7.6,1.77
2025-01-01 23:00:00,303.75,0.0,3.68,41.13,1.28,4.84,8.2,2.15
2025-01-02 00:00:00,313.76,0.0,4.07,37.91,1.33,5.21,8.61,2.56
2025-01-02 01:00:00,310.42,0.0,3.81,36.12,1.27,5.34,8.66,2.6
2025-01-02 02:00:00,307.08,0.0,3.47,35.05,1.16,5.45,8.5,2.5
2025-01-02 03:00:00,320.43,0.0,3.73,33.62,1.15,5.97,8.83,2.6
2025-01-02 04:00:00,340.46,0.0,4.28,31.47,1.21,6.8,9.67,2.66
2025-01-02 05:00:00,360.49,0.0,4.71,30.76,1.27,7.37,10.34,2.66
2025-01-02 06:00:00,357.15,0.0,4.58,31.83,1.31,6.99,10.05,2.53
2025-01-02 07:00:00,360.49,0.0,5.27,32.54,1.67,6.58,10.42,2.72
2025-01-02 08:00:00,373.84,0.05,6.6,33.26,2.29,6.37,11.19,2.94
2025-01-02 09:00:00,343.8,0.29,5.4,38.27,2.44,4.94,10.42,2.6
2025-01-02 10:00:00,297.07,0.28,3.3,44.35,2.0,3.24,8.7,1.96
2025-01-02 11:00:00,267.03,0.19,1.88,50.78,1.51,2.15,6.43,1.35
2025-01-02 12:00:00,253.68,0.13,1.39,55.07,1.18,1.58,4.29,1.03
2025-01-02 13:00:00,257.02,0.12,1.78,52.21,1.31,1.69,4.57,1.31
2025-01-02 14:00:00,260.35,0.08,2.25,48.64,1.42,1.93,5.2,1.55
2025-01-02 15:00:00,267.03,0.04,2.83,45.78,1.59,2.16,5.75,1.8
2025-01-02 16:00:00,270.37,0.03,3.26,44.35,1.74,2.31,6.05,1.98
2025-01-02 17:00:00,277.04,0.01,3.81,43.63,1.82,2.39,6.07,2.06
2025-01-02 18:00:00,290.39,0.0,4.67,41.13,1.85,2.56,6.22,2.41
2025-01-02 19:00:00,317.1,0.0,5.74,35.76,1.97,3.18,7.42,2.94
2025-01-02 20:00:00,340.46,0.0,6.6,31.47,2.12,3.98,8.97,3.23
2025-01-02 21:00:00,377.18,0.01,7.45,25.39,2.21,5.19,11.41,3.96
2025-01-02 22:00:00,433.92,0.05,9.0,17.7,2.38,7.0,14.84,5.13
2025-01-02 23:00:00,487.33,0.18,10.54,11.62,2.53,8.79,17.55,6.46
2025-01-03 00:00:00,540.73,0.41,11.82,6.88,2.53,10.68,19.44,7.54
