Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,667.57,3.21,13.88,11.62,3.81,17.9,21.37,20.77
2025-01-01 09:00:00,400.54,0.5,6.34,27.18,1.43,6.68,8.11,5.13
2025-01-01 10:00:00,363.83,0.3,5.06,32.54,1.19,5.3,6.51,3.58
2025-01-01 11:00:00,360.49,0.25,4.28,40.05,1.1,5.3,6.44,3.32
2025-01-01 12:00:00,303.75,0.11,2.16,39.34,0.6,2.76,3.33,1.84
2025-01-01 13:00:00,303.75,0.09,1.8,40.41,0.58,2.35,2.78,1.49
2025-01-01 14:00:00,323.77,0.08,2.06,45.42,0.72,2.99,3.45,1.54
2025-01-01 15:00:00,360.49,0.07,2.78,51.5,0.95,4.3,4.83,1.74
2025-01-01 16:00:00,403.88,0.05,4.03,51.5,1.22,5.54,6.18,2.01
2025-01-01 17:00:00,440.6,0.02,5.74,45.78,1.51,6.21,6.95,2.28
2025-01-01 18:00:00,567.44,0.0,12.68,32.19,2.65,8.35,9.61,4.18
2025-01-01 19:00:00,707.63,0.01,21.08,18.6,4.29,11.74,13.9,8.36
2025-01-01 20:00:00,754.36,0.07,23.99,10.1,4.83,14.69,17.57,11.91
2025-01-01 21:00:00,727.65,0.17,22.28,5.72,4.35,16.96,20.28,13.43
2025-01-01 22:00:00,680.92,0.25,18.51,3.93,3.64,18.37,21.84,13.05
2025-01-01 23:00:00,647.54,0.35,14.74,2.84,2.8,18.92,22.23,10.89
2025-01-02 00:00:00,620.84,0.37,11.65,2.15,2.0,18.61,21.7,8.99
2025-01-02 01:00:00,594.14,0.23,10.45,2.44,1.79,18.38,21.38,10.64
2025-01-02 02:00:00,567.44,0.14,9.77,3.08,1.67,18.49,21.52,12.29
2025-01-02 03:00:00,560.76,0.1,9.25,3.76,1.59,18.39,21.42,13.81
2025-01-02 04:00:00,547.41,0.09,8.74,4.29,1.52,18.23,21.29,14.82
2025-01-02 05:00:00,540.73,0.1,8.65,4.47,1.51,18.34,21.43,15.2
2025-01-02 06:00:00,540.73,0.17,8.83,4.11,1.61,18.39,21.59,14.69
2025-01-02 07:00:00,587.46,1.05,9.77,3.8,2.21,18.97,22.53,13.05
2025-01-02 08:00:00,674.25,2.85,10.97,11.27,2.71,20.4,24.31,8.36
2025-01-02 09:00:00,447.27,0.47,6.43,34.69,1.59,10.23,12.0,3.01
2025-01-02 10:00:00,397.21,0.32,5.01,43.63,1.55,8.12,9.62,2.56
2025-01-02 11:00:00,373.84,0.28,3.94,55.07,1.55,7.63,9.09,2.56
2025-01-02 12:00:00,267.03,0.12,1.88,47.21,0.81,3.12,3.74,1.17
2025-01-02 13:00:00,247.0,0.08,1.59,44.35,0.63,2.1,2.47,0.82
2025-01-02 14:00:00,257.02,0.05,1.65,47.21,0.6,2.46,2.79,0.74
2025-01-02 15:00:00,267.03,0.04,1.71,51.5,0.55,2.96,3.23,0.69
2025-01-02 16:00:00,277.04,0.05,1.88,53.64,0.54,3.18,3.43,0.73
2025-01-02 17:00:00,287.06,0.04,2.33,51.5,0.59,3.0,3.23,0.78
2025-01-02 18:00:00,407.22,0.01,8.74,36.12,1.73,4.53,5.26,2.41
2025-01-02 19:00:00,580.79,0.03,16.45,19.85,3.16,7.82,9.51,5.07
2025-01-02 20:00:00,674.25,0.15,21.08,10.73,4.11,11.07,13.75,8.74
2025-01-02 21:00:00,667.57,0.33,22.28,5.99,4.41,13.42,17.01,12.41
2025-01-02 22:00:00,640.87,0.58,19.88,3.26,4.17,14.81,19.06,14.19
2025-01-02 23:00:00,620.84,0.85,17.14,1.86,3.67,15.64,20.13,14.44
2025-01-03 00:00:00,607.49,0.81,14.91,1.48,3.01,16.19,20.44,14.31
2025-01-03 01:00:00,594.14,0.47,13.54,1.86,2.56,16.58,20.6,15.71
2025-01-03 02:00:00,567.44,0.24,12.68,2.57,2.29,16.82,20.78,17.48
2025-01-03 03:00:00,554.08,0.14,12.0,3.49,2.09,17.02,20.81,18.75
2025-01-03 04:00:00,547.41,0.09,11.31,4.16,1.82,17.27,20.73,17.99
2025-01-03 05:00:00,554.08,0.11,10.97,4.16,1.56,17.69,20.95,15.2
2025-01-03 06:00:00,560.76,0.2,10.62,3.22,1.34,17.82,21.11,10.39
2025-01-03 07:00:00,600.81,1.17,10.71,3.13,1.61,18.27,21.77,6.97
2025-01-03 08:00:00,667.57,2.43,11.65,9.48,2.09,19.26,22.87,5.45
2025-01-03 09:00:00,347.14,0.29,3.77,35.76,0.78,5.7,6.72,1.82
2025-01-03 10:00:00,303.75,0.25,2.4,43.27,0.71,3.86,4.58,1.5
2025-01-03 11:00:00,307.08,0.24,2.06,52.93,0.83,3.89,4.65,1.58
2025-01-03 12:00:00,323.77,0.2,1.74,60.8,0.88,4.17,4.89,1.5
2025-01-03 13:00:00,343.8,0.17,1.93,67.23,1.01,5.17,5.92,1.58
2025-01-03 14:00:00,357.15,0.15,2.29,67.95,1.1,5.76,6.5,1.58
2025-01-03 15:00:00,363.83,0.12,2.91,63.66,1.15,5.96,6.67,1.57
2025-01-03 16:00:00,380.52,0.08,3.81,57.94,1.21,6.03,6.69,1.57
2025-01-03 17:00:00,403.88,0.02,5.1,51.5,1.27,5.9,6.5,1.55
2025-01-03 18:00:00,473.98,0.0,9.42,37.19,1.86,6.39,7.19,2.41
2025-01-03 19:00:00,594.14,0.01,14.91,24.32,2.95,8.36,9.79,4.75
2025-01-03 20:00:00,700.95,0.03,19.54,17.34,4.11,11.61,13.8,8.36
2025-01-03 21:00:00,761.03,0.04,23.65,13.77,4.89,15.0,18.06,12.79
2025-01-03 22:00:00,754.36,0.08,24.68,10.28,5.01,17.53,21.55,16.47
2025-01-03 23:00:00,720.98,0.21,23.31,6.44,4.53,18.95,23.79,17.48
2025-01-04 00:00:00,674.25,0.34,18.85,3.49,3.19,19.37,24.26,14.19
2025-01-04 01:00:00,614.17,0.24,13.54,2.26,1.77,19.23,23.72,8.49
