Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,500.68,1.33,5.36,5.5,0.89,16.09,17.59,3.17
2025-01-01 09:00:00,340.46,0.24,2.87,20.38,0.45,6.72,7.38,1.73
2025-01-01 10:00:00,303.75,0.18,2.1,23.6,0.39,4.47,5.0,1.68
2025-01-01 11:00:00,293.73,0.15,1.78,26.82,0.37,3.66,4.15,1.71
2025-01-01 12:00:00,267.03,0.11,1.37,27.18,0.31,2.34,2.7,1.42
2025-01-01 13:00:00,260.35,0.12,1.46,27.89,0.34,2.11,2.46,1.52
2025-01-01 14:00:00,270.37,0.13,1.76,29.33,0.42,2.48,2.87,1.79
2025-01-01 15:00:00,313.76,0.17,3.3,28.61,0.74,3.99,4.61,2.94
2025-01-01 16:00:00,377.18,0.17,5.57,26.11,1.07,6.48,7.41,3.89
2025-01-01 17:00:00,433.92,0.08,7.88,20.92,1.28,8.65,9.79,3.99
2025-01-01 18:00:00,494.0,0.02,10.97,13.23,1.55,11.03,12.41,4.31
2025-01-01 19:00:00,567.44,0.1,13.54,6.88,1.77,14.34,16.01,5.07
2025-01-01 20:00:00,647.54,0.18,14.39,4.16,1.85,18.35,20.19,6.02
2025-01-01 21:00:00,687.6,0.21,14.05,3.13,1.79,21.48,23.4,7.03
2025-01-01 22:00:00,694.27,0.29,13.19,2.28,1.71,23.33,25.34,7.92
2025-01-01 23:00:00,700.95,0.45,12.85,1.54,1.65,24.7,26.6,8.87
2025-01-02 00:00:00,714.3,0.53,12.51,1.15,1.51,26.21,27.78,9.25
2025-01-02 01:00:00,694.27,0.44,10.8,1.03,1.1,25.85,27.08,7.6
2025-01-02 02:00:00,634.19,0.38,8.14,0.99,0.72,23.29,24.23,5.57
2025-01-02 03:00:00,607.49,0.36,6.68,0.92,0.51,21.49,22.23,4.37
2025-01-02 04:00:00,607.49,0.36,6.51,0.68,0.45,21.84,22.51,3.89
2025-01-02 05:00:00,627.52,0.35,6.68,0.51,0.41,22.9,23.53,3.36
2025-01-02 06:00:00,640.87,0.32,7.03,0.54,0.4,23.83,24.45,2.82
2025-01-02 07:00:00,674.25,0.64,7.45,1.02,0.58,25.06,25.93,2.79
2025-01-02 08:00:00,714.3,1.51,7.88,7.42,0.93,27.58,28.82,3.23
2025-01-02 09:00:00,520.71,0.38,4.93,24.68,0.63,16.35,17.13,3.01
2025-01-02 10:00:00,467.3,0.27,3.43,33.26,0.55,12.74,13.46,2.79
2025-01-02 11:00:00,440.6,0.23,2.4,41.84,0.48,10.72,11.42,2.6
2025-01-02 12:00:00,303.75,0.11,1.12,39.7,0.27,3.95,4.3,1.42
2025-01-02 13:00:00,260.35,0.07,0.97,37.19,0.24,2.37,2.64,1.27
2025-01-02 14:00:00,257.02,0.05,1.11,35.76,0.26,2.21,2.48,1.38
2025-01-02 15:00:00,263.69,0.04,1.71,31.47,0.37,2.33,2.67,1.79
2025-01-02 16:00:00,283.72,0.03,2.91,26.11,0.57,2.96,3.44,2.31
2025-01-02 17:00:00,313.76,0.01,4.5,21.82,0.79,3.86,4.48,2.63
2025-01-02 18:00:00,337.12,0.01,6.25,17.7,0.97,4.72,5.5,3.01
2025-01-02 19:00:00,353.81,0.02,7.2,12.7,0.98,5.4,6.33,2.88
2025-01-02 20:00:00,360.49,0.04,7.11,8.94,0.86,5.8,6.81,2.5
2025-01-02 21:00:00,367.16,0.17,6.34,5.23,0.75,6.56,7.76,2.56
2025-01-02 22:00:00,393.87,0.5,5.91,2.48,0.8,8.17,9.77,3.45
2025-01-02 23:00:00,433.92,1.01,6.25,1.12,1.0,10.45,12.4,5.38
2025-01-03 00:00:00,494.0,1.61,7.88,0.4,1.34,13.41,15.53,8.74
2025-01-03 01:00:00,547.41,1.84,8.65,0.2,1.34,16.44,18.6,9.5
2025-01-03 02:00:00,587.46,1.63,8.48,0.2,1.12,19.45,21.46,8.49
2025-01-03 03:00:00,614.17,1.49,7.88,0.15,0.89,22.12,23.85,7.54
2025-01-03 04:00:00,627.52,1.62,7.37,0.09,0.81,24.04,25.63,8.11
2025-01-03 05:00:00,640.87,1.84,7.11,0.07,0.83,25.35,26.9,9.63
2025-01-03 06:00:00,634.19,1.9,6.77,0.07,0.83,25.61,27.21,9.63
2025-01-03 07:00:00,640.87,2.51,6.0,0.86,0.93,25.2,27.04,7.16
2025-01-03 08:00:00,654.22,3.05,6.17,9.21,1.12,25.25,27.2,5.7
2025-01-03 09:00:00,534.06,0.66,4.11,39.34,0.69,18.69,19.72,3.86
