Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,514.03,1.02,8.31,32.19,1.62,9.56,12.26,4.75
2025-01-01 09:00:00,397.21,0.59,3.3,52.21,0.92,5.69,7.14,2.63
2025-01-01 10:00:00,400.54,0.48,2.72,64.37,0.93,7.14,8.65,2.79
2025-01-01 11:00:00,410.56,0.37,2.23,76.53,0.98,9.2,10.82,2.94
2025-01-01 12:00:00,327.11,0.18,1.48,70.1,0.68,5.26,6.27,2.06
2025-01-01 13:00:00,297.07,0.17,1.34,65.09,0.6,2.97,3.7,1.85
2025-01-01 14:00:00,287.06,0.19,1.34,62.94,0.59,2.02,2.62,1.84
2025-01-01 15:00:00,287.06,0.18,1.41,61.51,0.57,1.59,2.04,1.73
2025-01-01 16:00:00,303.75,0.14,1.88,60.08,0.61,1.73,2.13,1.69
2025-01-01 17:00:00,320.43,0.05,2.63,57.22,0.67,2.01,2.41,1.68
2025-01-01 18:00:00,353.81,0.0,4.5,53.64,0.97,2.81,3.36,2.18
2025-01-01 19:00:00,380.52,0.0,6.08,50.07,1.19,3.71,4.47,2.53
2025-01-01 20:00:00,397.21,0.0,6.77,47.92,1.24,4.51,5.41,2.56
2025-01-01 21:00:00,413.89,0.0,7.37,46.49,1.28,5.48,6.67,2.85
2025-01-01 22:00:00,433.92,0.0,7.97,44.7,1.34,6.43,7.93,3.2
2025-01-01 23:00:00,440.6,0.0,8.14,43.63,1.25,6.86,8.42,3.23
2025-01-02 00:00:00,440.6,0.0,7.97,43.99,1.03,6.94,8.27,3.01
2025-01-02 01:00:00,447.27,0.0,7.8,44.7,0.83,7.15,8.32,2.79
2025-01-02 02:00:00,447.27,0.0,7.45,45.78,0.72,7.32,8.44,2.63
2025-01-02 03:00:00,480.65,0.0,7.97,42.2,0.75,8.67,9.94,3.13
2025-01-02 04:00:00,540.73,0.0,9.17,36.12,0.84,11.0,12.57,3.7
2025-01-02 05:00:00,594.14,0.0,10.54,31.11,0.95,13.25,15.17,4.37
2025-01-02 06:00:00,667.57,0.01,13.02,25.75,1.21,16.25,18.88,5.26
2025-01-02 07:00:00,714.3,0.04,15.77,22.71,1.74,17.99,21.35,5.13
2025-01-02 08:00:00,707.63,1.22,15.77,25.75,2.32,16.99,20.56,4.69
2025-01-02 09:00:00,440.6,0.38,6.68,43.27,1.16,6.89,8.54,2.53
2025-01-02 10:00:00,417.23,0.56,4.76,52.21,1.06,6.04,7.4,2.82
2025-01-02 11:00:00,417.23,0.47,3.34,70.1,1.01,7.36,8.7,2.98
2025-01-02 12:00:00,347.14,0.21,1.63,81.54,0.69,6.0,6.87,2.09
2025-01-02 13:00:00,333.79,0.16,1.48,84.4,0.65,6.9,7.7,1.95
2025-01-02 14:00:00,360.49,0.17,2.06,87.26,0.8,9.66,10.6,2.28
2025-01-02 15:00:00,373.84,0.17,2.74,85.12,1.01,9.22,10.12,2.5
2025-01-02 16:00:00,403.88,0.13,4.03,85.12,1.49,10.82,11.8,3.07
2025-01-02 17:00:00,453.95,0.05,6.08,86.55,2.29,14.73,15.89,3.48
2025-01-02 18:00:00,627.52,0.0,14.91,73.67,3.87,23.51,25.44,5.38
2025-01-02 19:00:00,807.76,0.0,22.96,52.93,4.65,31.24,34.24,7.22
2025-01-02 20:00:00,867.84,0.0,22.96,36.48,4.17,32.57,36.34,8.11
2025-01-02 21:00:00,867.84,0.01,20.56,26.82,3.52,29.89,34.07,8.36
2025-01-02 22:00:00,821.11,0.01,17.99,23.25,2.86,26.07,30.35,7.09
2025-01-02 23:00:00,774.38,0.02,16.45,22.17,2.29,22.63,26.49,5.83
2025-01-03 00:00:00,727.65,0.01,15.42,22.53,1.71,19.59,22.7,4.69
2025-01-03 01:00:00,720.98,0.01,14.91,21.28,1.37,18.57,21.26,4.31
2025-01-03 02:00:00,727.65,0.01,14.39,20.56,1.16,18.73,21.19,4.12
2025-01-03 03:00:00,714.3,0.01,13.37,21.28,0.98,18.12,20.37,3.8
2025-01-03 04:00:00,694.27,0.01,12.34,21.99,0.86,17.48,19.52,3.58
2025-01-03 05:00:00,674.25,0.01,11.48,22.17,0.84,17.0,18.98,3.45
2025-01-03 06:00:00,674.25,0.01,11.65,20.92,0.98,17.75,20.12,3.61
2025-01-03 07:00:00,680.92,0.03,12.85,19.13,1.43,18.34,21.43,3.74
2025-01-03 08:00:00,654.22,0.36,13.71,20.03,1.97,17.15,20.63,3.77
2025-01-03 09:00:00,627.52,0.71,13.54,24.68,2.12,15.69,19.03,3.77
2025-01-03 10:00:00,660.9,0.85,14.39,28.25,2.26,16.48,19.86,4.37
2025-01-03 11:00:00,707.63,0.73,14.74,35.05,2.44,18.05,21.52,5.0
2025-01-03 12:00:00,473.98,0.16,7.8,45.42,1.55,8.97,10.63,2.94
2025-01-03 13:00:00,447.27,0.1,6.51,50.07,1.85,7.75,8.94,2.91
2025-01-03 14:00:00,467.3,0.05,6.08,56.51,2.35,8.51,9.69,3.01
2025-01-03 15:00:00,467.3,0.03,5.14,60.08,2.53,9.34,10.63,2.69
2025-01-03 16:00:00,487.33,0.02,5.14,59.37,2.29,11.89,13.27,2.47
2025-01-03 17:00:00,514.03,0.01,5.57,56.51,2.03,13.95,15.19,2.22
2025-01-03 18:00:00,560.76,0.0,9.0,48.64,2.47,15.23,16.58,2.98
2025-01-03 19:00:00,600.81,0.0,12.51,40.05,2.92,15.81,17.48,3.77
2025-01-03 20:00:00,614.17,0.0,13.02,34.69,2.8,15.98,17.96,4.05
2025-01-03 21:00:00,680.92,0.01,15.25,26.46,2.8,18.96,21.6,4.81
2025-01-03 22:00:00,827.79,0.07,19.88,15.38,2.92,25.41,29.01,5.89
2025-01-03 23:00:00,988.01,0.57,23.99,5.72,2.83,32.91,37.2,6.46
2025-01-04 00:00:00,1108.17,1.58,24.68,1.16,2.26,38.53,42.53,6.21
